svm_data1,svm_data2,svm_data3,svm_data4,svm_data5,svm_data6
User,Action,Accuracy,Precision,Recall,F1_Score
1,About,0.69231,0.69231,1,0.81818
1,And,0.7037,0.7037,1,0.82609
1,Can,0.66667,0.65517,1,0.79167
1,Cop,0.7037,0.7037,1,0.82609
1,Deaf,0.7037,0.7037,1,0.82609
1,Decide,0.7037,0.7037,1,0.82609
1,Father,0.74074,0.73077,1,0.84444
1,Find,0.7037,0.7037,1,0.82609
1,Goout,0.7037,0.7037,1,0.82609
1,Hearing,0.81481,0.79167,1,0.88372
2,About,0.76923,0.75,1,0.85714
2,And,0.7037,0.7037,1,0.82609
2,Can,0.74074,0.73077,1,0.84444
2,Cop,0.74074,0.73077,1,0.84444
2,Deaf,0.7037,0.7037,1,0.82609
2,Decide,0.7037,0.7037,1,0.82609
2,Father,0.7037,0.7037,1,0.82609
2,Find,0.88889,0.86364,1,0.92683
2,Goout,0.7037,0.7037,1,0.82609
2,Hearing,0.7037,0.7037,1,0.82609
3,About,0.64286,0.64286,1,0.78261
3,And,0.63333,0.63333,1,0.77551
3,Can,0.67857,0.67857,1,0.80851
3,Cop,0.67857,0.67857,1,0.80851
3,Deaf,0.7037,0.7037,1,0.82609
3,Decide,0.7037,0.7037,1,0.82609
3,Father,0.73077,0.73077,1,0.84444
3,Find,0.67857,0.67857,1,0.80851
3,Goout,0.7037,0.7037,1,0.82609
3,Hearing,0.7037,0.7037,1,0.82609
4,About,0.66667,0.66667,1,0.8
4,And,0.77778,0.76,1,0.86364
4,Can,0.7037,0.7037,1,0.82609
4,Cop,0.74074,0.73077,1,0.84444
4,Deaf,0.88889,0.86364,1,0.92683
4,Decide,0.7037,0.7037,1,0.82609
4,Father,0.81481,0.79167,1,0.88372
4,Find,0.7037,0.7037,1,0.82609
4,Goout,0.77778,0.76,1,0.86364
4,Hearing,0.77778,0.76,1,0.86364
5,About,0.66667,0.66667,1,0.8
5,And,0.74074,0.73077,1,0.84444
5,Can,0.7037,0.7037,1,0.82609
5,Cop,0.7037,0.7037,1,0.82609
5,Deaf,0.7037,0.7037,1,0.82609
5,Decide,0.7037,0.7037,1,0.82609
5,Father,0.88889,0.86364,1,0.92683
5,Find,0.85185,0.82609,1,0.90476
5,Goout,0.74074,0.73077,1,0.84444
5,Hearing,0.81481,0.79167,1,0.88372
7,About,0.69231,0.69231,1,0.81818
7,And,0.7037,0.7037,1,0.82609
7,Can,0.7037,0.7037,1,0.82609
7,Cop,0.7037,0.7037,1,0.82609
7,Deaf,0.77778,0.76,1,0.86364
7,Decide,0.7037,0.7037,1,0.82609
7,Father,0.7037,0.7037,1,0.82609
7,Find,0.7037,0.7037,1,0.82609
7,Goout,0.7037,0.7037,1,0.82609
7,Hearing,0.7037,0.7037,1,0.82609
8,About,0.73077,0.72,1,0.83721
8,And,0.7037,0.7037,1,0.82609
8,Can,0.77778,0.76,1,0.86364
8,Cop,0.77778,0.76,1,0.86364
8,Deaf,0.74074,0.73077,1,0.84444
8,Decide,0.7037,0.7037,1,0.82609
8,Father,0.7037,0.7037,1,0.82609
8,Find,0.7037,0.7037,1,0.82609
8,Goout,0.73077,0.73077,1,0.84444
8,Hearing,0.92593,0.90476,1,0.95
9,About,0.69231,0.69231,1,0.81818
9,And,0.7037,0.7037,1,0.82609
9,Can,0.67857,0.67857,1,0.80851
9,Cop,0.7037,0.7037,1,0.82609
9,Deaf,0.7037,0.7037,1,0.82609
9,Decide,0.73077,0.73077,1,0.84444
9,Father,0.7037,0.7037,1,0.82609
9,Find,0.7037,0.7037,1,0.82609
9,Goout,0.7037,0.7037,1,0.82609
9,Hearing,0.7037,0.7037,1,0.82609
11,About,0.6,0.6,1,0.75
11,And,0.81481,0.79167,1,0.88372
11,Can,0.74074,0.73077,1,0.84444
11,Cop,0.84615,0.82609,1,0.90476
11,Deaf,0.92593,0.90476,1,0.95
11,Decide,0.7037,0.7037,1,0.82609
11,Father,0.7037,0.7037,1,0.82609
11,Find,0.74074,0.73077,1,0.84444
11,Goout,0.73077,0.73077,1,0.84444
11,Hearing,0.74074,0.73077,1,0.84444
12,About,0.76923,0.75,1,0.85714
12,And,0.81481,0.79167,1,0.88372
12,Can,0.7037,0.7037,1,0.82609
12,Cop,0.85185,0.82609,1,0.90476
12,Deaf,0.81481,0.79167,1,0.88372
12,Decide,0.7037,0.7037,1,0.82609
12,Father,0.85185,0.82609,1,0.90476
12,Find,0.74074,0.73077,1,0.84444
12,Goout,0.7037,0.7037,1,0.82609
12,Hearing,0.81481,0.79167,1,0.88372
