dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"ABOUT1,ALX",-0.96729,-0.96729,-0.96729,-0.96729,-0.96729,-0.96729,-0.96729,-0.96729,-0.96729,-0.96729,-0.96729,-0.96729,-0.96729,-0.96729,-0.96729,-0.96729,-0.96729,-0.96729,-0.96729,-0.96729,-0.96729,-0.96729,-0.96729,-0.96729,-0.96729,-0.96729,-0.96729,-0.96729,-0.96729,-0.96729,-0.96729,-0.96729,-0.96729,-0.96729,-0.96729,-0.96729,-0.96729,-0.96729,-0.96729,-0.96729,-0.96729,-0.96729,-0.96729,-0.96729,-0.96729
"ABOUT1,ALY",0.21191,0.21191,0.21191,0.21191,0.21191,0.21191,0.21191,0.21191,0.21191,0.21191,0.21191,0.21191,0.21191,0.21191,0.21191,0.21191,0.21191,0.21191,0.21191,0.21191,0.21191,0.21191,0.21191,0.21191,0.21191,0.21191,0.21191,0.21191,0.21191,0.21191,0.21191,0.21191,0.21191,0.21191,0.21191,0.21191,0.21191,0.21191,0.21191,0.21191,0.21191,0.21191,0.21191,0.21191,0.21191
"ABOUT1,ALZ",-0.15283,-0.15283,-0.15283,-0.15283,-0.15283,-0.15283,-0.15283,-0.15283,-0.15283,-0.15283,-0.15283,-0.15283,-0.15283,-0.15283,-0.15283,-0.15283,-0.15283,-0.15283,-0.15283,-0.15283,-0.15283,-0.15283,-0.15283,-0.15283,-0.15283,-0.15283,-0.15283,-0.15283,-0.15283,-0.15283,-0.15283,-0.15283,-0.15283,-0.15283,-0.15283,-0.15283,-0.15283,-0.15283,-0.15283,-0.15283,-0.15283,-0.15283,-0.15283,-0.15283,-0.15283
"ABOUT1,ARX",-0.97803,-0.97803,-0.97803,-0.97803,-0.97803,-0.97803,-0.97803,-0.97803,-0.97803,-0.97803,-0.97803,-0.97803,-0.97803,-0.97803,-0.97803,-0.97803,-0.97803,-0.97803,-0.97803,-0.97803,-0.97803,-0.97803,-0.97803,-0.97803,-0.97803,-0.97803,-0.97803,-0.97803,-0.97803,-0.97803,-0.97803,-0.97803,-0.97803,-0.97803,-0.97803,-0.97803,-0.97803,-0.97803,-0.97803,-0.97803,-0.97803,-0.97803,-0.97803,-0.97803,-0.97803
"ABOUT1,ARY",-0.25684,-0.25684,-0.25684,-0.25684,-0.25684,-0.25684,-0.25684,-0.25684,-0.25684,-0.25684,-0.25684,-0.25684,-0.25684,-0.25684,-0.25684,-0.25684,-0.25684,-0.25684,-0.25684,-0.25684,-0.25684,-0.25684,-0.25684,-0.25684,-0.25684,-0.25684,-0.25684,-0.25684,-0.25684,-0.25684,-0.25684,-0.25684,-0.25684,-0.25684,-0.25684,-0.25684,-0.25684,-0.25684,-0.25684,-0.25684,-0.25684,-0.25684,-0.25684,-0.25684,-0.25684
"ABOUT1,ARZ",-0.080078,-0.080078,-0.080078,-0.080078,-0.080078,-0.080078,-0.080078,-0.080078,-0.080078,-0.080078,-0.080078,-0.080078,-0.080078,-0.080078,-0.080078,-0.080078,-0.080078,-0.080078,-0.080078,-0.080078,-0.080078,-0.080078,-0.080078,-0.080078,-0.080078,-0.080078,-0.080078,-0.080078,-0.080078,-0.080078,-0.080078,-0.080078,-0.080078,-0.080078,-0.080078,-0.080078,-0.080078,-0.080078,-0.080078,-0.080078,-0.080078,-0.080078,-0.080078,-0.080078,-0.080078
"ABOUT1,EMG0L",-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
"ABOUT1,EMG1L",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"ABOUT1,EMG2L",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ABOUT1,EMG3L",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"ABOUT1,EMG4L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABOUT1,EMG5L",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
