dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"AND1_ALX",-0.0888672,-0.0966797,-0.182129,-0.165039,-0.253906,-0.242188,-0.338867,-0.260254,-0.180176,0.0571289,0.133789,-0.0146484,-0.174805,-0.270996,-0.316895,-0.410645,-0.366211,-0.378418,-0.371094,-0.301758,-0.290039,-0.188965,-0.138184,-0.104981,-0.139648,-0.124023,-0.106934,-0.111816,-0.00195312,0.00927734,0.217285,0.428711,0.629394,0.789551,1.00586,1.05322,1.04785,0.969727,0.888672,0.88916,0.926269,0.945801,0.946289,0.910644,0.912109
"AND1_ALY",0.715332,0.697266,0.759766,0.734863,0.759766,0.725098,0.877441,0.79541,0.816406,0.869629,0.92334,0.923828,0.874023,0.732422,0.625488,0.665527,0.754883,0.759277,0.757812,0.899902,0.814453,0.825684,0.793457,0.757812,0.830078,0.819824,0.880859,0.806152,0.712891,0.63916,0.733887,0.637695,0.782227,0.70166,0.35791,0.539062,0.272949,0.334473,0.387695,0.302734,0.302246,0.286621,0.299316,0.287109,0.319336
"AND1_ALZ",0.672363,0.604981,0.604004,0.613769,0.590332,0.59082,0.529785,0.560547,0.513672,0.455566,0.558106,0.660644,0.720703,0.711914,0.645996,0.560059,0.513184,0.526367,0.559082,0.485352,0.522949,0.50293,0.527344,0.550781,0.519043,0.560059,0.599609,0.534668,0.564941,0.510742,0.512207,0.570801,0.396484,0.308594,0.373535,0.0454102,-0.0078125,0.0371094,0.144531,0.17041,0.112305,0.090332,0.105469,0.129394,0.135742
"AND1_ARX",0.948242,0.955566,0.952148,0.950684,0.962402,0.974121,0.945801,0.967285,0.959473,0.952148,0.944336,0.957031,0.959961,0.953125,0.932617,0.96875,0.945801,0.979981,0.956055,0.946777,0.945312,0.946777,0.971191,0.956055,0.958008,0.958008,0.950195,0.942871,0.934082,0.967285,0.969238,0.955566,0.969727,0.958984,0.945312,0.975586,0.973144,0.940918,0.940918,0.975586,1.00049,0.956055,0.953613,0.946289,0.947754
"AND1_ARY",-0.259766,-0.248535,-0.253906,-0.265625,-0.251953,-0.254395,-0.25293,-0.265625,-0.244629,-0.255859,-0.255859,-0.263184,-0.250488,-0.255371,-0.241211,-0.243164,-0.238769,-0.25293,-0.250488,-0.261719,-0.268066,-0.248047,-0.25293,-0.23584,-0.256348,-0.265137,-0.255371,-0.265137,-0.255859,-0.256348,-0.236328,-0.24707,-0.26416,-0.215332,-0.256348,-0.253418,-0.262695,-0.26416,-0.235352,-0.260254,-0.238281,-0.25293,-0.239746,-0.243652,-0.23291
"AND1_ARZ",0.115723,0.107422,0.123535,0.125488,0.125488,0.120117,0.0976562,0.130371,0.101074,0.0917969,0.0981445,0.123047,0.129883,0.137695,0.140625,0.152344,0.125977,0.118652,0.110352,0.130371,0.132324,0.116211,0.130371,0.121582,0.136719,0.150391,0.136231,0.138672,0.151367,0.154785,0.131836,0.124023,0.150391,0.116211,0.104004,0.125,0.0620117,0.125488,0.11084,0.104492,0.0839844,0.0698242,0.0888672,0.0917969,0.0869141
"AND1_EMG0L",18,-15,25,9,8,-7,15,23,-16,8,-4,10,-5,-8,-2,5,-1,-7,-9,16,-5,16,16,13,-4,12,-5,-9,-3,-1,-3,2,3,0,11,-3,-2,-1,0,-3,-1,1,-2,0,-1
"AND1_EMG1L",4,-5,9,1,3,5,-2,-1,-23,54,3,11,-11,-1,-22,12,-17,16,-21,12,1,28,9,30,-4,21,-4,-21,2,2,-3,0,3,-4,1,-1,-4,-3,-1,-3,0,-1,-1,0,1
"AND1_EMG2L",-7,-4,5,-15,0,3,15,-1,-7,38,-11,-5,-13,-6,4,17,-5,1,19,19,-14,-2,-12,4,-6,-3,-11,-7,0,-2,-2,-4,4,-3,2,-1,-1,-1,-1,-1,-1,1,-2,-1,-1
"AND1_EMG3L",9,9,2,8,8,4,-1,1,2,9,-9,-1,11,-28,23,5,-8,6,5,-5,-1,3,0,-7,-6,10,3,5,-1,-3,-5,-1,1,0,2,1,-2,-2,-3,1,0,-1,-1,0,-3
"AND1_EMG4L",3,-1,-1,21,92,-24,-70,12,30,-4,-9,-32,72,-49,8,-6,63,13,-14,10,25,29,-15,39,2,-24,31,-20,-15,6,-4,-2,2,-3,0,-1,-2,0,1,0,-1,-2,-1,0,-1
