dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"HEARING1,ALX",0.9233398,0.9291992,0.9204102,0.9272461,0.9296875,0.9282227,0.9306641,0.9609375,1.300781,1.221191,0.6362305,-0.06835938,-0.4746094,-0.3916016,-0.07226563,-0.2060547,-0.8671875,-0.6557617,-0.5405273,-0.2817383,-0.6772461,-0.715332,-0.6987305,-0.2880859,-0.605957,-0.6870117,-0.5756836,-0.4711914,-0.6694336,-0.6064453,-0.4863281,-0.3115234,-0.2827148,-0.3144531,-0.4213867,-0.003417969,0.5322266,1.325195,1.141113,1.129883,0.9882813,0.9545898,0.9350586,0.9448242,0
"HEARING1,ALY",0.2744141,0.2827148,0.2822266,0.2890625,0.2851563,0.2817383,0.28125,0.2807617,0.3496094,0.9458008,1.020508,0.8491211,0.5693359,0.4980469,0.5327148,0.7675781,0.9179688,0.734375,0.6181641,0.8071289,0.8833008,0.7646484,0.6621094,0.8266602,0.8730469,0.7373047,0.6367188,0.6884766,0.8867188,0.8657227,0.7636719,0.5712891,0.449707,0.4394531,0.6743164,0.6767578,1.189453,0.7963867,0.6977539,0.3935547,0.2050781,0.2753906,0.3032227,0.2739258,0
"HEARING1,ALZ",0.1289063,0.1420898,0.1240234,0.1381836,0.1376953,0.1323242,0.1342773,0.1083984,0.125,0.5161133,0.6552734,0.5454102,0.3535156,0.1450195,0.1118164,0.3432617,0.009277344,-0.3310547,-0.2871094,0.02490234,-0.1035156,-0.418457,-0.3764648,-0.05224609,-0.07568359,-0.3198242,-0.2807617,-0.2519531,-0.1298828,-0.1943359,-0.1303711,0.03369141,0.121582,0.2905273,0.5083008,0.3896484,0.5073242,0.8115234,0.2890625,0.03955078,-0.01757813,0.03125,0.09521484,0.05615234,0
"HEARING1,ARX",0.9375,0.9375,0.9360352,0.9321289,0.9375,0.9326172,0.9331055,0.9335938,0.9545898,0.9306641,0.9692383,0.9423828,0.9331055,0.949707,0.9257813,0.9238281,0.9404297,0.9658203,0.9204102,0.909668,0.9384766,0.9633789,0.9394531,0.9223633,0.9458008,0.9614258,0.9296875,0.934082,0.9472656,0.9555664,0.9545898,0.9282227,0.9335938,0.9106445,0.9560547,0.9697266,0.9316406,0.9194336,0.9238281,0.9277344,0.9316406,0.9555664,0.9448242,0.9545898,0
"HEARING1,ARY",-0.3149414,-0.3178711,-0.324707,-0.3286133,-0.3242188,-0.3286133,-0.3256836,-0.3286133,-0.3129883,-0.296875,-0.3100586,-0.3349609,-0.3173828,-0.3203125,-0.3129883,-0.3183594,-0.2949219,-0.3144531,-0.347168,-0.3500977,-0.2998047,-0.2949219,-0.3222656,-0.3574219,-0.3085938,-0.2958984,-0.3291016,-0.3242188,-0.3164063,-0.3032227,-0.3232422,-0.3227539,-0.3227539,-0.2939453,-0.2954102,-0.3129883,-0.3222656,-0.355957,-0.3408203,-0.3339844,-0.2983398,-0.3173828,-0.2978516,-0.2890625,0
"HEARING1,ARZ",0.1230469,0.1235352,0.1245117,0.1303711,0.1376953,0.1352539,0.1337891,0.1362305,0.1523438,0.1201172,0.07861328,0.1411133,0.1567383,0.08300781,0.1064453,0.08886719,0.06445313,0.09082031,0.1240234,0.1132813,0.09326172,0.09570313,0.137207,0.07958984,0.07128906,0.1000977,0.1533203,0.1401367,0.09716797,0.1040039,0.1323242,0.1064453,0.1040039,0.08935547,0.1416016,0.1494141,0.1015625,0.1328125,0.144043,0.1450195,0.1010742,0.09765625,0.08789063,0.09765625,0
"HEARING1,EMG0L",-1,-1,-1,-4,0,0,-2,6,-8,-9,-6,-3,-1,-7,9,-2,-11,-6,8,13,-26,-20,-5,7,-15,9,-15,-9,-1,-1,1,0,8,-3,-7,-5,10,2,-9,-9,17,1,7,1,0
"HEARING1,EMG1L",0,-1,1,0,-1,0,-3,43,-20,-28,-56,-32,15,-1,-5,-4,14,40,18,22,-36,-11,-6,17,-20,2,-24,-4,-20,11,4,-6,0,1,3,-9,17,0,-5,-7,7,-2,2,-1,0
"HEARING1,EMG2L",-2,-1,-1,1,1,-2,-2,31,-17,-26,-28,-21,-2,-2,4,12,8,10,5,4,-18,-11,-5,-2,-12,9,-11,-2,-7,0,4,-1,-1,1,-3,-6,19,-5,-4,-3,5,-2,1,-3,0
"HEARING1,EMG3L",-2,0,-1,0,-2,-1,-1,12,-5,-11,-3,-9,5,-4,-7,16,3,4,-3,-4,-15,-11,-3,2,-3,9,-3,5,-4,-1,0,-1,-1,-1,-1,-5,18,-3,-3,-3,4,-1,1,0,0
