dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"COP1,ALX",0.861328,0.85791,0.874023,0.845703,0.832031,0.816894,0.901367,1.04102,0.913086,0.681641,0.489258,0.328125,0.00634766,-0.222656,-0.265625,-0.452637,-0.413086,-0.47168,-0.403809,-0.324219,-0.304688,-0.416016,-0.48877,-0.449219,-0.322266,-0.217773,-0.210938,-0.0981445,0.0410156,0.435059,0.599121,0.938477,0.884277,0.916504,0.967285,0.898438,0.885254,0.847656,0.852051,0.879394,0.886719,0.878418,0.869141,0.883789,0.882324
"COP1,ALY",0.461914,0.458496,0.487793,0.470703,0.501465,0.491211,0.506348,0.677734,0.875488,1.08936,0.815918,0.853027,0.605957,0.650879,0.705078,0.92041,0.959473,0.789062,0.919922,0.919434,0.90625,0.821289,0.834473,0.827148,0.833984,0.792969,0.820312,0.773438,0.797363,0.823731,0.823731,0.746094,0.617676,0.672363,0.439941,0.445801,0.462891,0.455566,0.45459,0.411621,0.4375,0.411133,0.428223,0.413574,0.425293
"COP1,ALZ",0.0317383,0.0336914,0.000976562,0.0673828,0.0810547,0.0595703,-0.0356445,0.152344,0.336426,0.455078,0.482422,0.450195,0.330566,0.186035,0.227539,0.145508,0.264648,0.268066,0.362793,0.450195,0.446777,0.266113,0.114746,0.196289,0.311035,0.344238,0.381348,0.334473,0.358887,0.335938,0.269043,0.272949,0.0668945,0.0361328,0.0141602,0.00927734,0.0776367,0.0673828,0.0351562,-0.0126953,0.00244141,0.0107422,0.0078125,0.0166016,0.0205078
"COP1,ARX",0.948242,0.952148,0.945312,0.948731,0.952637,0.953125,0.956543,0.95166,0.918457,0.960938,0.98584,0.963867,0.946289,0.945801,0.955566,0.946289,0.941406,0.93457,0.964844,0.948242,0.946289,0.942871,0.958984,0.961914,0.943848,0.955566,0.948242,0.951172,0.950195,0.955078,0.975586,0.953613,0.943848,0.951172,0.957031,0.947754,0.952637,0.95166,0.955566,0.946777,0.945801,0.950195,0.953613,0.953125,0.944336
"COP1,ARY",-0.283691,-0.277832,-0.279297,-0.268066,-0.27832,-0.267578,-0.27832,-0.273926,-0.285645,-0.293457,-0.287109,-0.261719,-0.277832,-0.263672,-0.262207,-0.260742,-0.29541,-0.263184,-0.300781,-0.273926,-0.291504,-0.283203,-0.274902,-0.278809,-0.266113,-0.270996,-0.271973,-0.272461,-0.277344,-0.274414,-0.280762,-0.273438,-0.287109,-0.275391,-0.276855,-0.270508,-0.268555,-0.261719,-0.26123,-0.264648,-0.264648,-0.266113,-0.273438,-0.277344,-0.272461
"COP1,ARZ",0.111328,0.106934,0.112305,0.113769,0.112793,0.104981,0.11084,0.104492,0.144043,0.136231,0.10791,0.0917969,0.119629,0.113769,0.097168,0.0932617,0.144043,0.119629,0.121094,0.102051,0.129883,0.123535,0.113281,0.127441,0.119629,0.121094,0.129394,0.12207,0.125488,0.125488,0.127441,0.10791,0.136231,0.121582,0.113769,0.119141,0.113769,0.105469,0.11084,0.106934,0.10791,0.112305,0.107422,0.115234,0.113281
"COP1,EMG0L",-1,4,2,-3,-2,6,15,1,-24,-5,-6,11,44,29,-21,-26,52,63,-2,-41,52,-20,-7,-18,-28,1,-2,-2,-2,-2,-1,1,-2,1,-5,-1,0,-3,-1,-1,5,-2,3,-1,-1
"COP1,EMG1L",-1,0,1,-3,-3,2,-4,-8,-10,1,-11,-13,-1,-10,-6,-15,4,0,-7,2,23,-23,-2,-13,-2,-4,-4,-3,0,-1,-6,1,0,3,-1,-1,-1,-1,-1,0,2,0,-2,1,-2
"COP1,EMG2L",-2,1,-2,-1,-2,1,-7,3,0,-20,-9,-5,-6,3,21,-11,-6,2,-14,-4,-2,-18,-3,-5,-2,-7,-1,-1,3,-2,-3,0,-4,0,-3,0,-1,2,-2,0,0,-2,-1,0,-1
"COP1,EMG3L",0,-1,-1,0,-1,-1,-1,8,-33,-23,-23,-9,-34,49,70,-4,-16,26,-15,-16,-6,-23,-6,-3,-3,-2,3,-3,10,0,1,1,0,-2,-1,-1,-2,-1,0,-2,-1,0,-4,1,-1
