dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"CAN1_ALX",0.925293,0.925293,0.934082,0.929199,0.928711,0.927734,0.959473,1.14356,1.06006,0.899902,0.642578,0.370605,0.302246,0.314453,0.189453,0.128418,0.162109,0.180664,0.09375,0.059082,0.17041,0.4375,0.998535,0.912598,0.695312,0.65918,0.716797,0.722656,0.714844,0.717773,0.692871,0.514648,0.615234,0.932129,1.10596,1.11475,0.961426,0.886231,0.932129,0.949219,0.9375,0.937988,0.947266,0.943848,0
"CAN1_ALY",0.305664,0.305664,0.304199,0.297852,0.29834,0.305664,0.293945,0.294434,0.453125,0.648926,0.710938,0.743164,0.612305,0.813965,0.856445,0.829102,0.904297,0.926269,0.84668,0.666504,0.661133,0.827637,0.861328,0.781738,0.726562,0.648926,0.60791,0.611328,0.614746,0.631348,0.662598,0.551758,0.479004,0.448242,0.172363,0.244629,0.368652,0.290527,0.255371,0.244141,0.249023,0.253418,0.256348,0.242676,0
"CAN1_ALZ",0.0429688,0.0429688,0.0405273,0.0537109,0.0405273,0.0410156,0.0419922,-0.00976562,0.183106,0.304199,0.34668,0.310059,0.358887,0.428223,0.404785,0.375488,0.432129,0.472168,0.438477,0.355469,0.322266,0.373535,0.395996,0.310059,0.285645,0.280273,0.27832,0.290527,0.286621,0.280273,0.290039,0.188965,0.259766,0.220215,0.0874023,-0.0595703,0.0722656,0.0996094,0.0151367,0.0200195,0.00927734,0.0180664,0.0141602,0.00683594,0
"CAN1_ARX",0.948242,0.953613,0.943848,0.947266,0.955566,0.941894,1.14893,1.13769,0.95166,0.501953,0.397461,0.317383,0.287598,0.153809,0.104492,0.0668945,0.09375,0.0849609,0.106934,0.0786133,0.191406,0.605957,0.897461,0.745117,0.594727,0.620606,0.662109,0.650391,0.651367,0.631348,0.491211,0.513184,0.797852,0.975098,1.04736,1.02344,0.955078,0.930664,0.941406,0.962891,0.959961,0.960449,0.955566,0.954102,0
"CAN1_ARY",-0.311523,-0.314941,-0.314453,-0.303711,-0.308594,-0.306152,-0.266602,-0.310059,-0.870606,-0.732422,-0.695312,-0.698731,-0.759766,-0.816894,-0.854004,-0.891602,-0.922363,-0.883301,-0.720703,-0.667481,-0.804199,-0.936523,-0.836914,-0.860352,-0.750977,-0.695801,-0.695801,-0.691406,-0.679688,-0.729492,-0.619629,-0.585938,-0.511719,-0.418457,-0.357422,-0.324219,-0.378906,-0.338867,-0.306641,-0.291016,-0.263672,-0.270508,-0.250977,-0.262695,0
"CAN1_ARZ",0.0473633,0.043457,0.0449219,0.0488281,0.046875,0.0551758,-0.0708008,-0.0385742,0.409668,0.348633,0.345215,0.387207,0.435547,0.379883,0.332031,0.370605,0.451172,0.435059,0.402344,0.360352,0.36084,0.417969,0.410645,0.359375,0.313965,0.317871,0.348145,0.340332,0.334961,0.326172,0.276367,0.269531,0.314453,0.28418,0.124512,0.00585938,0.0981445,0.129394,0.0576172,0.0327148,0.0336914,0.0292969,0.0302734,0.0336914,0
"CAN1_EMG0L",1,-2,0,-2,-1,-3,2,4,-12,-8,-1,18,-7,-9,5,-16,7,0,-22,-7,19,34,-12,-5,11,4,-16,2,-2,-25,37,-35,-9,-6,-12,4,-11,-2,-1,0,2,-1,-2,-2,0
"CAN1_EMG1L",0,-2,-1,0,1,-3,5,-9,-1,18,1,3,-1,-2,12,-11,-11,-17,11,-7,-6,22,5,-5,3,13,-3,1,-4,-8,3,-5,-6,-3,2,0,-2,1,-2,1,2,-1,0,1,0
"CAN1_EMG2L",-2,-2,-1,-1,-2,-3,-3,-9,0,11,0,11,4,-2,3,-9,-5,-10,-3,-3,-9,-3,0,4,-4,4,-3,3,-2,-7,11,-4,1,-1,0,0,-2,2,1,-1,1,0,-2,-1,0
"CAN1_EMG3L",-2,1,-1,-3,-1,0,-3,-2,0,5,-2,3,-1,-2,-3,-9,5,-7,1,-2,-5,-4,0,2,-4,-2,-1,2,-1,-14,37,-6,1,-2,-1,1,-2,1,0,0,0,0,-1,1,0
"CAN1_EMG4L",0,0,-2,-2,-2,-1,-3,-2,0,2,-2,-1,-10,5,-5,8,10,-4,-2,-1,-2,-3,-1,3,-2,-3,0,0,-4,18,49,-11,-3,0,-1,-3,-2,0,-2,0,1,-2,2,-1,0
"CAN1_EMG5L",2,4,1,-2,-1,-2,7,0,-2,4,-2,1,7,3,-2,16,-1,-2,-1,-2,0,1,0,4,-1,1,6,-1,-4,31,-39,-5,1,-2,-18,19,-11,2,-17,5,6,-6,-2,0,0
"CAN1_EMG6L",1,-2,3,-1,-5,-1,0,-3,1,-1,-6,2,22,67,-19,25,-3,-7,-19,-16,24,-2,1,-6,1,9,30,-7,7,-19,24,-10,-11,-7,11,-1,-6,1,-2,-2,-7,-9,-6,5,0
"CAN1_EMG7L",1,-2,-4,-1,0,1,-2,-5,2,1,-13,10,11,5,7,-20,4,-7,-7,-8,4,-10,-2,-9,-30,8,-11,-16,-7,-4,17,-5,-1,-3,-6,10,17,-6,3,-9,-8,2,-8,-1,0
"CAN1_EMG0R",-3,0,1,-1,1,-2,-3,3,0,-2,0,0,6,-43,-31,12,-19,-2,16,11,20,10,-9,-8,-14,-13,10,-1,31,-27,-27,4,-37,6,-3,-2,2,-5,5,-1,0,-2,0,-4,0
"CAN1_EMG1R",-1,-1,0,-2,0,-1,-2,2,-4,-4,1,-4,1,-6,-2,0,1,-1,-4,-3,-6,-7,-12,-4,1,2,6,-1,22,-4,30,10,-64,16,1,2,-4,-6,10,-8,-24,1,6,-7,0
"CAN1_EMG2R",0,-2,-2,-2,0,-1,-3,-2,-5,-3,3,-4,-4,-17,6,-7,3,3,-3,0,-6,1,-3,1,-2,4,0,-1,2,-2,-8,-1,-5,1,-2,-2,0,-4,1,-2,-9,0,1,-1,0
"CAN1_EMG3R",-1,0,0,-2,-2,-2,1,-7,1,-6,5,1,-10,-12,-4,-1,2,7,5,8,-2,9,4,-1,-3,8,-8,-6,0,-19,-10,-1,3,1,-2,-3,0,1,0,0,-3,0,0,1,0
"CAN1_EMG4R",0,-3,0,-2,-2,-3,15,-25,2,-15,9,-8,-6,1,-7,-6,0,-1,3,-1,-4,7,-2,-9,-1,6,-15,-12,-1,-1,-5,4,-1,0,-2,-2,-2,-1,1,-2,-1,-1,-1,-1,0
"CAN1_EMG5R",0,-2,-2,-1,1,1,31,-3,9,-31,-5,-14,-5,30,-8,-6,2,-1,0,-4,-3,3,-1,-14,0,-2,-28,-17,-4,1,-7,12,1,0,-3,-1,-3,-1,0,1,0,-1,-1,0,0
"CAN1_EMG6R",0,0,0,-1,-3,1,22,2,6,-2,-1,-9,12,7,-4,-2,-12,-10,-16,-5,0,6,-4,0,-8,18,-18,4,-10,10,-5,54,1,4,-15,-5,-12,4,-3,3,0,-2,-4,4,0
"CAN1_EMG7R",-2,0,0,-2,-1,-8,-7,1,-5,-7,-3,17,7,-19,-17,2,-3,-7,-18,-5,-5,-34,-12,-15,-7,-11,-8,22,10,3,-8,36,-5,-1,-2,-1,-1,-2,0,-11,0,-3,-1,18,0
"CAN1_GLX",1.0625,1.0625,0.625,1.75,0.5,-1.8125,-1.625,16.875,55.8125,77.5,43.8125,21.6875,-1.5625,3.3125,4,7.8125,4.4375,3.875,-6.1875,-8.375,-4.375,2.8125,-3.3125,-0.0625,0.5,-1.125,0.25,-0.5,-3.4375,-7.5625,3.625,-25.3125,-36.375,-30.5,-23.4375,14.1875,-28.125,-34.3125,-17.625,2.1875,-4.375,1.6875,0.75,-0.375,0
"CAN1_GLY",1.0625,1.0625,0.625,1.75,0.5,-1.8125,-1.625,16.875,55.8125,77.5,43.8125,21.6875,-1.5625,3.3125,4,7.8125,4.4375,3.875,-6.1875,-8.375,-4.375,2.8125,-3.3125,-0.0625,0.5,-1.125,0.25,-0.5,-3.4375,-7.5625,3.625,-25.3125,-36.375,-30.5,-23.4375,14.1875,-28.125,-34.3125,-17.625,2.1875,-4.375,1.6875,0.75,-0.375,0
"CAN1_GLZ",1.0625,1.0625,0.625,1.75,0.5,-1.8125,-1.625,16.875,55.8125,77.5,43.8125,21.6875,-1.5625,3.3125,4,7.8125,4.4375,3.875,-6.1875,-8.375,-4.375,2.8125,-3.3125,-0.0625,0.5,-1.125,0.25,-0.5,-3.4375,-7.5625,3.625,-25.3125,-36.375,-30.5,-23.4375,14.1875,-28.125,-34.3125,-17.625,2.1875,-4.375,1.6875,0.75,-0.375,0
"CAN1_GRX",-0.5,-1.125,-0.25,-3.0625,2,1.75,-1.25,-76.25,-66.125,-15.8125,-10.5,-9.5,-10.1875,4.6875,4.5,-3.1875,-0.125,2.875,12.75,12.75,9.875,4.3125,5.1875,1.1875,1.375,-0.5625,-5.0625,2.8125,3.625,15.8125,39.375,16.8125,24.1875,16.625,6.375,-19.0625,-12.3125,10.1875,11.8125,3,2.4375,5.25,12.3125,2.6875,0
"CAN1_GRY",-0.5,-1.125,-0.25,-3.0625,2,1.75,-1.25,-76.25,-66.125,-15.8125,-10.5,-9.5,-10.1875,4.6875,4.5,-3.1875,-0.125,2.875,12.75,12.75,9.875,4.3125,5.1875,1.1875,1.375,-0.5625,-5.0625,2.8125,3.625,15.8125,39.375,16.8125,24.1875,16.625,6.375,-19.0625,-12.3125,10.1875,11.8125,3,2.4375,5.25,12.3125,2.6875,0
"CAN1_GRZ",-0.5,-1.125,-0.25,-3.0625,2,1.75,-1.25,-76.25,-66.125,-15.8125,-10.5,-9.5,-10.1875,4.6875,4.5,-3.1875,-0.125,2.875,12.75,12.75,9.875,4.3125,5.1875,1.1875,1.375,-0.5625,-5.0625,2.8125,3.625,15.8125,39.375,16.8125,24.1875,16.625,6.375,-19.0625,-12.3125,10.1875,11.8125,3,2.4375,5.25,12.3125,2.6875,0
"CAN1_ORL",7.40164,7.40164,7.40356,7.41002,7.41492,7.41397,7.39965,7.25287,6.99847,6.88376,6.85925,6.84789,6.82879,6.84281,6.83956,6.84342,6.8517,6.85124,6.83687,6.80735,6.79893,6.82005,6.8436,6.86646,6.86889,6.8685,6.87491,6.8769,6.87401,6.86298,6.85372,6.85513,6.81634,6.89869,7.1075,7.4648,7.56281,7.47631,7.47579,7.53278,7.53519,7.54337,7.55162,7.55666,0
