dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"DEAF1_ALX",0.940918,0.944336,0.941406,0.946777,0.938965,0.943848,0.9375,0.940918,0.941406,0.94043,0.939941,0.945801,0.941894,0.941406,0.939453,0.939941,0.939453,0.941406,0.941406,0.937012,0.94043,0.936523,0.941894,0.948731,0.936523,0.941894,0.938965,0.943359,0.942383,0.941894,0.9375,0.935547,0.932129,0.944824,0.935547,0.935547,0.948731,0.940918,0.941894,0.934082,0.942871,0.936523,0.937988,0.936523,0.937988
"DEAF1_ALY",-0.254883,-0.258301,-0.256348,-0.257324,-0.257324,-0.258301,-0.256836,-0.263184,-0.259277,-0.257812,-0.258301,-0.256836,-0.256348,-0.269043,-0.255859,-0.260742,-0.265137,-0.26123,-0.26123,-0.257812,-0.261719,-0.259766,-0.263184,-0.258789,-0.258789,-0.257324,-0.263672,-0.263184,-0.263184,-0.260254,-0.269043,-0.262695,-0.263672,-0.262207,-0.27002,-0.267578,-0.265625,-0.264648,-0.265625,-0.263672,-0.271973,-0.26416,-0.263672,-0.265137,-0.26709
"DEAF1_ALZ",-0.0942383,-0.0961914,-0.0913086,-0.0874023,-0.0878906,-0.090332,-0.0898438,-0.0908203,-0.0908203,-0.0864258,-0.0917969,-0.0869141,-0.0922852,-0.0771484,-0.0922852,-0.0883789,-0.0869141,-0.0883789,-0.078125,-0.0883789,-0.0834961,-0.081543,-0.0859375,-0.0849609,-0.0898438,-0.0883789,-0.078125,-0.0864258,-0.0874023,-0.081543,-0.0878906,-0.0820312,-0.0859375,-0.0800781,-0.0908203,-0.0854492,-0.0810547,-0.0854492,-0.0869141,-0.0854492,-0.0732422,-0.0805664,-0.0825195,-0.081543,-0.0874023
"DEAF1_ARX",-0.783203,-0.786621,-0.785156,-0.790527,-0.780273,-0.777344,-0.780273,-0.784668,-0.787598,-0.791992,-0.78125,-0.780762,-0.797852,-0.819336,-0.821777,-0.844727,-0.819824,-0.816894,-0.847168,-0.849609,-0.850098,-0.848144,-0.833008,-0.84375,-0.844238,-0.846191,-0.84668,-0.842773,-0.834473,-0.844727,-0.847656,-0.853516,-0.835938,-0.848633,-0.848144,-0.841309,-0.837891,-0.847656,-0.844238,-0.84668,-0.844727,-0.84082,-0.844727,-0.847656,-0.853516
"DEAF1_ARY",0.577148,0.57666,0.572754,0.589356,0.580078,0.572266,0.568848,0.580566,0.576172,0.586426,0.582031,0.579102,0.598144,0.543457,0.547363,0.511719,0.497559,0.486328,0.517578,0.513184,0.514648,0.515625,0.512207,0.509766,0.506836,0.521484,0.51416,0.515625,0.511719,0.508789,0.510254,0.509766,0.51709,0.505859,0.507812,0.510742,0.504394,0.509277,0.517578,0.515137,0.513672,0.503906,0.513672,0.510254,0.509766
"DEAF1_ARZ",0.245117,0.244629,0.238281,0.236328,0.239258,0.235352,0.23584,0.243164,0.240723,0.230469,0.240723,0.233887,0.241699,0.216309,0.189453,0.17334,0.176269,0.17041,0.176269,0.15625,0.164551,0.15625,0.165527,0.164551,0.168945,0.160156,0.158203,0.161133,0.174316,0.160156,0.150879,0.159668,0.164062,0.173828,0.163086,0.159668,0.167481,0.157227,0.164551,0.168945,0.164062,0.160644,0.166992,0.164551,0.161621
"DEAF1_EMG0L",0,0,-1,0,-2,-2,0,1,0,-1,-1,-1,1,-3,0,-1,1,1,0,0,-1,-1,-1,0,0,0,0,0,-1,-2,-1,-1,2,-2,0,-1,-2,-1,1,-2,-1,-2,0,-1,-1
"DEAF1_EMG1L",0,0,-3,0,0,0,0,-1,-1,-1,-1,0,0,-1,-2,-1,-2,2,-1,-2,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-2,0,0,0,0,-1,1,-2,0,-1,0,1
"DEAF1_EMG2L",0,0,-2,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,-2,-2,-1,-1,0,-1,-2,-2,0,-2,-1,0,0,-2,-2,-2,-1,-1,-1,-1,0,-1,-2,0,0,0,-2,-1,-1,-1,0
"DEAF1_EMG3L",-2,0,-2,-2,-3,-1,-2,0,0,-1,1,-2,-3,1,0,0,-2,-1,-1,-2,1,-2,-1,2,-1,0,-3,1,-1,-2,1,-2,-1,-2,-1,-1,-3,0,-2,1,0,-2,0,-2,0
"DEAF1_EMG4L",-1,-2,0,-2,-1,0,-2,0,-1,-2,-4,0,-2,1,-2,-1,0,0,0,1,0,-1,-1,-1,-1,-2,0,0,-1,0,-1,-1,-1,-1,-1,1,-1,-2,-1,-1,0,1,0,-1,-1
"DEAF1_EMG5L",0,0,0,0,-1,-1,-1,-2,-2,-2,-2,-1,-1,-2,0,0,-2,-2,-1,0,-2,1,-1,-1,-1,-2,-1,1,0,-1,0,-2,-2,-1,-1,-2,-1,-1,-2,1,0,0,1,-1,-1
