dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"FATHER1_ALX",-0.953125,-0.9521484,-1.01123,-0.9350586,-0.9799805,-0.9936523,-1.00293,-0.9716797,-0.972168,-0.9790039,-0.9731445,-0.9560547,-0.9946289,-0.9946289,-0.9921875,-0.9638672,-0.9609375,-0.9780273,-0.9731445,-0.9731445,-0.9716797,-0.9658203,-0.9648438,-0.9643555,-0.9702148,-0.9755859,-0.9736328,-0.9736328,-0.9707031,-0.9711914,-0.9663086,-0.9736328,-0.9770508,-0.9746094,-0.9663086,-0.96875,-0.9711914,-0.9990234,-0.9667969,-0.96875,-0.9760742,-0.9853516,-0.9614258,-0.9594727,-0.9594727
"FATHER1_ALY",0.2416992,0.2138672,0.1894531,0.2724609,0.2075195,0.2084961,0.1943359,0.2197266,0.1791992,0.2158203,0.2275391,0.2348633,0.2045898,0.2163086,0.2094727,0.2207031,0.2236328,0.2226563,0.2260742,0.2260742,0.2255859,0.2202148,0.2236328,0.2265625,0.230957,0.2260742,0.2255859,0.2255859,0.2197266,0.222168,0.2172852,0.2167969,0.2167969,0.2158203,0.2172852,0.2114258,0.2163086,0.1928711,0.2270508,0.21875,0.2275391,0.2055664,0.2285156,0.2075195,0.2075195
"FATHER1_ALZ",0.1821289,0.1606445,0.1542969,0.1748047,0.140625,0.1245117,0.1357422,0.1367188,0.1469727,0.1347656,0.1411133,0.1567383,0.1616211,0.1401367,0.1391602,0.1352539,0.1259766,0.1225586,0.1157227,0.1157227,0.1259766,0.1313477,0.1123047,0.1123047,0.1435547,0.144043,0.1396484,0.1396484,0.1293945,0.1147461,0.1176758,0.1166992,0.1333008,0.1313477,0.1293945,0.1318359,0.1225586,0.1782227,0.1391602,0.1552734,0.1459961,0.1455078,0.1074219,0.1323242,0.1323242
"FATHER1_ARX",0.9179688,0.9160156,0.9282227,0.9262695,0.9306641,0.9243164,0.9262695,0.9394531,1.021973,1.04248,0.9682617,0.5322266,0.1640625,-0.2734375,-0.3691406,-0.3959961,-0.5175781,-0.6586914,-0.6831055,-0.871582,-0.8759766,-0.8540039,-0.9941406,-0.90625,-0.8369141,-0.8359375,-0.8930664,-0.8447266,-0.8286133,-0.8017578,-0.7822266,-0.6816406,-0.7055664,-0.612793,-0.5410156,-0.3876953,-0.3251953,-0.1801758,-0.008300781,0.5688477,1.081055,1.035156,1.038574,1.001465,0.9780273
"FATHER1_ARY",0.2924805,0.3027344,0.3051758,0.3037109,0.2871094,0.3188477,0.3022461,0.3349609,0.3803711,0.5869141,0.8916016,1.135254,1.086914,1.021973,0.8198242,0.6582031,0.5253906,0.4267578,0.3544922,0.3486328,0.265625,0.3271484,0.3266602,0.3911133,0.4702148,0.4829102,0.4594727,0.3969727,0.3540039,0.2387695,0.3579102,0.4257813,0.4921875,0.5097656,0.5834961,0.7626953,0.9624023,1.101074,1.013672,0.9213867,0.746582,0.5864258,0.3354492,0.1660156,0.2680664
"FATHER1_ARZ",0.02783203,0.05566406,0.05273438,0.05810547,0.05273438,0.02490234,0.04394531,0.02441406,-0.04248047,0.07421875,0.387207,0.4794922,0.4443359,0.3212891,0.2700195,0.1142578,0.01171875,-0.04492188,-0.1313477,-0.2011719,-0.34375,-0.4169922,-0.4018555,-0.2421875,-0.1513672,-0.121582,-0.1987305,-0.2568359,-0.3310547,-0.5634766,-0.3256836,-0.2109375,-0.1367188,-0.1049805,-0.01269531,0.09814453,0.1411133,0.1181641,0.3256836,0.3134766,0.2905273,0.1381836,-0.1176758,-0.1425781,-0.112793
"FATHER1_EMG0L",-1,-10,-2,-7,-6,-1,-2,1,0,0,-1,-4,2,-2,-2,0,-2,-5,-1,1,0,2,-7,-2,-2,-2,1,-1,-4,-5,-6,-2,1,-1,-1,-1,-4,-1,0,6,-1,-2,-2,8,-2
"FATHER1_EMG1L",2,-5,-1,-4,-1,-2,0,-1,1,-2,0,-2,-1,-3,-3,-2,-1,-3,-2,0,0,2,-3,-1,-2,-1,0,0,-3,-2,-1,-2,1,0,0,0,-1,-2,-1,2,0,-1,0,3,-1
"FATHER1_EMG2L",2,-4,0,-2,0,-1,-1,-2,-1,-1,0,-2,1,-1,-1,-1,0,-4,-2,-1,-1,0,-2,-3,-2,0,-1,-1,-2,0,-1,-1,1,-1,0,-2,1,-2,-1,-1,1,-2,-1,-1,-2
"FATHER1_EMG3L",2,-2,1,-4,-1,0,0,-4,0,0,-2,0,1,-1,-1,-1,1,-3,-2,-1,-1,2,-2,-1,-1,-1,0,0,-2,1,-1,-2,-2,-1,-2,-2,0,-2,-1,0,0,-1,-2,0,-3
"FATHER1_EMG4L",8,5,1,-7,1,-3,-1,-3,0,1,-2,0,3,-4,-4,0,-1,0,-2,-2,-3,2,-2,0,-1,-4,1,3,-2,-2,-2,-1,-2,1,-3,-1,1,1,-2,1,-3,-1,0,-1,-1
"FATHER1_EMG5L",-4,21,11,-23,7,-1,10,0,2,7,-4,2,-7,-2,-2,-3,-12,0,-4,1,-6,4,1,10,5,-4,4,2,-2,2,-1,2,-4,-4,2,1,2,-3,1,2,-2,2,-3,2,-2
