dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"FIND1,ALX",-0.968262,-0.96875,-0.970703,-0.967773,-0.967285,-0.96582,-0.963867,-0.962402,-0.964844,-0.966309,-0.968262,-0.977051,-0.969727,-0.969727,-0.956055,-0.958984,-0.963379,-0.955566,-0.95459,-0.95459,-0.967773,-0.967773,-0.965332,-0.970703,-0.970703,-0.961914,-0.967773,-0.964356,-0.967773,-0.966797,-0.963867,-0.966309,-0.966309,-0.966309,-0.957031,-0.957519,-0.960938,-0.970215,-0.95459,-0.981934,-1.00732,-0.943848,-0.958008,-0.977539,-0.986816
"FIND1,ALY",0.219238,0.21875,0.230469,0.221191,0.231445,0.228027,0.230469,0.225586,0.230469,0.220703,0.213867,0.219238,0.22168,0.22168,0.233398,0.243164,0.245117,0.239746,0.237305,0.237305,0.223144,0.223144,0.223144,0.229492,0.229492,0.234863,0.230469,0.23291,0.241211,0.224609,0.238769,0.240234,0.240234,0.240234,0.236816,0.237793,0.234863,0.207031,0.214356,0.230469,0.216797,0.211426,0.222168,0.171875,0.212891
"FIND1,ALZ",0.174316,0.15918,0.160156,0.170898,0.166504,0.175293,0.166016,0.152344,0.176758,0.181152,0.186523,0.159668,0.141113,0.141113,0.154785,0.158691,0.176758,0.182129,0.178711,0.178711,0.168945,0.168945,0.174805,0.168457,0.168457,0.157227,0.158691,0.162109,0.161133,0.179199,0.167481,0.172852,0.172852,0.172852,0.158203,0.145996,0.157715,0.171875,0.203125,0.174805,0.138184,0.17041,0.188477,0.125488,0.0786133
"FIND1,ARX",0.918945,0.918945,0.918945,0.917481,0.924805,0.999023,1.0249,1.02393,0.770996,0.415527,0.305664,0.0849609,-0.0527344,-0.150879,-0.157715,-0.182129,-0.266602,-0.305176,-0.0151367,-0.398926,-0.24707,-0.0957031,-0.097168,-0.174805,-0.138184,-0.131836,-0.149414,-0.166016,-0.137695,0.214844,-0.240234,-0.00537109,0.0571289,0.155762,0.160156,0.303711,0.615723,0.583984,1.26074,1.24268,1.05469,0.978516,0.891602,0.944824,1.0083
"FIND1,ARY",0.318848,0.324219,0.306641,0.316895,0.313477,0.338379,0.517578,0.447266,0.769043,0.870117,0.838867,0.869629,0.842285,0.80957,0.853027,0.871094,0.90918,0.955078,0.657715,1.03564,1.104,0.998047,1.05371,1.03809,0.964356,0.942871,0.901367,1.12061,0.945312,0.739258,0.892578,1.13232,0.941406,0.786621,0.804688,0.649902,0.606445,0.804688,0.418457,0.330078,0.141602,0.285645,0.277832,0.175293,0.140137
"FIND1,ARZ",0.0483398,0.0629883,0.0649414,0.059082,0.0644531,0.0263672,0.0732422,0.241699,0.371582,0.367188,0.41748,0.332031,0.370117,0.228516,0.176269,0.193848,0.244629,0.189941,0.289551,0.171875,0.0654297,0.166016,0.207519,0.163086,0.216797,0.186523,0.221191,0.239258,0.217773,0.0996094,0.685547,0.326172,0.352051,0.350098,0.319824,0.282227,0.373535,0.294922,0.262695,-0.377441,-0.131348,0.111816,0.0703125,-0.0507812,-0.0854492
"FIND1,EMG0L",0,-2,-1,0,-1,-1,-1,-2,-2,-2,1,-1,-1,-2,1,-3,-3,0,1,-3,-2,-1,0,-2,0,0,0,0,-1,-1,-2,-1,0,-1,0,-2,0,0,-3,-3,-1,-2,-1,0,-1
"FIND1,EMG1L",0,0,0,-1,-3,0,0,-1,-1,-1,0,0,0,-1,1,-1,-2,0,-2,1,-1,-2,-2,0,-1,-2,-1,0,-1,-1,-2,0,-1,-2,-2,-3,-1,-1,-2,-2,-2,-1,-2,-2,-2
"FIND1,EMG2L",-2,-3,-1,-2,-2,-1,-1,-2,-1,0,-2,-2,0,0,-2,0,-3,-2,0,-4,-2,-2,-1,0,-3,-2,-1,-2,-2,-1,-2,0,-2,-1,0,-1,-1,1,-1,-3,-1,0,-1,0,-2
"FIND1,EMG3L",-1,-1,-2,-2,-2,-1,-1,-1,-1,-2,-1,0,-1,-1,-2,-1,0,1,0,0,-2,-2,1,-1,0,-2,-1,-2,0,-1,-2,-2,-1,-1,-1,-1,-1,1,-2,-2,0,-2,-2,0,0
