dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"DECIDE1_ALX",0.9321289,0.934082,0.9248047,0.9375,0.9335938,0.9355469,0.9399414,0.9375,0.9892578,1.420898,1.192383,0.6787109,0.1274414,0.05419922,-0.4355469,-0.4536133,-0.4858398,-0.7006836,-0.7871094,-0.7641602,-0.4707031,-0.4736328,-0.4482422,-0.3398438,-0.4145508,-0.300293,-0.4316406,-0.4316406,-0.1938477,0.05859375,0.2817383,1.105957,0.5908203,0.3652344,0.4863281,0.4882813,0.4111328,0.6303711,0.6958008,0.8852539,1.671387,0.5981445,0.9643555,1.040039,0.9379883
"DECIDE1_ALY",0.2358398,0.2441406,0.2485352,0.2480469,0.2387695,0.2416992,0.2382813,0.2402344,0.2724609,0.3623047,0.7680664,1.006836,0.8632813,0.7363281,0.637207,0.347168,0.2905273,0.3286133,0.34375,0.3369141,0.4228516,0.4536133,1.005859,1.53125,1.380371,1.09668,0.5014648,0.5014648,0.5029297,0.5966797,1.021973,1.144043,0.8359375,0.7280273,0.7207031,0.6811523,0.5566406,0.5830078,0.6040039,0.378418,0.453125,-0.008300781,0.2246094,0.175293,0.2216797
"DECIDE1_ALZ",-0.09960938,-0.09814453,-0.09912109,-0.09521484,-0.09521484,-0.09033203,-0.09716797,-0.09912109,-0.144043,-0.08886719,0.2412109,0.5297852,0.5375977,0.4804688,0.3413086,0.0546875,-0.02441406,-0.1083984,-0.1000977,-0.08056641,0.09814453,0.277832,0.734375,1.067871,0.8637695,0.703125,0.355957,0.355957,0.3125,0.4296875,0.5991211,0.8583984,0.5644531,0.394043,0.4619141,0.4536133,0.3466797,0.3173828,0.2612305,0.1586914,0.5786133,-0.7553711,-0.1708984,-0.0234375,-0.9145508
"DECIDE1_ARX",0.9394531,0.9370117,0.934082,0.9394531,0.9365234,0.9355469,0.934082,0.9375,0.9462891,0.9238281,0.9174805,0.9257813,0.9384766,0.9384766,0.9213867,0.9199219,0.9306641,0.9228516,0.9125977,0.9179688,0.9589844,0.9916992,1.143066,1.355957,0.7119141,0.175293,-0.1801758,-0.1933594,-0.1005859,0.5776367,1.032715,0.7001953,0.3374023,0.3398438,0.4946289,0.480957,0.4111328,0.449707,0.8666992,1.203613,1.184082,0.9887695,0.9492188,0.9189453,0.9428711
"DECIDE1_ARY",-0.3383789,-0.3364258,-0.347168,-0.3408203,-0.3374023,-0.3359375,-0.3320313,-0.3369141,-0.34375,-0.3452148,-0.3530273,-0.3505859,-0.3515625,-0.3383789,-0.3413086,-0.3457031,-0.3530273,-0.3774414,-0.3891602,-0.3833008,-0.3613281,-0.3994141,-0.590332,-1.025391,-1.515137,-0.5366211,-0.1289063,-0.1586914,-0.4458008,-0.9990234,-1.306641,-1.228516,-0.9125977,-0.7758789,-0.8212891,-0.7207031,-0.6640625,-0.621582,-0.5224609,-0.3227539,-0.2944336,-0.5927734,-0.3955078,-0.3623047,-0.2929688
"DECIDE1_ARZ",-0.04980469,-0.04833984,-0.04882813,-0.04980469,-0.05078125,-0.05029297,-0.05078125,-0.05126953,-0.05810547,-0.06445313,-0.06103516,-0.04833984,-0.05761719,-0.05810547,-0.06152344,-0.05859375,-0.06982422,-0.04443359,-0.0390625,-0.02832031,-0.06787109,-0.05273438,-0.08056641,0.2558594,0.4306641,0.2314453,0.02783203,-0.03173828,0.1523438,0.5917969,0.6000977,0.5419922,0.2983398,0.2919922,0.3222656,0.3188477,0.2319336,0.1274414,0.1425781,0.03466797,-0.1098633,-0.1879883,-0.08105469,0.03955078,-0.05908203
"DECIDE1_EMG0L",-1,-1,0,0,-1,-3,-3,-2,15,1,23,-15,-13,8,17,7,-3,-2,-4,16,-8,13,35,-35,30,-7,23,-14,-38,-14,15,3,1,-3,7,2,-3,-1,-3,4,-2,-1,-2,0,-2
"DECIDE1_EMG1L",-2,0,-1,1,1,1,-2,1,-4,0,-2,-12,-8,2,2,3,-2,6,-12,0,-8,-1,35,-14,27,-2,-13,-11,-9,-4,-3,3,-4,2,13,-2,-10,0,2,1,1,-3,-1,-1,-2
"DECIDE1_EMG2L",-1,-3,-1,0,-1,-1,-1,0,-9,15,14,-16,-2,1,4,1,-1,5,-4,-3,-4,-6,25,12,9,6,-8,-9,-1,-3,5,-1,0,4,5,-1,-2,-2,-1,-3,1,-3,-2,-1,-1
"DECIDE1_EMG3L",-1,1,2,-1,-1,0,-2,-2,-12,10,-7,-10,2,2,4,3,3,1,-1,-5,0,-1,7,0,3,-3,-5,-5,4,-2,5,0,-3,1,2,-2,-3,-2,0,-2,-4,1,-6,-1,0
