dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"GOOUT1_ALX",0.9428711,0.9511719,0.9316406,0.9355469,0.9296875,0.9174805,0.9248047,0.9287109,0.9238281,0.9072266,0.9072266,0.9550781,0.9316406,0.9306641,0.9189453,0.8925781,0.8925781,0.9033203,0.9140625,0.9243164,0.9106445,0.9003906,0.9174805,0.9145508,0.8999023,0.9306641,0.9287109,0.9091797,0.9238281,0.9287109,0.9262695,0.9233398,0.9296875,0.9516602,0.9169922,0.9008789,0.918457,0.9379883,0.8989258,0.9189453,0.9594727,0.9746094,0.9091797,0.902832,0.9179688
"GOOUT1_ALY",-0.3481445,-0.3374023,-0.3325195,-0.3393555,-0.3457031,-0.3603516,-0.3706055,-0.3735352,-0.3710938,-0.3808594,-0.3803711,-0.3999023,-0.3886719,-0.359375,-0.371582,-0.3823242,-0.4160156,-0.4213867,-0.4321289,-0.3945313,-0.4111328,-0.4160156,-0.4018555,-0.4165039,-0.4018555,-0.3959961,-0.3847656,-0.3818359,-0.3789063,-0.3691406,-0.3637695,-0.3710938,-0.3803711,-0.3901367,-0.3706055,-0.3515625,-0.3857422,-0.3686523,-0.3544922,-0.3349609,-0.3110352,-0.3183594,-0.3486328,-0.34375,-0.3452148
"GOOUT1_ALZ",-0.04443359,-0.05273438,-0.05712891,-0.05175781,-0.04101563,-0.03808594,-0.046875,-0.046875,-0.04443359,-0.04003906,-0.01367188,-0.02148438,-0.04882813,-0.06738281,-0.0625,-0.05566406,-0.05126953,-0.03857422,-0.02929688,-0.009277344,0.001464844,0.006835938,-0.02050781,-0.02197266,-0.02587891,-0.0390625,-0.03808594,-0.03076172,-0.04833984,-0.06152344,-0.05615234,-0.05712891,-0.05273438,-0.05224609,-0.06835938,-0.05957031,-0.04101563,-0.08251953,-0.07080078,-0.07470703,-0.1010742,-0.1269531,-0.1103516,-0.04443359,-0.04980469
"GOOUT1_ARX",0.9135742,0.9204102,0.9321289,0.9316406,0.9575195,0.9472656,0.9467773,0.9379883,0.96875,1.212402,1.047852,1.002441,0.8100586,0.09082031,-0.1958008,-0.2490234,-0.421875,-0.5429688,-0.7041016,-0.8994141,-0.8779297,-0.5327148,0.1240234,0.1738281,-0.2207031,-0.2021484,-0.09570313,-0.06835938,0.02978516,0.09082031,0.230957,0.3774414,0.7294922,1.090332,1.067871,1.206543,1.083984,0.9453125,1.001465,1.002441,0.9189453,0.9111328,0.9516602,0.9814453,0.9150391
"GOOUT1_ARY",0.265625,0.2866211,0.2553711,0.2631836,0.2753906,0.262207,0.2504883,0.2563477,0.2597656,0.4018555,0.5927734,1.022461,1.007324,0.7509766,0.6235352,0.5019531,0.3764648,0.421875,0.4526367,0.453125,0.4663086,0.3994141,0.4746094,0.6455078,0.5571289,0.5664063,0.5273438,0.4970703,0.4702148,0.4848633,0.5844727,0.6357422,0.737793,0.6943359,0.6269531,0.6030273,0.2749023,0.3168945,0.2158203,0.2573242,0.1733398,0.1220703,0.1772461,0.06933594,0.1552734
"GOOUT1_ARZ",-0.08935547,-0.07421875,-0.03564453,-0.03369141,-0.04882813,-0.03613281,-0.04394531,-0.05126953,-0.03955078,-0.04931641,0.2363281,0.6796875,0.690918,0.6601563,0.5727539,0.4716797,0.2504883,0.009765625,-0.1479492,-0.2675781,0.1230469,0.5991211,0.9204102,1.083008,0.9482422,0.9130859,0.7646484,0.7094727,0.5571289,0.4887695,0.5585938,0.3769531,0.3251953,0.190918,0.02734375,-0.04199219,-0.05761719,-0.009277344,0.04248047,-0.02929688,-0.1777344,-0.3242188,-0.262207,-0.1796875,-0.1870117
"GOOUT1_EMG0L",0,-1,-2,-1,0,-1,-1,-1,-1,0,-2,0,-1,-2,0,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-2,-1,-2,-1,-2,-1,-1,-1,1,0,0,-1,-2,-1,-1,0,-1,-1,-1
"GOOUT1_EMG1L",0,-1,-2,-1,-2,-4,-1,-2,-1,0,0,-1,-1,-1,-1,-1,-1,1,-2,-2,-2,-1,-1,-1,-1,-1,-2,-1,-1,-3,0,-1,-2,-1,-1,-1,0,-2,-1,0,-2,-1,-1,0,-1
"GOOUT1_EMG2L",0,-1,-1,-1,-2,0,-2,-1,-1,-2,-2,0,-2,-3,-2,-2,-1,-2,-1,-1,-2,-3,-1,-1,-2,-1,-1,-2,-2,-1,-1,0,0,-1,-2,-2,-2,-1,-1,-2,-2,0,-1,-1,-2
"GOOUT1_EMG3L",0,-1,0,-1,-1,-1,-3,-1,1,-1,-1,-1,-1,-3,-2,0,0,-1,0,-3,-2,-1,-2,-2,-1,0,-2,-1,0,-1,-1,-2,-2,-1,0,-1,-1,-3,0,-1,-1,-2,-2,0,-2
"GOOUT1_EMG4L",-2,-2,0,-3,-3,0,-2,-1,-2,-3,-1,-2,0,-2,-1,-3,-1,0,-2,-2,-2,-1,-1,-2,-2,-1,0,0,-3,0,-1,-1,-4,0,0,-1,-1,-1,-2,-2,1,-2,0,-2,0
"GOOUT1_EMG5L",0,0,0,-1,0,-2,-2,-1,0,-1,-2,-1,-2,-2,-1,-1,2,0,-1,-1,0,0,0,-2,-1,-3,-2,-1,0,0,-1,-1,-1,-1,-2,0,-2,-2,0,0,-2,-2,0,-1,1
