dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
AND1_ALX,-0.410156,-0.662598,0.150879,-0.648926,0.393555,-0.559082,0.0439453,-0.615723,0.393555,-0.758301,-0.146973,-0.160645,-0.0361328,-0.0126953,0.176758,0.373535,0.564453,1.02344,1.09277,1.23877,1.11279,1.10644,1.02783,1.02783,0.925781,0.890625,0.896973,0.899414,0.899414,0.944336,0.920898,0.916992,0.910156,0.904785,0.904785,0.906738,0.912109,0.918945,0.919922,0.903809,0.916016,0.905762,0.913574,0.906738,0.914063
AND1_ALY,0.851074,0.71875,0.940918,0.881348,0.957031,0.628418,0.753906,0.519531,0.82959,0.539063,0.608887,0.65918,0.594238,0.545898,0.520508,0.650391,0.813965,0.955566,0.930664,0.760254,0.650879,0.591797,0.512207,0.512207,0.489746,0.526856,0.45752,0.410156,0.410156,0.425781,0.39502,0.393555,0.379883,0.368652,0.368652,0.377441,0.38623,0.370117,0.381836,0.387695,0.380859,0.400391,0.391602,0.39502,0.401367
AND1_ALZ,0.456543,0.643066,0.586914,-0.0537109,0.716797,0.65918,0.8125,0.390137,0.848144,-0.323242,0.457031,0.428223,0.458984,0.395996,0.365723,0.421387,0.322754,0.160645,0.137207,0.0517578,-0.0205078,-0.0327148,-0.0336914,-0.0336914,-0.0327148,-0.0356445,-0.0214844,-0.059082,-0.059082,-0.0722656,-0.0712891,-0.0571289,-0.0517578,-0.0458984,-0.0458984,-0.0449219,-0.0390625,-0.0410156,-0.0415039,-0.0366211,-0.0419922,-0.0327148,-0.0288086,-0.0410156,-0.0322266
AND1_ARX,0.931152,0.927246,0.924316,0.918945,0.919434,0.917969,0.919922,0.928223,0.925781,0.916504,0.910156,0.914551,0.922363,0.912109,0.900391,0.912109,0.930664,0.963379,0.95459,0.945313,0.917969,0.893555,0.886719,0.886719,0.907715,0.920898,0.924316,0.928223,0.928223,0.924316,0.925781,0.924316,0.930664,0.925781,0.925781,0.933594,0.930176,0.929688,0.925781,0.925293,0.924805,0.924805,0.927734,0.930176,0.922363
AND1_ARY,-0.311523,-0.299316,-0.311035,-0.305664,-0.303223,-0.300781,-0.300293,-0.297363,-0.29834,-0.30127,-0.301758,-0.3125,-0.307129,-0.309082,-0.311035,-0.310547,-0.320313,-0.328613,-0.316895,-0.331055,-0.325684,-0.314453,-0.305176,-0.305176,-0.305664,-0.297363,-0.290039,-0.287598,-0.287598,-0.314941,-0.308594,-0.306152,-0.308105,-0.304688,-0.304688,-0.304199,-0.300293,-0.287598,-0.288574,-0.283203,-0.289063,-0.285645,-0.284668,-0.288574,-0.297363
AND1_ARZ,0.17334,0.166992,0.168945,0.157227,0.164063,0.167969,0.171387,0.163574,0.166016,0.177734,0.182129,0.186523,0.190918,0.18457,0.186523,0.208984,0.217285,0.197754,0.179199,0.167969,0.175293,0.170898,0.176758,0.176758,0.188965,0.176758,0.171875,0.182129,0.182129,0.195313,0.186035,0.178711,0.172852,0.180664,0.180664,0.175781,0.164063,0.168945,0.167969,0.166016,0.175781,0.175293,0.163086,0.172363,0.17041
AND1_EMG0L,12,-71,-30,-5,10,-17,-40,10,5,0,1,2,11,5,-32,-5,7,17,2,-15,-6,-22,-5,-5,-9,7,-18,4,4,4,-2,-8,4,-19,-19,-2,-7,14,4,6,-6,10,5,3,9
AND1_EMG1L,-1,1,-43,-38,33,15,6,-4,1,-1,0,-3,0,-1,-4,-9,-5,3,-4,-4,1,-4,-3,-3,-5,-8,-7,0,0,-2,-2,4,1,-9,-9,4,2,3,-4,3,-1,4,-2,-2,0
AND1_EMG2L,-16,0,-23,-20,13,-7,-10,3,-2,-3,-1,-4,-2,-3,3,-5,-3,-1,0,-1,1,-1,-1,-1,-3,-4,-3,-1,-1,-2,-1,1,-1,-2,-2,3,0,-2,-1,-1,0,0,-2,-2,-1
AND1_EMG3L,-3,-4,-17,-3,-1,-6,2,-4,4,-4,2,-6,0,-2,0,-4,-1,-1,0,-1,-1,-1,-2,-2,-2,-1,0,-1,-1,-1,-2,2,-1,-1,-1,-1,-1,0,0,-1,0,0,-2,-3,1
AND1_EMG4L,-4,-5,-30,-21,-15,5,1,-8,0,-6,2,-9,0,-2,0,-2,-8,3,-4,-2,-5,-1,2,2,-2,1,0,0,0,-5,-2,4,-5,-1,-1,-1,1,-7,0,2,-1,1,-1,-3,2
AND1_EMG5L,0,-9,-8,-11,3,-7,68,-19,-9,1,-2,-3,-3,-1,-1,-2,-1,-2,-2,-2,-1,-3,1,1,0,-2,-1,-1,-1,1,-1,-2,-2,0,0,0,0,-3,-3,0,0,-1,1,-1,0
AND1_EMG6L,4,-13,3,-13,1,-10,-26,11,12,-2,2,0,1,0,-1,-1,0,-2,-4,0,3,-2,0,0,-1,-2,1,-2,-2,-2,-1,-4,0,-2,-2,-5,0,-2,-1,0,0,-3,-1,-2,0
