dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"GO OUT1,ALX",-0.251465,-0.250488,-0.264648,-0.244141,-0.275879,-0.271973,-0.274414,-0.286621,-0.29248,-0.257324,-0.28418,-0.260742,-0.273438,-0.26416,-0.26416,-0.260254,-0.275879,-0.21582,-0.229004,-0.215332,-0.242188,-0.235352,-0.168457,-0.200684,-0.111328,-0.227051,-0.210938,-0.152344,-0.305176,-0.308594,-0.274902,-0.154297,-0.236816,-0.0351563,-0.0908203,0.264648,0.0170898,0.45459,0.467773,0.679199,0.823731,0.725586,0.718262,0.768555,0.975098
"GO OUT1,ALY",0.529785,0.516602,0.516602,0.527832,0.508789,0.520019,0.510742,0.510254,0.520996,0.540527,0.533203,0.538574,0.529785,0.536621,0.536621,0.569824,0.564941,0.565918,0.544434,0.557129,0.544922,0.578613,0.563965,0.574219,0.565918,0.541992,0.668457,0.603516,0.735352,0.687012,0.916992,0.828125,0.939453,0.856934,1.00879,0.961426,0.968262,0.902344,0.86084,0.782227,0.741699,0.631348,0.668945,0.693848,0.558594
"GO OUT1,ALZ",0.889648,0.841309,0.828613,0.813965,0.799316,0.799316,0.797852,0.818359,0.829102,0.825684,0.845215,0.82666,0.808106,0.793457,0.793457,0.757324,0.776856,0.748047,0.712891,0.710449,0.695801,0.712402,0.649414,0.667481,0.613769,0.632813,0.615723,0.592285,0.632324,0.550781,0.645019,0.571777,0.583984,0.617188,0.458984,0.542969,0.429688,0.526856,0.416016,0.38916,0.330566,0.293457,0.224609,0.165039,0.100586
"GO OUT1,ARX",0.887207,0.884766,0.911133,0.919434,0.915039,0.912109,0.905273,0.910644,0.917481,0.916504,0.912598,0.913086,0.915039,0.913086,0.916016,0.917969,0.916504,0.910644,0.912109,0.910156,0.919922,0.911621,0.919922,0.908203,0.916016,0.916016,0.911133,0.912109,0.904785,0.933106,0.913086,0.929199,0.910644,0.933106,0.912109,0.929199,0.918945,0.927734,0.919922,0.929688,0.935547,0.913574,0.908691,0.911133,0.934082
"GO OUT1,ARY",-0.342285,-0.349609,-0.36084,-0.356934,-0.354492,-0.370605,-0.360352,-0.347656,-0.327637,-0.334961,-0.331543,-0.328125,-0.339355,-0.335938,-0.339355,-0.344727,-0.351074,-0.337402,-0.338379,-0.335938,-0.335449,-0.338379,-0.336914,-0.348633,-0.335938,-0.348633,-0.334473,-0.338867,-0.337891,-0.32959,-0.33252,-0.324219,-0.339355,-0.321777,-0.325684,-0.314941,-0.328613,-0.311523,-0.313477,-0.313965,-0.299805,-0.290039,-0.293945,-0.290039,-0.284668
"GO OUT1,ARZ",0.17334,0.157227,0.166504,0.152832,0.164551,0.170898,0.169922,0.164063,0.167969,0.164551,0.162109,0.159668,0.159668,0.156738,0.15918,0.165527,0.157715,0.157227,0.17041,0.158203,0.163574,0.154297,0.166504,0.162598,0.161621,0.168457,0.160156,0.15625,0.150391,0.165527,0.144531,0.166504,0.146973,0.177734,0.134766,0.171875,0.139648,0.146484,0.14209,0.138184,0.134277,0.135742,0.141113,0.141602,0.137207
"GO OUT1,EMG0L",-5,-6,12,-2,-8,8,-14,-4,-7,7,-6,2,-20,3,6,10,-6,12,-12,-28,1,4,-2,-3,-4,0,-1,-1,-1,-3,-1,-3,2,-1,-2,-1,1,-8,10,-28,24,4,-6,5,-1
"GO OUT1,EMG1L",-2,-38,14,18,13,9,-49,-17,-26,10,15,-30,-29,43,1,47,-9,-21,-7,-1,12,-9,0,-4,-3,3,5,0,0,-1,-8,2,-1,0,-10,0,1,2,-6,-3,12,3,-3,-2,-8
"GO OUT1,EMG2L",-3,-28,16,12,1,10,-34,-8,-18,2,9,-15,-13,36,-9,52,-11,-12,-8,4,8,-5,-2,-6,-5,-1,-2,4,1,0,-8,-4,0,-1,-5,1,-4,-3,1,-2,5,-1,1,0,-2
"GO OUT1,EMG3L",3,-14,-8,4,-3,30,-14,-18,32,-8,30,11,-9,-4,-8,13,5,13,-28,9,-1,-8,9,-6,-1,-6,0,3,2,0,-3,-2,1,-1,-3,-2,2,-7,3,-6,0,-1,2,-3,-1
"GO OUT1,EMG4L",-22,1,-16,19,-25,16,12,-11,24,-4,61,24,-21,-36,14,9,3,9,-7,-1,-2,-5,10,0,-3,-2,0,0,-1,-1,-3,-1,-1,-1,0,-3,-2,-3,3,0,-3,-1,-1,-2,-1
"GO OUT1,EMG5L",0,-2,-2,10,-6,6,-9,4,-2,-9,13,7,-7,-9,-5,-3,-2,-1,40,8,-1,4,1,2,-1,0,-1,0,-1,-2,0,1,-1,0,0,-2,0,-2,1,-2,-1,-1,-2,0,-1
"GO OUT1,EMG6L",5,11,-2,-2,5,0,-7,12,-2,-9,10,-6,-8,0,1,-7,-3,1,-17,-1,0,-2,-1,5,-1,-3,-3,-1,0,-2,-1,0,-1,-2,1,-2,1,-3,0,-2,0,-1,-1,0,-1
"GO OUT1,EMG7L",7,5,1,3,-3,11,-22,-6,-2,-4,8,1,-13,1,-3,5,-1,9,-4,-9,1,2,3,5,-13,0,0,-4,-1,-3,-1,0,1,0,-2,-2,0,-2,2,-5,3,-1,-3,-1,0
"GO OUT1,EMG0R",-1,-2,-1,-3,1,0,-1,-2,-1,0,-1,-1,0,-1,1,0,-2,0,-1,1,0,-1,0,-2,-1,1,-1,-2,0,-1,-1,0,0,-3,-1,0,0,0,-1,-2,0,0,1,-2,0
"GO OUT1,EMG1R",-1,-3,-3,-2,-1,1,-2,0,-1,-1,-3,-1,1,-1,0,-1,0,-2,-1,-1,1,-2,-1,-2,-3,-1,0,0,-3,-1,-2,-2,-3,1,-1,-2,0,0,0,-1,1,-1,-1,-2,0
"GO OUT1,EMG2R",1,-3,-1,0,0,-2,0,-1,-2,0,-1,0,-1,-2,-1,-1,1,-2,-1,0,-1,-1,-1,-1,-2,-1,-1,-1,-1,0,0,-1,-1,-2,-1,-1,-1,-1,-2,0,-1,-1,-2,-1,1
