dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"HEARING1,ALX",-0.430176,-0.431152,-0.396484,-0.426758,-0.422852,-0.459473,-0.442871,-0.459473,-0.459473,-0.48291,-0.476074,-0.466797,-0.43457,-0.431641,-0.424316,-0.418457,-0.435547,-0.436523,-0.426758,-0.442871,-0.449707,-0.437988,-0.445801,-0.435547,-0.424805,-0.388184,-0.401367,-0.362793,-0.393066,-0.395508,-0.38623,-0.392578,-0.39209,-0.388672,-0.411133,-0.389648,-0.394043,-0.399902,-0.413574,-0.405762,-0.418457,-0.398926,-0.398926,-0.397461,-0.399902
"HEARING1,ALY",0.753906,0.837402,0.966797,0.972168,1.01025,0.970215,0.926269,0.863281,0.863281,0.794922,0.777832,0.778809,0.820801,0.80957,0.899414,0.912109,0.960449,0.980957,0.960449,0.911133,0.861328,0.821777,0.788574,0.800781,0.820313,0.856445,0.886719,0.979981,0.950195,1.01807,1.01611,0.935059,0.921875,0.888672,0.828125,0.85791,0.857422,0.916504,0.931152,0.946777,0.926269,0.919922,0.919922,0.918945,0.874023
"HEARING1,ALZ",-0.15332,-0.143066,-0.113281,-0.0673828,-0.11377,-0.184082,-0.187012,-0.247559,-0.247559,-0.253418,-0.246094,-0.20752,-0.138672,-0.102539,-0.103516,-0.0786133,-0.134277,-0.159668,-0.180176,-0.233887,-0.244141,-0.248047,-0.221191,-0.172852,-0.139648,-0.0976563,-0.0771484,-0.0551758,-0.106445,-0.134766,-0.159668,-0.210938,-0.198242,-0.187988,-0.217285,-0.13916,-0.121094,-0.103516,-0.104492,-0.09375,-0.151856,-0.141113,-0.141113,-0.142578,-0.134277
"HEARING1,ARX",0.912109,0.912598,0.910644,0.905273,0.908691,0.917481,0.919922,0.922363,0.922363,0.922363,0.908691,0.916016,0.916992,0.917481,0.918945,0.912598,0.915039,0.915039,0.914551,0.919434,0.922363,0.919434,0.916992,0.911133,0.911621,0.914063,0.916504,0.919434,0.919434,0.919922,0.911133,0.913574,0.918945,0.921875,0.916992,0.909668,0.915039,0.913086,0.919434,0.914063,0.913574,0.913086,0.913086,0.917969,0.917969
"HEARING1,ARY",-0.258301,-0.262695,-0.262695,-0.256836,-0.270996,-0.271973,-0.266602,-0.270996,-0.270996,-0.270996,-0.270996,-0.269531,-0.269043,-0.262207,-0.256348,-0.26416,-0.26709,-0.272461,-0.270508,-0.272949,-0.26416,-0.271973,-0.26123,-0.27002,-0.263672,-0.26416,-0.27002,-0.269531,-0.268555,-0.273926,-0.274414,-0.274902,-0.266113,-0.269531,-0.270508,-0.262207,-0.271484,-0.270996,-0.268066,-0.272949,-0.28125,-0.278809,-0.278809,-0.280762,-0.279297
"HEARING1,ARZ",0.273438,0.276855,0.27002,0.282227,0.283691,0.271973,0.279785,0.28125,0.28125,0.28125,0.277344,0.277832,0.277344,0.278809,0.274414,0.266113,0.270508,0.270508,0.27002,0.266602,0.271973,0.26709,0.272461,0.268066,0.265137,0.263184,0.263184,0.265625,0.266602,0.261719,0.272461,0.28125,0.27002,0.272461,0.271973,0.260742,0.275391,0.254395,0.26709,0.266113,0.266602,0.269531,0.269531,0.27832,0.271973
"HEARING1,EMG0L",-3,2,0,0,-5,2,2,5,5,-3,3,0,-4,-8,0,0,-2,-7,1,2,-1,-4,0,-11,6,-1,2,4,-2,-1,-1,1,0,-3,-3,0,-1,3,-2,0,5,-4,-4,1,0
"HEARING1,EMG1L",0,0,-5,6,-7,9,-4,3,3,-3,0,-6,-1,-8,1,-1,-11,-4,8,1,10,-8,-1,-2,5,20,-3,11,-4,-15,-1,9,-4,2,1,-4,3,-2,-4,-2,7,-5,-5,-7,-1
"HEARING1,EMG2L",0,0,-2,0,-4,7,1,3,3,0,-1,-7,0,-5,3,0,-9,-2,7,-3,2,-4,-2,-3,4,2,-2,0,-2,-8,-2,0,-3,0,-1,-5,4,-2,-6,-1,0,-5,-5,-1,0
"HEARING1,EMG3L",-3,2,6,2,-3,16,0,1,1,-4,-9,-1,0,-1,-4,0,-9,-1,3,1,-1,-2,-2,-4,-4,-2,13,-4,-8,-4,-3,-3,-3,-3,-4,-6,3,-3,-3,-10,1,1,1,-3,-1
"HEARING1,EMG4L",-5,3,1,-1,-2,4,-1,4,4,-4,-3,1,-5,-1,-1,-3,-6,-2,0,0,0,0,-1,-3,-3,-2,0,-4,-6,-1,-3,-2,1,-2,-3,-1,-24,5,1,-4,2,-1,-1,-2,-1
"HEARING1,EMG5L",-8,1,1,-1,-2,2,-3,3,3,-3,-1,0,0,-3,-2,-1,-1,-2,3,1,-2,-1,-2,-4,-2,0,4,-1,-3,2,-5,0,1,-3,-2,-4,1,1,0,-2,-1,-2,-2,-1,-1
"HEARING1,EMG6L",-9,2,5,1,-2,1,0,-1,-1,-1,0,0,-2,-5,-8,-2,-2,-4,-1,5,-2,3,2,-8,1,0,2,-2,0,3,-8,-1,2,-2,-3,-7,1,1,1,0,3,-3,-3,-2,0
"HEARING1,EMG7L",-5,2,3,-2,-2,1,6,-1,-1,-1,-1,4,-3,-12,4,3,-4,-10,10,6,-5,3,-2,-12,0,5,4,1,-3,2,-9,0,3,-4,-10,-5,1,4,0,2,6,-3,-3,-2,-1
"HEARING1,EMG0R",-1,3,0,-3,-1,-1,2,1,1,0,-1,1,-4,-2,-4,0,-3,-1,1,-4,-3,1,0,0,-3,-3,-1,0,-1,-1,-1,-2,0,2,1,-1,0,-1,-1,1,-1,-2,-2,-3,-2
"HEARING1,EMG1R",-2,0,0,0,0,-1,1,-2,-2,-2,-3,0,-3,-1,-1,1,-1,-1,0,-1,-2,0,0,0,-2,-2,-1,-2,-3,-1,0,-3,0,-1,0,-1,1,-3,-1,1,0,0,0,-1,-2
"HEARING1,EMG2R",-1,-1,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-3,-2,0,-1,-1,1,-4,-2,-1,0,0,-1,-1,-2,0,-2,-1,-2,-1,-2,0,-1,-1,-1,-1,0,-1,0,-2,-2,-2,0
"HEARING1,EMG3R",-3,1,2,1,0,1,0,1,1,3,-2,-1,-1,-2,-4,2,-1,0,0,-2,-2,4,-5,-1,-3,-2,-2,1,-3,-2,-1,-3,0,1,2,2,2,-3,1,0,0,-2,-2,-2,-1
"HEARING1,EMG4R",0,-1,2,-2,1,-1,-1,0,0,-3,1,-2,-1,0,-3,2,-2,0,-1,0,-2,1,0,0,-6,-1,-2,2,-2,-2,-2,-1,0,-1,0,0,0,0,-1,0,-1,-2,-2,-1,-2
"HEARING1,EMG5R",2,-3,2,-1,1,0,-2,-1,-1,-2,1,0,-2,2,-8,3,0,0,-4,2,-1,2,0,2,-4,1,-4,3,-1,-1,-5,1,-2,0,-2,-2,-2,3,-1,1,1,-2,-2,0,-2
"HEARING1,EMG6R",-2,-1,6,-13,-1,8,12,-5,-5,5,16,6,-5,-2,-12,11,-5,6,-4,4,3,10,-3,-3,-21,2,-13,10,-9,-1,-9,-9,-5,-5,8,-7,-11,5,5,18,-6,-3,-3,18,8
"HEARING1,EMG7R",-3,3,7,-8,0,-2,11,2,2,0,-1,4,-3,0,-4,6,1,1,1,7,-6,4,2,0,-10,-5,-3,5,-1,-3,-4,-4,-2,7,-2,-1,1,0,6,3,-1,-1,-1,0,0
"HEARING1,GLX",6.75,11.75,-13.3125,-1.25,-6.25,-5.1875,-0.875,0.25,0.25,4.5,2.8125,12.125,-7.25,-2.6875,-3,-8.5625,-12.5,0.1875,1.875,5.75,4.875,7.6875,8.25,3.3125,-1.625,-6.1875,-1.8125,-11.5,-12.9375,2.25,-4.875,7.125,0.4375,-0.3125,5.5,-1.1875,-4,-3.4375,-4.6875,-1.4375,-2.8125,6.125,6.125,-2.75,3.6875
"HEARING1,GLY",6.75,11.75,-13.3125,-1.25,-6.25,-5.1875,-0.875,0.25,0.25,4.5,2.8125,12.125,-7.25,-2.6875,-3,-8.5625,-12.5,0.1875,1.875,5.75,4.875,7.6875,8.25,3.3125,-1.625,-6.1875,-1.8125,-11.5,-12.9375,2.25,-4.875,7.125,0.4375,-0.3125,5.5,-1.1875,-4,-3.4375,-4.6875,-1.4375,-2.8125,6.125,6.125,-2.75,3.6875
"HEARING1,GLZ",6.75,11.75,-13.3125,-1.25,-6.25,-5.1875,-0.875,0.25,0.25,4.5,2.8125,12.125,-7.25,-2.6875,-3,-8.5625,-12.5,0.1875,1.875,5.75,4.875,7.6875,8.25,3.3125,-1.625,-6.1875,-1.8125,-11.5,-12.9375,2.25,-4.875,7.125,0.4375,-0.3125,5.5,-1.1875,-4,-3.4375,-4.6875,-1.4375,-2.8125,6.125,6.125,-2.75,3.6875
"HEARING1,GRX",-2.5625,-0.9375,0.3125,-2.4375,-2,0.8125,-0.6875,-2.0625,-2.0625,-2.0625,1.1875,1.3125,1.25,1.625,1.5625,1.9375,-0.125,-0.5625,-3.25,-0.4375,-1.75,0.9375,-0.6875,0.75,0.8125,1.4375,0.75,0.625,-0.6875,0.3125,-2.5,-0.4375,-0.125,-0.9375,1.75,0.8125,1.9375,1.125,0.4375,-1.5625,-0.9375,-2.3125,-2.3125,-1.5,0.8125
"HEARING1,GRY",-2.5625,-0.9375,0.3125,-2.4375,-2,0.8125,-0.6875,-2.0625,-2.0625,-2.0625,1.1875,1.3125,1.25,1.625,1.5625,1.9375,-0.125,-0.5625,-3.25,-0.4375,-1.75,0.9375,-0.6875,0.75,0.8125,1.4375,0.75,0.625,-0.6875,0.3125,-2.5,-0.4375,-0.125,-0.9375,1.75,0.8125,1.9375,1.125,0.4375,-1.5625,-0.9375,-2.3125,-2.3125,-1.5,0.8125
"HEARING1,GRZ",-2.5625,-0.9375,0.3125,-2.4375,-2,0.8125,-0.6875,-2.0625,-2.0625,-2.0625,1.1875,1.3125,1.25,1.625,1.5625,1.9375,-0.125,-0.5625,-3.25,-0.4375,-1.75,0.9375,-0.6875,0.75,0.8125,1.4375,0.75,0.625,-0.6875,0.3125,-2.5,-0.4375,-0.125,-0.9375,1.75,0.8125,1.9375,1.125,0.4375,-1.5625,-0.9375,-2.3125,-2.3125,-1.5,0.8125
"HEARING1,ORL",7.76789,7.76891,7.75077,7.74099,7.73971,7.7473,7.76282,7.78213,7.78213,7.79582,7.79891,7.80394,7.78561,7.76557,7.75266,7.74548,7.73251,7.74437,7.7619,7.78194,7.80039,7.81,7.81186,7.79765,7.77462,7.74923,7.73337,7.71748,7.704,7.71408,7.71763,7.7365,7.75037,7.75187,7.75849,7.75241,7.7438,7.72154,7.70953,7.70656,7.70363,7.70966,7.70966,7.71024,7.71156
"HEARING1,OPL",5.76051,5.72499,5.6721,5.64669,5.64343,5.6597,5.6943,5.7368,5.7368,5.77285,5.78568,5.79872,5.78427,5.75746,5.72371,5.70536,5.66051,5.6532,5.66357,5.68889,5.72139,5.75105,5.77014,5.76908,5.74783,5.70767,5.66343,5.61479,5.58195,5.57212,5.57338,5.60682,5.6391,5.65409,5.68043,5.68602,5.67913,5.65107,5.6372,5.63396,5.63602,5.64366,5.64366,5.64668,5.64934
"HEARING1,OYL",2.32966,2.30222,2.28135,2.28525,2.29496,2.3246,2.35915,2.38612,2.38612,2.39664,2.39271,2.37198,2.33914,2.31071,2.29534,2.29488,2.32257,2.35539,2.39154,2.42269,2.43981,2.43306,2.4059,2.362,2.3139,2.27239,2.249,2.2461,2.26133,2.28858,2.30361,2.34344,2.35717,2.35746,2.34844,2.30794,2.293,2.25692,2.24397,2.24129,2.23945,2.2382,2.2382,2.2373,2.23566
"HEARING1,ORR",3.71176,3.70881,3.70845,3.70683,3.70482,3.69697,3.68997,3.68704,3.68704,3.68704,3.68027,3.68114,3.68257,3.68649,3.69064,3.69128,3.69224,3.6912,3.68487,3.67759,3.67277,3.67121,3.67224,3.67365,3.67364,3.67699,3.67695,3.67657,3.67324,3.66717,3.66141,3.65736,3.65443,3.65369,3.65791,3.66214,3.66642,3.66813,3.66896,3.6669,3.66177,3.65704,3.65704,3.65276,3.65078
"HEARING1,OPR",3.12647,3.12465,3.1235,3.12006,3.11836,3.10968,3.10287,3.10069,3.10069,3.10069,3.09716,3.09741,3.09914,3.10113,3.10249,3.10275,3.10242,3.10146,3.09925,3.09697,3.09576,3.09598,3.0963,3.09688,3.09655,3.09854,3.09889,3.0987,3.09717,3.0958,3.09377,3.0937,3.09325,3.09399,3.09848,3.10138,3.10483,3.1059,3.10594,3.10486,3.10326,3.10163,3.10163,3.101,3.10185
"HEARING1,OYR",6.66367,6.66518,6.66606,6.66663,6.66791,6.67779,6.68595,6.68822,6.68822,6.68822,6.69799,6.69828,6.69872,6.69707,6.69534,6.69601,6.69674,6.69803,6.7019,6.70829,6.71236,6.71492,6.71462,6.71335,6.71339,6.71202,6.71277,6.71472,6.718,6.72472,6.72963,6.73352,6.7376,6.73821,6.73575,6.73316,6.73075,6.73106,6.73137,6.73299,6.73724,6.74077,6.74077,6.74407,6.74707
"HEARING2,ALX",-0.549316,-0.611816,-0.60791,-0.630859,-0.626465,-0.600098,-0.581543,-0.581543,-0.569336,-0.542481,-0.546875,-0.535156,-0.567871,-0.579102,-0.597656,-0.600586,-0.600586,-0.585449,-0.57666,-0.577637,-0.545898,-0.546875,-0.551269,-0.54834,-0.550293,-0.571777,-0.588867,-0.585938,-0.578125,-0.572266,-0.562988,-0.544434,-0.532715,-0.546387,-0.564941,-0.583008,-0.579102,-0.557129,-0.530762,-0.524414,-0.526367,-0.52832,-0.531738,-0.542969,-0.549316
"HEARING2,ALY",0.713867,0.859863,0.981934,1.00391,0.940918,0.895996,0.758301,0.758301,0.678711,0.664551,0.669922,0.766113,0.811523,0.904785,0.963867,0.943359,0.943359,0.896484,0.836426,0.752441,0.697754,0.730469,0.73291,0.78418,0.87207,0.92041,0.92334,0.937012,0.861328,0.836426,0.748047,0.744141,0.779785,0.81543,0.859375,0.889648,0.875,0.859375,0.828125,0.827148,0.813965,0.834473,0.845215,0.82959,0.834473
"HEARING2,ALZ",0.0703125,0.0849609,0.0922852,0.0463867,-0.0405273,-0.100586,-0.137695,-0.137695,-0.108398,-0.0229492,0.0239258,0.123047,0.15918,0.115723,0.0922852,0.0234375,0.0234375,-0.0273438,-0.0644531,-0.0913086,-0.0112305,0.0546875,0.102539,0.160156,0.149902,0.167969,0.119141,0.0625,-0.000488281,-0.0102539,-0.0136719,0.050293,0.118164,0.157715,0.164551,0.155273,0.101563,0.0913086,0.0976563,0.0981445,0.115723,0.125488,0.127441,0.109863,0.109375
