dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"ABOUT1,ALX",0.9277344,0.9047852,0.9536133,0.9223633,0.8681641,0.9140625,0.902832,0.9287109,0.9204102,0.8496094,0.8466797,1.004883,0.9267578,0.3564453,0.03662109,0.07128906,-0.3959961,-0.2314453,-0.1713867,-0.171875,-0.2514648,-0.1577148,-0.3295898,-0.2836914,-0.2045898,0.06933594,0.2954102,0.6538086,0.8505859,0.9785156,0.8813477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABOUT1,ALY",-0.3842773,-0.4414063,-0.3276367,-0.3457031,-0.3505859,-0.6298828,-0.5234375,-0.5297852,-0.3886719,-0.4936523,-0.9418945,-1.252441,-1.299316,-0.4741211,-0.2880859,-0.5444336,-1.09082,-0.7885742,-1.041016,-0.9814453,-0.8657227,-1.094727,-1.023926,-1.021484,-0.8266602,-0.5927734,-0.6518555,-0.7387695,-0.9477539,-0.6396484,-0.6557617,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABOUT1,ALZ",0.03564453,0.05322266,0.02392578,0.01806641,0.06494141,0.006835938,-0.0390625,0.01513672,0.04931641,0.01953125,0.05224609,0.1318359,0.425293,0.2236328,-0.04296875,0.1621094,0.15625,0.09082031,0.2558594,0.2666016,0.2475586,0.3354492,0.2827148,0.2670898,0.05273438,0.05419922,0.1240234,0.4326172,0.2539063,0.1010742,-0.01025391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABOUT1,ARX",0.9052734,0.9233398,0.8896484,0.8759766,0.8720703,0.9023438,0.9306641,0.9428711,0.8686523,0.8383789,0.8955078,0.8168945,0.7880859,0.1791992,-0.1420898,-0.6079102,-0.07275391,0.7304688,-0.2563477,-0.006347656,-0.07324219,-0.1088867,-0.1088867,-0.1918945,-0.1777344,0.1230469,0.7314453,0.8935547,0.9506836,0.934082,0.9106445,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABOUT1,ARY",0.3623047,0.3417969,0.3383789,0.3574219,0.3950195,0.4750977,0.5375977,0.3339844,0.3457031,0.9560547,1.229004,1.273438,0.7397461,0.4335938,0.4311523,0.9482422,0.5244141,0.8779297,0.5371094,1.029297,1.298828,1.070801,1.070801,0.9936523,0.7631836,0.5322266,0.4760742,1.008789,0.8291016,0.5385742,0.4599609,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABOUT1,ARZ",0.09619141,0.1186523,0.09814453,0.1269531,0.121582,0.1337891,0.06542969,0.01220703,0.1030273,0.09326172,0.234375,0.4780273,0.4677734,0.2929688,0.1147461,0.4033203,0.1708984,0.2451172,0.1923828,0.3334961,0.4384766,0.2163086,0.2163086,0.3574219,0.09228516,0.15625,0.2563477,0.2397461,0.1469727,0.0703125,-0.08789063,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABOUT1,EMG0L",0,-1,-2,-1,-3,-2,0,1,-8,-11,-3,-9,13,21,7,9,5,-12,2,-15,4,-7,7,-8,8,-5,-5,-4,-2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABOUT1,EMG1L",0,-2,-2,0,-1,-1,-2,7,-2,3,-2,-14,13,6,9,9,-5,0,-5,-4,9,3,20,-4,-6,5,2,-3,-6,-4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABOUT1,EMG2L",1,-3,0,1,-2,-2,-3,2,-2,8,1,-13,11,0,4,21,-1,0,-25,-15,-3,0,59,9,-33,21,-2,9,1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABOUT1,EMG3L",1,-2,-2,-2,-1,-3,-2,6,-2,9,1,29,24,-9,14,40,-17,-1,-13,8,18,-12,18,3,-13,1,-5,2,-2,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
