dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"AND1,ALX",0.929688,0.953125,0.922852,0.934082,0.949219,0.924805,0.924805,0.906738,0.926269,0.938965,0.938965,0.957031,0.974609,0.941406,0.949707,0.952148,0.952148,0.961914,0.945313,0.949707,0.949707,0.937988,0.915527,0.942383,0.942383,0.961914,0.958008,0.957031,0.963867,0.950195,0.907715,0.907715,0.915039,0.978516,0.978516,0.965332,0.931152,0.946289,0.966309,0.957519,0.945313,0.945313,0.946289,0.948731,0.945801
"AND1,ALY",-0.35498,-0.408691,-0.394043,-0.379883,-0.407715,-0.380371,-0.380371,-0.351074,-0.308594,-0.307129,-0.307129,-0.280273,-0.317383,-0.325195,-0.339844,-0.309082,-0.309082,-0.271484,-0.292969,-0.330566,-0.330566,-0.334473,-0.334961,-0.339355,-0.339355,-0.318359,-0.327148,-0.305664,-0.296387,-0.297852,-0.280273,-0.283203,-0.293457,-0.308594,-0.308594,-0.312012,-0.303711,-0.296387,-0.302734,-0.304688,-0.293945,-0.293945,-0.31543,-0.319824,-0.324707
"AND1,ALZ",-0.00341797,-0.0234375,-0.027832,-0.00732422,0.0263672,0.0332031,0.0332031,-0.0292969,-0.0205078,-0.0131836,-0.0131836,0.00146484,0.0166016,0.00341797,0.0126953,0.00341797,0.00341797,-0.0292969,-0.0561523,-0.0151367,-0.0151367,0.012207,0.0151367,0.0195313,0.0195313,-0.0112305,-0.0224609,-0.0263672,0.00195313,-0.00439453,-0.0131836,0.012207,0.0229492,0.0244141,0.0244141,-0.0268555,-0.00878906,0.00585938,0.012207,-0.000976563,-0.0151367,-0.0151367,0.000976563,0.0078125,0.00244141
"AND1,ARX",0.0678711,0.203125,0.258301,0.00390625,-0.0473633,0.0336914,0.034668,-0.245606,-0.810547,-0.833984,-1.05469,-0.813965,-0.803223,-0.368164,-0.202637,-0.171387,-0.166016,-0.181641,-0.155273,-0.0673828,-0.120117,-0.143555,-0.0922852,0.00634766,0.234375,0.923828,1.01807,1.41699,1.24561,1.13477,0.842285,0.898438,0.923828,0.937012,0.923828,0.900391,0.960938,0.93457,0.937012,0.920898,0.937012,0.930664,0.927734,0.932129,0.927246
"AND1,ARY",0.760742,1.04932,1.08447,0.917481,1.07617,0.967773,1.09912,0.863769,0.803223,0.789063,0.650879,0.77832,0.728516,0.989258,0.944336,1.05127,0.932617,0.963867,0.766113,0.669922,0.399902,0.669434,0.808106,0.813965,0.766602,0.589844,0.875488,0.550293,0.56543,0.369629,0.348633,0.489746,0.363281,0.243652,0.330078,0.273926,0.256348,0.291992,0.289063,0.276367,0.268066,0.287598,0.303711,0.279785,0.291504
"AND1,ARZ",-0.103027,0.0478516,0.369629,0.179688,0.339355,0.203125,0.637207,0.713379,0.863281,0.649414,0.598633,0.335938,0.307617,0.207031,0.213379,0.226563,0.255371,0.256836,0.305664,0.361816,0.336914,0.425293,0.36084,0.351074,0.331055,0.485352,0.211914,0.0991211,-0.259766,-0.137695,0.129394,0.0478516,0.0283203,0.0625,0.0273438,-0.0166016,0.0141602,0.00537109,0.0449219,0.0566406,0.0712891,0.0473633,0.034668,0.0307617,0.0483398
"AND1,EMG0L",-3,0,0,0,0,1,3,-1,1,-6,-5,0,1,-2,-3,-2,-6,2,5,2,2,6,0,-4,4,-2,-1,2,-1,-6,-3,2,-1,-4,3,-4,-5,-1,-3,-1,1,0,-9,-1,2
"AND1,EMG1L",-4,3,0,-2,-5,1,6,-21,-3,0,-17,0,-6,-3,2,-5,2,-13,1,-2,-2,5,1,-13,-2,-7,0,3,-11,-7,0,-2,3,1,-1,0,-3,1,0,-3,0,-1,-3,-3,-9
"AND1,EMG2L",-4,3,0,-2,2,3,2,-7,-9,0,-5,-5,-5,-3,6,-3,-5,-5,4,-1,0,-3,-1,-4,-1,0,-2,0,-5,0,-3,-3,-1,-3,-3,-1,-1,-1,0,-3,2,-4,-2,-2,-2
"AND1,EMG3L",0,4,1,-4,1,3,-4,-7,-5,-6,-6,-5,3,-1,2,-7,-3,-12,9,-1,0,-4,1,0,-2,0,-1,1,-4,-1,0,-2,-1,-2,-2,3,-5,-3,-1,-1,-2,-5,-4,1,0
"AND1,EMG4L",-2,3,1,-4,3,-1,-8,1,-1,-4,-2,3,-1,0,-5,-2,1,-1,1,1,-2,-2,-1,0,-1,0,0,0,-4,-5,3,-1,-1,-2,-1,-3,0,-4,-3,-4,0,1,-5,-2,-1
"AND1,EMG5L",1,3,-1,1,-4,3,1,-5,3,-4,-4,1,3,1,-5,-5,-1,-3,-7,1,3,-2,-1,-1,-2,-1,-1,1,0,2,0,-3,-3,2,-1,-1,-3,-3,-3,-1,0,-4,-1,0,0
