dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"CAT1,ALX",0.8935547,0.9086914,0.9165039,0.9160156,0.9389648,0.9262695,0.9306641,0.8994141,0.8989258,0.887207,0.9355469,0.8354492,0.8994141,0.9990234,1.472656,0.9467773,0.4394531,0.4233398,0.02587891,-0.1875,-0.3364258,-0.4111328,0.2382813,-0.5834961,-0.8652344,-0.6958008,-0.3979492,-0.5483398,-0.9882813,-1.080078,-1.258301,-1.241699,-1.049805,-0.875,-0.7578125,-0.6386719,-0.4960938,-0.3051758,-0.4326172,-0.4848633,-0.2407227,0.6347656,1.261719,2.143066,1.367188
"CAT1,ALY",0.3955078,0.3793945,0.371582,0.347168,0.3476563,0.3447266,0.3393555,0.3100586,0.3188477,0.3579102,0.3686523,0.5610352,0.8227539,0.9980469,1.24707,1.75293,1.255859,0.6313477,0.5029297,0.2299805,0.1459961,0.4018555,0.4609375,0.597168,0.6235352,0.7060547,0.8374023,0.546875,0.2299805,0.07568359,-0.03369141,0.1210938,0.168457,0.3427734,0.3999023,0.3618164,0.3056641,0.2421875,0.425293,0.4057617,0.5864258,0.9770508,1.133789,0.7700195,0.5112305
"CAT1,ALZ",-0.07617188,-0.06152344,-0.06787109,-0.06152344,-0.05908203,-0.05175781,-0.05322266,-0.05371094,-0.03466797,-0.05224609,-0.02099609,-0.1108398,-0.09667969,-0.1645508,0.3881836,0.4135742,0.4941406,0.534668,0.2119141,-0.1928711,-0.3027344,0.05322266,0.001464844,-0.5537109,-0.4370117,-0.6870117,-0.4541016,-0.2548828,0.02441406,0.1337891,0.105957,-0.02490234,-0.2124023,-0.331543,-0.3198242,-0.2646484,-0.1088867,0.08007813,0.168457,0.1694336,0.1826172,-0.07958984,-0.08642578,-0.07958984,-0.7714844
"CAT1,ARX",0.8461914,0.8510742,0.8466797,0.8447266,0.8549805,0.847168,0.8525391,0.8496094,0.8613281,0.8569336,0.847168,0.8520508,0.8569336,0.8549805,0.8647461,0.878418,0.8378906,0.8305664,0.8691406,0.8720703,0.8378906,0.8076172,0.8349609,0.8764648,0.8754883,0.8515625,0.8168945,0.8305664,0.8540039,0.8496094,0.875,0.8686523,0.8520508,0.8378906,0.8432617,0.8452148,0.8618164,0.8256836,0.8251953,0.824707,0.8847656,0.8764648,0.8666992,0.8779297,0.9111328
"CAT1,ARY",-0.4775391,-0.4946289,-0.4912109,-0.4887695,-0.4926758,-0.4833984,-0.480957,-0.4804688,-0.4794922,-0.480957,-0.4760742,-0.4750977,-0.4863281,-0.480957,-0.4951172,-0.4863281,-0.4702148,-0.5014648,-0.5063477,-0.4916992,-0.4785156,-0.4521484,-0.4672852,-0.4692383,-0.4829102,-0.4804688,-0.4941406,-0.4926758,-0.5083008,-0.4711914,-0.5092773,-0.5131836,-0.4907227,-0.5288086,-0.4941406,-0.5014648,-0.4853516,-0.4589844,-0.465332,-0.4702148,-0.5024414,-0.4941406,-0.5024414,-0.4799805,-0.5126953
"CAT1,ARZ",0.215332,0.2070313,0.2075195,0.2128906,0.2177734,0.2143555,0.2231445,0.2080078,0.2133789,0.2089844,0.2109375,0.2158203,0.2119141,0.2036133,0.215332,0.1850586,0.1875,0.2114258,0.2236328,0.1992188,0.1855469,0.1689453,0.1679688,0.1660156,0.1660156,0.171875,0.1801758,0.1816406,0.2075195,0.2143555,0.2270508,0.2080078,0.2094727,0.2119141,0.2138672,0.2124023,0.1938477,0.1674805,0.1748047,0.1811523,0.2177734,0.2133789,0.1987305,0.1948242,0.2182617
"CAT1,EMG0L",1,-2,-3,-2,0,-1,-1,-1,-1,7,-1,-8,-22,-30,40,38,-26,61,-12,72,-3,4,44,29,-21,-17,2,-26,-2,3,-21,-11,-1,20,12,6,-2,1,0,-4,3,-12,4,-9,-2
"CAT1,EMG1L",0,-1,-1,-3,1,-1,0,-1,3,-1,-3,-6,-12,-64,81,47,38,13,2,9,5,6,13,3,-9,-12,-6,-6,-15,-2,-11,-5,10,24,9,8,-2,-7,-3,5,-5,-12,1,-13,12
"CAT1,EMG2L",1,-2,-1,-1,1,-1,0,-1,0,0,-2,-13,-16,-110,115,16,-35,13,15,-1,-5,1,-4,-2,-3,-8,-8,-4,-5,-2,-2,-2,2,7,0,0,-3,-8,2,-1,-4,-4,-23,7,0
"CAT1,EMG3L",-1,1,3,-3,-2,-1,-1,1,-1,0,1,-2,-11,-13,59,-32,-19,-42,-2,-3,-1,-2,-6,-1,-3,1,-2,1,-5,-2,-1,-4,1,1,2,0,-2,-10,0,0,-1,5,-4,6,0
