dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"DAY1,ALX",0.9204102,0.9199219,0.921875,0.9243164,0.9204102,0.9213867,0.9414063,0.9238281,0.9204102,1.009277,0.9692383,1.072754,1.091309,0.871582,0.6870117,0.3076172,-0.002441406,-0.8505859,-1.750488,-1.108398,-1.120605,-0.8706055,-0.515625,0.2524414,0.5869141,-0.1323242,-0.137207,-0.137207,-0.1826172,-0.1137695,-0.01611328,0.2709961,0.2558594,0.02539063,-0.1645508,0.1582031,0.05273438,0.5297852,1.255859,1.390137,1.192383,0.7431641,0.8344727,0.9931641,1.022461
"DAY1,ALY",0.3046875,0.3046875,0.3061523,0.3061523,0.3066406,0.2939453,0.2915039,0.2719727,0.2768555,0.4492188,1.061035,1.164063,2.24707,1.234375,0.9506836,0.1323242,-0.04101563,0.05126953,-0.3427734,-0.1816406,-0.2192383,-0.2446289,0.2016602,1.259766,3.646484,1.255371,0.7749023,0.7749023,0.9692383,0.9121094,0.7099609,0.730957,0.4321289,0.8110352,0.9448242,1.397949,0.8500977,0.7441406,0.6210938,0.2924805,0.1425781,0.2080078,0.5361328,0.1235352,0.1420898
"DAY1,ALZ",-0.06005859,-0.05859375,-0.05224609,-0.05078125,-0.04443359,-0.05615234,-0.05517578,-0.05761719,-0.04931641,-0.006347656,-0.07226563,0.06396484,0.7617188,0.7026367,0.4882813,-0.02050781,-0.02783203,0.02490234,0.1030273,0.3388672,0.425293,0.3481445,0.05566406,-0.4033203,1.044434,-0.5288086,-0.2265625,-0.2265625,-0.375,-0.3764648,-0.3823242,-0.1899414,0.137207,0.277832,0.5166016,0.5820313,0.3867188,0.269043,0.04052734,-0.2797852,-0.3862305,-0.0078125,0.006347656,-0.152832,-0.1699219
"DAY1,ARX",0.9326172,0.9277344,0.9438477,0.9282227,0.9311523,0.940918,0.9282227,0.925293,0.9174805,0.9589844,1.018555,1.073242,0.8510742,0.6015625,0.3945313,0.3623047,0.2851563,0.2304688,-0.1088867,-0.1855469,-0.06933594,-0.1381836,-0.1020508,0.246582,-0.1274414,-0.2666016,0.04345703,0.04345703,-0.01757813,-0.07617188,0.2128906,0.5297852,0.4614258,0.4438477,0.5888672,0.7060547,0.5390625,0.722168,1.145996,1.19873,1.020508,0.8168945,0.9379883,1.038574,0.9536133
"DAY1,ARY",-0.3388672,-0.3461914,-0.3369141,-0.3188477,-0.3457031,-0.3330078,-0.3300781,-0.3237305,-0.3330078,-0.4658203,-0.8945313,-1.40625,-1.392578,-0.8930664,-0.7124023,-0.4819336,-0.5595703,-0.3129883,-0.9780273,-0.8120117,-0.8139648,-0.9951172,-0.7963867,-0.6455078,-0.8481445,-1.074219,-0.6547852,-0.6547852,-1.058105,-0.6508789,-0.5942383,-0.4575195,-0.8588867,-0.9731445,-1.34375,-1.066895,-0.894043,-0.7539063,-0.4838867,-0.3173828,-0.01416016,-0.246582,-0.2929688,-0.0546875,-0.2304688
"DAY1,ARZ",-0.09130859,-0.08544922,-0.08837891,-0.07617188,-0.07910156,-0.07910156,-0.09082031,-0.07080078,-0.07666016,-0.1870117,-0.1572266,0.01904297,0.21875,0.1665039,0.1171875,-0.02880859,-0.3027344,-0.4121094,-0.3520508,-0.7001953,-0.5356445,-0.5126953,-0.6425781,-0.1772461,-0.3701172,-0.7329102,-0.590332,-0.590332,-0.5024414,-0.4580078,-0.3173828,-0.1948242,-0.09179688,-0.08203125,0.03271484,0.09814453,0.140625,0.1230469,-0.08544922,-0.2680664,-0.3725586,-0.09277344,-0.1635742,-0.1650391,-0.1191406
"DAY1,EMG0L",-1,0,-1,-1,0,0,-2,0,-2,-3,-13,8,16,29,-3,-5,8,-1,-1,0,-2,2,-2,1,5,1,0,0,-4,-5,1,2,0,0,-5,-1,-1,0,-3,0,1,1,-2,0,0
"DAY1,EMG1L",-1,-1,-3,0,-1,0,-1,-1,-1,-4,-17,81,75,7,14,-12,14,-7,-1,0,0,3,-2,-7,11,2,-2,-2,-2,-2,1,0,2,2,-7,0,-3,1,-2,-2,-1,1,-3,1,2
"DAY1,EMG2L",-1,0,0,-2,-1,0,0,1,0,-15,11,78,-64,3,4,3,7,-6,-4,-2,2,5,-2,-4,9,5,1,1,-5,-3,0,-4,-1,1,-7,0,-2,-1,1,-1,1,0,-2,-2,-1
"DAY1,EMG3L",-1,-2,-1,-3,1,0,0,0,-2,-8,-10,25,40,11,-5,4,-1,-4,0,-4,0,6,-6,0,1,11,-21,-21,-5,1,-2,1,1,-10,-3,-3,-8,-4,0,-1,-2,-1,-1,0,1
