dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"DEAF1,ALX",0.9321289,0.9335938,0.9350586,0.9389648,0.9331055,0.940918,0.9301758,0.9355469,0.9375,0.9404297,0.9306641,0.9418945,0.9624023,0.9047852,0.9604492,0.8828125,0.9003906,0.9638672,0.9155273,0.9174805,0.9428711,0.8896484,0.9174805,0.9863281,0.9682617,0.9199219,0.9599609,0.9306641,0.9428711,0.9848633,0.9760742,0.9140625,0.871582,0.9487305,0.9736328,0.9453125,0.9189453,0.9428711,0.9433594,0.9355469,0.9418945,0.9375,0,0,0
"DEAF1,ALY",-0.3261719,-0.3193359,-0.3295898,-0.3208008,-0.3178711,-0.3227539,-0.3071289,-0.3125,-0.3212891,-0.3173828,-0.3222656,-0.3354492,-0.3300781,-0.3754883,-0.3515625,-0.2958984,-0.3237305,-0.2597656,-0.3051758,-0.3710938,-0.3984375,-0.3481445,-0.3789063,-0.3432617,-0.3012695,-0.3046875,-0.3432617,-0.3012695,-0.3374023,-0.3837891,-0.324707,-0.3369141,-0.2944336,-0.3154297,-0.3007813,-0.3071289,-0.3266602,-0.3164063,-0.3188477,-0.3251953,-0.3105469,-0.3110352,0,0,0
"DEAF1,ALZ",-0.08447266,-0.08886719,-0.09130859,-0.09228516,-0.09082031,-0.08496094,-0.09082031,-0.08691406,-0.07714844,-0.08349609,-0.08007813,-0.09033203,-0.09326172,-0.07568359,-0.1259766,-0.1025391,-0.04980469,-0.1049805,-0.1030273,-0.08789063,-0.09570313,-0.1015625,-0.07226563,-0.09472656,-0.1166992,-0.08056641,-0.09033203,-0.1103516,-0.07617188,-0.07080078,-0.08691406,-0.09277344,-0.07177734,-0.05810547,-0.09619141,-0.09765625,-0.08398438,-0.09472656,-0.078125,-0.078125,-0.0859375,-0.078125,0,0,0
"DEAF1,ARX",0.9091797,0.9116211,0.9135742,0.9204102,0.9208984,0.9165039,0.9125977,0.9067383,0.9257813,0.9106445,0.9760742,1.606445,1.265137,0.09326172,-0.05712891,-0.2900391,-0.4091797,-0.04589844,-1.39209,-0.05908203,-0.9077148,-0.7915039,-0.75,-0.828125,-0.7983398,-0.7592773,-0.2216797,0.1459961,1.039551,1.313477,1.193359,0.9301758,0.8051758,0.9277344,0.9746094,0.9643555,0.8833008,0.909668,0.909668,0.9111328,0.9106445,0.9130859,0,0,0
"DEAF1,ARY",0.3276367,0.3310547,0.3261719,0.328125,0.3222656,0.3217773,0.3227539,0.3242188,0.3227539,0.3291016,0.5839844,1.485352,1.75293,0.4267578,0.3305664,0.2617188,0.3579102,0.8378906,0.5537109,0.9799805,0.753418,0.3491211,0.06835938,0.3984375,0.3920898,0.3837891,0.4472656,0.78125,0.9370117,1.003906,0.503418,0.3378906,0.4355469,0.3916016,0.2700195,0.2651367,0.2680664,0.2895508,0.3427734,0.3496094,0.331543,0.3320313,0,0,0
"DEAF1,ARZ",-0.06005859,-0.06103516,-0.05859375,-0.05810547,-0.06005859,-0.06005859,-0.06542969,-0.06103516,-0.04882813,-0.04394531,-0.04833984,0.5957031,0.4829102,0.1289063,0.04199219,-0.02783203,0.1064453,0.1538086,-0.2163086,0.03027344,-0.1972656,-0.02392578,-0.2226563,-0.4291992,-0.4394531,-0.3769531,0.2597656,0.1079102,0.1835938,0.04931641,-0.3422852,-0.1240234,0.0078125,-0.07177734,-0.07861328,-0.144043,-0.08642578,-0.09472656,-0.07910156,-0.07568359,-0.07861328,-0.07519531,0,0,0
"DEAF1,EMG0L",-2,0,-1,0,-3,0,-1,-2,-2,0,-1,0,-1,-1,-3,0,-1,-1,-2,-2,-3,-1,-1,0,1,-1,-1,1,0,-2,-2,-1,-1,-1,0,-1,-2,-2,-1,-1,-1,-1,0,0,0
"DEAF1,EMG1L",0,-2,-1,-2,-1,1,-2,-1,-1,-2,-2,-1,-1,0,-1,-1,-1,1,0,-1,-1,-1,-1,-2,-3,1,-1,-1,-2,-2,0,-1,-1,1,-3,0,-2,-1,-1,-3,-1,0,0,0,0
"DEAF1,EMG2L",1,-2,-2,0,-3,-1,0,-2,-1,-1,0,-3,-3,-2,-2,-2,-1,-2,-1,0,-1,-1,-1,0,-2,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-3,-3,-1,-1,-1,-1,-1,0,0,0
"DEAF1,EMG3L",-1,-2,0,-3,0,0,-1,-4,0,0,-3,1,-3,-1,-1,-2,-2,-2,-2,0,1,-2,-2,-2,0,0,0,-2,0,-2,0,-2,-1,-1,-1,-2,-2,-1,-1,-1,-1,-1,0,0,0
"DEAF1,EMG4L",0,-1,-2,-1,-2,0,-2,-2,-1,-1,-2,0,-1,0,-1,0,-3,-1,-2,0,-1,-1,0,-1,0,-1,1,-2,-1,0,-1,-1,-3,-1,-1,-1,-2,-2,-1,-2,-2,-2,0,0,0
"DEAF1,EMG5L",-3,-1,0,-1,-1,-2,-2,-2,-1,-1,1,0,-3,-3,-1,0,0,-3,-2,-1,-1,-1,0,-2,1,-3,-2,-1,0,-1,0,0,-1,-3,1,-1,-1,-1,-1,1,-1,-1,0,0,0
"DEAF1,EMG6L",-2,-1,-1,0,-1,-2,0,0,1,0,-3,-2,-1,0,-2,0,-1,-1,-1,-1,0,0,0,0,-2,0,1,-1,-1,-1,-1,-2,-2,-3,-1,-1,-1,-1,-1,-2,-1,1,0,0,0
"DEAF1,EMG7L",-1,-2,-1,1,-1,2,-3,0,-2,0,-1,0,-1,-1,-2,-1,0,-1,-2,-1,0,1,-2,-2,-1,-1,-1,-1,0,-1,-1,0,-1,-3,-2,-1,-1,-1,-3,1,-2,1,0,0,0
"DEAF1,EMG0R",-1,-1,0,-2,0,0,0,-1,-3,0,-25,36,68,-3,2,-21,-9,-8,-14,-23,14,5,4,2,2,-6,-6,-2,-3,6,0,-1,-1,1,-3,-3,0,-1,-2,0,-1,-2,0,0,0
"DEAF1,EMG1R",-3,-1,-2,0,-1,-2,-2,-2,0,-2,-42,21,127,-16,-7,2,-1,-5,-6,-7,5,3,10,2,5,-7,-11,2,-6,-2,-1,-1,1,-2,-2,-1,-1,1,-1,-1,-2,0,0,0,0
"DEAF1,EMG2R",-1,-1,-1,0,-2,-1,-1,-2,0,-1,-27,8,85,-31,-2,4,-4,1,-6,-2,-3,0,3,-1,3,-5,-4,5,-1,7,-2,1,0,0,-2,0,-1,1,-1,-1,-1,-3,0,0,0
"DEAF1,EMG3R",-2,0,-1,-1,0,-1,0,-3,-1,-2,-2,26,75,-13,-1,6,-1,2,-3,1,-10,1,1,-2,-2,-5,-4,-1,2,0,-1,-1,0,1,-1,-2,-2,0,0,-1,-1,0,0,0,0
"DEAF1,EMG4R",-2,-2,-1,0,0,0,-1,-1,-3,-1,6,16,35,-11,1,12,-7,-3,-4,-4,-4,5,-1,-12,-2,1,-1,0,-2,-1,1,0,-1,1,-1,-1,1,-1,0,-2,-2,0,0,0,0
"DEAF1,EMG5R",0,-2,0,-2,0,1,-2,0,-1,-2,13,4,24,-11,-2,5,-10,-3,-9,-4,-4,14,13,-26,-13,31,2,4,-2,-8,-1,3,-3,-2,4,-1,0,0,-1,3,0,3,0,0,0
"DEAF1,EMG6R",0,-1,-1,0,1,0,1,1,0,-2,7,6,29,-9,-11,-7,2,-1,-1,1,-2,-7,-10,-5,10,11,5,6,-6,-7,3,4,1,-2,-1,-1,-1,1,1,1,-1,1,0,0,0
"DEAF1,EMG7R",-2,-1,-2,-2,0,1,1,0,-2,-1,-13,14,31,0,-4,-3,11,-5,-10,6,-3,-10,5,0,3,1,-3,3,1,14,-1,1,0,0,-3,0,0,0,-2,-1,0,0,0,0,0
"DEAF1,GLX",-1.25,-1.1875,-1.0625,-0.375,-0.125,1.9375,4.4375,-1.75,1.125,7.8125,9.875,3.1875,-2,-33.0625,-22.1875,2.375,16.375,22.5,-18.0625,-30.125,-4.8125,-12.4375,-16.9375,-12.8125,-9.9375,-5.9375,22.375,20.125,-12.8125,-5.0625,-3.1875,5,8,-8.1875,-7.25,34.5,-11.25,-3.875,3.3125,-1.5,-0.5625,-2.25,0,0,0
"DEAF1,GLY",-1.25,-1.1875,-1.0625,-0.375,-0.125,1.9375,4.4375,-1.75,1.125,7.8125,9.875,3.1875,-2,-33.0625,-22.1875,2.375,16.375,22.5,-18.0625,-30.125,-4.8125,-12.4375,-16.9375,-12.8125,-9.9375,-5.9375,22.375,20.125,-12.8125,-5.0625,-3.1875,5,8,-8.1875,-7.25,34.5,-11.25,-3.875,3.3125,-1.5,-0.5625,-2.25,0,0,0
"DEAF1,GLZ",-1.25,-1.1875,-1.0625,-0.375,-0.125,1.9375,4.4375,-1.75,1.125,7.8125,9.875,3.1875,-2,-33.0625,-22.1875,2.375,16.375,22.5,-18.0625,-30.125,-4.8125,-12.4375,-16.9375,-12.8125,-9.9375,-5.9375,22.375,20.125,-12.8125,-5.0625,-3.1875,5,8,-8.1875,-7.25,34.5,-11.25,-3.875,3.3125,-1.5,-0.5625,-2.25,0,0,0
"DEAF1,GRX",-0.1875,-1.625,-1.125,-0.375,0.0625,4.125,3.6875,3.9375,8.875,8.25,0.5,20.25,11.3125,26.5625,31,16.4375,13.8125,-31.1875,-8.3125,37.4375,170.6875,149.25,61.5625,3.875,5.0625,5.3125,-54.8125,9.4375,73.1875,-21.125,-35.1875,8.3125,42.375,-53.125,-68,-7.3125,21.9375,10.875,12.375,1.125,2.0625,3.25,0,0,0
"DEAF1,GRY",-0.1875,-1.625,-1.125,-0.375,0.0625,4.125,3.6875,3.9375,8.875,8.25,0.5,20.25,11.3125,26.5625,31,16.4375,13.8125,-31.1875,-8.3125,37.4375,170.6875,149.25,61.5625,3.875,5.0625,5.3125,-54.8125,9.4375,73.1875,-21.125,-35.1875,8.3125,42.375,-53.125,-68,-7.3125,21.9375,10.875,12.375,1.125,2.0625,3.25,0,0,0
