dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"DECIDE1,ALX",0.9355469,0.9384766,0.9350586,0.9272461,0.9272461,0.9189453,0.9370117,0.9370117,0.9272461,0.8867188,0.9702148,0.9560547,0.9194336,0.9145508,0.9526367,0.9125977,1.288086,0.75,0.3452148,-0.008789063,-0.1782227,0.1333008,1.115234,1.156738,1.064453,0.9536133,0.9165039,0.9638672,0.9453125,0.949707,0.9575195,0.9545898,0.9296875,0.9482422,0,0,0,0,0,0,0,0,0,0,0
"DECIDE1,ALY",-0.3188477,-0.3178711,-0.3183594,-0.3305664,-0.3305664,-0.3588867,-0.3198242,-0.3198242,-0.262207,-0.4101563,-0.3208008,-0.3027344,-0.2744141,-0.3115234,-0.4057617,-0.597168,-1.132813,-1.23877,-0.3828125,-0.284668,-0.3051758,-1.072266,-0.590332,-0.7382813,-0.6147461,-0.3984375,-0.4394531,-0.3374023,-0.2412109,-0.2514648,-0.2519531,-0.2695313,-0.2768555,-0.3076172,0,0,0,0,0,0,0,0,0,0,0
"DECIDE1,ALZ",-0.06054688,-0.06396484,-0.07080078,-0.06152344,-0.06152344,-0.05761719,-0.06542969,-0.06542969,-0.08154297,-0.03027344,-0.04345703,-0.06933594,-0.03027344,-0.02490234,-0.1171875,-0.1889648,-0.2988281,0.4355469,0.277832,0.2758789,0.09228516,0.1948242,0.07324219,-0.03076172,-0.2661133,-0.2524414,-0.1728516,-0.1821289,-0.07617188,-0.08544922,-0.08984375,-0.08447266,-0.09814453,-0.08447266,0,0,0,0,0,0,0,0,0,0,0
"DECIDE1,ARX",0.918457,0.9111328,0.8930664,0.9638672,0.9189453,0.918457,1.091797,1.339844,0.5756836,0.3466797,-0.1293945,-0.5126953,-0.07617188,-0.6274414,-0.894043,-0.5932617,-0.5668945,-0.4560547,-0.71875,-0.8710938,-0.8984375,0.6000977,1.267578,1.161621,1.037109,0.9433594,0.8535156,0.9482422,0.9414063,0.9174805,0.925293,0.9243164,0.902832,0.9189453,0,0,0,0,0,0,0,0,0,0,0
"DECIDE1,ARY",0.3222656,0.3422852,0.3632813,0.3686523,0.3164063,0.5039063,1.570801,1.826172,1.035645,0.5771484,0.262207,0.05957031,0.1108398,0.1660156,0.1567383,0.3188477,0.15625,0.4345703,0.3979492,0.671875,0.71875,2.079102,0.7167969,0.6396484,0.1987305,0.3789063,0.4003906,0.2983398,0.2709961,0.2734375,0.2822266,0.2885742,0.3198242,0.3500977,0,0,0,0,0,0,0,0,0,0,0
"DECIDE1,ARZ",-0.04003906,-0.03955078,-0.05761719,-0.08203125,-0.1162109,-0.1293945,-0.2983398,0.5488281,0.3989258,0.3554688,0.1416016,-0.02734375,-0.5039063,-0.9648438,-0.5737305,-0.7197266,-0.1435547,0.1899414,0.1870117,0.1455078,-0.1396484,0.3994141,-0.3100586,-0.3496094,-0.2700195,-0.2226563,-0.1474609,-0.1186523,-0.0546875,-0.04736328,-0.05224609,-0.04785156,-0.06396484,-0.08105469,0,0,0,0,0,0,0,0,0,0,0
"DECIDE1,EMG0L",0,-1,-1,-2,-1,0,-1,0,-1,-1,-1,-1,0,-1,-1,-6,-2,-5,2,-8,4,-8,0,-1,0,-1,-1,-1,-2,-2,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0
"DECIDE1,EMG1L",0,-1,0,-3,-1,-1,-1,0,1,-1,-1,0,-2,-2,0,-3,0,-8,4,-2,-4,-15,0,0,-2,-1,-1,0,-1,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0
"DECIDE1,EMG2L",-2,-3,-1,-1,-1,-1,-1,-1,1,-2,-2,0,-1,0,-1,-1,0,-8,1,-2,-4,-9,-2,-1,0,1,-2,1,0,-3,-2,-1,-3,0,0,0,0,0,0,0,0,0,0,0,0
"DECIDE1,EMG3L",-2,0,-1,0,0,-2,-2,-3,0,0,-1,-1,0,-1,-4,-7,-1,-12,0,0,-3,-18,-1,-1,-2,-1,-1,-3,-2,-1,-1,-2,0,1,0,0,0,0,0,0,0,0,0,0,0
