dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"FATHER1,ALX",0.906738,0.893555,0.882813,0.916016,0.884766,0.854981,0.826172,0.783691,0.737793,-0.0219727,-0.215332,-0.675781,-0.369629,-0.440918,-1.16894,-0.677246,-0.710938,-0.873535,-0.847656,-0.641602,-0.48291,-0.304688,0.172852,0.339844,0.286621,0.615723,1.29443,0.953125,0.861328,0.861816,0.934082,0.948242,0.98584,0,0,0,0,0,0,0,0,0,0,0,0
"FATHER1,ALY",0.366211,0.35791,0.39502,0.379395,0.372559,0.601074,0.698242,0.727051,1.10107,0.815918,0.480957,0.438965,0.200195,1.07568,-0.447266,0.39209,0.504394,0.0859375,-0.147461,-0.019043,0.229492,0.297363,0.510254,0.681152,0.766602,1.32764,1.03076,0.652832,0.733887,0.451172,0.434082,0.305176,0.258789,0,0,0,0,0,0,0,0,0,0,0,0
"FATHER1,ALZ",-0.0507813,-0.0493164,-0.0532227,-0.0664063,-0.0727539,-0.0703125,-0.0532227,-0.0151367,-0.0517578,0.0644531,0.0185547,-0.210938,-0.615723,0.0078125,-1.25977,-0.171387,-0.202637,-0.602051,-0.665039,-0.462402,-0.270508,-0.107422,-0.160156,0.0830078,-0.0800781,-0.0205078,-0.114258,-0.194824,-0.133789,-0.078125,-0.059082,-0.0454102,-0.0375977,0,0,0,0,0,0,0,0,0,0,0,0
"FATHER1,ARX",0.879394,0.887207,0.89209,0.883301,0.880371,0.880859,0.881348,0.876953,0.885742,0.858887,0.855469,0.865723,0.858398,0.858398,0.861328,0.856934,0.87793,0.857422,0.86084,0.86084,0.871582,0.870117,0.855957,0.86084,0.883301,0.890625,0.892578,0.860352,0.890625,0.885742,0.892578,0.897949,0.901367,0,0,0,0,0,0,0,0,0,0,0,0
"FATHER1,ARY",-0.443359,-0.45166,-0.456055,-0.452148,-0.465332,-0.459473,-0.476563,-0.47998,-0.479004,-0.484375,-0.495605,-0.496094,-0.496094,-0.507324,-0.45459,-0.461914,-0.478516,-0.451172,-0.481934,-0.481934,-0.484863,-0.479492,-0.482422,-0.476563,-0.460938,-0.461426,-0.482422,-0.466797,-0.45752,-0.446777,-0.425293,-0.439941,-0.425293,0,0,0,0,0,0,0,0,0,0,0,0
"FATHER1,ARZ",0.097168,0.113769,0.113281,0.114746,0.108887,0.111328,0.119629,0.130859,0.126465,0.130371,0.12793,0.129394,0.127441,0.138184,0.108887,0.103516,0.12207,0.104492,0.117676,0.117676,0.120117,0.121582,0.128906,0.123535,0.114258,0.120606,0.134766,0.124023,0.113769,0.0952148,0.097168,0.0986328,0.104492,0,0,0,0,0,0,0,0,0,0,0,0
"FATHER1,EMG0L",0,1,0,-3,-2,0,-17,1,-24,4,20,9,-19,7,-14,24,-13,-4,-10,-7,-5,-7,3,-13,-2,-3,2,0,9,-4,-1,2,-1,0,0,0,0,0,0,0,0,0,0,0,0
"FATHER1,EMG1L",-2,1,0,-2,1,-7,-9,-1,-1,0,2,9,-7,0,-12,20,-8,1,-1,-8,5,7,2,1,-10,-10,2,1,0,-2,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
"FATHER1,EMG2L",-2,0,-1,-1,-1,-4,-3,1,-26,-3,-2,1,-4,2,-7,6,-4,1,-1,-2,3,-2,-2,-3,-1,-6,1,0,-1,-1,-1,0,-2,0,0,0,0,0,0,0,0,0,0,0,0
"FATHER1,EMG3L",0,-1,-1,-1,-3,-2,-1,1,-4,-1,-3,-6,-5,-2,-4,-5,1,0,0,0,0,-2,0,-4,0,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"FATHER1,EMG4L",0,-1,0,0,-2,-1,2,-1,-1,-1,-6,4,9,-2,10,-4,11,-14,2,-3,-2,1,1,-2,-1,-2,-2,-1,2,1,2,-3,-1,0,0,0,0,0,0,0,0,0,0,0,0
"FATHER1,EMG5L",0,-2,-1,2,-3,0,1,-3,-1,12,-14,15,-29,33,7,20,-4,1,18,-16,-2,5,4,-3,0,2,1,1,9,7,14,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0
