dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"GOLD1,ALX",0.9165039,0.9145508,0.9125977,0.9165039,0.9174805,0.9194336,1.069336,1.527344,1.26123,0.5493164,-0.1303711,-0.2568359,-0.5556641,-0.4404297,-0.4677734,-0.4892578,-0.7739258,-0.9042969,-0.9443359,-0.8051758,-0.5693359,-0.5297852,-0.8266602,-0.9399414,-0.4672852,-0.7602539,0.06152344,-1.003418,0.0390625,0.1508789,0.2128906,0.2128906,0.6040039,0.8051758,1.07666,1.304199,1.044434,0.8652344,0.7792969,0.9516602,0.9755859,0.9755859,0.9160156,0.9223633,0.8945313
"GOLD1,ALY",0.3203125,0.3125,0.3300781,0.3251953,0.3325195,0.3588867,0.8974609,0.8808594,1.296387,0.9614258,0.5795898,0.4931641,0.03466797,0.1201172,0.08935547,0.09228516,0.2202148,0.2324219,0.230957,0.2509766,0.2890625,0.4360352,0.1552734,-0.046875,1.960938,0.2851563,2.05957,-0.01611328,0.7983398,0.8642578,0.6577148,0.6577148,0.7553711,0.8144531,0.5527344,0.3554688,0.6362305,0.4238281,0.4907227,0.2685547,0.2895508,0.2426758,0.2719727,0.2919922,0.2900391
"GOLD1,ALZ",-0.06640625,-0.06201172,-0.06152344,-0.05957031,-0.06201172,-0.07763672,-0.1538086,0.02734375,0.5263672,0.2666016,0.2763672,0.2265625,-0.03369141,-0.04443359,-0.08349609,-0.1489258,-0.3486328,-0.4033203,-0.4536133,-0.3608398,-0.394043,-0.3457031,-0.01123047,0.3486328,-0.496582,0.4819336,0.0004882813,-0.1489258,0.28125,0.3071289,0.2514648,0.2514648,0.2597656,0.01367188,-0.09423828,-0.2211914,-0.3681641,-0.3378906,-0.3901367,-0.03125,0.07519531,0.04736328,-0.04248047,-0.02880859,-0.04492188
"GOLD1,ARX",0.934082,0.9379883,0.9350586,0.9379883,0.9272461,0.9389648,0.9584961,0.9467773,0.9091797,0.9311523,0.9521484,0.9335938,0.9091797,0.9248047,0.9541016,0.9541016,0.9257813,0.9047852,0.9077148,0.9082031,0.9423828,1.014648,0.9394531,0.9038086,0.918457,0.9194336,0.9433594,0.9223633,0.9106445,0.9482422,0.9448242,0.9448242,0.96875,0.9399414,0.9506836,0.9350586,0.9106445,0.9018555,0.940918,0.9624023,0.9282227,0.9067383,0.9482422,0.9570313,0.9423828
"GOLD1,ARY",-0.3344727,-0.3354492,-0.331543,-0.3266602,-0.3242188,-0.3334961,-0.340332,-0.3305664,-0.3686523,-0.3862305,-0.347168,-0.3188477,-0.3261719,-0.3183594,-0.3041992,-0.3041992,-0.3183594,-0.3847656,-0.3813477,-0.3803711,-0.3657227,-0.3505859,-0.324707,-0.3310547,-0.3959961,-0.3291016,-0.3334961,-0.3505859,-0.3291016,-0.3486328,-0.3173828,-0.3173828,-0.3208008,-0.34375,-0.3349609,-0.3442383,-0.3349609,-0.3393555,-0.3510742,-0.3310547,-0.3447266,-0.3217773,-0.3286133,-0.2978516,-0.3188477
"GOLD1,ARZ",-0.08203125,-0.07861328,-0.0859375,-0.08007813,-0.07128906,-0.06591797,-0.08203125,-0.08300781,-0.06640625,-0.06542969,-0.1079102,-0.09179688,-0.05029297,-0.05761719,-0.07275391,-0.07275391,-0.1000977,-0.07958984,-0.07958984,-0.08398438,-0.08349609,-0.09619141,-0.08007813,-0.06445313,-0.05615234,-0.09082031,-0.09179688,-0.07226563,-0.07568359,-0.05957031,-0.06689453,-0.06689453,-0.06591797,-0.07324219,-0.08007813,-0.09375,-0.08935547,-0.07714844,-0.08398438,-0.09716797,-0.08007813,-0.06494141,-0.05322266,-0.07910156,-0.07421875
"GOLD1,EMG0L",-2,-3,0,-1,-1,-1,-1,-23,-19,-21,-14,-7,12,0,-7,-7,8,-5,-1,2,12,-4,-12,4,16,-23,-7,-12,3,-4,-3,-3,-1,0,-3,-1,0,-1,-1,-1,-1,-1,-1,-2,-2
"GOLD1,EMG1L",-1,0,-4,0,-1,-1,-1,-2,13,-47,-1,-10,-4,0,-10,-10,1,-4,-1,7,12,-1,-15,-17,-9,-21,-17,-4,5,-1,-3,-3,-1,0,12,-1,-2,1,-1,-1,-1,1,-1,0,-2
"GOLD1,EMG2L",-2,-1,0,-1,-2,16,-47,-33,36,-93,3,-27,-3,-2,1,1,-5,-4,2,4,4,8,-17,-11,-4,-9,-15,1,4,0,-5,-5,-2,0,-3,-2,-1,0,2,-1,1,0,-1,0,-1
"GOLD1,EMG3L",0,-1,-1,-1,0,1,-21,9,4,-36,-1,-17,7,-7,-5,-5,-5,-25,6,2,-5,28,-18,-7,3,15,-6,-1,3,0,-3,-3,2,0,-1,0,-1,-2,-2,-1,-3,0,0,0,-1
"GOLD1,EMG4L",-4,-1,-1,-1,1,1,-14,-65,-12,-16,3,-15,-11,3,1,1,-11,8,1,-1,4,-3,-2,-12,3,-1,1,0,-6,-3,-3,-3,1,0,-3,-1,-1,-2,-2,0,0,-1,-2,-1,1
"GOLD1,EMG5L",0,0,-3,0,0,-1,-4,-17,-3,-7,5,-9,-3,4,-1,-1,-5,7,-2,1,-5,-12,3,1,3,-12,7,-9,-1,0,-1,-1,-1,-1,-3,1,-3,0,0,1,-1,0,-1,0,0
"GOLD1,EMG6L",-1,-2,0,-2,1,-1,-4,-6,2,-9,4,-3,0,-1,0,0,-2,7,-2,0,-5,-15,-16,13,16,-38,0,-10,6,0,1,1,-1,-1,-3,2,-4,0,-1,2,1,0,-2,-1,0
"GOLD1,EMG7L",-1,1,-1,0,-2,-2,-2,-2,0,-10,1,-16,19,1,3,3,31,-26,11,3,5,-11,75,9,54,-68,11,20,29,5,-2,-2,-1,0,-6,9,0,-4,0,0,-1,0,-3,-1,1
"GOLD1,EMG0R",0,0,1,-2,-1,-2,0,0,-1,0,1,-1,0,-1,-1,-1,-1,-2,-2,-1,-1,0,-1,0,-2,-1,-2,2,-3,-1,-1,-1,-1,-1,0,0,-1,-1,1,-1,-2,-1,0,1,-1
"GOLD1,EMG1R",-3,-3,-1,0,1,-1,-2,0,-2,-2,1,0,-1,-1,-1,-1,-1,-1,-2,0,-1,-1,-1,0,-1,2,0,0,-1,-2,-1,-1,-1,1,0,-1,-1,0,-1,-1,0,1,-3,0,-2
"GOLD1,EMG2R",1,-3,-2,0,-1,-2,-2,-1,-1,-1,-2,0,0,-1,-2,-2,-1,-1,-2,-2,-1,-1,-2,-3,-2,-1,-1,0,0,1,-1,-1,-2,0,1,-2,0,0,-3,0,-1,-2,-1,-1,0
"GOLD1,EMG3R",-2,-3,-1,0,1,-1,-1,-1,-1,-1,-1,0,1,0,-1,-1,-2,-2,-1,0,0,0,-1,-3,0,0,0,0,-2,-2,-1,-1,-1,-1,0,1,-3,0,-1,-2,0,-1,-2,0,-2
"GOLD1,EMG4R",-1,-2,-2,0,-1,0,0,0,-3,0,0,-1,-2,0,-3,-3,0,-2,-1,-1,-1,0,-1,0,-2,-2,-3,-3,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-3,0,-2,-1,0,-2,-1
"GOLD1,EMG5R",0,-2,-1,0,-3,-1,0,-1,-1,-2,1,-1,-3,-1,1,1,0,-1,-3,-1,-2,0,-3,-1,-1,-1,0,-1,0,-2,-2,-2,0,-1,-4,0,1,-1,-1,-2,0,-2,0,-1,-1
"GOLD1,EMG6R",-1,-1,0,0,-2,-1,0,-1,-1,0,0,-1,-1,-1,-1,-1,-2,0,-1,-2,0,0,-1,-1,-1,-3,-3,0,-1,-1,-1,-1,-3,-3,1,-1,-2,0,-2,-2,-1,0,-1,-1,0
"GOLD1,EMG7R",1,-1,-1,0,0,0,-2,0,-1,-2,-1,-1,-1,0,-1,-1,-2,0,-1,-1,-1,-2,-1,1,-2,-2,-1,-2,-2,-1,0,0,-1,-2,-2,0,0,1,-3,0,1,-1,-1,-2,0
