dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"GOODNIGHT1,ALX",0.9223633,0.9223633,0.9086914,0.9042969,1.175781,1.654785,1.23291,-0.1557617,-0.1757813,-0.2573242,-0.06445313,-0.06298828,-0.7104492,-0.08056641,-0.4238281,-0.5600586,-0.8510742,-0.8608398,-0.9282227,-1.032227,-1.20459,0.3999023,0.7094727,0.4208984,0.206543,0.6079102,0.2910156,0.005371094,0.005371094,-0.5883789,-0.4086914,-0.3994141,0.4521484,0.9135742,1.542969,1.05957,0.9174805,0.7993164,0.9291992,0.9731445,0.9599609,0.934082,0.934082,0.9394531,0.9194336
"GOODNIGHT1,ALY",0.3154297,0.3110352,0.3120117,0.3208008,0.6313477,0.7983398,1.025879,0.4873047,0.4233398,0.3427734,0.4291992,0.4321289,0.9472656,0.628418,1.286133,1.182617,0.7758789,0.4208984,0.09326172,-0.1762695,0.2382813,0.640625,1.236816,1.216797,1.01416,0.6137695,0.5927734,0.699707,0.699707,1.136719,1,0.9086914,0.8256836,0.5537109,0.6425781,0.06982422,0.4086914,0.2529297,0.2871094,0.2509766,0.2197266,0.2631836,0.2631836,0.2504883,0.2954102
"GOODNIGHT1,ALZ",-0.03564453,-0.03369141,-0.02929688,-0.02441406,-0.1171875,0.1943359,0.6479492,0.2509766,0.3681641,0.4516602,0.574707,0.5415039,0.2314453,0.8989258,0.7075195,0.7392578,0.4272461,0.03808594,0.06103516,-0.2192383,-0.5678711,-0.01318359,-0.609375,-0.496582,-0.2670898,-0.2329102,-0.015625,0.3476563,0.3476563,0.6513672,0.293457,0.2353516,0.2231445,0.2075195,0.1918945,-0.2397461,-0.04492188,0.09179688,0.009765625,-0.02783203,-0.06835938,-0.09521484,-0.09521484,-0.04492188,-0.04345703
"GOODNIGHT1,ARX",0.9370117,0.9238281,0.9213867,0.9291992,1.166992,1.160156,0.8066406,0.4804688,0.5117188,0.3857422,0.1313477,0.6425781,-0.3393555,-0.1923828,-0.1489258,-0.1494141,-0.02197266,-0.04052734,-0.1176758,-0.137207,-0.06689453,-0.06933594,-0.01171875,-0.1196289,-0.1347656,-0.01025391,0.1240234,0.1499023,0.1606445,0.1733398,0.1757813,0.2788086,0.8515625,1.184082,1.171875,0.9672852,0.7851563,0.9477539,0.9624023,0.9775391,0.9453125,0.9194336,0.9194336,0.9365234,0.9360352
"GOODNIGHT1,ARY",-0.3393555,-0.3339844,-0.3374023,-0.3852539,-0.8164063,-1.163574,-1.224609,-0.5932617,-0.6621094,-0.4956055,-0.5761719,-0.6967773,-0.8920898,-0.9462891,-0.8823242,-1.133789,-0.9575195,-1.169434,-1.103027,-0.9321289,-0.8994141,-1.036621,-0.8652344,-0.894043,-0.9990234,-0.9916992,-0.8286133,-0.784668,-0.8486328,-0.8691406,-0.8432617,-1.100586,-0.8999023,-0.6010742,-0.7646484,-0.4472656,-0.293457,-0.3198242,-0.3334961,-0.2695313,-0.3081055,-0.3530273,-0.3530273,-0.362793,-0.3364258
"GOODNIGHT1,ARZ",-0.08251953,-0.07714844,-0.07617188,-0.1113281,-0.1850586,0.2973633,0.6035156,0.5273438,0.5170898,0.3774414,0.2094727,0.7807617,0.4155273,0.3676758,0.1928711,0.2080078,0.2304688,0.1162109,0.0390625,-0.1606445,-0.2006836,-0.1787109,-0.2763672,-0.2944336,-0.2397461,-0.2133789,-0.2011719,-0.0004882813,0.07861328,0.2568359,0.2670898,0.07226563,0.09570313,-0.009765625,-0.2055664,-0.1748047,0.01416016,0.07275391,-0.04101563,-0.06835938,-0.07421875,-0.06738281,-0.06738281,-0.08300781,-0.0546875
"GOODNIGHT1,EMG0L",-1,-1,-1,-2,-1,-1,4,-11,33,21,-3,-20,-19,-12,17,-2,6,-15,-15,10,1,-1,8,4,5,-1,17,-1,0,-4,-2,3,7,9,0,1,-2,-1,0,-1,0,-1,-1,0,-2
"GOODNIGHT1,EMG1L",-1,1,0,-5,1,-5,3,-7,28,30,-2,-15,-15,-1,11,-14,9,4,-11,2,4,-18,21,2,1,-2,15,-24,4,-4,-2,4,-4,10,2,0,-1,0,-1,0,-3,1,1,0,0
"GOODNIGHT1,EMG2L",-2,-1,0,-19,71,111,-18,-18,13,5,7,-3,-6,-6,-15,-32,-1,6,-13,0,1,-8,-4,0,1,-6,-23,-4,4,-3,-3,-11,-15,5,1,-1,-2,-2,-2,0,0,-1,-1,-1,0
"GOODNIGHT1,EMG3L",-1,0,-2,-3,-2,21,0,-5,4,0,-3,-2,-6,12,-5,8,-2,17,-18,5,9,-4,-4,-3,-2,1,-5,0,1,-3,-4,0,-5,13,-1,-2,0,-1,-1,-1,-2,1,1,0,0
