dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"HURT1,ALX",0.90625,0.9086914,0.9155273,0.9165039,0.9052734,0.9887695,1.220215,1.440918,0.8950195,0.5493164,0.2626953,0.03662109,-0.01074219,-0.3330078,-0.293457,0.0009765625,1.000977,0.5756836,-0.4731445,-0.4482422,0.6137695,0.4365234,0.2666016,0.09033203,-0.008789063,0.1494141,0.8408203,0.7578125,1.033203,1.110352,1.050293,0.9921875,0.7299805,0.9941406,0.9667969,0.9345703,0.8813477,0.9316406,0.9262695,0.9238281,0.9145508,0.9082031,0.9013672,0.918457,0.909668
"HURT1,ALY",0.328125,0.3305664,0.3291016,0.3359375,0.3349609,0.4599609,0.6171875,0.8613281,1.055176,0.7353516,0.6538086,0.4204102,0.5625,0.7788086,0.8408203,1.25293,1.44043,1.171875,0.8886719,0.7446289,1.376953,0.8652344,0.8149414,0.7299805,0.7128906,0.6972656,0.8725586,0.8666992,0.40625,0.5112305,0.4101563,0.2832031,0.46875,0.2299805,0.2495117,0.2695313,0.2983398,0.2397461,0.2880859,0.2929688,0.3173828,0.3129883,0.3237305,0.3305664,0.3354492
"HURT1,ALZ",-0.03759766,-0.03662109,-0.03613281,-0.03320313,-0.03320313,-0.1816406,-0.3754883,-0.06445313,0.06835938,0.2324219,0.1918945,0.2880859,0.2753906,0.4257813,0.3955078,0.1328125,-0.6235352,-0.4057617,0.6821289,0.3818359,-0.04638672,-0.4204102,-0.2021484,0.2553711,0.4277344,0.09130859,0.1166992,0.01904297,-0.1445313,-0.1694336,-0.2026367,-0.1845703,-0.5375977,-0.1240234,-0.01904297,0.01025391,-0.06396484,-0.05615234,-0.08789063,-0.09814453,-0.08691406,-0.08642578,-0.078125,-0.05957031,-0.06201172
"HURT1,ARX",0.9365234,0.9335938,0.9331055,0.9360352,0.9433594,0.9287109,1.293945,1.378906,0.8383789,0.4116211,0.1748047,0.02490234,-0.1772461,-0.2900391,-0.2563477,0.8129883,0.7299805,0.1274414,-0.5888672,0.1206055,0.5708008,0.2626953,0.1743164,0.1074219,0.1938477,0.4555664,0.8447266,0.7773438,0.5307617,0.9448242,1.010742,0.7597656,0.7231445,0.3466797,0.5014648,1.336426,1.67334,0.894043,0.9404297,0.9228516,0.9248047,0.9248047,0.9277344,0.9272461,0.9228516
"HURT1,ARY",-0.3330078,-0.3442383,-0.3442383,-0.3422852,-0.3266602,-0.4003906,-0.7441406,-0.7998047,-1.134277,-0.6884766,-0.5927734,-0.4731445,-0.6723633,-0.8305664,-0.9707031,-1.34082,-1.262695,-0.9692383,-0.9580078,-1.152832,-1.222168,-0.894043,-0.7016602,-0.6220703,-0.8505859,-0.9125977,-1.060547,-0.7319336,-0.6191406,-0.5795898,-0.3974609,-0.3803711,-0.4414063,-0.4018555,-0.3681641,-0.3325195,-0.1479492,-0.2910156,-0.2978516,-0.3203125,-0.3378906,-0.3427734,-0.3530273,-0.3549805,-0.3662109
"HURT1,ARZ",-0.08789063,-0.0859375,-0.0859375,-0.08154297,-0.1206055,-0.3061523,-0.5571289,-0.1225586,0.1298828,0.2197266,0.2084961,0.1757813,0.3256836,0.3652344,0.2539063,-0.590332,-0.7382813,-0.02978516,0.6333008,-0.06347656,-0.6884766,-0.2797852,0.171875,0.3691406,0.2460938,-0.01220703,0.04443359,-1.111816,-0.01464844,-0.02246094,-0.230957,0.06835938,-0.8515625,-0.5854492,-0.02001953,0.4116211,0.2148438,-0.09228516,-0.1083984,-0.1049805,-0.09619141,-0.1044922,-0.1064453,-0.1054688,-0.08886719
"HURT1,EMG0L",0,0,0,-1,0,0,1,-8,-7,-8,3,1,0,-20,4,5,3,-2,-2,0,-9,5,2,-1,0,-1,6,-3,0,1,-1,1,0,0,0,-2,-1,-1,-1,0,0,-1,-1,0,-1
"HURT1,EMG1L",-2,1,0,-1,0,-1,-3,-1,-8,1,17,-11,1,0,10,-9,5,-14,-5,-4,-16,15,-3,-7,0,-1,5,-3,-3,-2,0,-1,-1,0,0,0,1,0,-1,-1,-2,-2,-1,0,0
"HURT1,EMG2L",-1,1,-2,-1,1,-3,2,8,-11,13,6,-6,-4,-1,-2,-4,-2,-10,0,-11,-4,0,-6,1,-3,-1,0,2,1,-1,-3,-1,0,0,-2,-1,-1,-1,1,-2,0,-1,0,1,2
"HURT1,EMG3L",-2,-1,-1,-1,1,-6,0,4,5,45,-31,-12,-14,8,2,7,-4,2,12,-4,-6,-17,-5,1,-11,1,-2,0,-2,0,-1,0,0,0,-1,1,0,-1,-1,1,0,0,-1,1,-1
"HURT1,EMG4L",0,0,-1,-1,-2,-3,1,-5,3,-4,25,-16,-24,15,-25,-20,0,-22,13,9,-10,-2,0,3,-3,1,-2,-1,1,-1,3,-1,1,-1,0,1,-1,1,-1,-2,-1,0,-1,1,-1
"HURT1,EMG5L",0,-1,-2,1,-3,-3,3,-3,10,-7,13,-9,-16,6,-7,-11,7,-14,0,1,-1,-4,-3,0,-1,-2,-3,0,0,1,7,-1,-2,-2,1,3,-2,0,-3,0,-1,0,1,2,0
"HURT1,EMG6L",0,-2,0,0,-4,-1,1,-1,-3,6,17,-3,-24,-9,0,-8,14,-10,0,-3,-3,-11,1,4,-2,-5,-5,-2,4,0,7,4,-2,-2,1,-1,-3,-2,-4,0,0,-1,-1,1,-2
"HURT1,EMG7L",0,-1,-2,0,-2,-2,1,-3,-5,-15,1,-1,-8,-11,6,2,1,-4,2,-1,-10,4,-6,1,1,-1,2,0,0,-2,-2,1,1,-1,2,-1,-1,-1,0,1,-1,-1,-1,-1,1
