dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"ABOUT1,ALX",-1.192871,-1.272461,-0.7529297,-0.4882813,-0.1308594,-0.2192383,0.002441406,0.04492188,0.03027344,0.1157227,0.168457,0.171875,0.2011719,0.2207031,0.3481445,0.3481445,0.5405273,0.5200195,0.3242188,0.1694336,-0.07421875,-0.2548828,-0.1352539,0.1064453,0.2167969,0.3095703,0.40625,0.4389648,0.331543,0.3168945,0.3125,0.3154297,0.300293,0.3100586,0.3295898,0.3422852,0.3793945,0.3613281,0.2758789,0.2338867,0.06494141,0.08105469,-0.1904297,-0.3271484,-0.4902344
"ABOUT1,ALY",-0.6767578,-0.5820313,-1.210938,-0.8574219,-0.8305664,-0.75,-0.8071289,-0.6591797,-0.7197266,-0.8051758,-0.8032227,-0.8466797,-0.9799805,-1.10498,-1.162598,-1.162598,-1.22168,-1.07373,-0.9140625,-0.5649414,-0.5541992,-0.784668,-0.7163086,-1.099609,-1.184082,-1.263672,-1.324707,-1.103027,-1,-0.925293,-0.8950195,-0.8134766,-0.8564453,-1.001953,-0.9643555,-0.9765625,-0.9072266,-0.8823242,-0.7768555,-0.6782227,-0.75,-0.8291016,-0.9257813,-0.9599609,-0.8774414
"ABOUT1,ALZ",-0.05859375,0.2001953,0.4936523,0.4516602,0.4414063,0.3198242,0.3129883,0.2729492,0.3500977,0.3227539,0.296875,0.2792969,0.1918945,0.1162109,0.07519531,0.07519531,-0.09033203,0.04980469,-0.05273438,-0.1464844,0.007324219,0.175293,0.3251953,0.2490234,0.1655273,0.1875,0.07226563,-0.0625,-0.1049805,0.02099609,0.06152344,0.159668,0.2260742,0.07763672,0.2368164,0.1518555,0.1787109,0.1826172,0.1977539,0.1865234,0.1733398,0.3398438,0.3305664,0.3657227,0.4648438
"ABOUT1,ARX",-0.1044922,0.2939453,0.1831055,-0.07324219,-0.02880859,-0.1030273,-0.004394531,0.128418,0.1762695,0.2041016,0.1474609,0.2021484,0.1850586,0.1425781,0.1586914,0.2128906,0.2021484,0.1577148,0.1513672,0.15625,0.1552734,0.1821289,0.1889648,0.206543,0.2260742,0.2211914,0.1826172,0.1713867,0.1787109,0.1816406,0.2050781,0.1826172,0.15625,0.1376953,0.1240234,0.2158203,0.2143555,0.2138672,0.1064453,0.008300781,-0.06738281,-0.015625,-0.2939453,-0.519043,-0.7587891
"ABOUT1,ARY",0.8852539,0.5478516,0.6171875,0.7807617,0.7036133,0.859375,0.8139648,0.8686523,0.8618164,0.8886719,0.9262695,0.9238281,0.9384766,0.9501953,0.9414063,0.9179688,0.9023438,0.9116211,0.9077148,0.8886719,0.8886719,0.8862305,0.8969727,0.9003906,0.9003906,0.9160156,0.918457,0.9287109,0.9194336,0.9047852,0.8891602,0.8857422,0.8647461,0.9472656,0.9755859,0.9038086,0.8911133,0.8447266,0.7529297,0.7695313,0.7905273,0.6933594,1.006836,0.6845703,0.9047852
"ABOUT1,ARZ",0.3535156,0.3041992,0.2319336,0.3168945,0.4038086,0.434082,0.4560547,0.40625,0.3686523,0.3383789,0.3969727,0.4057617,0.3520508,0.3452148,0.3623047,0.4208984,0.3925781,0.4145508,0.4199219,0.3847656,0.3706055,0.3676758,0.3862305,0.3974609,0.3911133,0.4179688,0.4282227,0.4204102,0.4130859,0.4125977,0.4067383,0.4082031,0.3808594,0.2944336,0.4272461,0.4042969,0.3837891,0.3779297,0.34375,0.2739258,0.3818359,0.4736328,0.4370117,0.4125977,0.3945313
"ABOUT1,EMG0L",-2,-2,-2,-3,-3,-1,-3,-2,3,-1,1,0,-2,3,-1,-2,1,-6,-1,20,12,-23,-7,-5,-4,1,8,14,-7,2,-7,5,-13,1,9,-1,0,-1,-1,-2,-3,0,-7,2,-8
"ABOUT1,EMG1L",-10,-1,3,2,1,3,-16,-5,1,-5,6,-6,-4,2,-1,1,-7,-75,0,8,34,9,11,-16,-6,-4,-2,21,-44,27,10,6,-19,-13,2,-5,-8,8,1,-5,0,-3,-13,1,1
"ABOUT1,EMG2L",-13,-3,-1,3,12,-17,-17,-25,8,-29,12,12,-15,5,5,7,-9,11,-8,-13,29,-34,19,-1,30,-17,0,-14,33,15,16,-12,26,-1,12,1,3,-8,-1,-1,3,-1,-3,0,-3
"ABOUT1,EMG3L",-35,-1,-21,-16,55,-52,-30,-40,33,-87,17,-64,-8,20,7,54,-8,4,8,-11,12,-8,23,18,11,-47,-13,45,75,44,-8,-35,11,-9,-6,-3,17,-44,8,-7,8,3,-2,-1,-8
