dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"CAN1,ALX",-0.9194336,-0.9707031,-0.9707031,-0.8876953,-0.6665039,-0.3134766,-0.09326172,0.1889648,0.1445313,0.09863281,0.105957,0.105957,0.1113281,0.1049805,-0.01171875,-1.115723,-0.5932617,-0.5908203,-0.6943359,-0.5766602,-0.4140625,-0.4750977,-0.5131836,-0.4453125,-0.565918,-0.5654297,-0.5854492,-0.9140625,-0.862793,-0.9257813,-1.066406,-0.3164063,-1.419922,-1.441406,-0.9462891,-0.9448242,-0.940918,-0.9150391,-0.9189453,-0.9267578,0,0,0,0,0
"CAN1,ALY",-0.5371094,-0.6679688,-0.6679688,-0.8051758,-0.9453125,-0.8681641,-0.6411133,-0.8774414,-0.6928711,-1.138672,-1.118652,-1.031738,-0.9692383,-0.9135742,-0.5297852,-1.290527,-1.350098,-0.90625,-0.8310547,-0.8325195,-0.847168,-0.8603516,-0.8383789,-0.8149414,-0.7915039,-0.777832,-0.699707,-0.6782227,-0.6181641,-0.5253906,-0.4350586,-0.2612305,-0.4550781,-0.4604492,-0.4223633,-0.4296875,-0.4165039,-0.4047852,-0.4370117,-0.4101563,0,0,0,0,0
"CAN1,ALZ",0.1552734,0.2260742,0.2260742,0.2734375,0.3759766,0.3666992,0.1230469,0.328125,0.1533203,0.2817383,0.2636719,0.2753906,0.2592773,0.2802734,0.1337891,0.6269531,0.4204102,0.3173828,0.2646484,0.277832,0.3022461,0.3759766,0.2724609,0.3149414,0.3320313,0.2666016,0.2163086,0.3291016,0.159668,0.109375,0.0703125,-0.03271484,-0.3325195,-0.300293,0.1088867,0.1010742,0.08740234,0.09667969,0.1347656,0.1201172,0,0,0,0,0
"CAN1,ARX",-0.9487305,-0.9931641,-0.9931641,-0.8061523,-0.4433594,-0.3310547,-0.002441406,0.0078125,-0.0625,0.02783203,0.004394531,-0.06103516,-0.08935547,-0.01855469,0.006347656,-0.7084961,-0.4321289,-0.5795898,-0.6308594,-0.609375,-0.5571289,-0.6733398,-0.546875,-0.5644531,-0.6015625,-0.7011719,-0.7353516,-0.7817383,-0.8476563,-0.984375,-1.029297,-0.9941406,-0.9492188,-0.9365234,-0.9345703,-0.9677734,-0.949707,-0.9423828,-0.9453125,-0.9526367,0,0,0,0,0
"CAN1,ARY",0.5,0.5673828,0.5673828,0.7304688,0.7822266,0.8842773,0.9223633,0.8544922,1.02002,1.070801,1.045898,1.008789,0.9555664,0.8217773,0.2578125,1.272949,0.9658203,0.7973633,0.7617188,0.7822266,0.7758789,0.7636719,0.7670898,0.6938477,0.7016602,0.8242188,0.5561523,0.6298828,0.4423828,0.3691406,0.3378906,0.3510742,0.3349609,0.3564453,0.3110352,0.315918,0.3046875,0.3217773,0.3183594,0.3183594,0,0,0,0,0
"CAN1,ARZ",0.04980469,0.1025391,0.1025391,0.1982422,0.2050781,0.2006836,0.1982422,0.1025391,0.2060547,0.09619141,0.04296875,0.1162109,0.1118164,0.1381836,-0.1547852,0.1020508,0.04101563,0.1665039,0.1386719,0.1547852,0.1459961,0.1826172,0.1743164,0.1948242,0.1889648,0.1738281,0.2290039,0.1606445,0.1982422,0.1230469,-0.01318359,0.07470703,0.128418,0.1191406,0.08544922,0.04980469,0.05908203,0.06738281,0.08056641,0.06494141,0,0,0,0,0
"CAN1,EMG0L",-3,-2,-2,-1,-24,-5,-51,-76,-29,-82,90,-65,-72,46,-79,-116,35,-44,-22,13,24,-7,-23,4,-12,1,1,3,-1,1,-1,-1,1,3,-1,-1,-1,-2,0,0,0,0,0,0,0
"CAN1,EMG1L",0,-1,-1,-6,-5,-6,58,64,30,-10,96,-36,-9,50,41,54,47,73,39,-26,5,-45,-9,9,-6,3,0,2,1,1,-3,-1,-2,2,0,-1,1,0,-1,-4,0,0,0,0,0
"CAN1,EMG2L",-2,0,0,-12,-4,13,-24,32,15,-3,56,-39,-33,32,84,61,68,67,-24,-29,64,11,11,-4,-3,-3,-2,1,-1,-1,-3,-2,-1,0,-2,-1,-1,-2,0,-2,0,0,0,0,0
"CAN1,EMG3L",-2,-1,-1,10,7,8,6,30,26,32,-3,5,-10,35,-16,45,127,9,-12,-78,66,72,-19,8,0,-3,4,-1,0,2,-1,1,0,0,-1,0,0,-1,-2,-1,0,0,0,0,0
