dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"COST1,ALX",-0.9501953,-0.9648438,-0.9584961,-0.9379883,-0.9638672,-0.987793,-0.9897461,-1.02002,-1.007813,-0.9824219,-0.8286133,-0.7109375,-0.5864258,0.5742188,0.4355469,0.3603516,0.4077148,0.5317383,0.6225586,0.7895508,0.8339844,0.8930664,0.8300781,0.6958008,0.2573242,0.01708984,-0.01806641,0.5493164,1.097656,-0.7426758,0.3798828,-0.3588867,-0.05224609,-0.3291016,-0.4648438,-0.4526367,-0.4228516,-0.3999023,-0.387207,-0.3725586,-0.359375,-0.2875977,-0.3647461,-0.4135742,-0.4135742
"COST1,ALY",-0.3847656,-0.3911133,-0.3974609,-0.394043,-0.3881836,-0.3818359,-0.4423828,-0.5766602,-0.6484375,-0.8032227,-1.078613,-1.044922,-0.9287109,-0.7109375,-0.7192383,-0.6298828,-0.5288086,-0.4404297,-0.4169922,-0.3867188,-0.402832,-0.4418945,-0.3969727,-0.3789063,-0.387207,-0.4355469,-0.4448242,-0.684082,-1.005371,-1.973145,-1.348633,-1.289551,-1.206543,-0.9125977,-0.8056641,-0.7861328,-0.7734375,-0.7329102,-0.7583008,-0.7446289,-0.7358398,-0.6806641,-0.6850586,-0.7670898,-0.7670898
"COST1,ALZ",0.1015625,0.1035156,0.08935547,0.09619141,0.1020508,0.09375,0.1054688,0.1586914,0.1972656,0.3208008,0.5649414,0.5996094,0.6420898,0.3798828,0.487793,0.3637695,0.2919922,0.2646484,0.171875,0.1386719,0.1079102,0.07421875,0.09472656,0.1088867,0.2070313,0.2563477,0.4248047,0.1479492,0.5214844,1.384277,0.6855469,0.6694336,0.7348633,0.5859375,0.5761719,0.5830078,0.5683594,0.5678711,0.5610352,0.5444336,0.5419922,0.5214844,0.4863281,0.5126953,0.5126953
"COST1,ARX",-0.9599609,-0.9624023,-0.9985352,-0.9594727,-0.8637695,-0.7211914,-0.4941406,-0.4013672,-0.284668,-0.2744141,-0.1733398,-0.06005859,0.06445313,0.2768555,0.2905273,0.2807617,0.2817383,0.3139648,0.2885742,0.2807617,0.2900391,0.2758789,0.2919922,0.3100586,0.277832,0.2407227,0.25,0.2382813,0.2553711,0.3227539,0.3979492,0.3647461,0.2978516,0.2832031,0.3139648,0.2836914,0.2875977,0.2548828,0.1958008,0.07617188,0.001953125,-0.02197266,-0.1376953,-0.2075195,-0.2290039
"COST1,ARY",0.3706055,0.4624023,0.4423828,0.7802734,0.9228516,0.9658203,0.9731445,0.9213867,0.8608398,0.8769531,0.7207031,0.7338867,0.7045898,0.809082,0.8271484,0.8798828,0.8989258,0.9370117,0.9287109,0.9414063,0.9355469,0.9345703,0.9511719,0.9575195,0.9702148,0.9418945,0.9140625,0.8676758,0.8491211,0.8891602,0.9204102,0.9604492,0.9501953,0.9863281,0.9428711,0.9199219,0.9194336,0.8974609,0.8706055,0.7832031,0.7285156,0.7211914,0.8222656,0.8842773,0.9599609
"COST1,ARZ",0.08691406,0.06738281,0.1196289,0.3574219,0.4423828,0.4829102,0.4492188,0.4477539,0.3935547,0.4038086,0.3745117,0.3208008,0.2817383,0.2495117,0.2490234,0.2016602,0.2089844,0.1860352,0.1879883,0.1835938,0.1943359,0.2167969,0.2114258,0.2060547,0.1923828,0.1958008,0.1865234,0.1933594,0.1958008,0.2104492,0.2504883,0.2861328,0.2495117,0.2768555,0.2124023,0.2192383,0.2265625,0.230957,0.2290039,0.2094727,0.2148438,0.2358398,0.3447266,0.3374023,0.4335938
"COST1,EMG0L",-2,0,0,-2,-2,1,-4,-4,-5,0,-1,-2,8,11,-4,3,-17,-8,21,10,-21,2,0,-7,-17,9,-1,-11,33,31,19,1,4,24,-11,21,13,15,13,6,1,-3,-6,-1,0
"COST1,EMG1L",-1,2,-2,0,-3,-2,-2,-3,-4,-18,7,7,-4,8,19,-3,9,-53,10,14,-6,37,24,7,33,-10,13,-17,35,28,50,0,-16,13,26,-40,23,4,-9,3,-9,0,-8,-2,1
"COST1,EMG2L",1,0,0,1,-8,0,-7,1,2,57,-20,-7,7,-14,15,-9,-9,6,12,29,-18,17,15,-24,9,14,10,3,-29,38,-35,60,-20,-6,32,-20,4,-2,-13,3,-8,1,-10,-2,-3
"COST1,EMG3L",1,0,-2,-1,-3,-4,2,5,15,-6,3,9,-26,-2,2,-48,5,1,9,-3,-1,3,14,-3,30,19,7,28,69,37,-94,24,18,2,41,17,15,16,12,25,6,5,3,-7,-3
