dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"FATHER1,ALX",-0.8984375,-0.9213867,-0.9467773,-0.9375,-0.9331055,-0.9707031,-0.9926758,-0.9282227,-0.9848633,-0.9912109,-0.980957,-0.940918,-0.9521484,-0.9628906,-0.9448242,-0.9526367,-0.9482422,-0.9394531,-0.9560547,-0.9223633,-0.9575195,-0.9384766,-0.953125,-0.9414063,-0.9350586,-0.9443359,-0.9526367,-0.9526367,-0.9482422,-0.9521484,-0.9550781,-0.953125,-0.9516602,-0.9379883,-0.9311523,-0.9243164,-0.9555664,-0.9619141,-0.9599609,-0.9541016,-0.949707,-0.9794922,-0.9365234,-0.9541016,-0.9648438
"FATHER1,ALY",0.3251953,0.3959961,0.2587891,0.3496094,0.2504883,0.2021484,0.2202148,0.2143555,0.262207,0.2529297,0.2451172,0.3046875,0.3203125,0.3286133,0.3183594,0.3354492,0.3237305,0.3349609,0.3408203,0.3232422,0.3359375,0.3125,0.3310547,0.3388672,0.3295898,0.3354492,0.3154297,0.3154297,0.3193359,0.3339844,0.3334961,0.3364258,0.3203125,0.3295898,0.3388672,0.3417969,0.3251953,0.2963867,0.2875977,0.2880859,0.2998047,0.2626953,0.2670898,0.3027344,0.309082
"FATHER1,ALZ",0.002929688,0.09033203,0.1352539,0.1791992,0.2387695,0.07666016,0.009765625,0.05224609,0.1186523,0.09619141,0.08105469,0.1118164,0.08007813,0.06542969,0.03369141,0.05908203,0.04931641,0.04736328,0.04296875,0.05664063,0.05371094,0.04443359,0.04638672,0.05566406,0.04736328,0.04345703,0.04589844,0.04589844,0.04394531,0.05126953,0.04980469,0.04931641,0.01416016,0.02929688,0.03320313,0.06787109,0.08642578,0.06103516,0.02783203,0.02880859,0.03759766,0.009277344,0.004394531,0.06542969,0.07763672
"FATHER1,ARX",-1.060547,-1.024414,-0.6362305,-0.3676758,-0.7568359,-0.7744141,-0.8212891,-0.9941406,-0.9467773,-0.9204102,-0.8706055,-0.3764648,-0.2636719,0.3046875,0.4350586,0.5405273,0.6484375,0.8095703,0.8515625,0.8540039,0.8305664,0.7241211,0.8452148,0.9985352,0.8881836,0.8208008,0.7939453,0.7939453,0.8769531,0.7963867,0.8803711,0.8510742,0.9501953,0.7246094,0.5771484,0.3637695,-0.1938477,-0.9052734,-0.8413086,-1.086914,-1.047852,-0.8710938,-1.083008,-0.8012695,-0.9248047
"FATHER1,ARY",-0.6342773,-0.3242188,-0.440918,-0.6816406,-0.4848633,-1.1875,-0.7583008,-0.5483398,-0.7036133,-0.8432617,-0.8168945,-0.9257813,-0.9145508,-0.7768555,-0.6376953,-0.5166016,-0.4560547,-0.472168,-0.5390625,-0.4599609,-0.2382813,-0.2290039,-0.3935547,-0.5263672,-0.5141602,-0.3935547,-0.2285156,-0.2285156,-0.5454102,-0.2885742,-0.4711914,-0.4545898,-0.527832,-0.5996094,-0.5878906,-0.5869141,-0.7910156,-1.052246,-1.083984,-0.9257813,-0.4394531,-0.9160156,-0.3081055,-0.4414063,-0.3735352
"FATHER1,ARZ",0.2998047,0.3349609,0.359375,0.4780273,0.3017578,0.1640625,0.3925781,0.005371094,0.2524414,0.3046875,0.6000977,0.6630859,0.6904297,0.4018555,0.1860352,0.04980469,0.05957031,-0.06982422,-0.05371094,-0.08203125,-0.3129883,-0.5019531,-0.2109375,-0.01416016,0.09716797,-0.1069336,-0.4882813,-0.4882813,-0.09130859,-0.1347656,-0.09179688,-0.04296875,-0.1196289,-0.1879883,-0.09228516,0.1953125,0.4140625,0.578125,0.4780273,0.2641602,-0.04736328,0.1274414,0.06054688,0.1738281,0.2392578
"FATHER1,EMG0L",-1,0,-1,-4,2,0,0,-1,-1,0,-1,-2,-3,0,2,2,-2,-6,-3,-3,-4,-2,0,-2,-3,2,-3,-3,-5,-2,-4,6,-2,-2,0,-4,-1,-2,3,-2,-3,-2,-3,-2,0
"FATHER1,EMG1L",-1,-2,-1,-2,-3,1,-1,0,-2,-1,-1,-1,-2,0,-2,1,0,2,-2,-4,-2,-1,-1,-3,-3,0,-1,-1,-1,-1,-2,-2,-2,-1,-2,-3,-1,-1,0,-1,0,-2,1,-1,0
"FATHER1,EMG2L",-1,0,0,-3,-2,0,-4,0,0,-2,-2,-1,-3,-2,-1,-2,0,0,-2,-1,-1,-1,0,-1,0,-1,0,0,-1,-1,2,-1,-1,-3,-1,-4,-1,0,1,-1,-1,-1,-2,0,-1
"FATHER1,EMG3L",-3,-2,0,-2,1,1,0,-3,0,-2,-1,-1,-1,0,0,-4,-2,0,-3,0,-3,-3,1,-1,-2,2,-1,-1,-4,-1,0,-1,-1,-2,0,-2,-1,-3,1,0,0,-1,-1,-2,2
