dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"FIND1,ALX",-0.9458008,-0.9453125,-0.9423828,-0.9804688,-0.9863281,-0.9365234,-0.9013672,-0.6191406,-0.0234375,0.09228516,0.1010742,0.3647461,0.5,0.6118164,0.6142578,0.4418945,0.4101563,0.4819336,0.6640625,0.6826172,0.6391602,0.6328125,0.6274414,0.6083984,0.7001953,0.5478516,0.5029297,0.3007813,0.3364258,0.3764648,0.3208008,0.2519531,-0.05615234,-0.2773438,-0.5756836,-1.107422,-1.121582,-1.191406,-0.5195313,-0.9775391,-0.9746094,0,0,0,0
"FIND1,ALY",-0.3891602,-0.4013672,-0.3989258,-0.3930664,-0.5820313,-0.8227539,-1.025391,-1.121582,-0.9291992,-0.6679688,-0.6162109,-0.6933594,-0.8916016,-1.028809,-1.088867,-0.8237305,-0.8256836,-0.5424805,-0.7397461,-0.7851563,-0.7358398,-0.7636719,-0.7636719,-0.7719727,-0.8242188,-0.5678711,-0.6953125,-0.5380859,-0.7207031,-0.7558594,-0.7495117,-0.9301758,-0.909668,-0.9882813,-1.030273,-0.9213867,-0.5009766,-0.4492188,-0.309082,-0.3266602,-0.331543,0,0,0,0
"FIND1,ALZ",0.140625,0.140625,0.1435547,0.112793,0.1665039,0.1503906,0.3774414,0.421875,0.3623047,0.253418,0.2285156,0.1586914,0.1044922,0.1113281,0.1191406,0.2358398,-0.1591797,-0.1401367,-0.1313477,-0.1303711,-0.1259766,-0.1083984,-0.09619141,-0.112793,-0.1206055,-0.07275391,-0.04736328,0.09960938,0.2412109,0.1572266,0.1992188,0.2416992,0.3959961,0.3120117,0.3242188,0.3447266,0.1972656,0.07275391,-0.2753906,0.08691406,0.06640625,0,0,0,0
"FIND1,ARX",-0.9570313,-0.953125,-0.9448242,-0.9672852,-0.9550781,-0.956543,-0.9477539,-0.9736328,-0.9501953,-0.9604492,-0.9614258,-0.9521484,-0.949707,-0.9433594,-0.9604492,-0.9389648,-0.9414063,-0.965332,-0.9560547,-0.9370117,-0.9472656,-0.9501953,-0.953125,-0.9487305,-0.9453125,-0.9438477,-0.9511719,-0.9448242,-0.9521484,-0.953125,-0.9458008,-0.9550781,-0.9438477,-0.9658203,-0.9643555,-0.9438477,-0.9394531,-0.9584961,-0.9570313,-0.9750977,-0.9526367,0,0,0,0
"FIND1,ARY",0.3017578,0.2924805,0.296875,0.2861328,0.2910156,0.2866211,0.3100586,0.3110352,0.2993164,0.2944336,0.2856445,0.3110352,0.34375,0.3359375,0.3369141,0.3007813,0.3037109,0.3095703,0.3344727,0.3276367,0.3266602,0.3105469,0.315918,0.3217773,0.3144531,0.2988281,0.315918,0.2978516,0.2998047,0.3081055,0.3208008,0.3208008,0.3071289,0.3041992,0.3164063,0.3105469,0.309082,0.2817383,0.284668,0.2929688,0.2841797,0,0,0,0
"FIND1,ARZ",0.06005859,0.05419922,0.06396484,0.05175781,0.05273438,0.05322266,0.07421875,0.06738281,0.05029297,0.04980469,0.05810547,0.06542969,0.07470703,0.09375,0.07714844,0.07421875,0.06933594,0.06787109,0.078125,0.07226563,0.07324219,0.06494141,0.06835938,0.0703125,0.06298828,0.05908203,0.0625,0.06494141,0.06982422,0.06982422,0.06982422,0.07128906,0.06152344,0.07568359,0.06738281,0.06640625,0.07080078,0.05859375,0.06835938,0.05419922,0.05761719,0,0,0,0
"FIND1,EMG0L",-1,-1,-3,0,-1,-5,2,-22,4,16,14,10,12,4,14,-18,14,-12,-29,-16,-6,2,-7,12,-22,-44,34,46,-11,-9,-3,-14,7,1,0,0,-2,-4,-8,1,-2,0,0,0,0
"FIND1,EMG1L",0,0,-1,-2,0,-3,-21,40,28,12,-3,13,9,-5,-7,-11,-20,46,-18,-17,16,20,-5,10,54,62,31,-18,-15,-25,-3,-44,2,-4,0,2,2,-3,-9,2,0,0,0,0,0
"FIND1,EMG2L",-1,-3,-1,1,-2,-6,-5,-4,25,8,19,-9,-14,3,-12,-14,-14,-47,38,-30,78,25,-27,7,-12,27,-2,-10,7,-2,0,-3,1,-2,-1,1,-1,-3,0,-2,-2,0,0,0,0
"FIND1,EMG3L",-1,0,-1,1,-2,0,-9,-33,-32,-2,12,-3,-5,7,3,32,16,-2,31,-64,25,-36,-17,21,21,-24,-12,-6,-1,1,2,-11,-1,-2,-5,0,3,-3,-1,-1,0,0,0,0,0
