dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"GOLD1,ALX",-0.9482422,-0.9423828,-0.9296875,-0.9296875,-0.9194336,-0.9321289,-1.017578,-0.9213867,-0.9262695,-1.103027,0.06396484,0.3452148,0.440918,0.4453125,0.9394531,0.925293,0.9179688,0.8842773,0.8486328,0.8491211,0.847168,1.089355,0.9301758,0.7294922,0.5195313,0.5566406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GOLD1,ALY",-0.3867188,-0.4047852,-0.3935547,-0.4057617,-0.3735352,-0.3774414,-0.3935547,-0.4169922,-0.4121094,-0.6542969,-0.7080078,-0.7133789,-0.4101563,-0.06005859,-0.2543945,-0.2617188,-0.2290039,-0.2490234,-0.2675781,-0.2607422,-0.3911133,-0.3896484,-0.2807617,-0.7841797,-1.108887,-0.3076172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GOLD1,ALZ",0.1181641,0.1157227,0.1186523,0.1210938,0.1206055,0.1396484,0.1518555,0.1049805,0.1347656,0.2226563,0.7666016,0.6958008,0.5517578,0.3920898,-0.1376953,-0.1254883,-0.1166992,-0.1176758,-0.08056641,-0.005859375,-0.03173828,0.06884766,0.4360352,0.4033203,0.5253906,0.5283203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GOLD1,ARX",-0.9560547,-0.9584961,-0.9521484,-0.9462891,-0.9433594,-0.9926758,-0.9775391,-0.953125,-0.972168,-0.9516602,-0.9614258,-0.9785156,-0.9458008,-0.9536133,-0.9526367,-0.9638672,-0.9604492,-0.9550781,-0.9580078,-0.949707,-0.953125,-0.9423828,-0.949707,-0.965332,-0.9428711,-0.940918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GOLD1,ARY",0.2856445,0.2929688,0.2817383,0.277832,0.2871094,0.2988281,0.2929688,0.2714844,0.3007813,0.2807617,0.2954102,0.2641602,0.2705078,0.2978516,0.2963867,0.3066406,0.3051758,0.3017578,0.2993164,0.3110352,0.315918,0.3027344,0.3325195,0.3081055,0.293457,0.3134766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GOLD1,ARZ",0.07617188,0.07226563,0.06982422,0.06933594,0.07226563,0.08056641,0.06201172,0.06640625,0.07324219,0.05957031,0.04785156,0.03808594,0.02636719,0.07275391,0.04589844,0.05957031,0.06835938,0.05126953,0.05517578,0.06738281,0.05175781,0.07714844,0.08251953,0.07763672,0.05810547,0.07080078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GOLD1,EMG0L",-7,-2,0,0,1,-6,0,0,3,-3,-6,-16,-7,-10,-4,-5,-1,1,2,-2,-17,-7,-1,-3,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GOLD1,EMG1L",-16,-4,-7,3,1,-25,2,1,6,3,-9,-16,-25,-6,18,-15,-3,-4,6,3,-44,-20,-55,1,-6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GOLD1,EMG2L",-4,-4,3,-1,-2,1,16,-6,-4,-43,30,8,-59,7,58,-43,2,2,2,29,-56,-37,-40,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GOLD1,EMG3L",1,2,-2,-1,-9,8,2,-2,1,-34,76,-56,-4,9,18,-40,-38,-32,-8,8,7,-5,-2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GOLD1,EMG4L",-1,-1,-3,1,0,2,-2,-2,2,2,34,-8,-6,-2,-13,-11,-14,2,-25,-3,3,-19,-4,-10,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
