dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"GOODNIGHT1,ALX",-0.8920898,-0.8554688,-0.7290039,-0.5415039,-0.3666992,-0.04736328,0.09277344,0.2641602,0.3857422,0.4765625,0.5898438,0.5683594,0.6918945,0.6494141,0.5429688,0.6606445,0.9619141,1.041504,0.8378906,0.8603516,0.6899414,0.3759766,0.04003906,0.206543,-0.02050781,0.06201172,-0.01367188,0.1069336,0.07177734,0.06884766,0.07568359,0.05859375,0.04589844,0.06689453,0.04492188,0.1240234,0.09619141,0.1113281,0.1098633,0.03466797,-0.07275391,0.08203125,-0.02490234,0.01416016,-0.1137695
"GOODNIGHT1,ALY",-0.8442383,-0.8881836,-0.8632813,-0.7900391,-0.6328125,-0.4907227,-0.4350586,-0.3691406,-0.3198242,-0.3349609,-0.3417969,-0.4550781,-0.5107422,-0.5644531,-0.5517578,-0.8374023,-0.5053711,-0.387207,-0.3037109,-0.2578125,-0.2963867,-0.4067383,-0.5024414,-0.6635742,-1.166504,-1.385742,-1.219727,-1.182129,-1.122559,-1.064941,-1.019531,-0.9785156,-1.027344,-0.9804688,-0.9799805,-1.041992,-0.956543,-1.019043,-1.032227,-0.9614258,-0.9472656,-0.921875,-0.9912109,-0.9458008,-0.8525391
"GOODNIGHT1,ALZ",0.4609375,0.6982422,0.8339844,0.8105469,0.7827148,0.6445313,0.675293,0.4829102,0.4277344,0.3735352,0.3847656,0.4316406,0.5488281,0.6030273,0.8066406,0.8413086,0.4663086,-0.1035156,0.1108398,0.05273438,0.09130859,0.159668,0.02978516,-0.06933594,0.04101563,0.1074219,0.09912109,0.1074219,0.04199219,0.08544922,0.1005859,0.1000977,0.09667969,0.1582031,0.1489258,0.1816406,0.15625,0.2075195,0.1513672,0.15625,0.1518555,0.1850586,0.2915039,0.3569336,0.4291992
"GOODNIGHT1,ARX",-0.9165039,-0.9282227,-0.8847656,-0.7148438,-0.5288086,-0.3867188,-0.2753906,-0.1616211,-0.2241211,-0.07080078,-0.02148438,0.06347656,0.2412109,0.4951172,-0.1972656,0.07910156,0.0859375,0.1191406,0.01074219,0.1547852,0.04980469,0.01953125,-0.08886719,-0.1499023,-0.1152344,0.03710938,0.01171875,0.005859375,-0.06201172,-0.1132813,-0.3320313,-0.2119141,-0.3188477,-0.09912109,-0.1274414,0.2626953,-0.1323242,-0.1625977,-0.2119141,-0.2026367,-0.2446289,-0.2172852,-0.3413086,-0.3510742,-0.4018555
"GOODNIGHT1,ARY",0.5541992,0.6025391,0.7114258,0.6420898,0.6386719,0.652832,0.6298828,0.6083984,0.7177734,0.6865234,0.7602539,0.8012695,0.809082,0.5351563,1.182129,0.6806641,0.9941406,0.9375,0.9819336,0.9506836,0.9516602,0.8598633,0.9311523,0.9790039,0.921875,1.025879,1.07373,1.051758,1.047363,1.018066,0.8754883,0.9716797,0.8129883,0.9755859,0.9770508,1.128418,1.050293,0.9731445,0.918457,0.9057617,0.8378906,0.84375,0.8828125,0.9467773,0.8476563
"GOODNIGHT1,ARZ",0.3203125,0.3842773,0.4970703,0.5258789,0.4814453,0.5083008,0.4941406,0.5146484,0.5864258,0.6000977,0.6333008,0.6074219,0.5175781,-0.402832,0.8588867,0.6088867,0.5400391,0.4326172,0.3198242,0.2128906,0.1362305,0.09619141,0.02783203,0.07421875,0.02392578,-0.05615234,-0.08789063,-0.1206055,-0.06298828,-0.06933594,-1.054688,0.7026367,0.02197266,-0.05517578,-0.01757813,0.9750977,-0.1015625,-0.01708984,-0.003417969,0.03222656,0.1030273,0.07080078,0.1884766,0.2177734,0.2578125
"GOODNIGHT1,EMG0L",-1,-3,-8,0,4,-8,-1,9,2,-5,-7,-13,1,2,2,-10,44,-2,-2,-74,-92,50,-35,8,-6,-8,15,-2,-30,12,17,7,1,-27,-9,5,-27,5,-2,-11,5,-5,1,2,-2
"GOODNIGHT1,EMG1L",2,-3,-2,0,-7,-3,2,5,0,2,-2,-5,1,-2,-2,-30,12,51,66,-68,-18,88,-10,78,-69,-17,-21,75,-21,52,11,33,-21,14,-50,5,-12,-4,-11,-1,-4,-5,-1,0,0
"GOODNIGHT1,EMG2L",-2,-3,4,0,-1,5,-8,-4,8,-19,6,2,-7,0,6,-4,34,18,-17,-6,-74,27,25,12,-1,-46,-59,-5,-3,-20,3,7,-6,-6,-16,2,-7,1,-5,5,-3,-3,0,0,-1
"GOODNIGHT1,EMG3L",-28,-4,18,28,11,15,-1,1,21,-4,16,-9,-34,-3,15,-8,-16,35,-3,-74,-77,31,39,49,31,14,-70,24,-4,-3,17,3,2,18,-33,0,-2,-3,1,10,-6,-4,-2,0,-1
