dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"HURT1,ALX",-0.9350586,-0.9306641,-0.9311523,-0.9467773,-0.9091797,-0.9804688,-0.9506836,-0.9614258,-0.8349609,-0.5463867,-0.2431641,-0.1220703,-0.05273438,0.02587891,0.1591797,0.06738281,0.02978516,-0.2304688,-0.08447266,-0.05126953,-0.03808594,-0.03955078,-0.003417969,-0.01367188,-0.2084961,-0.06396484,-0.04541016,-0.02246094,-0.05175781,-0.03369141,-0.06933594,-0.08203125,-0.2583008,-0.3481445,-0.3945313,-0.4638672,-0.5795898,-0.6274414,0,0,0,0,0,0,0
"HURT1,ALY",-0.4248047,-0.4135742,-0.4072266,-0.4179688,-0.5053711,-0.5859375,-0.6162109,-0.6865234,-0.6865234,-0.7875977,-0.6918945,-0.7060547,-0.5888672,-0.5175781,-0.6152344,-0.7705078,-1.044922,-1.248535,-0.8212891,-0.6567383,-0.6118164,-0.5737305,-0.550293,-0.7329102,-1.050781,-0.6938477,-0.734375,-0.7226563,-0.6958008,-0.7290039,-0.7104492,-0.6616211,-0.7944336,-0.8100586,-0.7856445,-0.78125,-0.7841797,-0.7602539,0,0,0,0,0,0,0
"HURT1,ALZ",0.1665039,0.1611328,0.1845703,0.1801758,0.1489258,0.06201172,0.2011719,0.3388672,0.5014648,0.5986328,0.5893555,0.5844727,0.7744141,0.8481445,0.7441406,0.7216797,0.5737305,0.3422852,0.6455078,0.8706055,0.855957,0.9228516,0.9038086,0.7978516,0.4902344,0.7524414,0.8134766,0.7709961,0.7724609,0.7480469,0.7299805,0.6723633,0.6123047,0.5917969,0.5507813,0.519043,0.4956055,0.4658203,0,0,0,0,0,0,0
"HURT1,ARX",-0.9648438,-0.9829102,-0.9135742,-0.972168,-1.074219,-1.064453,-1.010742,-0.8334961,-0.715332,-0.5634766,-0.3081055,-0.3085938,-0.1357422,-0.05957031,0.03125,-0.2573242,-0.3881836,-0.1992188,-0.1269531,-0.06835938,-0.1201172,-0.1860352,-0.06982422,-0.1674805,-0.1020508,-0.1464844,-0.1474609,-0.1748047,-0.1977539,-0.1870117,-0.3491211,-0.3857422,-0.449707,-0.4746094,-0.5449219,-0.565918,-0.7592773,-0.7802734,0,0,0,0,0,0,0
"HURT1,ARY",0.2578125,0.2475586,0.3212891,0.3193359,0.4101563,0.1767578,0.4873047,0.6577148,0.7109375,0.7041016,0.7182617,0.7387695,0.7407227,0.7602539,0.8496094,1.088867,1.143066,0.9775391,0.9008789,0.7866211,0.7480469,0.7563477,0.875,1.025879,0.894043,0.8422852,0.871582,0.8535156,0.8398438,0.7973633,0.8037109,0.7963867,0.840332,0.7485352,0.7255859,0.7431641,0.6787109,0.6269531,0,0,0,0,0,0,0
"HURT1,ARZ",0.01953125,0.03076172,0.05273438,0.02587891,-0.05615234,-0.1074219,0.2099609,0.2949219,0.3408203,0.4248047,0.4194336,0.4604492,0.565918,0.6049805,0.4775391,0.2734375,0.2314453,0.3325195,0.5253906,0.6289063,0.6953125,0.6923828,0.4868164,0.3432617,0.4580078,0.5024414,0.5302734,0.5185547,0.5146484,0.4790039,0.4458008,0.4633789,0.453125,0.3725586,0.3608398,0.3266602,0.2597656,0.2436523,0,0,0,0,0,0,0
"HURT1,EMG0L",0,-1,-1,1,-13,-1,8,-4,1,-13,6,-1,-11,-5,0,0,0,-10,-12,-7,-6,4,-8,7,-4,4,1,-6,-3,9,-1,2,-3,1,1,1,1,2,0,0,0,0,0,0,0
"HURT1,EMG1L",0,0,-1,-2,-12,-2,4,12,16,-9,-11,4,7,9,13,-8,-10,-19,36,-68,-9,4,-4,-67,1,2,36,-34,-17,9,-3,-1,-3,-2,-2,-1,-1,0,0,0,0,0,0,0,0
"HURT1,EMG2L",-1,-1,-3,-1,-4,-8,27,1,48,-13,17,-64,-72,17,24,-41,64,-70,20,15,11,12,-20,-24,13,13,12,-5,56,0,3,0,2,1,-3,0,1,-4,0,0,0,0,0,0,0
"HURT1,EMG3L",-1,2,0,0,-3,-1,2,4,14,-4,22,-25,-12,-13,-6,-7,1,-4,7,-24,18,6,3,-4,7,5,14,5,-1,-5,-6,0,2,-2,-2,0,-1,0,0,0,0,0,0,0,0
