dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"CAT1,ALX",0.931641,0.920898,0.962402,0.902344,0.792969,0.548828,0.234375,-0.22168,-0.446777,-0.490234,-0.510742,-0.492676,-0.460938,-0.184082,-0.826172,-0.823242,-0.810059,-0.807129,-0.812012,-0.810059,-0.811523,-0.78125,-0.870606,-0.844238,-0.796875,-0.796875,-0.778809,-0.819824,-0.833984,-0.846191,-0.822754,-0.84375,-0.84375,-0.835449,-0.813477,-0.816406,-0.779785,-0.554688,-0.448242,-0.38916,-0.332031,-0.196289,-0.0458984,0.463379,0.86084
"CAT1,ALY",0.42334,0.444824,0.703613,0.818848,0.914063,1.03272,0.931641,0.952148,0.651367,0.627441,0.46875,0.402344,0.422363,0.472656,0.553223,0.527832,0.528809,0.513184,0.52832,0.518555,0.526856,0.540039,0.508301,0.538086,0.499023,0.499023,0.644043,0.582031,0.57666,0.589844,0.54834,0.611816,0.562012,0.566406,0.585449,0.576172,0.557617,0.49707,0.470215,0.589844,0.772949,0.861328,0.922852,0.915039,0.916992
"CAT1,ALZ",-0.106934,-0.0634766,0.00341797,0.065918,0.167481,0.288574,0.370117,0.416016,0.335938,0.149414,0.0722656,-0.104004,-0.271484,-0.0551758,-0.246094,-0.25293,-0.204102,-0.222168,-0.218262,-0.241699,-0.245606,-0.333008,-0.455078,-0.434082,-0.0888672,-0.0888672,0.193359,0.166016,0.0766602,0.0449219,0.065918,0.0419922,0.0429688,0.0698242,0.0610352,0.0341797,0.0498047,0.0610352,0.0869141,0.134277,0.228516,0.223633,0.24707,0.125977,0.0336914
"CAT1,ARX",0.916992,0.921875,0.915527,0.908691,0.917969,0.926269,0.916992,0.925293,0.915039,0.911133,0.904785,0.918457,0.921387,0.905273,0.89209,0.898438,0.896484,0.913574,0.908691,0.905762,0.902344,0.904785,0.914551,0.902344,0.896484,0.90625,0.914551,0.913574,0.909668,0.904297,0.913086,0.912109,0.90332,0.897949,0.913574,0.906738,0.899414,0.877441,0.922363,0.947754,0.927246,0.894043,0.895996,0.932617,0.918457
"CAT1,ARY",-0.357422,-0.375977,-0.35791,-0.358398,-0.373047,-0.383301,-0.368164,-0.364746,-0.37207,-0.368164,-0.360352,-0.353516,-0.333496,-0.365234,-0.397949,-0.390137,-0.375977,-0.38623,-0.38916,-0.383789,-0.369141,-0.366699,-0.373047,-0.359863,-0.368164,-0.395996,-0.379395,-0.391113,-0.391113,-0.378906,-0.372559,-0.367676,-0.362305,-0.378418,-0.379883,-0.374023,-0.380859,-0.375977,-0.375488,-0.356445,-0.372559,-0.390625,-0.402344,-0.399414,-0.378418
"CAT1,ARZ",-0.158691,-0.170898,-0.166016,-0.165527,-0.165039,-0.167481,-0.159668,-0.161133,-0.167481,-0.160156,-0.157227,-0.165039,-0.186523,-0.18457,-0.167481,-0.166992,-0.166016,-0.166016,-0.165527,-0.166016,-0.176269,-0.178223,-0.185059,-0.178223,-0.167969,-0.167481,-0.169922,-0.15625,-0.156738,-0.162598,-0.158203,-0.165039,-0.169434,-0.167969,-0.175781,-0.166992,-0.155273,-0.145019,-0.152344,-0.172852,-0.198731,-0.18457,-0.17041,-0.162109,-0.160156
"CAT1,EMG0L",1,-4,-2,-4,6,-4,9,-3,-16,12,-28,-24,-18,-11,-9,-21,6,32,3,-11,19,4,0,-11,8,-8,-10,-3,47,-10,-4,-4,-14,-13,-4,-2,-2,0,-2,2,-1,0,0,-1,0
"CAT1,EMG1L",-1,-1,0,-5,13,-10,1,-2,-4,10,-11,-8,-17,-7,-1,-5,-3,-1,2,-1,12,-2,2,-2,-1,-6,-5,-1,9,-2,1,-1,-4,-4,-1,-4,0,1,-1,0,2,-3,2,1,-2
"CAT1,EMG2L",0,1,4,-2,11,-5,6,6,3,8,-6,-7,-14,-5,4,0,-4,-5,4,1,5,-3,-3,-4,-7,-2,-3,-3,2,2,-1,-4,5,-5,-3,-2,1,1,0,1,-2,-3,0,-4,-1
"CAT1,EMG3L",1,0,-1,-3,3,6,-5,1,0,4,0,-7,-13,-5,3,-2,-3,-3,3,1,2,-2,-8,-10,-1,-1,1,-5,0,12,-1,1,13,-1,-7,1,-2,3,-1,5,-1,2,4,-2,0
