dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"DAY1,ALX",0.8706055,0.8598633,0.8623047,0.8662109,0.8666992,0.8647461,0.8652344,0.8608398,0.8818359,0.9628906,1.021973,0.8950195,0.7514648,0.3540039,0.01806641,-0.08447266,-0.08203125,0.159668,0.2651367,-0.300293,-0.2314453,-0.2109375,-0.2548828,-0.2104492,-0.1748047,-0.1865234,-0.4179688,-0.4414063,-0.5048828,-0.6831055,-0.5541992,-1.041992,-1.029297,-1.032715,-1.040527,-1.008301,-0.9975586,-0.9980469,-1.002441,-0.9990234,-0.9970703,-1.005859,-1.006836,-1.010742,-0.9956055
"DAY1,ALY",0.4287109,0.4326172,0.4243164,0.4272461,0.425293,0.4287109,0.4238281,0.4301758,0.440918,0.5966797,0.8413086,1.123047,1.332031,1.128906,0.753418,0.5087891,0.4951172,0.4589844,0.7548828,0.9682617,0.949707,0.9887695,0.9960938,0.9023438,0.9516602,1.013184,1.341797,0.9140625,0.503418,0.1435547,-0.05273438,-0.02685547,0.1259766,0.1499023,0.2050781,0.1142578,0.1855469,0.1464844,0.1552734,0.1582031,0.1660156,0.2026367,0.1782227,0.152832,0.1625977
"DAY1,ALZ",-0.09667969,-0.09326172,-0.08984375,-0.09472656,-0.09521484,-0.09423828,-0.09960938,-0.09765625,-0.1152344,-0.1948242,-0.1459961,0.190918,0.4169922,0.6420898,0.65625,0.5068359,0.2651367,-0.1713867,-0.4692383,-0.3793945,-0.2944336,-0.3696289,-0.3305664,-0.2177734,-0.2788086,-0.3745117,-0.5288086,-0.3393555,0.01953125,0.3657227,0.2402344,0.1206055,0.1450195,0.1254883,0.1235352,0.1323242,0.1196289,0.1293945,0.1171875,0.1152344,0.1289063,0.1176758,0.1298828,0.1225586,0.1337891
"DAY1,ARX",0.9204102,0.9272461,0.9267578,0.9233398,0.9165039,0.9169922,0.921875,0.9912109,1.055176,1.083008,0.9194336,0.4790039,0.2041016,0.1650391,0.2788086,0.4042969,0.3959961,0.2670898,0.08642578,-0.2890625,-0.1054688,-0.04736328,-0.08251953,-0.06884766,-0.07128906,-0.0234375,-0.02783203,-0.1079102,-0.1040039,-0.1523438,-0.1298828,-0.0625,-0.06542969,-0.05810547,-0.06396484,-0.0625,-0.05810547,-0.06787109,-0.05664063,-0.05322266,-0.04882813,-0.06005859,-0.06542969,-0.06347656,-0.06445313
"DAY1,ARY",-0.3388672,-0.3344727,-0.34375,-0.3408203,-0.3496094,-0.3481445,-0.3500977,-0.3212891,-0.5512695,-0.7958984,-1.114258,-0.9760742,-0.8100586,-0.8618164,-0.8500977,-0.8745117,-0.7700195,-0.9145508,-0.8266602,-1.00293,-0.9941406,-1.025879,-0.9990234,-0.980957,-1.01416,-0.9790039,-0.9873047,-1.004395,-0.972168,-0.9912109,-0.9814453,-0.984375,-0.9824219,-0.9775391,-1.000977,-0.9960938,-0.9882813,-1.002441,-0.9907227,-0.9912109,-0.9887695,-0.9970703,-0.9931641,-0.9897461,-0.9873047
"DAY1,ARZ",-0.1616211,-0.1665039,-0.1572266,-0.1665039,-0.1777344,-0.1762695,-0.1689453,-0.2104492,-0.1386719,0.01416016,0.1606445,0.2475586,0.2954102,0.2958984,0.2260742,-0.02490234,-0.2558594,-0.3183594,-0.2211914,-0.1450195,-0.2636719,-0.2524414,-0.2207031,-0.2167969,-0.2294922,-0.2363281,-0.2543945,-0.2651367,-0.2426758,-0.1889648,-0.2382813,-0.2158203,-0.2348633,-0.2421875,-0.206543,-0.2148438,-0.2260742,-0.2080078,-0.2050781,-0.2089844,-0.2050781,-0.2084961,-0.2109375,-0.2128906,-0.2036133
"DAY1,EMG0L",-1,0,0,1,-1,0,-1,-1,1,-7,1,-1,-1,0,-1,-19,-3,0,2,2,-1,0,-4,-2,-10,1,-3,-2,2,7,4,5,0,-1,-4,-4,-1,-3,0,-3,-2,-1,0,0,0
"DAY1,EMG1L",-4,0,0,-1,-3,-2,-2,-2,-1,-17,-6,-1,3,-3,1,-8,-2,2,1,2,-2,1,-5,-5,-8,9,-2,2,4,6,2,-2,-2,-4,-4,-4,-1,-5,0,-4,1,-3,2,0,1
"DAY1,EMG2L",-1,-1,2,-1,1,-2,-1,-1,-2,-11,-2,-3,-1,-13,0,0,-1,-8,3,1,-1,3,-3,-8,-6,3,-6,-1,4,6,-1,4,-3,-5,-3,0,-3,-6,-3,-4,1,-5,3,3,2
"DAY1,EMG3L",-1,-2,-1,-2,0,-1,-1,-1,-2,-5,-1,-10,-8,-7,7,5,1,2,0,0,-1,7,-2,-3,0,-2,7,-2,-5,1,-3,-2,5,-10,-12,5,1,-6,-4,-3,-7,-1,8,-2,0
