dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"DEAF1,ALX",0.860352,0.858887,0.85791,0.857422,0.859375,0.865234,0.866211,0.949219,0.922852,0.927246,0.871582,0.617676,0.422852,0.110352,-0.236816,-0.262207,-0.415039,-0.520508,-0.618164,-0.680664,-0.698731,-0.739258,-0.716797,-0.700684,-0.709961,-0.699219,-0.680664,-0.713379,-0.711426,-0.760742,-0.790527,-0.804199,-0.817871,-1.25,-1.27441,-0.786621,-0.739746,-0.841797,-0.810547,-0.830566,-0.803711,-0.801758,-0.817383,-0.816894,-0.807129
"DEAF1,ALY",0.408203,0.414551,0.414063,0.402344,0.407227,0.416992,0.415039,0.585449,0.713867,0.966309,0.989746,1.04004,0.939453,0.945313,0.653809,0.672363,0.600586,0.580566,0.610352,0.611816,0.644531,0.62793,0.672852,0.607422,0.679688,0.657227,0.637207,0.663574,0.784668,0.772461,0.650391,0.585449,0.483398,0.160156,0.296387,0.330078,0.438965,0.334473,0.369629,0.376465,0.358398,0.377441,0.376465,0.397949,0.397461
"DEAF1,ALZ",-0.160644,-0.168945,-0.167481,-0.163574,-0.180664,-0.165527,-0.163086,-0.148926,-0.114258,-0.0532227,0.00976563,0.12207,0.145508,0.167481,-0.00341797,-0.0297852,-0.0830078,-0.192383,-0.234375,-0.275879,-0.274902,-0.290039,-0.300293,-0.226074,-0.269531,-0.285156,-0.290527,-0.370117,-0.243164,-0.188965,-0.210938,-0.219727,-0.20166,-0.0908203,-0.533691,-0.439453,-0.398438,-0.370605,-0.390137,-0.463379,-0.391602,-0.385742,-0.438477,-0.415039,-0.41748
"DEAF1,ARX",0.88916,0.88916,0.88916,0.88916,0.88916,0.88916,0.88916,0.88916,0.88916,0.88916,0.88916,0.88916,0.88916,0.88916,0.88916,0.88916,0.88916,0.88916,0.88916,0.88916,0.88916,0.88916,0.88916,0.88916,0.88916,0.88916,0.88916,0.88916,0.88916,0.88916,0.88916,0.88916,0.88916,0.88916,0.88916,0.88916,0.88916,0.88916,0.88916,0.88916,0.88916,0.88916,0.88916,0.88916,0.88916
"DEAF1,ARY",-0.40918,-0.40918,-0.40918,-0.40918,-0.40918,-0.40918,-0.40918,-0.40918,-0.40918,-0.40918,-0.40918,-0.40918,-0.40918,-0.40918,-0.40918,-0.40918,-0.40918,-0.40918,-0.40918,-0.40918,-0.40918,-0.40918,-0.40918,-0.40918,-0.40918,-0.40918,-0.40918,-0.40918,-0.40918,-0.40918,-0.40918,-0.40918,-0.40918,-0.40918,-0.40918,-0.40918,-0.40918,-0.40918,-0.40918,-0.40918,-0.40918,-0.40918,-0.40918,-0.40918,-0.40918
"DEAF1,ARZ",-0.180664,-0.180664,-0.180664,-0.180664,-0.180664,-0.180664,-0.180664,-0.180664,-0.180664,-0.180664,-0.180664,-0.180664,-0.180664,-0.180664,-0.180664,-0.180664,-0.180664,-0.180664,-0.180664,-0.180664,-0.180664,-0.180664,-0.180664,-0.180664,-0.180664,-0.180664,-0.180664,-0.180664,-0.180664,-0.180664,-0.180664,-0.180664,-0.180664,-0.180664,-0.180664,-0.180664,-0.180664,-0.180664,-0.180664,-0.180664,-0.180664,-0.180664,-0.180664,-0.180664,-0.180664
"DEAF1,EMG0L",0,-1,0,1,1,1,-1,11,11,8,-1,-1,5,2,5,-1,1,5,-2,9,-1,8,2,-2,-1,4,0,4,-5,-1,-2,-4,-17,9,1,1,2,2,6,-8,1,0,-2,2,-4
"DEAF1,EMG1L",-2,-1,-1,0,1,0,-1,5,5,1,4,-1,0,5,3,-3,4,-2,-1,1,-1,4,-7,-3,0,1,-2,3,-3,-4,-1,-1,-6,2,2,3,7,-2,6,-3,0,-1,-2,-1,-5
"DEAF1,EMG2L",1,-1,0,-1,7,-2,0,4,1,-1,1,-2,1,1,0,0,0,0,-3,1,-3,1,-5,-2,-2,2,-3,-1,-5,-1,1,-7,-3,-2,2,0,6,-3,6,-4,0,-2,-4,-5,-2
"DEAF1,EMG3L",4,-2,0,1,17,-7,-1,1,2,-1,1,1,0,-4,-2,-3,-1,2,0,4,1,2,-5,-1,0,1,0,-2,1,-1,0,-5,-2,-1,-1,-1,-1,-5,1,-1,-2,-2,-7,-10,2
"DEAF1,EMG4L",-2,-1,-1,0,2,-1,-1,1,1,-2,0,2,-3,-2,-3,-1,-1,-1,1,-1,0,-1,-2,0,-1,1,0,-4,2,-3,-2,-5,-5,3,-3,0,1,-3,-2,0,-2,-1,-1,-1,0
"DEAF1,EMG5L",-1,-1,-1,-1,3,-2,0,0,0,0,-3,1,0,0,-2,0,-1,-3,0,1,1,-1,1,-1,0,-1,-2,-2,1,-4,-1,-6,-5,2,-8,1,1,-1,-3,-1,-2,0,-2,-3,-1
"DEAF1,EMG6L",-2,0,2,-2,0,-1,-2,-1,0,1,-1,-1,1,0,-1,0,0,-1,-3,1,-1,2,6,-2,1,-3,1,-3,2,-5,0,-5,-10,-1,-9,-4,0,3,0,-2,-3,-1,0,1,-1
"DEAF1,EMG7L",0,2,-1,-1,-1,0,0,4,5,0,-1,-3,3,1,0,0,-1,1,-2,2,-3,1,3,-1,2,-1,1,-2,-3,0,-1,-11,-14,2,-5,-6,-2,1,8,-6,0,0,-2,0,1
"DEAF1,EMG0R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEAF1,EMG1R",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DEAF1,EMG2R",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
