dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"FATHER1,ALX",0.9052734,0.9106445,0.9067383,0.9116211,0.9116211,0.9077148,0.9057617,0.9082031,0.8984375,0.909668,0.9033203,0.9008789,0.8896484,0.894043,0.9067383,0.9101563,0.9130859,0.8999023,0.8969727,0.8803711,0.8666992,0.9047852,0.9223633,0.8691406,0.8647461,0.8789063,0.9199219,0.8901367,0.8691406,0.8886719,0.9013672,0.9038086,0.8979492,0.8876953,0.8959961,0.9057617,0.8925781,0.8881836,0.8979492,0.902832,0.8950195,0.8950195,0.9013672,0.9013672,0.902832
"FATHER1,ALY",-0.378418,-0.3823242,-0.3847656,-0.3789063,-0.3774414,-0.3740234,-0.3813477,-0.3789063,-0.3759766,-0.3876953,-0.4306641,-0.4165039,-0.3857422,-0.359375,-0.3613281,-0.3789063,-0.4233398,-0.4555664,-0.4560547,-0.440918,-0.4243164,-0.4086914,-0.4101563,-0.3603516,-0.418457,-0.4047852,-0.4316406,-0.4086914,-0.4228516,-0.4111328,-0.4116211,-0.409668,-0.4033203,-0.4033203,-0.4169922,-0.4140625,-0.4091797,-0.4047852,-0.390625,-0.3979492,-0.3920898,-0.3979492,-0.4008789,-0.402832,-0.3979492
"FATHER1,ALZ",-0.1616211,-0.1577148,-0.1547852,-0.1586914,-0.1523438,-0.1508789,-0.159668,-0.1582031,-0.1679688,-0.1767578,-0.1591797,-0.1582031,-0.144043,-0.1416016,-0.1494141,-0.1645508,-0.1606445,-0.1586914,-0.1650391,-0.1494141,-0.15625,-0.1655273,-0.1533203,-0.1567383,-0.1547852,-0.1679688,-0.1889648,-0.1694336,-0.1606445,-0.1640625,-0.1625977,-0.1679688,-0.1523438,-0.1582031,-0.1713867,-0.1665039,-0.1713867,-0.1577148,-0.1645508,-0.1616211,-0.1699219,-0.1660156,-0.1674805,-0.1679688,-0.1616211
"FATHER1,ARX",0.8833008,0.8837891,0.8828125,0.8847656,0.8867188,0.8808594,0.9091797,1.061523,1.090332,1.074707,0.6201172,0.1484375,-0.2563477,-0.28125,-0.3867188,-0.605957,-0.7158203,-0.8061523,-0.8344727,-0.6728516,-0.6450195,-0.7631836,-0.6694336,-0.8017578,-0.6303711,-0.8100586,-0.9243164,-0.8115234,-0.7114258,-0.7578125,-0.8120117,-0.8652344,-0.7416992,-0.7744141,-0.809082,-0.8671875,-0.8706055,-0.8554688,-0.8408203,-0.8457031,-0.8520508,-0.8515625,-0.8452148,-0.8442383,-0.8388672
"FATHER1,ARY",0.3793945,0.3813477,0.3911133,0.3891602,0.3911133,0.3891602,0.3847656,0.6264648,1.101074,1.342773,1.336426,0.9736328,0.644043,0.6220703,0.1606445,0.2299805,0.2387695,0.2851563,0.4130859,0.4038086,0.125,-0.4755859,0.2939453,0.1748047,0.4506836,0.07568359,-0.1269531,0.05371094,0.2939453,0.2875977,0.07666016,-0.06884766,0.1708984,0.2475586,0.2167969,0.1982422,0.2348633,0.1914063,0.1948242,0.2060547,0.1933594,0.1850586,0.1811523,0.1669922,0.1904297
"FATHER1,ARZ",-0.09277344,-0.1079102,-0.1103516,-0.1118164,-0.1005859,-0.09863281,-0.09667969,-0.1083984,-0.09130859,0.06542969,0.2832031,0.3076172,0.1821289,0.1489258,-0.09570313,-0.1958008,-0.2685547,-0.2539063,-0.2944336,-0.2060547,-0.5410156,-1.20459,-0.2470703,-0.440918,-0.1142578,-0.7119141,-0.9702148,-0.7119141,-0.1899414,-0.3173828,-0.7739258,-0.9150391,-0.5551758,-0.3696289,-0.3901367,-0.4580078,-0.4804688,-0.480957,-0.472168,-0.4526367,-0.4726563,-0.4697266,-0.4702148,-0.4736328,-0.4594727
"FATHER1,EMG0L",0,-2,-1,-1,-2,0,0,0,-2,-1,-1,1,-2,1,-1,-1,-3,-1,0,0,-1,0,0,-1,0,1,-1,0,-3,-1,0,-1,-1,-1,-1,-3,0,0,-1,-1,-3,0,-2,-2,-3
"FATHER1,EMG1L",-2,-2,-2,0,0,-1,-3,-1,0,-1,-1,-2,1,-3,-1,-1,-1,-2,1,-2,0,-1,-1,-3,-1,-1,-1,-2,0,0,0,0,-2,-2,-2,-1,0,-2,-1,0,0,-4,-2,-1,-1
"FATHER1,EMG2L",1,-2,-3,-2,-2,-1,-1,-2,1,-1,-1,-1,-2,-2,0,-1,-1,-1,0,-1,0,0,-1,-1,0,-1,-2,-2,-2,-1,0,-2,0,-2,-1,-1,0,-2,-1,-1,-1,-1,0,1,2
"FATHER1,EMG3L",-3,-1,-1,-1,-3,-1,1,-2,-1,-2,-2,0,-2,-1,-1,-1,-1,-1,-2,-2,0,0,-1,-1,-1,-1,-1,-1,-3,-1,-1,-1,-2,-2,-2,-3,-1,-1,0,-1,-1,1,0,-3,-2
"FATHER1,EMG4L",0,-1,0,0,-2,-2,0,-2,-2,-3,-1,0,-2,-2,-2,-1,-2,-2,-1,-2,0,-2,0,-2,1,-2,-3,0,1,-2,-1,0,1,-1,-1,-1,-1,0,0,-1,-1,-1,-3,-1,-2
"FATHER1,EMG5L",-2,-2,-3,2,-1,-3,-3,-1,0,-1,0,-2,-3,-1,-1,-2,1,0,1,2,-4,0,-1,-1,0,-2,-3,0,-1,0,0,-2,-1,1,-2,-1,-1,-3,-1,-1,0,-1,-2,1,-2
"FATHER1,EMG6L",-1,1,-1,0,-1,-2,-1,-1,0,-2,0,-2,0,-1,-1,-2,-3,-2,-2,-1,-2,-2,0,1,0,-3,-1,-1,-1,0,1,-1,-3,-2,0,-1,0,0,-2,0,-2,-3,-1,-1,-1
"FATHER1,EMG7L",-2,1,-1,-3,-3,-1,0,-1,0,0,-1,2,-4,-3,-1,-1,-1,-3,-1,0,0,0,-1,0,1,-2,1,1,-1,-2,-2,-1,0,0,-2,0,1,-1,-2,-2,-2,-1,-1,-1,-3
"FATHER1,EMG0R",2,1,-1,-3,-2,3,-3,-9,-7,2,1,6,-3,4,4,-5,7,-4,5,-11,-7,0,-1,1,-3,-9,-9,15,0,7,-1,3,-2,-2,-3,0,3,-3,-6,1,-1,1,7,2,-5
"FATHER1,EMG1R",-2,-1,-3,0,0,-2,2,-10,-11,6,0,-2,1,2,1,-2,3,3,0,-7,-5,-4,-4,4,1,-4,-5,4,0,0,-3,-1,0,0,-4,0,-4,-3,-3,2,-1,2,1,1,-2
"FATHER1,EMG2R",-1,-2,-2,-1,0,1,7,-6,-6,-14,-6,-4,-1,-1,-2,-3,0,-2,-2,-2,-1,1,-4,3,3,-4,-3,6,-2,-1,-3,-2,2,1,-1,0,1,-3,-3,1,0,0,0,0,-3
"FATHER1,EMG3R",-4,0,-3,1,-2,3,0,0,-6,-8,-1,1,-3,2,-2,-3,0,-2,-2,0,-1,2,-6,5,-3,0,-1,5,1,3,0,-1,2,0,-1,0,1,-3,-2,0,1,0,0,0,1
"FATHER1,EMG4R",-2,0,0,-1,-1,0,-1,0,-4,-1,-1,-1,-2,1,0,0,1,-1,-3,1,-4,0,-3,0,1,0,-3,0,-1,-1,-1,-2,0,0,-1,0,-1,-2,-2,-3,0,-1,0,-3,-2
"FATHER1,EMG5R",-3,1,-2,0,0,2,0,-2,-3,-1,-1,-2,0,4,-3,-3,1,0,1,-2,-4,2,-1,2,3,0,-1,-1,-2,-4,-2,-1,-1,2,1,3,-2,-3,-2,1,0,1,2,0,0
"FATHER1,EMG6R",0,-2,0,-1,0,0,-2,-7,-3,2,-2,-1,0,4,-5,-2,2,-3,2,-1,-3,4,-7,6,-1,-2,0,3,4,3,-2,6,-3,14,3,4,0,4,-2,0,1,-1,0,-2,-1
"FATHER1,EMG7R",-2,-1,-3,-1,-3,-1,-2,-8,-4,0,-4,0,0,2,0,-6,4,-10,-2,11,-17,19,-11,-4,-7,-9,-6,17,3,3,-3,7,-5,14,-2,12,11,2,-8,-3,-5,0,-2,-1,-1
"FATHER1,GLX",0.125,0.25,0.3125,-0.3125,1.1875,0,1.625,5.5,7.9375,-10.5625,-21.5,-2,18.0625,25.375,23.5625,10.4375,-2.625,-6.0625,-5.25,-3.3125,0.9375,-6.9375,9.625,0.9375,-9.5,3,-0.5,2.25,-4.1875,-0.8125,-1.625,3.875,3.6875,-0.875,-2.25,-1.375,-1.125,0.375,-0.5625,0.375,0.5,-0.9375,-0.3125,-0.6875,-1.4375
"FATHER1,GLY",0.125,0.25,0.3125,-0.3125,1.1875,0,1.625,5.5,7.9375,-10.5625,-21.5,-2,18.0625,25.375,23.5625,10.4375,-2.625,-6.0625,-5.25,-3.3125,0.9375,-6.9375,9.625,0.9375,-9.5,3,-0.5,2.25,-4.1875,-0.8125,-1.625,3.875,3.6875,-0.875,-2.25,-1.375,-1.125,0.375,-0.5625,0.375,0.5,-0.9375,-0.3125,-0.6875,-1.4375
"FATHER1,GLZ",0.125,0.25,0.3125,-0.3125,1.1875,0,1.625,5.5,7.9375,-10.5625,-21.5,-2,18.0625,25.375,23.5625,10.4375,-2.625,-6.0625,-5.25,-3.3125,0.9375,-6.9375,9.625,0.9375,-9.5,3,-0.5,2.25,-4.1875,-0.8125,-1.625,3.875,3.6875,-0.875,-2.25,-1.375,-1.125,0.375,-0.5625,0.375,0.5,-0.9375,-0.3125,-0.6875,-1.4375
"FATHER1,GRX",-0.6875,-0.625,0.25,-1.5,0.875,0.3125,1.125,-48.25,-45.375,-30.5625,4.25,50.9375,125.875,112.1875,86.5,45.8125,16.4375,5.6875,-1,-40.0625,-29.5625,-36.9375,54.5625,-0.1875,-3.875,-7.875,40,42.4375,-2.6875,-14.9375,-24.6875,47.5625,11.5,19.3125,3.4375,0.125,4.125,-4.125,5.875,0,4.5,-0.25,1.875,-0.4375,-3
