dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"FIND1,ALX",0.8876953,0.8847656,0.8793945,0.8759766,0.8837891,0.8837891,0.8774414,0.8759766,0.887207,0.9106445,0.9467773,0.9331055,0.7788086,0.6767578,0.5644531,0.2646484,0.1279297,0.1987305,0.1186523,0.05615234,-0.02392578,-0.07421875,-0.03710938,-0.04101563,0.05517578,-0.2856445,-0.3120117,0.008789063,-0.08056641,-0.2456055,0.3813477,-0.09570313,-0.008789063,0.2705078,0.5732422,-0.3432617,0.2651367,0.1049805,0.5615234,0.543457,-0.1176758,-0.7470703,-0.3823242,0.2749023,-0.6943359
"FIND1,ALY",0.3818359,0.3813477,0.3881836,0.3935547,0.3813477,0.3725586,0.3676758,0.3803711,0.378418,0.4907227,0.871582,1.227051,1.186523,1.014648,0.7880859,0.6293945,0.559082,0.7045898,0.7983398,0.8769531,0.9760742,1.003906,1.046387,1.040039,0.5844727,0.8994141,0.9272461,0.8334961,1.01123,1.051758,0.9545898,1.028809,1.064453,0.949707,1.023926,1.070801,1.160156,1.141602,1.143555,1.144531,1.055664,0.7890625,0.8515625,1.138184,0.7871094
"FIND1,ALZ",-0.1015625,-0.1049805,-0.1166992,-0.1181641,-0.1083984,-0.1064453,-0.1000977,-0.1030273,-0.1040039,-0.08935547,-0.1894531,-0.1411133,0.0390625,0.1279297,0.1425781,0.02685547,-0.04736328,-0.1049805,-0.137207,-0.1362305,-0.1943359,-0.2094727,-0.1953125,-0.1918945,-0.00390625,-0.3100586,-0.2143555,-0.1098633,-0.09765625,-0.06982422,0.1591797,-0.04589844,-0.2124023,0.2797852,0.2563477,-0.4589844,-0.1333008,-0.2338867,0.347168,0.4111328,-0.4384766,-0.5424805,0.06689453,-0.1118164,-0.434082
"FIND1,ARX",0.9306641,0.9306641,0.9306641,0.9306641,0.9306641,0.9306641,0.9306641,0.9306641,0.9306641,0.9306641,0.9306641,0.9306641,0.9306641,0.9306641,0.9306641,0.9306641,0.9306641,0.9306641,0.9306641,0.9306641,0.9306641,0.9306641,0.9306641,0.9306641,0.9306641,0.9306641,0.9306641,0.9306641,0.9306641,0.9306641,0.9306641,0.9306641,0.9306641,0.9306641,0.9306641,0.9306641,0.9306641,0.9306641,0.9306641,0.9306641,0.9306641,0.9306641,0.9306641,0.9306641,0.9306641
"FIND1,ARY",-0.3706055,-0.3706055,-0.3706055,-0.3706055,-0.3706055,-0.3706055,-0.3706055,-0.3706055,-0.3706055,-0.3706055,-0.3706055,-0.3706055,-0.3706055,-0.3706055,-0.3706055,-0.3706055,-0.3706055,-0.3706055,-0.3706055,-0.3706055,-0.3706055,-0.3706055,-0.3706055,-0.3706055,-0.3706055,-0.3706055,-0.3706055,-0.3706055,-0.3706055,-0.3706055,-0.3706055,-0.3706055,-0.3706055,-0.3706055,-0.3706055,-0.3706055,-0.3706055,-0.3706055,-0.3706055,-0.3706055,-0.3706055,-0.3706055,-0.3706055,-0.3706055,-0.3706055
"FIND1,ARZ",-0.1386719,-0.1386719,-0.1386719,-0.1386719,-0.1386719,-0.1386719,-0.1386719,-0.1386719,-0.1386719,-0.1386719,-0.1386719,-0.1386719,-0.1386719,-0.1386719,-0.1386719,-0.1386719,-0.1386719,-0.1386719,-0.1386719,-0.1386719,-0.1386719,-0.1386719,-0.1386719,-0.1386719,-0.1386719,-0.1386719,-0.1386719,-0.1386719,-0.1386719,-0.1386719,-0.1386719,-0.1386719,-0.1386719,-0.1386719,-0.1386719,-0.1386719,-0.1386719,-0.1386719,-0.1386719,-0.1386719,-0.1386719,-0.1386719,-0.1386719,-0.1386719,-0.1386719
"FIND1,EMG0L",2,1,-1,-2,-1,0,-2,-1,-3,-1,0,-7,-2,2,-5,-2,7,0,0,-7,0,-2,-1,1,-3,1,38,35,3,26,-8,-9,1,12,-1,23,-1,2,-6,6,-5,-1,14,-18,-10
"FIND1,EMG1L",0,-1,1,0,-1,0,1,-1,-3,-9,-11,-1,0,0,-4,0,-1,-1,-1,-4,-1,0,0,-1,-15,17,8,14,11,47,-8,-7,8,1,8,-6,4,15,-15,11,-14,-2,19,-15,-13
"FIND1,EMG2L",0,-1,0,-2,0,2,0,1,0,-4,-6,3,-1,-1,0,-1,-1,0,0,-4,-2,-1,-1,1,-13,16,-3,-2,-4,39,-3,-3,7,0,2,-3,5,10,-11,8,-8,-6,8,-7,-6
"FIND1,EMG3L",0,0,-1,-1,0,1,0,0,0,-3,-3,2,-1,-1,0,1,0,1,-1,-2,0,0,1,-2,-2,7,-4,-4,-2,14,-1,1,0,-1,3,-1,0,4,-3,1,-5,0,0,-4,-4
"FIND1,EMG4L",1,-1,-2,1,-1,1,-1,0,-1,-1,-4,0,-2,-2,2,-1,-1,1,-1,-1,-1,0,0,0,0,3,-3,-4,-2,6,-1,-2,2,-1,-1,-1,-1,2,-1,0,-3,-2,-1,-4,0
"FIND1,EMG5L",-1,0,-1,-1,-2,-1,0,-2,0,-1,-1,-1,0,-2,2,-2,0,-1,0,-1,-2,-4,-2,0,1,-1,-3,-7,-4,4,-1,0,3,-1,0,-1,1,0,-2,1,-3,-3,0,0,-2
"FIND1,EMG6L",1,-1,0,-2,0,-2,1,1,1,-2,0,-6,-4,-2,-10,-2,4,-1,0,-3,-3,-2,1,-2,12,2,-7,-13,0,5,2,4,10,-5,-1,0,4,-1,-5,-1,-3,-5,2,1,5
"FIND1,EMG7L",2,-1,-2,-2,-1,0,0,2,1,1,-13,-6,-10,-4,-5,-9,12,1,3,-8,14,-7,4,0,19,22,-8,10,-9,2,-6,9,29,-12,-2,13,4,-8,3,-4,-2,3,25,-8,24
"FIND1,EMG0R",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
"FIND1,EMG1R",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"FIND1,EMG2R",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
