dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"GOODNIGHT1,ALX",0.8496094,0.8574219,0.8574219,0.8569336,0.8530273,0.8549805,0.8549805,0.8886719,0.934082,0.9946289,1.068359,0.9711914,0.715332,0.2241211,-0.3657227,-0.6235352,-0.3691406,-0.3652344,-0.5419922,-0.6552734,-0.6479492,-0.6318359,-0.6967773,-0.5644531,-0.2714844,-0.2011719,-0.1450195,-0.1430664,-0.2822266,-0.5756836,-0.7094727,-0.7089844,-0.6279297,-0.6074219,-0.7011719,-0.08349609,0.02050781,-0.1958008,-0.04199219,-0.1572266,-0.1049805,-0.1132813,-0.09082031,-0.1079102,-0.09326172
"GOODNIGHT1,ALY",0.4462891,0.4462891,0.4477539,0.4550781,0.4521484,0.4482422,0.4487305,0.4619141,0.4746094,0.574707,0.7197266,0.9101563,1.002441,0.7954102,0.5639648,0.6708984,0.6542969,0.6171875,0.6708984,0.6640625,0.6518555,0.5776367,0.5668945,0.7666016,0.6982422,0.7836914,0.6972656,1.008301,0.8623047,0.9726563,0.7475586,0.6118164,0.390625,0.1362305,0.2314453,0.4453125,1.374512,1.25,1.269043,1.05127,0.9755859,1.018066,0.9716797,0.9755859,0.9848633
"GOODNIGHT1,ALZ",-0.06738281,-0.07177734,-0.07128906,-0.05908203,-0.06787109,-0.06787109,-0.06689453,-0.07714844,-0.05273438,-0.05126953,0.1113281,0.3271484,0.4829102,0.425293,0.3959961,0.3208008,0.3862305,0.2324219,0.2744141,0.1884766,0.1572266,0.1591797,0.1049805,0.4228516,0.8007813,0.7709961,0.6357422,0.7695313,0.8139648,0.4614258,0.2675781,0.04589844,0.008300781,-0.1010742,-0.1000977,0.3637695,0.2363281,0.06542969,0.04541016,0.02636719,0.1425781,0.1220703,0.128418,0.1186523,0.1381836
"GOODNIGHT1,ARX",0.9140625,0.9155273,0.9116211,0.9125977,0.9106445,0.9526367,0.9770508,1.033691,1.071289,0.722168,0.3676758,0.2036133,0.1005859,0.01367188,-0.1655273,-0.2539063,-0.3237305,-0.1787109,-0.2202148,-0.2612305,-0.1894531,-0.1787109,-0.1899414,-0.06396484,-0.1889648,0.03466797,-0.1347656,-0.1035156,0.08642578,0.0859375,0.1342773,0.2197266,0.347168,0.2504883,0.2163086,0.1777344,0.1962891,0.265625,0.1416016,0.1191406,0.1787109,0.1743164,0.1694336,0.1464844,0.1762695
"GOODNIGHT1,ARY",-0.3666992,-0.3725586,-0.3740234,-0.3666992,-0.3642578,-0.4077148,-0.5327148,-0.6674805,-0.9638672,-1.035156,-0.75,-0.828125,-0.6630859,-0.6923828,-0.6533203,-0.9150391,-0.8686523,-0.9179688,-0.9482422,-0.9067383,-0.8989258,-0.8544922,-0.8852539,-1.011719,-0.7363281,-1.026855,-0.9223633,-0.8295898,-0.8393555,-0.8950195,-1.017578,-1.106934,-1.173828,-1.09668,-1.043457,-0.9941406,-0.9248047,-1,-0.9091797,-1.187988,-0.9584961,-1.040527,-0.9868164,-1.011719,-0.987793
"GOODNIGHT1,ARZ",-0.1572266,-0.1577148,-0.1606445,-0.159668,-0.1577148,-0.171875,-0.1513672,-0.05273438,0.1835938,0.3466797,0.2446289,0.3481445,0.3681641,0.2890625,0.3256836,0.4648438,0.3344727,0.3276367,0.3608398,0.4008789,0.402832,0.3691406,0.387207,0.574707,0.3095703,0.421875,0.4350586,0.3359375,0.2456055,0.2714844,0.1479492,0.08740234,0.1108398,0.01660156,0.03662109,0.004394531,0.005371094,0.06982422,0.08691406,0.08251953,0.04296875,0.06933594,0.08154297,0.08496094,0.09619141
"GOODNIGHT1,EMG0L",0,-1,0,0,-2,0,-1,-1,0,2,-3,0,-1,0,-29,1,-4,6,-8,4,-6,18,-10,11,2,-3,-4,-1,2,-4,2,2,-5,-5,-6,2,-2,1,6,5,-1,3,0,12,-5
"GOODNIGHT1,EMG1L",-2,-1,1,-1,0,0,0,1,2,7,1,6,1,-2,-10,3,-8,7,-4,10,0,4,-6,7,3,1,0,-2,4,-6,-5,-2,-3,-4,1,-6,2,0,8,1,-3,1,-2,4,-3
"GOODNIGHT1,EMG2L",-1,-2,0,-1,0,1,1,1,6,20,0,3,-8,-3,-5,3,-9,3,-1,8,6,1,-4,4,2,-5,12,-5,5,-7,-4,-2,4,-8,-3,-8,1,5,3,1,-3,-1,-4,1,-4
"GOODNIGHT1,EMG3L",-1,0,2,-2,-2,0,-1,0,2,7,-11,9,22,-13,1,10,-2,3,2,4,-1,2,0,5,3,-2,13,0,1,-1,-5,-1,16,-3,0,-5,4,12,3,4,-2,-1,-6,-1,-3
