dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"HEARING1,ALX",0.884277,0.885742,0.884766,0.893066,0.884277,0.886231,0.887695,0.890625,0.891602,0.910644,1.00147,1.17676,1.18213,0.49707,0.22168,-0.222656,-0.332031,-0.409668,-0.404785,-0.368652,-0.252441,-0.393066,-0.745117,-0.921875,-0.866211,-0.645019,-0.429199,-0.401855,-0.604492,-0.90332,-0.970215,-0.81543,-0.568848,-0.721191,-0.397949,-0.764648,-0.969238,-0.895508,-0.716797,-0.522949,-0.18457,-0.751465,-0.774414,-0.748047,-0.679199
"HEARING1,ALY",0.367188,0.367188,0.35498,0.362793,0.365234,0.35791,0.361816,0.357422,0.359375,0.362793,0.436523,0.681641,0.829102,1.1084,0.975586,0.676758,0.613769,0.46582,0.379395,0.517578,0.801758,1.00488,1.0874,0.795898,0.548828,0.481445,0.741699,0.891113,0.961426,0.880859,0.61084,0.44873,0.455078,0.743652,0.969727,0.954102,0.757813,0.531738,0.417969,0.587891,0.791992,0.837402,0.796875,0.728516,0.693848
"HEARING1,ALZ",-0.12207,-0.118164,-0.120606,-0.121094,-0.12793,-0.121582,-0.121094,-0.117188,-0.12207,-0.122559,-0.140625,-0.0551758,0.0722656,0.265625,0.29248,0.397949,0.450195,0.32959,0.18457,0.0361328,-0.0795898,-0.144043,-0.0219727,0.0327148,0.0380859,0.148438,-0.0307617,-0.140137,-0.0688477,0.0922852,0.0893555,0.0317383,0.0629883,-0.0634766,-0.202148,0.0112305,0.00488281,0.0649414,0.112793,-0.050293,-0.0610352,-0.027832,0.0244141,0.0258789,0.0175781
"HEARING1,ARX",0.92041,0.925293,0.916992,0.914063,0.917969,0.916504,0.916992,0.914551,0.919434,0.930176,0.924316,0.918457,0.916016,0.895019,0.895996,0.914063,0.923828,0.918457,0.897949,0.916992,0.933594,0.939941,0.90625,0.875488,0.914551,0.945801,0.925781,0.931152,0.936035,0.90918,0.87207,0.902832,0.910644,0.907715,0.93457,0.914551,0.900391,0.882813,0.915527,0.916504,0.937988,0.935059,0.886719,0.886231,0.912109
"HEARING1,ARY",-0.357422,-0.34668,-0.347656,-0.348633,-0.342285,-0.348633,-0.345215,-0.351074,-0.352539,-0.355957,-0.351563,-0.353516,-0.339844,-0.35791,-0.360352,-0.381836,-0.366211,-0.350098,-0.327637,-0.333496,-0.334961,-0.354492,-0.350098,-0.374023,-0.408691,-0.433105,-0.38916,-0.341797,-0.332031,-0.33252,-0.366211,-0.398926,-0.378906,-0.32666,-0.311523,-0.330566,-0.377441,-0.402344,-0.418457,-0.371094,-0.334473,-0.325195,-0.324219,-0.371094,-0.376953
"HEARING1,ARZ",-0.171875,-0.175293,-0.172363,-0.171387,-0.171875,-0.181152,-0.17334,-0.175781,-0.17334,-0.175293,-0.194336,-0.186035,-0.186523,-0.1875,-0.182129,-0.171875,-0.166992,-0.174316,-0.167481,-0.176269,-0.188965,-0.203613,-0.193848,-0.145996,-0.178711,-0.179688,-0.173828,-0.166504,-0.169434,-0.176758,-0.172852,-0.187012,-0.202637,-0.184082,-0.180176,-0.158203,-0.177246,-0.193848,-0.191406,-0.186523,-0.185547,-0.169922,-0.166992,-0.175293,-0.186035
"HEARING1,EMG0L",0,0,-2,1,-1,-3,-2,-1,-1,-2,1,-3,-1,1,-1,4,0,-3,1,4,-2,-1,0,-2,1,-4,1,0,-2,-2,-1,-1,-4,0,0,0,1,0,0,-2,5,-2,-1,-3,0
"HEARING1,EMG1L",-2,0,-1,0,0,1,0,1,-1,-2,6,-2,2,7,-6,5,2,-4,-1,3,0,-2,-2,1,-2,-3,1,-1,-4,-2,0,0,1,-4,3,-4,2,1,-2,-3,3,-2,-1,-3,1
"HEARING1,EMG2L",-1,-1,1,-2,-2,-1,0,-1,0,-5,5,3,-3,20,-18,4,0,-6,1,-2,2,-2,0,-1,-2,-1,4,5,2,-1,-1,-1,0,-2,2,0,1,-1,-1,-2,-1,-1,0,0,4
"HEARING1,EMG3L",0,-2,1,-1,-1,-1,0,0,0,0,-4,-2,-9,-4,-8,5,-1,-4,3,-5,4,-4,-1,0,-2,0,3,3,-1,0,-1,-2,-3,-1,0,0,-1,-1,-1,-1,2,-2,1,-2,3
"HEARING1,EMG4L",0,-2,-2,-2,-2,0,0,-3,-2,-1,5,5,-3,-9,-10,8,-1,5,-13,-15,-1,-7,3,1,-3,2,2,8,4,-2,0,-1,1,-2,-1,0,0,-2,3,0,3,-3,-1,-1,-3
"HEARING1,EMG5L",-1,-2,-1,-1,0,-1,-2,-1,-2,-3,1,-2,-2,2,-2,0,-1,5,-7,0,-1,-5,0,-1,-4,-1,0,-1,0,-3,-2,2,-3,-2,1,0,0,1,-4,2,2,0,1,0,-3
"HEARING1,EMG6L",0,0,-1,1,0,-1,0,-3,-1,-1,-1,-5,-2,6,0,1,-1,3,-5,9,-1,-2,1,-5,-3,-2,3,-2,-1,-1,1,2,-2,-5,0,2,-4,6,-4,3,0,5,0,0,-1
"HEARING1,EMG7L",-2,-1,-2,-2,-2,-1,0,-1,-2,-1,-1,-3,-1,3,-2,0,-2,-5,-5,5,-3,-2,1,-13,-4,-3,1,-5,1,0,9,-1,-2,-5,2,5,-2,4,-6,4,0,1,1,-2,1
"HEARING1,EMG0R",-1,-1,0,0,-1,-2,0,0,-1,-2,-1,-1,-2,-3,-1,-3,-3,0,-1,0,1,-1,0,-1,0,0,-1,0,-1,0,-1,-2,-1,-1,0,-1,-1,0,-1,-3,-2,-2,0,0,-1
"HEARING1,EMG1R",-2,-2,-1,-1,-1,1,0,-3,-2,-1,-1,-1,-1,-2,0,-2,-3,0,-1,-2,-2,-1,0,-2,-2,-1,-1,0,0,0,-1,0,-2,0,-2,0,-1,-2,-1,-1,-1,-1,-1,-2,-1
"HEARING1,EMG2R",-2,-1,-4,-1,-1,-2,-1,0,-3,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,0,-1,-2,-3,0,-1,-1,-1,-2,0,0,-2,-1,-1,-2,0,-1,0,-2,-1,-1,-1,-2,-2,-1
"HEARING1,EMG3R",-1,0,0,-1,0,1,-1,-1,-3,-2,-1,-2,-1,-2,0,-1,-2,-3,-1,-2,-1,-1,-2,-1,0,-2,-1,-1,0,-1,-2,-2,0,1,-1,-1,-1,-1,-1,-2,0,-2,0,-2,-1
"HEARING1,EMG4R",0,-1,-2,-1,-1,-2,0,-1,0,-1,-1,-2,-3,-1,0,-2,-1,-1,0,0,-1,-1,1,-2,0,0,-1,-1,0,-2,0,-1,-2,-2,0,0,-1,-2,-2,-2,1,-1,-1,1,-2
