dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"HOSPITAL1,ALX",0.8837891,0.8857422,0.8803711,0.8793945,0.8852539,0.8842773,0.8803711,0.8828125,0.887207,0.8862305,0.8808594,0.887207,0.8862305,0.9165039,0.9829102,1.02002,0.871582,0.3837891,0.3012695,0.1713867,0.008789063,0.06982422,0.2006836,0.3779297,0.112793,0.02734375,-0.02246094,-0.1352539,-0.5415039,-0.4863281,-0.3710938,-0.3271484,-0.3710938,-0.4462891,-0.2270508,-0.06396484,-0.1391602,-0.2231445,-0.2666016,-0.08837891,-0.1108398,-0.04882813,-0.05957031,-0.06884766,-0.08496094
"HOSPITAL1,ALY",0.3818359,0.3813477,0.3735352,0.3813477,0.3857422,0.3867188,0.3828125,0.3808594,0.3779297,0.3833008,0.3793945,0.3867188,0.4052734,0.4536133,0.5649414,0.7202148,0.890625,0.9130859,0.8955078,0.8203125,0.7324219,0.8188477,0.8330078,0.8974609,0.9125977,0.8925781,0.9155273,0.9575195,0.9658203,0.9345703,1.071777,1.13916,1.12793,0.6904297,0.4477539,0.6220703,0.9936523,0.9428711,0.909668,1.15625,1.079102,0.9736328,0.9399414,0.934082,0.9516602
"HOSPITAL1,ALZ",-0.1196289,-0.1152344,-0.1162109,-0.1176758,-0.1245117,-0.1103516,-0.1220703,-0.1201172,-0.1176758,-0.1118164,-0.1132813,-0.1171875,-0.1411133,-0.1723633,-0.1992188,-0.05419922,0.2231445,0.4213867,0.5537109,0.6333008,0.4892578,0.3046875,0.2192383,-0.03759766,-0.04492188,0.015625,-0.03222656,0.02197266,0.2324219,0.1801758,0.046875,0.02539063,0.2548828,0.3139648,0.1518555,0.109375,0.1298828,0.315918,0.375,0.4755859,0.3666992,0.3334961,0.2890625,0.2797852,0.2924805
"HOSPITAL1,ARX",0.9023438,0.9086914,0.9067383,0.8984375,0.8930664,0.9023438,0.9130859,0.9379883,0.940918,0.9506836,0.9394531,0.8037109,0.5844727,0.6132813,0.5166016,0.4916992,0.4946289,0.4960938,0.3813477,0.3129883,0.3286133,0.434082,0.4448242,0.4584961,0.4291992,0.418457,0.4501953,0.4545898,0.3374023,0.4243164,0.4663086,0.4296875,0.3896484,0.4404297,0.515625,0.4819336,0.4326172,0.4775391,0.4194336,0.4697266,0.4814453,0.4990234,0.4814453,0.4516602,0.4589844
"HOSPITAL1,ARY",-0.4038086,-0.4052734,-0.4023438,-0.3945313,-0.4018555,-0.4003906,-0.4067383,-0.4086914,-0.4692383,-0.5361328,-0.7172852,-0.8359375,-0.8032227,-0.7441406,-0.6567383,-0.5634766,-0.6865234,-0.8525391,-0.9257813,-0.9262695,-0.9433594,-0.8686523,-0.9082031,-0.8242188,-0.8696289,-0.8769531,-0.8930664,-0.9038086,-0.8945313,-0.9633789,-0.8886719,-0.8671875,-0.8632813,-0.8823242,-0.8857422,-0.8540039,-0.8583984,-0.8139648,-0.949707,-0.9145508,-0.8720703,-0.8496094,-0.8916016,-0.8476563,-0.8862305
"HOSPITAL1,ARZ",-0.1538086,-0.1547852,-0.1503906,-0.159668,-0.1582031,-0.1513672,-0.1494141,-0.1494141,-0.1240234,-0.09960938,0.05664063,0.2202148,0.2734375,0.3369141,0.3012695,0.25,0.2421875,0.2817383,0.3393555,0.2773438,0.2412109,0.3100586,0.2890625,0.2436523,0.2441406,0.234375,0.2124023,0.2470703,0.265625,0.2587891,0.2119141,0.2202148,0.2426758,0.2412109,0.2241211,0.206543,0.2368164,0.2382813,0.230957,0.2431641,0.2426758,0.2416992,0.2207031,0.2255859,0.2382813
"HOSPITAL1,EMG0L",1,0,0,-1,0,1,-2,-1,0,0,-2,-2,-2,0,0,3,-2,-3,0,-3,-2,0,-4,1,1,-2,-2,-1,1,-2,-2,0,0,-2,4,2,-3,-3,1,-3,0,-1,-1,-4,1
"HOSPITAL1,EMG1L",1,-2,0,-1,0,-2,-1,-1,0,-1,-2,-1,-1,0,-1,14,-1,1,2,-1,0,-2,0,0,1,-4,0,2,3,-9,-2,0,3,-4,5,-2,1,-2,0,-1,-3,-3,-3,0,0
"HOSPITAL1,EMG2L",-2,-2,1,0,-3,-1,-1,-1,0,-3,-1,1,1,-1,7,28,2,8,11,3,3,-5,-1,1,9,-4,-3,3,7,-7,-3,4,2,-3,3,0,0,-3,2,-3,-2,-7,2,-2,0
"HOSPITAL1,EMG3L",-1,1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,32,-1,15,-1,-1,12,-4,-1,0,8,-3,4,5,8,-8,-1,-1,1,-3,-1,1,1,-1,2,-9,2,-8,5,-3,0
