dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"HURT1,ALX",0.855957,0.8603516,0.8603516,0.862793,0.8598633,0.8574219,0.8579102,0.8696289,0.8847656,1.237793,0.8735352,0.3901367,0.05419922,-0.06591797,-0.006835938,-0.009765625,-0.05224609,-0.3354492,-0.4301758,-0.3881836,-0.190918,0.08984375,0.2265625,0.159668,-0.1518555,-0.2280273,-0.3452148,-0.4467773,-0.4448242,-0.2016602,0.171875,0.1567383,-0.05566406,-0.1503906,-0.2231445,-0.3208008,-0.3022461,-0.2646484,-0.206543,-0.1865234,-0.2202148,-0.1987305,-0.1176758,-0.112793,-0.1796875
"HURT1,ALY",0.4414063,0.4428711,0.4428711,0.4458008,0.440918,0.4433594,0.4394531,0.4360352,0.5385742,0.7983398,1.043945,0.7602539,0.4482422,0.5336914,0.6733398,0.8979492,0.9042969,0.8203125,0.7045898,0.668457,0.8876953,1.139648,1.182617,1.060059,0.8793945,0.8427734,0.7446289,0.6147461,0.6601563,0.9321289,1.17627,1.036621,0.9057617,0.8881836,0.8969727,0.8310547,0.8374023,0.8334961,0.8583984,0.8554688,0.8535156,0.8935547,0.9487305,0.9208984,0.8735352
"HURT1,ALZ",-0.109375,-0.112793,-0.112793,-0.1069336,-0.1176758,-0.1171875,-0.1123047,-0.1152344,-0.1767578,-0.1020508,0.1767578,0.3178711,0.4394531,0.4360352,0.4038086,0.34375,0.3271484,0.4555664,0.7192383,0.8369141,0.6196289,0.3037109,0.1147461,0.2045898,0.5410156,0.6347656,0.6713867,0.6835938,0.6640625,0.5576172,0.2094727,0.1635742,0.3461914,0.4633789,0.534668,0.5268555,0.5097656,0.5019531,0.4941406,0.4760742,0.4975586,0.487793,0.3491211,0.390625,0.46875
"HURT1,ARX",0.9101563,0.9082031,0.9135742,0.9179688,0.9101563,0.9116211,0.9511719,0.9848633,1.132813,1.162109,0.625,0.1669922,-0.001464844,0.05322266,0.1191406,0.1347656,0.05957031,-0.1767578,-0.3842773,-0.190918,0.2236328,0.4682617,0.6196289,0.3696289,0.03515625,-0.1669922,-0.3305664,-0.3623047,-0.05029297,0.4536133,0.7119141,0.449707,0.1611328,-0.02099609,-0.1420898,-0.140625,-0.0625,0.05761719,0.1103516,0.1162109,0.09570313,0.1889648,0.171875,0.09619141,0.05517578
"HURT1,ARY",-0.3564453,-0.3603516,-0.3569336,-0.3613281,-0.3544922,-0.3540039,-0.3745117,-0.5009766,-0.6508789,-0.9013672,-0.9067383,-0.5063477,-0.6005859,-0.6806641,-0.9267578,-1.001465,-0.9697266,-0.8881836,-0.8076172,-0.8652344,-1.080078,-1.17334,-1.125,-1.155273,-1.066406,-0.9492188,-0.8007813,-0.7568359,-0.9296875,-1.211914,-1.15918,-0.9770508,-1.007813,-0.9804688,-0.956543,-0.956543,-0.9829102,-1.005371,-0.9926758,-0.9926758,-0.9848633,-1.039063,-0.9980469,-0.96875,-0.9794922
"HURT1,ARZ",-0.1860352,-0.1899414,-0.1889648,-0.1889648,-0.1860352,-0.1933594,-0.1933594,-0.2294922,-0.3095703,0.01757813,0.2392578,0.2822266,0.3964844,0.3862305,0.293457,0.1279297,0.1811523,0.3173828,0.6225586,0.5595703,0.1582031,-0.09570313,-0.07861328,0.203125,0.3657227,0.3701172,0.3520508,0.4091797,0.3769531,0.1464844,-0.09179688,-0.01953125,0.2548828,0.3442383,0.3198242,0.315918,0.2861328,0.2597656,0.2158203,0.2304688,0.2348633,0.1499023,0.2026367,0.2265625,0.2724609
"HURT1,EMG0L",-3,0,1,0,-2,0,-1,0,-2,-2,-2,3,1,-1,-1,-1,-1,-2,-4,1,2,-2,0,-3,1,1,0,-3,1,-1,-4,2,1,3,-1,0,-1,1,0,1,-1,2,0,-3,2
"HURT1,EMG1L",-2,-1,-1,-1,-1,0,-2,-2,-7,2,0,4,2,-3,-1,-3,-3,-1,-1,2,1,0,2,-3,0,-1,-3,-3,-2,0,-1,1,-1,2,1,-1,-4,0,-1,-1,-2,1,0,-5,0
"HURT1,EMG2L",-2,-1,-2,0,0,-1,-5,-1,-18,6,-1,1,5,-5,1,0,-1,0,1,1,3,-1,2,-4,0,-1,0,-3,-3,-1,-4,1,0,1,0,2,-5,-2,-1,-2,-4,0,1,-2,0
"HURT1,EMG3L",3,-4,-3,3,0,-3,-2,0,-7,8,13,3,8,-6,5,2,8,-6,27,0,7,1,17,1,-6,-4,3,-4,-1,6,-1,-1,-2,0,11,6,-6,-1,-6,2,-5,6,0,-5,2
