dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"IF1,ALX",0.9003906,0.8955078,0.9033203,0.9023438,0.9047852,0.8964844,0.8925781,0.8979492,0.984375,1.227539,1.248047,0.9941406,0.1469727,-0.1362305,-0.2973633,-0.3789063,-0.5166016,-0.6567383,-0.5595703,-0.4057617,-0.7675781,-0.7993164,-0.862793,-0.8950195,-0.7324219,-0.7348633,-0.8720703,-0.9433594,-0.7661133,-0.7978516,-0.8789063,-0.8544922,-0.9116211,-0.7885742,-0.8823242,-0.8789063,-0.8554688,-0.7900391,-0.84375,-0.8959961,-0.8662109,-0.8505859,-0.8349609,-0.8613281,-0.8461914
"IF1,ALY",0.3676758,0.3520508,0.3500977,0.3461914,0.34375,0.3432617,0.3413086,0.3339844,0.4423828,0.7124023,0.9770508,1.063477,0.6933594,0.7280273,0.6005859,0.4829102,0.4946289,0.5205078,0.5439453,0.5771484,0.5839844,0.434082,0.5195313,0.5766602,0.5717773,0.5859375,0.4746094,0.4501953,0.6225586,0.5488281,0.4711914,0.4384766,0.4365234,0.6108398,0.4892578,0.4511719,0.4716797,0.5546875,0.5771484,0.546875,0.5600586,0.5419922,0.5380859,0.5454102,0.5253906
"IF1,ALZ",-0.1123047,-0.1108398,-0.1088867,-0.1035156,-0.1083984,-0.1040039,-0.1074219,-0.09716797,-0.1069336,0.02880859,0.2529297,0.4326172,0.4052734,0.4248047,0.3515625,0.2099609,0.046875,-0.03955078,0.06103516,-0.0078125,-0.03125,-0.4121094,-0.2583008,-0.01953125,0.2490234,0.1015625,-0.3388672,-0.3105469,0.1635742,0.1821289,-0.3413086,-0.3911133,-0.2646484,0.2763672,-0.2128906,-0.355957,-0.1088867,0.1777344,0.1259766,0.03710938,0.01757813,0.04101563,0.01953125,0.04833984,0.008789063
"IF1,ARX",0.8950195,0.8964844,0.8950195,0.8984375,0.902832,0.9072266,0.9003906,0.9013672,0.9072266,0.9106445,0.8994141,0.8779297,0.902832,0.9189453,0.909668,0.9023438,0.8950195,0.8867188,0.8828125,0.8964844,0.9003906,0.8769531,0.9091797,0.8916016,0.8935547,0.8945313,0.9072266,0.9155273,0.8950195,0.887207,0.8959961,0.9072266,0.9018555,0.8959961,0.8896484,0.8964844,0.909668,0.9145508,0.9003906,0.8925781,0.9033203,0.9013672,0.902832,0.9018555,0.9038086
"IF1,ARY",-0.4003906,-0.4023438,-0.4101563,-0.402832,-0.394043,-0.4003906,-0.3891602,-0.394043,-0.3984375,-0.3979492,-0.3955078,-0.3852539,-0.4116211,-0.4243164,-0.4033203,-0.3730469,-0.3540039,-0.3725586,-0.3950195,-0.4106445,-0.4453125,-0.4150391,-0.4355469,-0.4189453,-0.4116211,-0.3979492,-0.3798828,-0.3789063,-0.3925781,-0.387207,-0.4057617,-0.4023438,-0.4072266,-0.3920898,-0.4086914,-0.394043,-0.3896484,-0.3769531,-0.3881836,-0.4008789,-0.40625,-0.3969727,-0.3955078,-0.3945313,-0.3959961
"IF1,ARZ",-0.1782227,-0.1748047,-0.1738281,-0.1767578,-0.1704102,-0.1655273,-0.159668,-0.1630859,-0.1640625,-0.1762695,-0.1728516,-0.1669922,-0.1660156,-0.168457,-0.1679688,-0.1733398,-0.1743164,-0.1743164,-0.171875,-0.1674805,-0.1748047,-0.1816406,-0.1801758,-0.1635742,-0.1655273,-0.1674805,-0.1850586,-0.1806641,-0.1708984,-0.168457,-0.175293,-0.1860352,-0.1694336,-0.1689453,-0.1674805,-0.1611328,-0.1669922,-0.1767578,-0.1796875,-0.1777344,-0.1816406,-0.1772461,-0.1674805,-0.1679688,-0.1757813
"IF1,EMG0L",0,-1,-1,1,-1,0,-3,-8,-5,-1,-15,5,1,3,-9,5,5,9,-3,3,-5,-4,-4,-7,2,-8,-8,6,-8,2,-11,6,2,1,-6,-6,3,-2,4,1,7,9,3,-5,-3
"IF1,EMG1L",0,0,0,-1,0,-1,-2,-5,-11,0,-8,2,9,-8,-22,8,14,11,1,1,-11,0,-6,-10,-3,-10,-7,2,-3,-4,-12,6,4,4,-12,-11,13,-4,5,9,8,15,6,-9,-7
"IF1,EMG2L",-2,0,-3,-1,-2,-1,-3,-1,-9,-17,-2,-7,11,-7,-13,2,3,6,-1,3,-8,1,-5,-3,-3,-4,-3,-1,-5,0,-2,5,1,-2,-5,-6,10,0,-1,6,3,5,2,-5,-2
"IF1,EMG3L",-1,-1,-1,-1,-2,0,-2,1,-13,14,-7,-5,4,-5,-8,-1,3,2,1,11,-8,8,-6,11,-3,3,-4,-5,3,8,3,3,1,-4,-5,5,2,-1,1,-3,8,1,0,-2,-4
