dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"LARGE1,ALX",0.879394,0.875977,0.880371,0.883301,0.878418,0.879883,0.876953,0.879394,0.885742,0.952637,1.0166,1.0542,0.911133,0.547852,0.173828,0.170898,0.140137,0.0859375,-0.0634766,-0.11084,0.00537109,0.159668,0.0605469,-0.150879,-0.365234,-0.57666,0.305664,-0.0473633,-0.0927734,0.0878906,0.0800781,-0.0078125,-0.00585938,-0.00683594,-0.0229492,-0.046875,-0.0185547,-0.0239258,-0.0405273,-0.0224609,-0.0522461,-0.0449219,-0.0424805,-0.043457,-0.0429688
"LARGE1,ALY",0.407227,0.407715,0.405762,0.40625,0.401855,0.398438,0.40625,0.398438,0.405273,0.463379,0.69043,0.801758,0.911133,0.76709,0.506836,0.572754,0.638184,0.798828,0.978516,0.94043,1.01465,1.19189,0.903809,0.608398,0.441406,0.399414,1.22656,1.14648,0.849121,0.930664,0.912598,0.833984,0.912598,0.915039,0.918945,0.876465,0.921875,0.876953,0.924805,0.910644,0.901856,0.895996,0.912598,0.893555,0.895508
"LARGE1,ALZ",-0.0556641,-0.0551758,-0.0429688,-0.0463867,-0.0488281,-0.0561523,-0.0537109,-0.0561523,-0.0507813,-0.0566406,0.00488281,0.244629,0.420898,0.46875,0.280762,0.303223,0.333496,0.472656,0.527344,0.485352,0.448242,0.368164,0.351563,0.351074,0.352051,0.22168,0.953125,0.532715,0.325684,0.504394,0.472168,0.436523,0.452148,0.456055,0.45752,0.439453,0.441406,0.44873,0.443359,0.45166,0.447754,0.449219,0.45752,0.452148,0.450684
"LARGE1,ARX",0.939941,0.935059,0.933106,0.941894,0.939941,0.93457,0.933106,0.940918,0.972656,1.02783,1.09814,1.03906,0.624023,0.412109,0.367676,0.35498,0.260254,0.128906,0.0727539,0.0654297,0.219238,0.371582,0.14209,-0.109863,-0.447266,0.461914,0.101563,-0.0366211,0.199707,0.132324,0.105957,0.0917969,0.09375,0.11084,0.0898438,0.0913086,0.0878906,0.0742188,0.0957031,0.101074,0.0839844,0.104981,0.090332,0.0795898,0.0869141
"LARGE1,ARY",-0.288574,-0.283203,-0.281738,-0.283691,-0.275879,-0.274902,-0.283203,-0.28125,-0.287109,-0.477051,-0.623047,-0.890137,-0.769043,-0.616211,-0.610352,-0.669434,-0.890137,-0.939453,-0.937012,-1.00293,-1.08496,-1.27978,-0.883789,-0.669434,-0.36377,-1.0791,-1.46436,-0.891113,-1.02637,-0.970215,-0.958496,-0.956055,-0.981934,-0.948242,-0.966797,-0.981934,-0.975098,-0.955566,-0.95459,-0.937988,-0.979981,-0.980957,-0.973633,-0.977539,-0.944824
"LARGE1,ARZ",-0.179199,-0.18457,-0.180176,-0.185547,-0.173828,-0.181152,-0.186035,-0.178711,-0.188477,-0.228516,-0.0883789,0.216797,0.223144,0.262695,0.164063,0.220215,0.29248,0.39502,0.394531,0.342773,0.197754,0.146973,0.297852,0.34668,0.210938,0.944824,0.655762,0.118652,0.339844,0.33252,0.287109,0.312988,0.32666,0.309082,0.308594,0.306152,0.302734,0.324219,0.333496,0.330078,0.314941,0.310059,0.307617,0.333008,0.321289
"LARGE1,EMG0L",-2,-2,-2,-1,1,-3,-1,-1,0,-4,5,0,-5,-1,-3,2,-3,1,-1,-2,-2,-2,-3,1,0,3,-3,1,1,1,0,-1,-1,0,-4,-3,-3,0,1,0,-2,3,0,-3,1
"LARGE1,EMG1L",-2,-3,-5,1,-2,-1,-6,0,1,0,4,-1,-1,-3,0,0,-2,0,0,-3,-8,4,0,1,3,2,-2,0,-2,1,0,-3,-4,-1,0,-2,-3,-2,1,3,-2,2,-3,0,1
"LARGE1,EMG2L",-1,-3,-1,0,-3,0,-3,-3,0,1,-2,-3,-5,-2,7,0,-3,-1,2,-6,-4,0,-1,0,1,7,1,1,1,-1,-2,-1,-2,-2,0,-1,-2,-2,0,0,-1,0,1,-1,1
"LARGE1,EMG3L",-1,-4,-1,-2,-1,7,-3,-2,1,2,-2,-1,4,-3,-4,-2,-3,-1,-1,0,-2,-1,-2,2,-1,9,5,1,-6,9,-1,-5,-1,-1,-1,-7,-4,-3,-3,2,-5,-4,0,-4,0
