dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"ABOUT1,ALX",1.039551,1.024414,0.8974609,0.4956055,0.2695313,0.2348633,0.3867188,0.2841797,-0.05664063,0.3652344,-0.4516602,-0.3618164,-0.4023438,-0.02441406,-0.02441406,0.2255859,0.5205078,-0.009277344,-0.07519531,-0.07519531,-0.2431641,-0.3149414,-0.2231445,-0.2915039,-0.2915039,0.00390625,-0.05224609,0.2001953,-0.1625977,-0.08691406,-0.1142578,-0.02685547,0.0004882813,0.03710938,0,0.01318359,0.07666016,-0.3994141,0.2563477,0.2563477,0.6743164,-0.003417969,-0.003417969,0.5800781,0.9257813
"ABOUT1,ALY",0.4667969,0.6196289,0.690918,0.6821289,0.621582,0.6108398,0.7700195,0.8066406,0.9375,0.9282227,0.6308594,0.5673828,0.5566406,0.7714844,0.7714844,0.7905273,1.132324,1.091797,1.054688,1.054688,1.003906,0.8344727,0.7001953,0.6333008,0.6333008,0.7700195,0.7275391,0.840332,0.9863281,0.9130859,0.8735352,0.7836914,0.7646484,0.7944336,0.7138672,0.6992188,0.6904297,0.59375,0.5273438,0.5273438,0.7016602,0.6582031,0.6582031,0.7998047,0.684082
"ABOUT1,ALZ",0.2709961,0.4741211,0.5581055,0.5727539,0.4794922,0.4306641,0.5493164,0.6914063,0.5405273,0.8295898,0.484375,0.4116211,0.4072266,0.5073242,0.5073242,0.5561523,0.7348633,0.6245117,0.4584961,0.4584961,0.4580078,0.4228516,0.503418,0.3613281,0.3613281,0.5161133,0.5898438,0.8994141,0.7431641,0.6669922,0.6396484,0.6469727,0.6420898,0.6533203,0.6459961,0.6606445,0.7241211,0.6650391,0.8496094,0.8496094,0.7304688,0.0546875,0.0546875,0.105957,0.2402344
"ABOUT1,ARX",0.1333008,0.1459961,0.1118164,0.05517578,0.09716797,0.03320313,0.07275391,0.1030273,0.06689453,0.01513672,-0.08789063,0.0009765625,-0.01367188,-0.0859375,-0.0859375,-0.09228516,-0.1362305,-0.09326172,-0.05029297,-0.05029297,-0.03076172,-0.04980469,-0.03417969,-0.03955078,-0.03027344,-0.02929688,-0.03857422,-0.04736328,-0.03076172,-0.04589844,-0.03173828,-0.03027344,-0.015625,0.02197266,0.01220703,0.02294922,0.01416016,-0.008300781,0.07177734,0.07177734,0.159668,0.394043,0.5356445,0.4228516,0.5317383
"ABOUT1,ARY",-0.6479492,-0.6264648,-0.7421875,-0.8041992,-0.8364258,-0.9458008,-0.9350586,-0.8979492,-0.8710938,-0.8295898,-0.9038086,-0.8979492,-0.9438477,-0.8349609,-0.8349609,-0.8383789,-0.8291016,-0.831543,-0.8896484,-0.8896484,-0.890625,-0.8935547,-0.8842773,-0.8950195,-0.8862305,-0.878418,-0.8569336,-0.8608398,-0.8623047,-0.8710938,-0.8681641,-0.8857422,-0.8647461,-0.8461914,-0.8662109,-0.8286133,-0.7973633,-0.6923828,-0.6459961,-0.6459961,-0.6982422,-0.7636719,-0.8046875,-0.7089844,-0.6025391
"ABOUT1,ARZ",0.362793,0.5063477,0.5444336,0.5083008,0.5981445,0.5024414,0.5385742,0.5126953,0.4604492,0.5551758,0.5273438,0.5595703,0.5703125,0.5053711,0.5053711,0.4794922,0.4677734,0.5166016,0.578125,0.578125,0.5644531,0.5405273,0.5166016,0.503418,0.5083008,0.5317383,0.5371094,0.5546875,0.5610352,0.5390625,0.5229492,0.5327148,0.5239258,0.5356445,0.5463867,0.5527344,0.5561523,0.5068359,0.4760742,0.4760742,0.4614258,0.5332031,0.5649414,0.375,0.3608398
"ABOUT1,EMG0L",2,-10,2,-2,-5,-2,5,-8,-6,-9,0,-11,-10,-1,-1,-1,4,-5,-5,-5,20,12,-3,2,-3,0,8,1,-2,0,1,2,0,3,-1,-4,-1,1,0,0,-2,1,-1,0,-1
"ABOUT1,EMG1L",-9,-9,5,-1,-27,-10,-5,-22,-24,11,5,-13,-14,0,0,-3,0,-9,11,11,-3,15,-12,1,-6,1,10,-1,-4,3,3,3,1,3,1,0,0,-1,2,2,-1,-4,0,0,0
"ABOUT1,EMG2L",0,-52,8,-4,-22,-58,-15,-34,-54,46,18,-2,-1,5,5,0,4,-37,-3,-3,-7,7,0,-2,5,4,3,0,-8,2,6,2,-5,3,-2,-4,0,1,1,1,0,-6,2,0,-1
"ABOUT1,EMG3L",-19,-31,4,7,-8,-32,-13,-21,-38,40,-1,-1,-4,22,22,-4,0,-21,-7,-7,-20,10,4,5,5,7,6,14,-19,-7,10,-4,-1,1,-2,-5,0,-1,0,0,2,-4,1,-2,-3
"ABOUT1,EMG4L",5,-76,-1,16,3,5,-22,-6,-30,10,-1,-6,-12,13,13,6,5,-11,19,19,-11,4,-4,-25,12,46,-5,-5,0,-12,27,-19,5,-2,3,28,3,0,1,1,-4,-17,2,-2,0
"ABOUT1,EMG5L",11,-14,1,5,-4,17,21,-9,-2,-11,-3,-7,-7,-18,-18,-11,10,1,-1,-1,24,-8,-3,-31,41,46,-30,-21,18,40,3,-15,-6,2,-3,15,3,7,5,5,13,0,-3,-14,2
"ABOUT1,EMG6L",20,-4,-2,3,-5,11,16,-19,-1,-7,-11,-4,-3,-5,-5,-13,15,-1,-2,-2,16,-4,2,-17,9,-15,12,-11,1,6,-1,3,-3,2,-6,-7,0,4,-2,-2,8,-4,-1,-16,3
"ABOUT1,EMG7L",3,-3,0,-2,2,4,6,-14,2,-3,-3,-3,-1,8,8,-6,23,-1,-2,-2,13,-3,-1,-2,-5,4,27,0,-1,2,0,1,-2,4,-2,-3,-1,-3,0,0,0,-2,-1,-3,0
"ABOUT1,EMG0R",3,-9,1,-3,9,-1,-3,-1,-1,3,2,2,3,-1,-1,2,0,0,-1,-1,0,-2,-9,-1,1,0,-1,-1,1,-3,-3,-1,0,-1,0,0,0,-1,-2,-2,-3,1,-1,-1,-3
"ABOUT1,EMG1R",-5,-3,-6,-3,8,0,-6,3,-1,1,1,2,3,0,0,0,1,-4,-1,-1,-2,-1,-1,0,0,1,-1,-1,-1,-3,0,1,1,-1,0,0,-1,-1,-1,-1,-4,-1,-1,1,-1
"ABOUT1,EMG2R",0,-9,-14,3,26,-8,-17,3,-1,2,4,1,1,-3,-3,-1,5,-5,-1,-1,-4,-2,-2,-1,-2,1,-1,-2,0,-2,1,1,-3,-1,0,0,-1,-2,-3,-3,-2,-2,0,0,-1
"ABOUT1,EMG3R",2,-11,-6,9,-21,-2,0,7,-2,15,10,2,0,-6,-6,-1,7,-7,-3,-3,-2,2,-4,0,-4,5,0,-3,-4,2,0,-1,-6,-5,1,-2,-2,6,-2,-2,-5,1,2,-2,-4
"ABOUT1,EMG4R",-40,-33,-13,38,-1,-1,11,32,0,56,-9,12,-4,-9,-9,-20,3,-7,-5,-5,-2,-5,-6,-2,-8,15,7,-18,3,25,5,-8,-18,-6,6,-6,0,45,-5,-5,3,-14,9,-38,-7
"ABOUT1,EMG5R",1,-7,-12,4,-1,-3,0,11,-1,12,6,2,5,-10,-10,8,-3,2,0,0,-3,3,-3,-2,-3,5,0,-1,0,10,-7,-4,-10,2,-2,-3,-2,9,-3,-3,-3,-4,2,-4,-3
"ABOUT1,EMG6R",5,-8,-8,3,-1,2,7,1,-4,-21,12,4,33,-4,-4,0,-8,7,1,1,1,-5,-1,-4,-2,1,1,-1,1,-1,2,3,-2,-4,1,-4,1,1,-1,-1,1,-3,-2,0,-2
"ABOUT1,EMG7R",0,-4,1,-3,1,2,-2,2,-2,-3,7,5,11,-2,-2,0,-2,3,-2,-2,-1,-6,-2,-1,1,-1,-1,0,0,-2,0,1,2,-2,0,-3,1,0,-1,-1,-3,0,-2,-1,0
"ABOUT1,GLX",12.1875,24.875,13.125,-5.5,-7.75,36.8125,49.5,15.0625,-6.8125,-22.75,-9.125,-4.625,29.75,65.1875,65.1875,109.3125,82,-11.375,-61.25,-61.25,-77.0625,-64.8125,-45.625,-21.5625,-21.5625,25.8125,76.875,11.4375,-24.625,-46.875,-34.875,-12.6875,-2.0625,3.125,0.8125,-8.3125,-13.625,-6.625,-0.375,-0.375,29,62.75,62.75,91.5,36.5625
"ABOUT1,GLY",12.1875,24.875,13.125,-5.5,-7.75,36.8125,49.5,15.0625,-6.8125,-22.75,-9.125,-4.625,29.75,65.1875,65.1875,109.3125,82,-11.375,-61.25,-61.25,-77.0625,-64.8125,-45.625,-21.5625,-21.5625,25.8125,76.875,11.4375,-24.625,-46.875,-34.875,-12.6875,-2.0625,3.125,0.8125,-8.3125,-13.625,-6.625,-0.375,-0.375,29,62.75,62.75,91.5,36.5625
"ABOUT1,GLZ",12.1875,24.875,13.125,-5.5,-7.75,36.8125,49.5,15.0625,-6.8125,-22.75,-9.125,-4.625,29.75,65.1875,65.1875,109.3125,82,-11.375,-61.25,-61.25,-77.0625,-64.8125,-45.625,-21.5625,-21.5625,25.8125,76.875,11.4375,-24.625,-46.875,-34.875,-12.6875,-2.0625,3.125,0.8125,-8.3125,-13.625,-6.625,-0.375,-0.375,29,62.75,62.75,91.5,36.5625
"ABOUT1,GRX",-19.625,-51.0625,-60.9375,-27.6875,-8.125,4.5625,-8.0625,-0.875,0.3125,-14.375,8.1875,2.1875,14.9375,-3.75,-3.75,-11.1875,-2.6875,-8.1875,-3.375,-3.375,6,4.375,6.9375,5.5625,2.5,-1.6875,-3.75,-3.4375,-1.3125,2.8125,0.4375,-2.3125,-0.1875,1.625,3.4375,9.75,13.625,17.4375,4.9375,4.9375,-7.0625,-21.3125,-5.5,16,14.5
"ABOUT1,GRY",-19.625,-51.0625,-60.9375,-27.6875,-8.125,4.5625,-8.0625,-0.875,0.3125,-14.375,8.1875,2.1875,14.9375,-3.75,-3.75,-11.1875,-2.6875,-8.1875,-3.375,-3.375,6,4.375,6.9375,5.5625,2.5,-1.6875,-3.75,-3.4375,-1.3125,2.8125,0.4375,-2.3125,-0.1875,1.625,3.4375,9.75,13.625,17.4375,4.9375,4.9375,-7.0625,-21.3125,-5.5,16,14.5
