dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"CAT1,ALX",-0.25293,-0.306152,-0.29834,-0.338379,-0.484863,-0.592773,-0.752441,-0.752441,-0.924805,-1.5459,-1.5459,-0.994629,-0.95166,-0.975586,-0.975586,-0.922363,-0.90332,-0.90332,-0.894531,-0.898438,-0.871094,-0.822266,-0.803223,-0.665527,-0.596191,-0.469727,-0.575684,-0.411621,-0.144043,0.211426,0.513672,0.984375,1.27344,1.21191,1.18945,1.02881,0.830078,0.850098,0.89209,0.953125,0.943848,0.930176,0.900879,0.890625,0.880371
"CAT1,ALY",0.503418,0.460449,0.515625,0.684082,0.8125,0.757813,0.56543,0.56543,0.586914,0.0961914,0.0961914,0.311523,0.318848,0.38916,0.38916,0.397461,0.37793,0.37793,0.383789,0.373047,0.391113,0.390137,0.408203,0.364258,0.348633,0.444336,0.454102,0.687012,0.768555,0.967773,0.822754,0.72168,0.667969,0.441406,0.421875,0.699707,0.443848,0.406738,0.396484,0.27002,0.320801,0.300293,0.270508,0.277832,0.300781
"CAT1,ALZ",0.257324,0.0717773,-0.0834961,-0.144531,-0.172852,-0.104004,0.00488281,0.00488281,-0.0498047,0.210449,0.210449,0.217773,0.228027,0.164551,0.164551,0.120117,0.121094,0.121094,0.116699,0.122559,0.12793,0.146973,0.126465,0.1875,0.307617,0.352051,0.420898,0.455078,0.480469,0.599609,0.526367,0.438477,0.225098,0.155762,-0.019043,-0.0488281,0.197266,0.194336,0.1875,0.158691,0.132324,0.138672,0.147461,0.156738,0.166504
"CAT1,ARX",0.942871,0.939453,0.961914,0.961426,0.961426,0.937012,0.929199,0.943848,0.963867,0.97168,0.971191,0.967285,0.947266,0.959473,0.958984,0.960449,0.958008,0.964844,0.963379,0.959961,0.945801,0.930664,0.931152,0.942871,0.957519,0.978516,0.972168,0.963379,0.979492,0.968262,0.947754,0.973144,0.979981,0.962891,0.950195,0.938965,0.931152,0.948242,0.979492,0.972656,0.958984,0.942383,0.950195,0.974121,0.974121
"CAT1,ARY",-0.243164,-0.259277,-0.259766,-0.253906,-0.250977,-0.270508,-0.274902,-0.250488,-0.288574,-0.280762,-0.278809,-0.276367,-0.253906,-0.265137,-0.250488,-0.229981,-0.224609,-0.226563,-0.220215,-0.23584,-0.232422,-0.238281,-0.260742,-0.25,-0.240723,-0.256348,-0.269531,-0.250977,-0.257813,-0.260254,-0.240234,-0.252441,-0.223633,-0.215332,-0.224121,-0.226074,-0.245606,-0.228027,-0.244629,-0.249023,-0.239258,-0.251465,-0.241699,-0.238769,-0.240234
"CAT1,ARZ",0.141602,0.144043,0.143555,0.129883,0.135254,0.15625,0.157715,0.15625,0.182129,0.181641,0.159668,0.138184,0.132324,0.141113,0.145996,0.146484,0.152344,0.146484,0.152832,0.138184,0.142578,0.148438,0.142578,0.143555,0.131836,0.163086,0.150391,0.133789,0.130859,0.147461,0.144043,0.136719,0.136719,0.12207,0.126953,0.15332,0.150391,0.139648,0.128418,0.124512,0.133789,0.146973,0.154297,0.145019,0.150391
"CAT1,EMG0L",-70,-21,-67,57,-18,19,-16,-22,22,-1,20,34,-5,15,-4,1,25,-39,28,0,25,9,16,10,-2,5,-1,-2,3,-2,0,1,0,-1,0,-1,-2,0,-1,0,-2,3,-2,-4,-2
"CAT1,EMG1L",-19,-12,0,14,-21,-7,-13,-7,-4,3,4,21,-24,-9,-5,-1,3,-5,7,6,0,-3,3,-2,2,3,-10,6,0,-4,2,-1,-2,-2,0,-1,1,1,-1,0,0,-1,-1,-1,1
"CAT1,EMG2L",-5,-5,3,5,-11,0,-5,-1,6,-4,-4,5,-3,-6,2,-1,-5,2,0,0,-1,1,2,0,-2,2,-1,4,-4,-4,2,-1,-3,-3,-1,-1,0,0,-2,-2,-1,-3,1,0,-1
"CAT1,EMG3L",-2,0,-12,0,-3,-3,-14,-1,12,-6,-3,-1,-2,-3,1,1,-8,3,2,-2,2,-2,3,-2,-9,-4,0,2,-2,-1,0,-1,-1,-2,-2,-1,0,0,0,-1,-2,-1,0,0,0
