dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"DECIDE1,ALX",-0.9033203,-0.9765625,-0.921875,-0.8984375,-0.8754883,-0.7348633,-0.4013672,-0.5595703,-0.3417969,-0.3833008,-0.03125,0.2280273,0.2832031,0.5019531,0.5019531,0.4506836,0.6220703,0.6186523,0.5131836,0.5976563,0.4375,0.1425781,0.1040039,-0.09667969,-0.2949219,0.03173828,0.2285156,0.2197266,0.2558594,0.3076172,0.4506836,0.7612305,0.9311523,1.060547,1.090332,1.027832,1.01416,0.9306641,0.8852539,0.9130859,0.9541016,0.9838867,0.9741211,0.9824219,0.9956055
"DECIDE1,ALY",-0.05566406,-0.08251953,-0.1333008,-0.1074219,-0.1196289,-0.046875,0.1044922,0.2646484,0.2724609,0.7504883,0.6445313,0.9521484,1.056152,1.120117,1.120117,1.162598,1.198242,1.137695,1.137695,0.9589844,0.769043,0.7070313,0.668457,0.6669922,0.640625,0.6489258,0.7880859,0.7529297,0.6645508,0.7006836,0.5883789,0.5415039,0.5566406,0.5429688,0.4365234,0.4516602,0.4682617,0.3251953,0.3413086,0.3022461,0.3046875,0.2841797,0.3017578,0.2915039,0.3012695
"DECIDE1,ALZ",-0.4541016,-0.4511719,-0.3798828,-0.3613281,-0.2875977,-0.1503906,-0.01708984,-0.1040039,0.2006836,0.1367188,0.3754883,0.5664063,0.512207,0.5610352,0.5610352,0.6401367,0.5380859,0.5751953,0.5546875,0.5498047,0.644043,0.5600586,0.4912109,0.3774414,0.4912109,0.5966797,0.6005859,0.5756836,0.5175781,0.487793,0.46875,0.3842773,0.3237305,0.2407227,0.2084961,0.1430664,0.1723633,0.2636719,0.2607422,0.2089844,0.1479492,0.1674805,0.1225586,0.1030273,0.1328125
"DECIDE1,ARX",0.9448242,0.9414063,0.9038086,0.9047852,0.934082,0.956543,0.9086914,0.9306641,0.9648438,0.9350586,0.925293,0.8481445,0.7177734,0.6328125,0.6328125,0.2407227,-0.3188477,-0.02441406,-0.3833008,-0.3920898,1.027344,0.8237305,-0.2514648,-0.1118164,0.1000977,0.2871094,0.2900391,0.2729492,0.2895508,0.4116211,0.5317383,0.6894531,1.106445,1.239258,1.273926,1.121094,0.9990234,0.875,0.8217773,0.9453125,1.015137,1.048828,1.044922,1.029785,0.9990234
"DECIDE1,ARY",-0.3603516,-0.3847656,-0.3701172,-0.3696289,-0.375,-0.3598633,-0.3930664,-0.4189453,-0.4204102,-0.5424805,-0.6367188,-0.7768555,-0.9770508,-0.9907227,-0.9907227,-0.8652344,-0.5058594,-0.3188477,-0.2739258,-0.1660156,-0.3295898,-1.687012,-1.294922,-0.7963867,-0.8076172,-0.890625,-0.6000977,-0.5668945,-0.5380859,-0.487793,-0.5751953,-0.6274414,-0.6479492,-0.4428711,-0.2543945,-0.3828125,-0.5048828,-0.5131836,-0.453125,-0.3696289,-0.3388672,-0.3364258,-0.2929688,-0.3076172,-0.3422852
"DECIDE1,ARZ",0.1206055,0.1064453,0.1352539,0.1303711,0.171875,0.1743164,0.2075195,0.2099609,0.2363281,0.2543945,0.4228516,0.5068359,0.7236328,0.8530273,0.8530273,0.6679688,0.3125,0.2915039,-0.03222656,0.02001953,1.29834,1.094727,0.5234375,0.4238281,0.5185547,0.5429688,0.4599609,0.4692383,0.4536133,0.4228516,0.4145508,0.375,0.2851563,0.07519531,-0.1977539,0.015625,0.1811523,0.2373047,0.2021484,0.1137695,0.06152344,0.04882813,0.06542969,0.109375,0.1123047
"DECIDE1,EMG0L",36,-11,1,-18,16,7,9,9,-34,14,-4,5,-2,6,6,-1,-4,3,22,-12,4,7,-8,3,-3,-8,-11,2,1,-2,-6,2,7,17,-2,-2,-1,3,22,74,-34,-8,-9,-3,-5
"DECIDE1,EMG1L",9,1,11,-1,-1,-2,-3,-2,-5,1,3,-1,-26,6,6,6,3,19,-4,6,1,1,5,8,1,-1,-2,-1,0,-2,-3,-2,2,3,3,-2,-2,0,1,11,-1,-1,-2,-2,1
"DECIDE1,EMG2L",0,-1,6,-2,0,-2,-2,-4,-1,2,-8,1,-3,-2,-2,2,21,31,15,45,-7,-1,4,1,0,-2,-2,0,2,-1,-1,-2,-3,-3,1,-1,0,0,-1,1,0,-1,-2,0,1
"DECIDE1,EMG3L",-1,0,9,-1,1,1,-3,-1,0,-2,-8,9,-2,0,0,-3,8,10,2,21,-8,-3,3,2,0,-3,0,-2,1,-1,-3,0,-1,-2,0,-1,0,-1,0,0,-2,0,0,1,1
