dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"HEARING1,ALX",0.870606,0.727051,0.456055,0.255859,-0.00683594,-0.129883,-0.200195,-0.59668,-0.60791,-0.555664,-0.48877,-0.689453,-0.71875,-0.632813,-0.525879,-0.477539,-0.589844,-0.621582,-0.580078,-0.501953,-0.54834,-0.619141,-0.584473,-0.53418,-0.538086,-0.628906,-0.631836,-0.519531,-0.57959,-0.609375,-0.599609,-0.598144,-0.628906,-0.587891,-0.54541,-0.569824,-0.581543,-0.582031,-0.582031,-0.574707,-0.573242,-0.569824,-0.563477,-0.563477,-0.571289
"HEARING1,ALY",0.679688,0.762695,0.845703,0.860352,0.813477,0.812012,0.796387,0.665527,0.654297,0.568359,0.640625,0.952637,0.939941,0.787109,0.706543,0.722168,0.822754,0.876465,0.749512,0.693848,0.74707,0.864746,0.827637,0.737793,0.775391,0.861816,0.772949,0.756836,0.78125,0.822266,0.837402,0.820801,0.853516,0.822266,0.79541,0.795898,0.798828,0.805664,0.827637,0.825195,0.80957,0.801269,0.8125,0.824219,0.832519
"HEARING1,ALZ",0.354004,0.418945,0.443359,0.470703,0.410156,0.365723,0.349121,0.131348,0.03125,0.0302734,-0.0375977,-0.114258,-0.0390625,-0.0825195,-0.0961914,-0.108887,-0.195313,-0.108887,-0.138184,-0.130859,-0.207519,-0.138184,-0.141602,-0.118164,-0.160644,-0.123535,-0.119141,-0.0576172,-0.146973,-0.111816,-0.0664063,-0.0654297,-0.0834961,-0.0576172,-0.0517578,-0.0795898,-0.0917969,-0.0605469,-0.0751953,-0.0737305,-0.0732422,-0.0703125,-0.0649414,-0.0629883,-0.074707
"HEARING1,ARX",0.934082,0.932129,0.936035,0.928711,0.94043,0.941406,0.928711,0.922363,0.926758,0.925781,0.937988,0.932617,0.901367,0.941406,0.93457,0.90918,0.937988,0.937012,0.925293,0.919922,0.944336,0.942383,0.912109,0.910644,0.945801,0.932617,0.914551,0.924805,0.947266,0.935547,0.918945,0.948242,0.93457,0.921387,0.930664,0.937012,0.934082,0.924316,0.936523,0.943359,0.923828,0.928711,0.94043,0.935059,0.927246
"HEARING1,ARY",-0.333496,-0.334473,-0.335449,-0.337402,-0.338867,-0.342773,-0.344238,-0.346191,-0.34668,-0.343262,-0.335938,-0.350586,-0.350098,-0.367188,-0.330078,-0.353027,-0.341797,-0.333984,-0.354004,-0.345703,-0.348145,-0.350586,-0.36084,-0.331055,-0.348145,-0.34082,-0.34375,-0.34375,-0.338379,-0.353516,-0.345215,-0.343262,-0.339844,-0.340332,-0.328613,-0.341797,-0.337402,-0.342773,-0.339844,-0.338867,-0.341797,-0.343262,-0.335449,-0.34082,-0.34082
"HEARING1,ARZ",0.149902,0.163086,0.143555,0.157715,0.152344,0.15332,0.142578,0.144043,0.150879,0.147949,0.131836,0.136719,0.150391,0.13916,0.136719,0.13916,0.135254,0.134766,0.13916,0.138184,0.129394,0.138672,0.131348,0.137695,0.143066,0.145019,0.134277,0.138184,0.133789,0.140137,0.128418,0.136231,0.139648,0.142578,0.134766,0.136719,0.136719,0.12793,0.136719,0.145508,0.137207,0.14209,0.143555,0.137695,0.14209
"HEARING1,EMG0L",-2,-4,7,-1,4,-11,-13,10,-9,2,-5,-5,2,-11,-5,3,-11,2,4,-16,6,1,1,10,-7,0,-5,-16,12,-4,-4,-8,3,9,10,3,-1,-2,-3,-10,-1,2,-2,4,-10
"HEARING1,EMG1L",-1,0,33,5,12,-20,-29,21,-10,-2,2,-5,-12,-16,4,0,-10,0,3,-6,5,-1,0,37,-14,-4,-8,-37,12,-8,1,-18,5,20,2,2,-3,-1,-9,-11,-2,-1,5,-1,-9
"HEARING1,EMG2L",26,19,89,10,7,-19,-18,-22,0,4,3,0,-3,-10,-2,5,4,4,3,7,-2,0,4,4,-7,-3,-12,-1,-1,-5,-2,-4,0,5,-3,-7,5,3,-4,1,-1,-1,4,0,2
"HEARING1,EMG3L",-5,6,36,4,0,-12,-13,-6,-4,5,-3,-1,0,-5,-9,3,-4,10,7,6,1,1,3,-5,-9,-4,-20,0,-2,-2,-1,-3,-2,-1,5,-7,6,11,4,4,-3,0,0,15,-1
