dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"HERE1,ALX",0.958496,0.622559,0.622559,0.556641,0.222168,-0.0258789,-0.0273438,0.101074,0.280762,0.439941,0.812988,0.625488,1.06055,1.4292,1.45606,0.344238,0.0600586,-0.227539,-0.618164,-0.395996,-0.322266,-0.0307617,0.324219,0.928711,0.928711,0.461426,0.890625,-0.0131836,1.07373,1.07373,0.310059,-0.237793,-0.358887,-0.358887,-0.280273,-0.100586,-0.0239258,0.109375,0.347656,0.814453,0.908691,0.846191,0.665527,0.404785,0.145508
"HERE1,ALY",0.561035,0.600586,0.600586,0.378418,0.392578,0.589356,0.59082,0.723144,0.773926,0.777344,0.896484,0.551758,0.619629,0.561035,0.485352,0.474609,0.407715,0.427734,0.605957,0.646973,0.861328,0.921387,1.13281,0.995117,0.995117,0.581055,0.740723,0.232422,0.445313,0.445313,0.325195,0.517578,0.714356,0.714356,0.720215,0.881348,0.898926,0.947266,0.921387,0.637695,0.509766,0.44043,0.374023,0.405762,0.41748
"HERE1,ALZ",0.459961,0.697266,0.697266,0.774902,0.664063,0.640625,0.706055,0.733398,0.70166,0.562988,0.375,0.326172,0.253906,0.647461,0.882324,0.980957,1.16602,1.16797,1.16162,1.06103,1.04639,1.09522,0.650391,0.0751953,0.0751953,0.32666,0.0366211,0.21582,1.17481,1.17481,0.865723,1.04492,1.08936,1.08936,0.916992,0.864258,0.878906,0.740723,0.672363,0.467285,0.461426,0.523438,0.743164,0.98291,1.04834
"HERE1,ARX",0.719238,0.566406,0.566406,0.291992,0.00195313,-0.0917969,-0.0678711,-0.0146484,0.113769,0.70459,0.486816,0.977051,0.773438,0.6875,0.602539,0.257324,0.0776367,-0.526367,-0.570801,-0.422363,-0.163574,0.508789,0.750488,0.680664,0.680664,0.533203,0.604981,0.494141,0.373535,0.373535,0.27002,-0.0078125,-0.270996,-0.270996,-0.460449,-0.20166,-0.0512695,0.323242,0.566406,0.762695,0.705078,0.640137,0.525391,0.268066,0.0454102
"HERE1,ARY",-0.780273,-0.54834,-0.54834,-0.591309,-0.453613,-0.529785,-0.706055,-0.687012,-0.769531,-0.919434,-0.782227,-0.648438,-0.412598,-0.469238,-0.519531,-0.453125,-0.364258,-0.377441,-0.525879,-0.674805,-0.848144,-1.15576,-0.980469,-0.887207,-0.887207,-0.613769,-0.471191,-0.399902,-0.282715,-0.282715,-0.217285,-0.304688,-0.545898,-0.545898,-0.859375,-0.919922,-1.03369,-1.02002,-0.744141,-0.662109,-0.450195,-0.484863,-0.470703,-0.491699,-0.474121
"HERE1,ARZ",0.572266,0.651856,0.651856,0.661133,0.692871,0.580078,0.647949,0.69043,0.5625,0.599121,0.361816,0.368164,0.34375,0.613281,0.859863,0.971191,1.26465,1.15918,1.05518,0.98584,1.07324,1.04394,0.562012,0.287598,0.287598,0.345215,0.644043,0.907227,1.08057,1.08057,1.24658,1.19434,0.981445,0.981445,0.799316,0.756348,0.845703,0.725586,0.582519,0.506348,0.511719,0.624023,0.822266,1.16846,1.07617
"HERE1,EMG0L",3,-1,-1,-18,-7,7,5,4,4,26,10,-1,-11,-3,-5,-22,38,-45,-73,-2,-47,45,20,-5,-5,-16,-9,-24,61,61,2,-5,5,5,30,0,-8,15,15,1,12,21,-1,15,-9
"HERE1,EMG1L",0,1,1,-6,-4,14,1,1,5,1,-2,-2,-6,11,0,-9,-2,2,-12,1,-12,11,13,-1,-1,-7,-9,-7,19,19,0,8,1,1,5,-11,3,1,2,3,0,0,-9,2,-5
"HERE1,EMG2L",-21,-3,-3,-8,-6,-2,1,0,-3,0,-2,-1,-3,23,0,-7,-3,0,1,2,-7,5,2,-3,-3,-6,-3,-3,14,14,-8,5,-1,-1,0,-6,0,-1,-2,2,-2,-2,-9,-3,-1
"HERE1,EMG3L",-9,0,0,-7,1,-2,-2,-1,-5,0,1,1,-4,2,-1,-3,-1,-6,12,3,-2,2,-2,0,0,-4,-2,-1,6,6,-2,3,-2,-2,0,-6,-3,-2,-5,0,-2,-1,-5,-1,-1
"HERE1,EMG4L",-12,6,6,2,1,-3,0,-1,-3,0,-2,4,-3,-1,-1,-5,0,-2,4,-1,-1,3,0,-2,-2,-3,1,-1,4,4,-1,2,0,0,0,-5,-1,-3,-2,0,-3,-1,0,0,0
"HERE1,EMG5L",-32,6,6,4,2,-5,0,-3,-1,0,-1,3,-1,-6,2,-3,4,-3,4,0,0,4,6,10,10,1,1,-11,4,4,-4,13,3,3,-1,-3,-1,-4,-5,-8,2,-2,1,-1,-1
"HERE1,EMG6L",-11,-4,-4,-1,1,-7,-3,-4,3,2,0,-3,-5,4,-2,-4,-6,-2,2,1,-2,4,3,1,1,-7,1,-8,8,8,3,12,1,1,3,-8,1,-13,2,-2,6,1,-7,-9,-4
"HERE1,EMG7L",3,13,13,-2,1,-11,-8,-1,9,4,0,3,-8,6,1,-8,6,-4,-7,6,-9,5,9,-16,-16,-12,0,-10,19,19,6,-5,3,3,11,-20,2,-23,8,0,5,3,-8,-5,-5
