dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"HURT1,ALX",0.9975586,1.051758,0.9628906,0.9628906,0.8237305,0.4829102,0.4130859,0.2753906,0.1640625,0.05615234,-0.04150391,-0.08886719,0.07324219,0.1757813,0.05419922,-0.105957,-0.08349609,-0.1772461,-0.1772461,-0.2670898,-0.2509766,-0.246582,-0.1679688,0.04931641,0.1318359,0.03466797,0.006347656,-0.02392578,-0.1679688,-0.168457,-0.144043,-0.1791992,-0.144043,-0.144043,-0.02929688,0.005371094,0.003417969,-0.0078125,-0.05615234,-0.07666016,-0.1342773,-0.1586914,-0.1586914,-0.1235352,-0.02880859
"HURT1,ALY",0.5541992,0.6665039,0.6713867,0.6713867,0.8745117,0.9609375,0.7900391,0.6557617,0.515625,0.4902344,0.4848633,0.6782227,1.187012,1.314453,1.08252,0.8666992,0.828125,0.6870117,0.6870117,0.6171875,0.628418,0.7695313,0.8745117,1.034668,1.125977,1.01709,0.9282227,0.8515625,0.7084961,0.6733398,0.7041016,0.7138672,0.7890625,0.7890625,0.9697266,0.9755859,0.9467773,0.8759766,0.8300781,0.8134766,0.7519531,0.7299805,0.6796875,0.7202148,0.8183594
"HURT1,ALZ",-0.1923828,-0.2504883,0.1616211,0.1616211,0.3496094,0.3686523,0.402832,0.6538086,0.6352539,0.65625,0.6166992,0.4619141,0.3227539,0.01855469,0.206543,0.4589844,0.5449219,0.7407227,0.7407227,0.7724609,0.7426758,0.6884766,0.6879883,0.5698242,0.3754883,0.2714844,0.3544922,0.4882813,0.7709961,0.703125,0.7060547,0.6669922,0.6108398,0.6108398,0.559082,0.4052734,0.4003906,0.5117188,0.5649414,0.6376953,0.6835938,0.7119141,0.706543,0.6635742,0.6367188
"HURT1,ARX",1.045898,1.101563,0.8222656,0.8222656,0.6054688,0.4384766,0.3706055,0.1733398,0.1118164,0.1391602,-0.0078125,0.2993164,0.4853516,0.2768555,0.08837891,-0.01318359,-0.01416016,-0.2084961,-0.2084961,-0.2583008,-0.1713867,-0.08349609,0.125,0.2441406,0.2036133,0.1865234,0.08789063,0.0004882813,-0.06884766,-0.1132813,-0.1420898,0.03515625,0.05224609,0.05224609,0.1923828,0.2006836,0.1503906,0.1162109,0.02880859,-0.02636719,-0.06542969,-0.08789063,-0.08837891,0.02636719,0.1103516
"HURT1,ARY",-0.4516602,-0.4472656,-0.9311523,-0.9311523,-0.8754883,-0.8764648,-0.8012695,-0.7021484,-0.6435547,-0.6748047,-0.7944336,-1.115723,-1.244141,-1.0625,-0.9882813,-0.9458008,-0.9624023,-0.8554688,-0.8554688,-0.8139648,-0.8188477,-0.918457,-1.104492,-1.118164,-1.087402,-1.020996,-0.940918,-0.9052734,-0.8999023,-0.871582,-0.8544922,-0.9360352,-1.07373,-1.07373,-1.069336,-1.017578,-0.9912109,-0.9257813,-0.9331055,-0.9082031,-0.8916016,-0.847168,-0.8491211,-0.949707,-0.9750977
"HURT1,ARZ",-0.1494141,-0.01025391,0.1953125,0.1953125,0.2602539,0.3789063,0.5102539,0.5810547,0.5737305,0.4536133,0.2763672,0.2387695,-0.009277344,-0.01660156,0.2456055,0.4526367,0.5517578,0.6123047,0.6123047,0.6103516,0.5507813,0.4833984,0.3276367,0.2236328,0.1010742,0.1230469,0.2753906,0.4277344,0.5952148,0.5961914,0.5332031,0.3530273,0.3242188,0.3242188,0.253418,0.21875,0.2314453,0.3071289,0.4443359,0.4707031,0.5161133,0.5239258,0.480957,0.4301758,0.3642578
"HURT1,EMG0L",18,0,-3,-3,-5,-6,-3,5,2,0,5,-14,-1,0,-6,0,-1,1,1,1,1,3,2,0,0,-4,-1,1,-2,3,-3,12,5,5,-3,-2,-1,-6,2,1,2,-2,-3,3,5
"HURT1,EMG1L",-1,46,-24,-24,3,8,-4,4,4,0,-5,48,-13,0,-5,0,-1,1,1,0,-2,0,11,14,-5,-9,-3,-1,-1,6,1,-5,-4,-4,3,-6,1,-4,6,-7,-2,0,-7,-6,-5
"HURT1,EMG2L",10,45,-57,-57,15,21,4,-10,13,-12,-3,19,-5,2,-3,-2,-1,-1,-1,-5,0,5,8,6,-6,-6,-3,-1,0,2,0,-9,-6,-6,2,1,0,-5,-2,-4,-2,0,-4,-5,-3
"HURT1,EMG3L",-5,7,-11,-11,-6,-2,-6,12,9,-9,9,6,0,-9,0,3,2,2,2,-6,-1,3,2,4,-6,-5,1,3,-8,-4,1,-2,-6,-6,-1,0,0,-3,-2,-4,-3,2,0,-7,1
