dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"IF1,ALX",0.9150391,0.9287109,0.9873047,0.9921875,1.04541,1.088379,0.8203125,0.5996094,0.06103516,-0.2602539,-0.46875,-0.3027344,-0.5112305,-0.7084961,-0.7094727,-0.7700195,-0.8120117,-0.9306641,-0.9306641,-0.7304688,-0.7304688,-0.8671875,-0.8237305,-0.7988281,-0.8339844,-0.9921875,-0.7041016,-0.871582,-0.9082031,-0.8129883,-0.8144531,-0.6958008,-0.621582,-0.4960938,-0.5498047,-0.2685547,-0.06835938,0.1079102,0.6318359,0.8208008,1.354004,1.291504,1.404785,1.06543,0.9995117
"IF1,ALY",0.3037109,0.4130859,0.453125,0.7387695,0.8378906,0.8017578,0.7504883,0.6352539,0.5966797,0.3994141,0.4277344,0.3950195,0.3994141,0.3969727,0.5166016,0.5366211,0.5385742,0.5463867,0.5463867,0.6738281,0.6738281,0.5947266,0.5834961,0.496582,0.5454102,0.5776367,0.5141602,0.5712891,0.578125,0.5546875,0.5678711,0.5483398,0.4926758,0.4975586,0.4868164,0.4980469,0.5512695,0.6445313,0.5405273,0.6401367,0.6938477,0.5136719,0.3637695,0.3935547,0.3095703
"IF1,ALZ",0.1464844,0.1811523,0.2456055,0.3515625,0.6445313,0.7412109,0.8061523,0.6953125,0.5136719,0.4111328,0.3930664,0.5170898,0.3720703,0.2573242,0.02148438,-0.01464844,-0.01904297,0.105957,0.105957,0.5512695,0.5512695,0.4428711,0.25,-0.06201172,-0.07763672,-0.05322266,0.4990234,0.3266602,0.1806641,0.02734375,-0.04199219,0.1313477,0.1987305,0.3222656,0.4633789,0.5048828,0.6005859,0.597168,0.5947266,0.5463867,0.4189453,0.2700195,0.05615234,0.03613281,0.1518555
"IF1,ARX",0.9453125,0.9619141,0.9536133,0.9628906,0.9711914,0.9726563,0.9467773,0.9467773,0.940918,0.9384766,0.9487305,0.9697266,0.949707,0.9482422,0.9555664,0.953125,0.9550781,0.940918,0.9384766,0.9716797,0.9716797,0.9667969,0.9467773,0.949707,0.9589844,0.9492188,0.9638672,0.949707,0.9472656,0.9521484,0.9516602,0.9521484,0.9633789,0.9550781,0.9555664,0.9536133,0.9594727,0.9399414,0.9716797,0.9589844,0.9399414,0.9545898,0.9511719,0.9267578,0.9399414
"IF1,ARY",-0.262207,-0.2763672,-0.2880859,-0.277832,-0.2744141,-0.2475586,-0.2333984,-0.2368164,-0.2260742,-0.2260742,-0.2451172,-0.2895508,-0.3061523,-0.2866211,-0.2983398,-0.2958984,-0.2885742,-0.2646484,-0.2617188,-0.25,-0.25,-0.2509766,-0.2636719,-0.262207,-0.2788086,-0.2788086,-0.25,-0.2617188,-0.2680664,-0.2753906,-0.2592773,-0.2451172,-0.2504883,-0.2504883,-0.2680664,-0.2924805,-0.2768555,-0.2807617,-0.2802734,-0.2641602,-0.2597656,-0.2480469,-0.2358398,-0.2387695,-0.2548828
"IF1,ARZ",0.1308594,0.1367188,0.1245117,0.1479492,0.1518555,0.1386719,0.1191406,0.1333008,0.1254883,0.1210938,0.1083984,0.08447266,0.112793,0.1362305,0.1430664,0.1665039,0.152832,0.1479492,0.1430664,0.1269531,0.1269531,0.1230469,0.1166992,0.1254883,0.1503906,0.1542969,0.1381836,0.140625,0.1289063,0.1279297,0.1420898,0.1489258,0.1445313,0.1254883,0.1420898,0.1484375,0.1401367,0.1625977,0.1416016,0.1401367,0.1416016,0.1376953,0.1264648,0.1435547,0.1557617
"IF1,EMG0L",-25,18,-39,-31,-32,-24,33,-20,-29,34,15,-16,-81,48,-42,-1,52,3,33,-17,-58,0,82,15,4,19,-3,85,-55,-6,-17,-30,-20,14,-23,8,9,-20,0,-7,-11,-23,-5,8,23
"IF1,EMG1L",-7,-1,-7,-2,-22,-35,-32,-13,71,-25,-70,-26,10,-65,-14,-47,-16,5,-4,53,5,-16,10,53,29,9,22,95,-34,-20,-66,-44,-18,-9,-2,-3,-12,-8,-7,20,-15,-26,8,-10,6
"IF1,EMG2L",6,-8,-23,36,-92,12,-127,-60,96,32,-25,-79,4,-28,5,-14,-26,7,43,70,-16,0,17,22,9,10,0,44,-14,-13,-5,-16,-6,-9,5,-4,-13,-5,1,0,-5,-21,3,-10,1
"IF1,EMG3L",0,6,-16,33,-68,16,-34,-27,72,28,-7,-66,17,-11,1,-3,-5,-4,22,75,-38,4,8,8,-1,3,-9,20,-19,-5,-2,-4,-2,-7,-2,-2,-6,-3,-4,3,-2,-5,-1,-9,-3
"IF1,EMG4L",-14,3,-38,-7,-19,8,-7,-6,63,12,4,-11,4,0,-1,-5,-8,-6,4,15,3,-4,-3,-8,-1,7,-21,12,-7,33,-10,-2,2,35,-11,-6,-14,9,2,1,-8,-10,12,-15,-10
"IF1,EMG5L",-7,4,-21,-8,-13,2,-2,5,34,4,3,-14,-1,4,-4,-6,-1,0,-5,8,-1,-2,0,-14,-3,5,-8,1,-2,17,-4,-2,1,19,-1,-2,-5,2,0,0,-3,-1,1,-7,-4
"IF1,EMG6L",-1,1,2,2,-15,-1,5,6,11,4,5,-11,-3,6,-2,-7,2,0,5,7,-7,2,9,-8,-6,4,-2,2,-4,-5,-1,-8,-4,2,2,-2,-1,-10,-2,2,-2,1,1,-4,1
"IF1,EMG7L",-4,7,6,9,-34,-3,9,8,2,15,8,-9,-21,22,-13,-13,11,10,16,5,-17,1,35,-16,-14,8,-1,31,-15,-9,2,-21,-14,6,-5,-7,0,-19,-2,-2,-8,-2,1,2,3
"IF1,EMG0R",-2,0,0,0,0,-1,0,-3,0,-3,0,-2,-2,-2,-2,-2,-1,0,-2,0,0,1,-2,-2,-1,-1,0,-1,-2,0,-1,-2,-1,-2,-1,-3,-1,-1,-3,-1,-1,-1,0,-2,0
"IF1,EMG1R",-2,2,-2,-1,-1,-1,0,-1,-1,-1,0,0,-2,-3,-2,-2,0,0,-2,-1,-1,-1,0,-2,-2,-1,0,-2,-1,-3,-1,-1,-1,-1,-2,-1,-2,0,-1,-1,-2,-2,-1,-1,-2
"IF1,EMG2R",-1,-1,3,-1,-1,3,-1,-2,-2,-1,-1,0,-5,0,-1,-1,-1,-1,-3,0,0,0,-3,-2,-1,-1,0,-2,-1,-1,-2,2,-2,0,-1,-1,-1,0,-2,0,-1,-1,-2,-2,-1
"IF1,EMG3R",-1,-3,-2,0,0,-1,-1,0,-1,0,-1,-1,-1,0,-2,-1,-2,-1,-1,-1,-1,-1,-2,-1,1,-1,-1,-2,0,-1,0,-1,0,-1,-2,-1,-1,-2,-1,-1,-2,-2,-1,-1,-2
"IF1,EMG4R",-1,-1,-2,-3,-3,0,0,-2,1,-2,-1,-1,-1,0,-1,-2,-3,-1,-2,1,1,-2,0,0,0,-2,1,0,0,-2,-2,1,-2,-1,-1,-1,0,-1,-1,-2,-1,-1,-2,-1,0
"IF1,EMG5R",-1,0,-1,-2,1,-1,-2,-1,-2,-3,0,-1,-1,-3,-2,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-4,-1,0,-2,-2,-1,-2,0,-1,-2,0,1,0,-1,-2,-1,-1
"IF1,EMG6R",-1,-1,-1,-1,0,-3,-2,0,-1,0,-1,0,-1,-3,1,1,-1,-1,-1,-1,-1,0,-1,0,-1,0,1,-2,2,-2,0,-1,-1,-1,1,-1,-2,-1,-2,1,-3,0,-2,1,0
