dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"CAN1_ALX",0.9135742,0.9194336,0.9360352,1.037598,0.2480469,-0.09912109,-0.3276367,-0.3276367,-1.035156,0.137207,1.05957,0.3432617,0.3017578,0.2988281,0.02978516,-0.112793,-0.01513672,0.3457031,1.193848,0.8183594,0.7998047,0.980957,0.8911133,0.909668,0.9204102,0.9335938,0.9228516,0.9125977,0.9116211,0.9204102,0.9208984,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN1_ALY",-0.390625,-0.4101563,-0.4052734,-0.8330078,-0.6181641,-0.5615234,-0.7895508,-0.7895508,-0.703125,-0.8989258,-1.253418,-0.9345703,-0.8837891,-0.9560547,-0.6567383,-0.7124023,-0.5898438,-0.7626953,-0.4516602,-0.565918,-0.715332,-0.2763672,-0.3520508,-0.3632813,-0.3706055,-0.3598633,-0.390625,-0.3862305,-0.3862305,-0.3935547,-0.3925781,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN1_ALZ",0.02880859,0.02246094,0.02050781,0.390625,0.2573242,0.2485352,0.3198242,0.3198242,-0.2553711,0.3896484,0.3491211,0.3095703,0.2802734,0.3544922,0.1962891,0.1635742,0.09619141,0.1904297,-0.1079102,0.137207,-0.01904297,0.002929688,0.07470703,0.07177734,0.04589844,0.03320313,0.04199219,0.05126953,0.04589844,0.04248047,0.04638672,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN1_ARX",0.8955078,0.9448242,1.051758,0.2416992,0.06835938,-0.1196289,-0.15625,-0.2998047,1.94873,0.03271484,0.2109375,0.3442383,0.230957,0.04296875,-0.0390625,-0.01953125,0.3706055,1.011719,0.9873047,0.8193359,0.9160156,0.9243164,0.902832,0.9121094,0.9082031,0.887207,0.8842773,0.8964844,0.8950195,0.9003906,0.8974609,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN1_ARY",0.3754883,0.4189453,0.7807617,0.5732422,0.5166016,0.5585938,0.8554688,0.6655273,1.057617,1.06543,0.7949219,0.8115234,0.8349609,0.7324219,0.6796875,0.4746094,0.6708984,0.434082,0.2617188,0.5205078,0.2827148,0.3720703,0.3334961,0.3520508,0.3427734,0.3671875,0.3813477,0.3881836,0.3891602,0.3798828,0.3754883,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN1_ARZ",0.09033203,0.1079102,0.4350586,0.4780273,0.4370117,0.5405273,0.5883789,0.3227539,0.5141602,0.4189453,0.3613281,0.4418945,0.5107422,0.4072266,0.3725586,0.347168,0.3164063,0.3764648,0.01953125,0.1699219,0.09912109,0.1103516,0.1254883,0.1064453,0.1088867,0.125,0.1245117,0.1137695,0.1035156,0.1176758,0.1152344,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN1_EMG0L",4,5,-3,-9,-7,-2,-5,-20,55,-75,-28,-40,-6,9,0,-5,-2,0,-2,0,-2,1,-1,-2,-1,-3,0,-1,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN1_EMG1L",3,-2,-1,-8,-4,0,-1,-3,66,-63,-8,-46,2,11,0,-2,0,-1,0,1,-1,1,-2,0,-1,0,-1,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN1_EMG2L",1,-3,-2,-7,-6,5,3,5,45,-40,-17,-29,-6,24,-9,-4,4,0,-2,-1,-1,0,-2,1,0,0,-1,-1,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN1_EMG3L",-1,-5,0,-13,-18,5,8,1,-11,-13,15,-69,-4,11,-5,-2,3,2,0,0,-1,-1,-2,-1,-1,-1,-1,-1,1,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN1_EMG4L",-2,-4,9,-22,-47,16,11,-12,-17,-39,6,-54,-16,50,2,-1,5,-2,1,-1,0,-2,-1,-1,-1,-1,0,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN1_EMG5L",0,-1,3,-5,-60,53,-17,-29,-10,-74,-21,-42,-24,79,14,3,2,2,4,0,-2,0,0,-3,0,0,0,-2,-2,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN1_EMG6L",0,-2,-2,-8,-29,18,-9,-55,8,-31,-3,-42,-14,51,-1,-3,2,0,1,-1,0,-1,0,-1,0,1,-1,0,-2,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN1_EMG7L",1,24,-1,-19,-17,-9,-4,10,73,-25,8,-72,-27,33,-2,-8,-1,-1,-4,0,-2,-1,-1,-2,0,0,1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN1_EMG0R",-3,0,-4,21,-23,-8,3,9,-9,-14,-37,33,-9,0,0,6,-6,-1,7,2,-2,0,0,-1,2,-2,2,-1,-3,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN1_EMG1R",-1,-1,5,16,32,-24,8,2,-4,10,-10,17,-30,-4,-1,0,4,5,2,-2,1,-1,0,-1,0,-2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN1_EMG2R",-3,3,8,18,11,-2,12,3,13,-6,-3,4,-25,-3,0,-4,6,11,-2,-1,-3,2,0,0,0,-2,-1,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN1_EMG3R",-3,0,-14,22,2,0,1,11,4,5,-9,-16,-14,-2,-1,0,7,3,2,-2,-2,-1,-2,1,0,-1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN1_EMG4R",-1,2,2,3,-6,1,9,44,-13,0,4,-16,-12,4,0,-2,1,-2,1,0,-2,0,0,-1,0,0,1,-3,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
