dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"COP1_ALX",0.938965,0.937012,0.936035,0.934082,0.930664,0.938477,0.931152,0.935547,0.94043,0.930176,0.929199,0.94043,0.932617,0.938965,0.931641,0.932617,0.905762,0.905762,0.931641,0.898926,0.959473,0.928711,0.848633,0.909668,0.859375,0.918457,0.955566,0.955566,0.94043,0.90918,0.914063,0.942871,0.941406,0.949219,0.929688,0,0,0,0,0,0,0,0,0,0
"COP1_ALY",-0.333496,-0.32373,-0.327148,-0.330566,-0.327637,-0.330078,-0.338867,-0.336914,-0.342285,-0.331543,-0.330078,-0.336426,-0.320801,-0.321289,-0.327637,-0.337891,-0.338867,-0.338867,-0.321289,-0.339355,-0.317383,-0.328125,-0.372559,-0.343262,-0.419434,-0.425293,-0.283203,-0.283203,-0.34375,-0.306641,-0.36377,-0.374512,-0.34668,-0.365723,-0.335938,0,0,0,0,0,0,0,0,0,0
"COP1_ALZ",-0.0771484,-0.0712891,-0.0761719,-0.078125,-0.081543,-0.0786133,-0.081543,-0.0751953,-0.0727539,-0.0766602,-0.0737305,-0.0732422,-0.0654297,-0.0742188,-0.0732422,-0.0756836,-0.0820313,-0.0820313,-0.10791,-0.050293,-0.123535,-0.0761719,-0.0844727,-0.0986328,-0.109863,-0.034668,-0.128906,-0.128906,-0.0859375,-0.0859375,-0.0595703,-0.0874023,-0.0917969,-0.0722656,-0.078125,0,0,0,0,0,0,0,0,0,0
"COP1_ARX",0.907227,0.90918,0.90918,0.910644,0.919434,0.907715,0.917481,0.915039,0.906738,0.916504,0.911621,0.908691,0.915039,0.912598,0.895019,0.85791,0.96875,0.713867,0.101074,-0.349121,-0.759277,-0.52832,-0.524414,-0.364746,-0.504883,-0.211914,0.0200195,0.408203,0.364258,0.54834,0.757324,0.971191,0.981445,1.00684,0.882324,0,0,0,0,0,0,0,0,0,0
"COP1_ARY",0.333008,0.336914,0.328613,0.323242,0.327148,0.324219,0.32666,0.321777,0.324707,0.320313,0.325684,0.324707,0.32666,0.317871,0.347656,0.726563,0.948242,0.749512,0.427734,0.546875,1.32275,0.823731,0.848633,0.679688,0.884766,0.539551,0.61084,0.521484,0.750488,0.696777,0.977051,0.729004,0.693359,0.534668,0.328125,0,0,0,0,0,0,0,0,0,0
"COP1_ARZ",-0.0649414,-0.0751953,-0.0761719,-0.074707,-0.0717773,-0.0766602,-0.0756836,-0.0693359,-0.0708008,-0.0786133,-0.0776367,-0.074707,-0.0849609,-0.0854492,-0.0786133,-0.187012,0.541016,0.52832,0.243164,-0.28125,-0.631348,-0.065918,-0.0239258,0.00683594,-0.0761719,-0.347656,-0.0449219,0.309082,0.478516,0.478516,0.477539,0.212891,0.0415039,-0.10791,-0.160156,0,0,0,0,0,0,0,0,0,0
"COP1_EMG0L",-1,-1,0,4,-4,-1,-3,1,0,4,5,-3,-1,-1,2,3,-4,1,-6,-4,-3,-1,-4,-3,-5,-2,-4,-4,0,-1,-1,1,1,0,2,0,0,0,0,0,0,0,0,0,0
"COP1_EMG1L",2,2,-5,-3,0,-5,-2,2,5,0,0,-3,-6,-2,-3,-2,-2,0,0,-3,6,-4,2,2,-1,-3,-2,-1,-2,0,-2,0,1,-4,-3,0,0,0,0,0,0,0,0,0,0
"COP1_EMG2L",-2,-5,-1,-2,1,0,-3,-2,1,1,-4,-2,2,-3,-1,0,-3,-1,-4,-2,0,-2,-2,1,-1,-4,1,1,-1,-1,1,-1,-1,-2,-3,0,0,0,0,0,0,0,0,0,0
"COP1_EMG3L",-1,-1,-3,-1,2,1,1,0,-3,0,2,-1,2,2,4,1,0,-3,1,-3,0,2,0,0,0,-4,-1,1,1,0,1,0,-2,0,-3,0,0,0,0,0,0,0,0,0,0
