dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"COST1_ALX",0.9243164,0.9267578,0.9301758,1.233398,1.163574,0.9335938,0.5732422,0.1103516,-0.04980469,-0.07568359,-0.1523438,-0.1079102,-0.2314453,-0.402832,-0.4711914,-0.1113281,0.00390625,0.2338867,0.1245117,0.03222656,0.4672852,0.8681641,1.026855,1.191895,1.093262,1.050781,0.9150391,0.8671875,0.878418,0.9194336,0.9423828,1.01416,0.9584961,0.8955078,0.9311523,0.9262695,0.9228516,0.9350586,0.9189453,0.9287109,0.9291992,0.9331055,0.9311523,0,0
"COST1_ALY",0.3110352,0.3154297,0.3139648,0.9799805,1.541016,1.471191,0.9257813,0.3842773,0.3168945,0.2636719,0.1689453,0.5898438,0.7460938,2.030762,1.441406,0.8349609,0.7763672,0.59375,0.4360352,0.3984375,0.7265625,1.150879,0.7529297,0.5917969,0.3222656,0.3164063,0.4677734,0.2919922,0.2919922,0.2929688,0.2421875,0.184082,0.2041016,0.2519531,0.2397461,0.2695313,0.2773438,0.277832,0.3095703,0.2978516,0.2890625,0.2866211,0.2797852,0,0
"COST1_ALZ",-0.02587891,-0.001464844,-0.001464844,0.06884766,0.7001953,0.565918,0.5463867,0.2602539,0.1967773,0.168457,0.09667969,0.3291016,0.4360352,0.512207,0.3129883,0.2866211,0.3647461,0.3823242,0.3735352,0.3139648,0.2880859,0.3183594,0.09570313,-0.1611328,-0.1791992,-0.03662109,0.04150391,0.09082031,0.03662109,-0.07128906,-0.1210938,-0.05224609,-0.02685547,-0.04248047,-0.008300781,-0.05078125,-0.04541016,-0.005371094,0.003417969,-0.0009765625,-0.01074219,-0.01953125,-0.02490234,0,0
"COST1_ARX",0.9350586,0.9331055,0.9331055,0.9799805,1.092285,1.085449,0.918457,0.40625,0.07714844,-0.05175781,-0.1474609,-0.2890625,-0.3432617,-0.3613281,-0.3061523,-0.2553711,-0.1679688,-0.001953125,0.09082031,0.1279297,0.5039063,0.3994141,0.9731445,0.9067383,0.9726563,0.9550781,0.9487305,0.9511719,0.9985352,0.9458008,0.9492188,0.9814453,0.934082,0.9658203,0.9594727,0.9287109,0.9291992,0.9370117,0.9487305,0.9389648,0.9399414,0.9428711,0.9448242,0,0
"COST1_ARY",-0.3549805,-0.3500977,-0.3476563,-1.006348,-1.290527,-0.8842773,-0.7763672,-0.4726563,-0.5834961,-0.7021484,-0.8706055,-0.8657227,-0.8183594,-0.8383789,-0.9130859,-0.9018555,-0.8637695,-0.769043,-0.6010742,-0.5146484,-0.9443359,-0.7749023,-1.126953,-1.12793,-0.800293,-0.6293945,-0.4780273,-0.4663086,-0.4633789,-0.3144531,-0.2875977,-0.2626953,-0.293457,-0.2836914,-0.3120117,-0.3549805,-0.3291016,-0.328125,-0.3168945,-0.3344727,-0.3242188,-0.3300781,-0.3291016,0,0
"COST1_ARZ",-0.05175781,-0.03564453,-0.05566406,0.1972656,0.1977539,0.4501953,0.4233398,0.2895508,0.1962891,0.1899414,0.2006836,0.2856445,0.3427734,0.3891602,0.3652344,0.2988281,0.1806641,0.1137695,0.1762695,0.1791992,0.2670898,0.2915039,0.2597656,0.006347656,0.007324219,-0.06152344,-0.1469727,-0.1411133,-0.1235352,-0.09570313,-0.04492188,-0.0004882813,-0.06835938,-0.112793,-0.07373047,-0.04492188,-0.03710938,-0.03417969,-0.02880859,-0.04345703,-0.03808594,-0.05078125,-0.04589844,0,0
"COST1_EMG0L",-2,0,0,-28,3,25,-30,38,7,20,-4,13,-48,12,3,-9,-9,-1,-10,0,-1,-6,3,0,0,4,-3,-1,-1,2,1,-1,1,-1,-5,-1,-1,0,0,-2,-2,-2,0,0,0
"COST1_EMG1L",-2,0,-2,-35,3,4,-6,-8,6,9,8,-11,-16,-11,8,-25,-1,-5,-1,-6,-1,-12,5,-1,0,1,-2,0,-1,-1,1,0,0,-3,-2,1,0,1,-1,1,0,-1,-2,0,0
"COST1_EMG2L",0,0,0,-88,14,-16,-11,-7,2,0,15,-5,2,-6,1,-11,-1,-3,0,-3,0,-6,-2,-2,0,1,-2,0,0,0,1,-1,1,-3,-1,-2,-1,0,-1,-2,0,-3,0,0,0
"COST1_EMG3L",-1,0,-1,-16,-81,20,-4,12,15,1,10,-5,12,-9,-5,0,-1,0,-1,1,-1,-3,-1,0,-1,1,1,-1,1,-2,1,-3,-1,-1,0,-1,0,2,-2,-1,0,0,-1,0,0
"COST1_EMG4L",-1,-1,-2,-18,-28,1,-25,3,20,-5,-25,7,3,17,-3,-4,6,8,2,2,0,-1,0,1,-2,3,11,1,-2,-4,0,0,1,-2,-10,-5,1,3,0,4,1,-1,0,0,0
"COST1_EMG5L",6,-1,0,-22,23,-8,2,-4,19,-8,-4,6,17,-7,-6,-1,5,10,13,3,-3,-4,1,0,-5,13,-3,8,-6,-5,8,5,3,-8,-14,-8,4,2,2,1,0,1,1,0,0
"COST1_EMG6L",7,-2,-4,-29,9,3,17,8,16,-2,-5,1,2,-25,-9,25,3,-16,-10,7,4,-10,3,3,-1,10,-1,-8,-1,2,4,2,1,-5,-5,1,2,0,2,-3,1,-1,0,0,0
"COST1_EMG7L",0,-4,-2,-17,37,-35,-19,10,-8,-2,12,-7,9,12,-6,12,1,-20,7,7,3,-8,12,-1,2,8,-2,-1,0,1,0,0,0,0,-2,1,0,-1,-1,0,-1,0,1,0,0
"COST1_EMG0R",-1,-3,-2,-5,-7,6,9,-17,1,-15,-3,18,7,9,5,-1,4,1,2,-8,-2,-2,0,1,1,2,-1,-1,0,6,5,-2,10,2,-3,-3,1,0,-1,2,4,-2,0,0,0
"COST1_EMG1R",0,-5,-19,24,-22,1,15,-5,1,-18,17,20,3,12,11,-1,16,0,1,-18,-3,-15,2,-2,4,-1,-3,4,4,18,-2,-16,14,8,-3,-1,-1,-3,2,0,3,0,0,0,0
"COST1_EMG2R",-2,0,-8,0,-1,8,-3,-17,5,-1,2,-8,-7,8,8,-6,7,-2,-1,6,-7,-7,0,3,2,-8,-3,4,4,1,4,-2,2,9,0,0,-2,-3,0,0,-1,-2,1,0,0
"COST1_EMG3R",1,1,-4,12,6,9,-3,-6,-1,5,-1,3,4,1,13,-8,-6,-4,1,-2,-4,15,-3,-3,-4,-2,-1,0,0,4,-2,0,-2,1,-1,6,-2,0,-2,-1,-2,-1,2,0,0
"COST1_EMG4R",-1,-1,-2,0,7,-3,-1,-1,8,4,0,1,6,2,1,-11,-8,0,-1,-4,-5,5,-3,-1,-2,0,-2,-2,0,1,-2,1,0,-2,0,-1,-2,-1,-1,-1,-2,-2,-2,0,0
"COST1_EMG5R",-1,-2,0,-7,-4,0,3,-8,26,14,1,-3,12,13,-12,-14,-3,0,1,-3,-1,1,0,-1,-1,-1,-1,-1,-2,0,-2,0,1,0,-3,-1,-2,1,0,-1,-1,0,-1,0,0
"COST1_EMG6R",0,-1,1,-12,-2,-2,4,-16,16,5,12,-9,1,4,-13,3,0,-7,5,2,-1,-2,-3,1,-1,-1,-2,-2,-2,-1,-1,0,0,-2,-2,1,-1,-2,-1,1,0,-1,0,0,0
"COST1_EMG7R",-1,-1,-1,-8,1,6,24,-35,26,-23,-23,20,-7,-8,14,9,1,-4,3,2,-2,-1,0,-1,0,-2,0,-2,-2,2,0,0,1,-2,-3,-2,-2,-1,-1,0,-1,0,-3,0,0
"COST1_GLX",-0.625,0.625,-0.6875,-102.375,-40.3125,-17.875,25.625,56.5625,43.25,28.875,-2,-57.0625,-59.375,-65.3125,-58.1875,45.875,42.375,23.8125,-21.5,11.5,63.625,-28.875,-34.25,-48.0625,-26.4375,79,45.5,16.4375,18.75,-6.375,8,29.4375,28.25,3.875,1.1875,3.9375,-3,1.9375,6,-2.5625,1.125,1.875,6.875,0,0
"COST1_GLY",-0.625,0.625,-0.6875,-102.375,-40.3125,-17.875,25.625,56.5625,43.25,28.875,-2,-57.0625,-59.375,-65.3125,-58.1875,45.875,42.375,23.8125,-21.5,11.5,63.625,-28.875,-34.25,-48.0625,-26.4375,79,45.5,16.4375,18.75,-6.375,8,29.4375,28.25,3.875,1.1875,3.9375,-3,1.9375,6,-2.5625,1.125,1.875,6.875,0,0
"COST1_GLZ",-0.625,0.625,-0.6875,-102.375,-40.3125,-17.875,25.625,56.5625,43.25,28.875,-2,-57.0625,-59.375,-65.3125,-58.1875,45.875,42.375,23.8125,-21.5,11.5,63.625,-28.875,-34.25,-48.0625,-26.4375,79,45.5,16.4375,18.75,-6.375,8,29.4375,28.25,3.875,1.1875,3.9375,-3,1.9375,6,-2.5625,1.125,1.875,6.875,0,0
"COST1_GRX",2.625,-2.1875,-2.3125,18.9375,62.9375,12.375,17.6875,-24.875,-9,0.9375,29.375,0.4375,-16.3125,-11.25,-3.8125,1.4375,4.4375,-17.625,-30.9375,-79.3125,-97.9375,10.1875,-56.375,-1.25,62.875,58.3125,47.1875,17.3125,5.125,-2.75,-14.8125,-3.3125,-8.625,16.1875,-14.375,-8.5625,4.5,-0.6875,0.9375,1.3125,-0.5,-2.75,-3.25,0,0
"COST1_GRY",2.625,-2.1875,-2.3125,18.9375,62.9375,12.375,17.6875,-24.875,-9,0.9375,29.375,0.4375,-16.3125,-11.25,-3.8125,1.4375,4.4375,-17.625,-30.9375,-79.3125,-97.9375,10.1875,-56.375,-1.25,62.875,58.3125,47.1875,17.3125,5.125,-2.75,-14.8125,-3.3125,-8.625,16.1875,-14.375,-8.5625,4.5,-0.6875,0.9375,1.3125,-0.5,-2.75,-3.25,0,0
"COST1_GRZ",2.625,-2.1875,-2.3125,18.9375,62.9375,12.375,17.6875,-24.875,-9,0.9375,29.375,0.4375,-16.3125,-11.25,-3.8125,1.4375,4.4375,-17.625,-30.9375,-79.3125,-97.9375,10.1875,-56.375,-1.25,62.875,58.3125,47.1875,17.3125,5.125,-2.75,-14.8125,-3.3125,-8.625,16.1875,-14.375,-8.5625,4.5,-0.6875,0.9375,1.3125,-0.5,-2.75,-3.25,0,0
"COST1_ORL",7.600287,7.595459,7.565774,7.384401,6.950977,6.827926,6.775983,6.968984,7.080115,7.127708,7.209642,7.086508,7.055999,6.866183,6.821502,6.866014,6.884694,6.913719,6.869715,6.865891,6.984975,7.125092,7.273203,7.676408,7.907679,8.1111,8.076503,7.912096,7.806631,7.731522,7.769087,7.778474,7.702026,7.607842,7.565247,7.553913,7.567668,7.580293,7.589455,7.590811,7.585322,7.578773,7.581436,0,0
"COST1_OPL",3.030954,3.023196,3.00936,3.133776,3.528241,4.00965,4.827628,5.943888,6.182628,6.261215,6.349225,5.83606,5.67269,4.983678,5.063285,5.253068,5.274121,5.250271,5.033857,4.714948,4.249951,3.741615,3.334342,3.070116,2.988831,2.939922,2.939991,2.935281,2.930475,2.935506,2.94271,2.95125,2.968451,2.997687,3.002582,3.007543,3.004788,2.998753,2.995233,2.993274,2.990034,2.988999,2.988021,0,0
"COST1_OYL",0.4727409,0.4723752,0.4816958,0.5580271,0.8884692,1.020329,1.149287,1.321662,1.415607,1.46155,1.527459,1.505333,1.514874,1.52922,1.481609,1.380693,1.362401,1.316232,1.267466,1.199652,1.064026,0.8781508,0.5732771,0.0708111,9.784979,9.654166,9.803488,9.999796,0.1430848,0.2247586,0.1917019,0.2229858,0.3560891,0.4848419,0.5314381,0.5517965,0.536624,0.5225175,0.5194067,0.5164119,0.5207859,0.5309839,0.5349806,0,0
