dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"FIND1_ALX",0.9047852,0.9018555,0.902832,0.9248047,0.9765625,1.021973,0.9785156,0.5161133,0.1123047,0.0625,0.1586914,-0.628418,0.4907227,-0.2880859,-0.574707,-0.5166016,-0.4125977,-0.4536133,-0.96875,0.3803711,-0.2573242,-0.5551758,-0.3217773,-0.2626953,-0.1972656,-0.04736328,0.06982422,0.3979492,1.726074,1.561523,1.085449,0.8032227,0.8168945,0.8505859,0.9458008,0.9516602,0.9204102,0.8925781,0.8725586,0.8740234,0.8891602,0.8852539,0.9067383,0.9047852,0.9067383
"FIND1_ALY",0.3510742,0.3554688,0.3959961,0.5756836,0.934082,0.9985352,1.381836,0.9545898,0.5673828,0.6479492,0.7885742,0.293457,0.9829102,0.5141602,0.9121094,0.9516602,0.8310547,0.9467773,0.9418945,1.224609,1.277344,0.7353516,0.9208984,0.9345703,0.8125,0.6191406,0.5639648,0.6088867,0.4682617,0.7109375,0.7382813,0.5454102,0.5307617,0.4379883,0.3623047,0.300293,0.3237305,0.3422852,0.3618164,0.3540039,0.3847656,0.3720703,0.3852539,0.3618164,0.3676758
"FIND1_ALZ",-0.04541016,-0.04541016,-0.05517578,-0.09716797,0,-0.2368164,0.1733398,-0.01464844,0.02441406,-0.03759766,0.2348633,-0.1572266,-0.08886719,-0.05126953,-0.1328125,-0.1289063,-0.09277344,-0.144043,-0.4604492,0.5224609,-0.1962891,-0.04541016,-0.005859375,-0.05126953,-0.02539063,0.06982422,0.07128906,0.1142578,0.07519531,-0.5664063,-0.5224609,-0.02539063,-0.06494141,-0.06347656,-0.04638672,-0.06298828,-0.05322266,-0.03222656,-0.03857422,-0.05175781,-0.05859375,-0.06005859,-0.0625,-0.06738281,-0.05957031
"FIND1_ARX",0.9355469,0.9301758,0.9335938,0.9296875,0.9316406,0.9438477,0.9228516,0.9458008,0.9213867,0.9150391,0.9487305,0.9487305,0.9291992,0.9072266,0.9204102,0.9311523,0.9375,0.9345703,0.9399414,0.9033203,0.8808594,0.9350586,0.9018555,0.9145508,0.9223633,0.9287109,0.9111328,0.9213867,0.9345703,1.008789,1.008789,0.875,0.8193359,0.9003906,0.9868164,0.96875,0.9267578,0.934082,0.9511719,0.9458008,0.9321289,0.9262695,0.9272461,0.9301758,0.934082
"FIND1_ARY",-0.3447266,-0.3432617,-0.3393555,-0.3422852,-0.3500977,-0.3530273,-0.3603516,-0.3676758,-0.3422852,-0.3300781,-0.3208008,-0.3208008,-0.3754883,-0.3696289,-0.4057617,-0.3896484,-0.3852539,-0.3613281,-0.3554688,-0.3500977,-0.3510742,-0.3442383,-0.3359375,-0.3989258,-0.359375,-0.3525391,-0.3579102,-0.3525391,-0.3525391,-0.3857422,-0.3857422,-0.315918,-0.3691406,-0.3901367,-0.2978516,-0.3051758,-0.3364258,-0.3125,-0.3022461,-0.3085938,-0.3320313,-0.3393555,-0.3657227,-0.3417969,-0.3569336
"FIND1_ARZ",-0.07226563,-0.07910156,-0.07666016,-0.07080078,-0.07373047,-0.0703125,-0.07324219,-0.0703125,-0.07568359,-0.05859375,-0.06835938,-0.06835938,-0.08007813,-0.09570313,-0.08349609,-0.07519531,-0.07519531,-0.07861328,-0.07910156,-0.07666016,-0.08984375,-0.08007813,-0.09960938,-0.07763672,-0.07519531,-0.08789063,-0.07470703,-0.06396484,-0.06103516,-0.1005859,-0.1005859,-0.09326172,-0.03076172,-0.05810547,-0.1289063,-0.08886719,-0.05078125,-0.07373047,-0.08251953,-0.08447266,-0.08447266,-0.08154297,-0.08544922,-0.08544922,-0.07666016
"FIND1_EMG0L",-1,0,-3,2,-27,-6,15,-23,-9,-53,-15,-26,-35,-4,-2,-6,8,-3,-39,23,4,3,-3,-3,0,-1,-1,-3,-4,3,1,0,-2,0,-2,0,-2,-1,0,-1,0,-1,0,0,-1
"FIND1_EMG1L",-2,1,-3,-2,-2,-15,16,-1,-9,-24,28,25,-25,-6,6,4,0,4,-61,49,-3,3,-2,0,0,-2,-1,1,10,18,1,7,-1,1,-1,-2,-2,-1,-1,-1,-2,0,0,-1,-1
"FIND1_EMG2L",-2,-2,-1,-3,33,-67,8,14,-12,-10,4,-7,17,0,5,0,-3,-4,-25,11,0,3,-4,0,-2,0,-1,-2,-4,7,-1,-1,-1,-1,0,-2,-2,0,-1,0,-1,-3,-1,-1,0
"FIND1_EMG3L",-1,0,0,1,-3,-14,17,5,-10,-9,-7,4,1,-3,4,-3,0,-7,-6,6,-2,-5,-2,0,-2,1,-1,1,-2,-1,0,-1,-1,0,1,0,-1,-3,-2,-1,0,-1,0,-1,1
"FIND1_EMG4L",-1,0,-1,-10,-26,-39,22,22,12,-20,-2,0,13,-4,12,-4,-7,22,-3,1,-1,7,-10,2,1,0,0,-1,-2,1,-2,-2,-1,-1,1,0,-1,-1,-1,-2,-4,-2,1,0,0
