dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"HEARING1_ALX",0.855957,0.8642578,0.8994141,0.9018555,0.9082031,0.9208984,0.9106445,0.909668,1.050781,1.15332,1.200195,0.8129883,0.265625,-0.1591797,0.004394531,-0.2714844,-0.5151367,-0.2333984,-0.4677734,-0.4970703,-0.2333984,-0.5429688,-0.3740234,-0.2685547,-1.115723,0.2661133,-1.101074,-0.01123047,-0.2158203,-0.1245117,0.004882813,0.137207,0.2446289,0.7094727,1.228027,1.323242,1.088379,0.9291992,0.7011719,0.871582,0.9453125,0.9316406,0.8603516,0.8676758,0.8818359
"HEARING1_ALY",0.3974609,0.409668,0.4301758,0.421875,0.4101563,0.3969727,0.3989258,0.3950195,0.6098633,0.800293,1.287598,1.233398,0.8886719,0.3271484,0.08251953,0.4829102,1.258301,0.4506836,0.9648438,1.121582,0.3798828,1.121094,0.7324219,0.4487305,0.9091797,0.7460938,0.8105469,0.9868164,0.2250977,0.3286133,0.378418,0.6889648,1.329102,1.174805,0.9169922,0.5874023,0.4448242,0.3808594,0.4916992,0.3862305,0.309082,0.3833008,0.3676758,0.3842773,0.3964844
"HEARING1_ALZ",-0.02441406,-0.01806641,-0.01367188,-0.02539063,-0.03613281,-0.03369141,-0.008300781,-0.01660156,-0.07421875,0.2138672,0.4370117,0.7148438,0.4692383,0.2675781,0.01953125,-0.4013672,-0.4311523,-0.2348633,-0.6875,-0.4677734,-0.01611328,-0.5292969,-0.3422852,-0.1196289,-0.9545898,-0.006347656,-0.9326172,0.09863281,-0.06982422,-0.06591797,0.2597656,0.4145508,0.2714844,0.2016602,0.05859375,-0.2514648,-0.300293,0.01513672,0.04638672,-0.009277344,-0.05078125,-0.07128906,-0.03173828,-0.02392578,-0.02050781
"HEARING1_ARX",0.7583008,0.7900391,0.8139648,0.8330078,0.8217773,0.8168945,0.8149414,0.8295898,0.8520508,0.8583984,0.8325195,0.8081055,0.8188477,0.8037109,0.8017578,0.8696289,0.8491211,0.7636719,0.7998047,0.855957,0.8164063,0.8325195,0.8457031,0.8452148,0.8300781,0.8486328,0.8334961,0.8242188,0.7915039,0.8105469,0.8618164,0.9267578,0.8496094,0.78125,0.8300781,0.8823242,0.8603516,0.8662109,0.8774414,0.8857422,0.8691406,0.8525391,0.8417969,0.8510742,0.8544922
"HEARING1_ARY",-0.5673828,-0.5610352,-0.5830078,-0.5761719,-0.5458984,-0.5532227,-0.5473633,-0.5454102,-0.5463867,-0.5493164,-0.5571289,-0.534668,-0.5649414,-0.5087891,-0.5209961,-0.5239258,-0.5288086,-0.5532227,-0.5771484,-0.5703125,-0.5288086,-0.5493164,-0.5390625,-0.527832,-0.5214844,-0.5400391,-0.534668,-0.5239258,-0.5161133,-0.5180664,-0.5332031,-0.5551758,-0.5400391,-0.5209961,-0.5297852,-0.5141602,-0.4731445,-0.4711914,-0.4853516,-0.4873047,-0.4819336,-0.4897461,-0.5102539,-0.4980469,-0.5009766
"HEARING1_ARZ",0.230957,0.2070313,0.1860352,0.1860352,0.1796875,0.1655273,0.1586914,0.1538086,0.1269531,0.1293945,0.1254883,0.1459961,0.1533203,0.1542969,0.1577148,0.1513672,0.1196289,0.1293945,0.1748047,0.1777344,0.1435547,0.168457,0.175293,0.1396484,0.1503906,0.1499023,0.1542969,0.1674805,0.140625,0.1757813,0.1865234,0.1420898,0.1206055,0.1445313,0.1704102,0.1303711,0.0859375,0.09521484,0.1054688,0.09912109,0.09033203,0.1064453,0.1318359,0.1293945,0.1298828
"HEARING1_EMG0L",0,-1,-1,-2,-2,1,0,-1,-8,-7,9,7,-3,0,-1,-54,4,-8,-29,5,3,0,-2,-17,4,-2,26,0,-5,-3,-1,3,-1,-6,-4,0,1,-1,1,0,1,-1,-1,0,-1
"HEARING1_EMG1L",2,-1,0,-2,-2,1,-1,4,-9,-18,24,21,-10,-2,-4,-88,10,-11,-38,-2,46,1,3,-3,-4,-5,61,-2,-8,-9,-4,4,-2,-15,-6,1,-1,0,-1,2,1,-2,0,0,1
"HEARING1_EMG2L",-2,0,-1,-1,0,-3,-1,5,-1,-41,-30,14,5,-2,0,-29,5,-13,-14,-6,8,-3,5,-9,-2,-7,20,-3,-6,-9,-5,0,-1,-7,-6,1,0,-1,-1,0,-1,0,1,0,0
"HEARING1_EMG3L",0,0,0,-1,-1,-1,0,0,2,-12,22,0,2,3,-3,-12,-3,0,-12,6,-4,12,3,-5,1,-15,10,-13,-17,-12,-6,-1,0,-4,-2,0,-1,0,-1,1,1,-1,0,-2,-1
