dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"HERE1_ALX",0.9248047,0.9199219,0.9228516,0.9389648,0.9956055,1.792969,-0.03271484,0.394043,0.815918,0.3706055,-0.6264648,0.409668,0.2392578,-0.6274414,0.418457,1.223633,-0.2949219,-0.409668,0.9482422,1.710938,0.6606445,0.8886719,0.8032227,0.918457,0.8852539,0.9609375,0.9370117,0.8911133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HERE1_ALY",0.3129883,0.3115234,0.2929688,0.2763672,0.3041992,1.498535,-0.1831055,0.07617188,1.156738,1.260742,0.3193359,0.515625,1.483398,0.8583984,0.546875,1.300781,1.109863,0.6967773,0.690918,0.4858398,0.06982422,0.6479492,0.1953125,0.3144531,0.2739258,0.206543,0.3041992,0.3408203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HERE1_ALZ",-0.02294922,-0.03222656,-0.03466797,-0.01611328,-0.06542969,1.048828,0.9316406,1.026367,-0.07763672,0.2802734,0.9960938,1.05127,0.4848633,0.9189453,0.9833984,0.9331055,0.7587891,0.6445313,0.9428711,0.5634766,-0.5527344,-0.5581055,-0.25,-0.002929688,0.05908203,0.00390625,-0.03173828,-0.09912109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HERE1_ARX",0.9335938,0.9311523,0.9511719,0.9169922,1.010742,1.362305,0.3730469,0.8549805,0.1933594,-0.01513672,-0.02539063,1.155273,-0.07617188,-0.418457,0.8891602,0.2421875,-0.1123047,-0.06201172,0.793457,1.269043,1.254883,0.8081055,1.083984,0.9360352,0.8779297,0.9916992,0.9321289,0.9204102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HERE1_ARY",-0.3442383,-0.3339844,-0.3266602,-0.3076172,-0.4804688,-1.215332,-0.4477539,-0.02734375,-1.563965,-1.498047,-0.4291992,-0.6152344,-1.580078,-0.3974609,-0.5449219,-1.465332,-0.9052734,-0.4257813,-0.4384766,-0.4633789,-0.4375,-0.5058594,-0.1298828,-0.3769531,-0.3789063,-0.262207,-0.3461914,-0.3588867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HERE1_ARZ",-0.06396484,-0.07128906,-0.04833984,-0.04980469,-0.2841797,-0.3764648,1.071289,0.4394531,0.1499023,0.3540039,1.144043,0.5166016,0.5532227,1.13916,0.3334961,0.2163086,0.625,0.5380859,0.3139648,-0.1386719,-0.1459961,-0.5869141,-0.1884766,0.07080078,0.04345703,-0.05371094,-0.06347656,-0.07080078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HERE1_EMG0L",-2,-1,-1,-2,3,-19,-3,1,6,8,-3,1,0,5,2,-6,-3,-2,0,-3,-3,-2,0,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HERE1_EMG1L",0,0,2,-1,-10,-14,2,-3,11,4,-9,-1,-1,2,1,-8,-5,0,-1,0,-1,-2,-1,0,-3,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HERE1_EMG2L",0,0,-1,0,-5,-3,3,2,3,0,-4,0,-4,1,-3,-5,-4,0,-1,0,1,-1,0,-1,-1,1,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HERE1_EMG3L",-1,-1,-1,-3,-1,-10,5,1,6,-1,-1,0,-1,-2,-3,-2,-1,-1,-1,0,1,-3,0,-1,-3,1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
