dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"HOSPITAL1_ALX",1.084961,0.9716797,1.166016,0.9692383,0.5322266,0.5332031,0.3969727,0.324707,0.2416992,-0.2617188,0.3007813,-0.465332,-0.5761719,-0.04785156,0.3500977,0.2685547,0.4038086,0.2485352,-0.02148438,0.1362305,0.9145508,1.006348,1.093262,0.8979492,0.8637695,0.9458008,0.9506836,0.9023438,0.9189453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_ALY",0.3408203,0.3657227,0.7509766,1.495605,0.9150391,0.7338867,0.3007813,0.4204102,0.7138672,1.247559,1.151367,1.219727,1.099121,0.6694336,1.724121,1.338379,0.6420898,0.5117188,0.5429688,1.001953,0.6147461,0.6396484,0.3364258,0.2143555,0.1904297,0.3134766,0.3623047,0.300293,0.331543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_ALZ",0.09814453,-0.1894531,0.1953125,0.6313477,0.5844727,0.4042969,0.1586914,-0.109375,-0.3071289,-0.8505859,-0.2919922,0.1357422,0.1660156,0.1743164,-0.1787109,0.3808594,0.2597656,0.3164063,0.4667969,0.4672852,0.3818359,0.2397461,-0.3896484,0.05419922,0.05859375,0.04394531,-0.0703125,-0.02246094,0.03662109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_ARX",0.8989258,0.9326172,0.8857422,0.9624023,1.021484,0.8984375,0.8686523,0.9140625,0.9111328,0.9858398,0.9526367,0.8935547,0.9311523,0.9321289,0.8569336,1.019043,0.9272461,0.9775391,0.9970703,0.8974609,0.9116211,0.9829102,0.9384766,0.9238281,0.9355469,0.9609375,0.9179688,0.9272461,0.9262695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_ARY",-0.4716797,-0.4467773,-0.347168,-0.4248047,-0.3007813,-0.2246094,-0.2963867,-0.2392578,-0.2290039,-0.3422852,-0.3203125,-0.4892578,-0.3793945,-0.2963867,-0.2617188,-0.2729492,-0.2167969,-0.2255859,-0.2167969,-0.3085938,-0.3925781,-0.3647461,-0.2783203,-0.3261719,-0.3105469,-0.3168945,-0.3320313,-0.362793,-0.3515625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_ARZ",-0.1113281,0.02539063,-0.03955078,-0.02197266,-0.1850586,-0.1992188,-0.09033203,-0.06738281,-0.08349609,-0.1821289,-0.2524414,-0.1499023,-0.09863281,-0.2241211,-0.1181641,-0.1772461,-0.1123047,-0.1567383,-0.2197266,-0.02197266,-0.02539063,-0.06152344,-0.1220703,-0.1030273,-0.06054688,-0.06689453,-0.109375,-0.07568359,-0.08105469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_EMG0L",-1,0,-3,15,-8,-7,4,6,1,1,0,-9,-8,12,-1,-29,-19,-6,-4,-5,-1,-9,-2,0,0,-2,-2,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_EMG1L",-2,0,4,-21,-16,-9,-2,1,-6,8,-2,-4,-7,8,-4,-9,-7,-2,2,-6,-4,-5,-3,0,0,1,-3,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_EMG2L",-3,-3,7,23,-31,-4,1,-1,-13,13,-5,-1,-2,-2,-6,-4,-2,-2,1,-10,10,1,-3,-1,-2,0,-2,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_EMG3L",-1,-3,-7,-2,-18,-6,-5,-14,-21,13,-13,-4,0,-6,-23,-27,-2,-2,2,-4,0,-1,-3,-2,1,0,-2,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_EMG4L",-1,-2,-7,0,0,-7,22,-8,27,-8,-68,2,-5,8,14,10,1,1,0,0,2,-7,-1,4,3,-5,-4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_EMG5L",-2,-2,-2,3,1,-2,8,4,33,-19,-35,-5,-2,3,-6,2,2,0,1,0,-9,8,-7,14,0,-1,-6,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_EMG6L",-1,-1,-1,5,0,8,-3,-2,3,1,1,-1,-10,-4,-3,-10,3,6,-3,-1,-10,-7,0,-1,-5,1,-4,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_EMG7L",-2,-2,-2,6,-1,-4,-4,2,1,2,2,-8,-13,12,-14,-25,3,-5,2,3,-5,-4,0,0,0,-1,0,-1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_EMG0R",1,0,-2,-1,0,-1,-3,0,1,-3,-1,0,-2,-1,-3,-1,-2,0,-2,-3,-1,-1,0,-1,0,0,-1,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_EMG1R",1,-1,-2,0,-1,0,0,0,1,-2,-5,-3,-2,-1,-6,1,-1,-2,-3,0,0,-2,0,-3,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_EMG2R",-6,-3,-5,3,0,5,-2,2,3,-2,-1,0,-2,1,-5,-4,-4,1,-3,-4,5,-3,5,2,2,-4,-2,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_EMG3R",-2,-7,-10,9,9,9,2,4,14,-4,5,-4,-4,-4,-4,-3,-13,4,2,-9,5,-5,0,-1,-4,0,-4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_EMG4R",-1,-3,-4,2,3,-1,2,2,4,-2,-1,1,-2,2,-8,0,-4,-2,-2,-4,-2,-1,-1,-1,-3,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_EMG5R",-1,-1,-3,-1,1,-1,0,0,2,-3,-3,1,-1,-2,-3,-1,-2,-1,-1,-3,-2,-1,-1,-2,-1,-2,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_EMG6R",-2,-1,-1,-1,-1,-1,-1,-1,-1,-3,-3,0,-2,0,-3,0,-2,0,0,-2,-2,0,0,-2,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_EMG7R",0,-1,-3,0,-2,-1,-1,-1,1,-3,-2,-2,-1,1,-3,-1,1,-2,-1,-2,-2,-1,0,-1,-1,-2,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_GLX",-25.25,27.0625,27.3125,139.3125,113.5,93.8125,43.5,21.5,-50.75,-78.25,-36.875,-4.25,-53,5.6875,-112.25,-12.125,-68.1875,28.8125,-23.625,1.6875,-62.6875,52.1875,-49.125,111.8125,4.5625,-1.125,-27.9375,-7,13.4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_GLY",-25.25,27.0625,27.3125,139.3125,113.5,93.8125,43.5,21.5,-50.75,-78.25,-36.875,-4.25,-53,5.6875,-112.25,-12.125,-68.1875,28.8125,-23.625,1.6875,-62.6875,52.1875,-49.125,111.8125,4.5625,-1.125,-27.9375,-7,13.4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_GLZ",-25.25,27.0625,27.3125,139.3125,113.5,93.8125,43.5,21.5,-50.75,-78.25,-36.875,-4.25,-53,5.6875,-112.25,-12.125,-68.1875,28.8125,-23.625,1.6875,-62.6875,52.1875,-49.125,111.8125,4.5625,-1.125,-27.9375,-7,13.4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_GRX",-51.25,-68.125,-37.0625,-75.6875,-81.8125,-122.75,-68.1875,-12.75,12.625,40.5,75.8125,-18.25,-17.25,-73.5,-67.625,-4.6875,73.5,106.9375,178.25,22.6875,31.4375,22.3125,-3.4375,-19.8125,6.75,11.125,2.375,4.625,-2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_GRY",-51.25,-68.125,-37.0625,-75.6875,-81.8125,-122.75,-68.1875,-12.75,12.625,40.5,75.8125,-18.25,-17.25,-73.5,-67.625,-4.6875,73.5,106.9375,178.25,22.6875,31.4375,22.3125,-3.4375,-19.8125,6.75,11.125,2.375,4.625,-2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_GRZ",-51.25,-68.125,-37.0625,-75.6875,-81.8125,-122.75,-68.1875,-12.75,12.625,40.5,75.8125,-18.25,-17.25,-73.5,-67.625,-4.6875,73.5,106.9375,178.25,22.6875,31.4375,22.3125,-3.4375,-19.8125,6.75,11.125,2.375,4.625,-2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_ORL",8.032565,7.965876,7.534115,7.348909,7.324351,7.490728,7.719318,7.821662,7.814817,7.788991,7.700788,7.579218,7.477231,7.401845,7.408514,6.994729,7.04055,7.073834,7.034243,7.11373,7.170421,7.213178,7.65371,7.567258,7.581657,7.580408,7.522781,7.503649,7.538144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_OPL",2.91951,2.910031,3.171595,3.733261,4.747707,5.169288,5.389316,5.374705,5.274123,5.200417,5.174945,5.166242,5.189805,5.409292,5.116024,4.580986,4.84691,5.10269,5.050256,4.303373,3.467389,3.063393,2.959396,3.037189,3.09307,3.066617,3.041034,3.040788,3.051112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_OYL",9.647694,9.614732,0.1594549,0.7174561,1.361361,1.750808,2.20502,2.447352,2.594386,2.623748,2.517843,2.260396,2.206195,2.419189,2.604803,2.12838,1.870728,1.512392,1.250695,0.5961637,0.2092234,0.2377542,9.864379,0.01896374,0.1313315,0.1612261,0.175226,0.1668789,0.176278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_ORR",2.019807,1.982665,2.020986,2.035188,1.922906,1.858832,1.835557,1.81374,1.770279,1.756468,1.795431,1.753056,1.75248,1.664054,1.535793,1.455734,1.640715,1.82832,2.028157,2.218041,2.159336,2.156256,2.230016,2.209797,2.163542,2.169235,2.184892,2.166316,2.141442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_OPR",3.070866,3.100059,3.105036,3.096265,3.065192,3.074567,3.090322,3.086367,3.077384,3.070222,3.072549,3.069898,3.061259,3.017566,3.002599,3.003164,3.031476,3.050675,3.065511,3.029346,3.011758,3.027766,3.056473,3.054986,3.06483,3.069451,3.061208,3.05816,3.058379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_OYR",8.604461,8.471043,8.332426,8.133109,8.034244,7.902841,7.765893,7.738756,7.79299,7.890462,7.929595,7.967218,7.954782,7.807746,7.677512,7.686041,7.626859,7.658897,7.819934,8.070561,8.218019,8.264791,8.252995,8.229742,8.252455,8.264625,8.273557,8.297956,8.32649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL2_ALX",0.9223633,0.9238281,0.9243164,1.05127,1.088379,1.108398,0.8032227,0.4086914,0.09667969,0.1645508,0.3999023,0.2490234,-0.5234375,0.04785156,-0.008300781,0.1235352,0.0390625,0.1850586,0.3144531,0.3896484,0.3955078,0.1557617,0.21875,0.007324219,1.22168,1.214355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL2_ALY",0.3105469,0.3081055,0.3046875,0.5776367,0.9833984,1.043945,0.8603516,0.5864258,0.53125,0.6181641,0.9008789,0.9599609,1.210449,0.5620117,1.016602,1.19043,0.9384766,1.15625,1,0.8916016,0.4306641,0.5517578,0.9711914,0.9731445,0.5449219,0.3554688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL2_ALZ",0.005859375,-0.008300781,-0.0009765625,0.1152344,0.2143555,0.2387695,0.4628906,0.2983398,0.04101563,-0.109375,-0.05761719,-0.1298828,0.2421875,-0.09570313,-0.1269531,0.09326172,0.1245117,0.2548828,0.222168,0.1826172,0.3208008,0.5424805,0.6967773,0.3833008,-0.1025391,-0.2954102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
