dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"IF1_ALX",0.902832,0.9086914,0.9135742,0.9155273,0.9199219,0.8974609,0.9135742,0.8974609,0.8969727,0.9921875,1.345215,1.821289,0.3901367,0.1171875,-0.331543,-0.4580078,-0.4462891,-0.7055664,-0.7055664,-1.106934,-0.9423828,-0.7866211,-0.6000977,-0.5200195,-0.4643555,0.01123047,0.06542969,0.3876953,0.9492188,1.043945,1.077148,0.9443359,0.8730469,0.9545898,0.934082,0.9458008,0.9311523,0.8886719,0.8862305,0.8891602,0.8945313,0.9057617,0.9155273,0.9194336,0.934082
"IF1_ALY",0.3398438,0.3310547,0.3481445,0.3354492,0.3398438,0.3891602,0.328125,0.3608398,0.3554688,0.4365234,0.9052734,1.328613,0.7861328,0.3676758,0.1894531,0.08789063,0.1855469,0.1972656,0.1972656,0.3681641,0.496582,0.3476563,0.3310547,0.2573242,0.3027344,0.8276367,1.018066,0.706543,0.6748047,0.5390625,0.6962891,0.309082,0.4282227,0.3168945,0.2900391,0.2602539,0.2866211,0.3276367,0.3520508,0.3603516,0.3535156,0.3632813,0.3549805,0.3310547,0.3305664
"IF1_ALZ",-0.01904297,-0.007324219,-0.02783203,-0.03076172,-0.02783203,-0.06494141,-0.02587891,-0.007324219,-0.01220703,0.03759766,0.2905273,1.040527,0.5654297,0.2685547,0.1508789,0.1191406,0.02880859,-0.4467773,-0.4467773,-0.2197266,-0.07568359,-0.3417969,-0.2158203,-0.06591797,0.06835938,0.07177734,0.1459961,0.2016602,0.3408203,-0.1044922,-0.2060547,0.002441406,-0.001464844,0.046875,0.02441406,-0.02050781,-0.01708984,-0.01953125,-0.01123047,-0.01611328,-0.01904297,-0.01025391,-0.01025391,-0.01757813,-0.01269531
"IF1_ARX",0.9301758,0.9375,0.9306641,0.9243164,0.921875,0.9311523,0.9350586,0.9331055,0.9370117,0.9477539,0.9355469,0.9033203,0.9291992,0.9150391,0.9042969,0.9321289,0.9399414,0.9580078,0.9150391,0.8764648,0.9013672,0.9277344,0.9365234,0.9438477,0.9448242,0.9130859,0.9711914,0.9213867,0.9023438,0.9633789,0.9624023,0.8994141,0.9150391,0.9501953,0.9599609,0.934082,0.9384766,0.9243164,0.9311523,0.9306641,0.9282227,0.934082,0.9326172,0.9477539,0.9453125
"IF1_ARY",-0.3549805,-0.3417969,-0.3398438,-0.3515625,-0.3422852,-0.347168,-0.3417969,-0.3320313,-0.3461914,-0.3491211,-0.3374023,-0.3852539,-0.3730469,-0.3261719,-0.331543,-0.3134766,-0.3056641,-0.3193359,-0.3867188,-0.4804688,-0.3613281,-0.3706055,-0.3461914,-0.3339844,-0.3295898,-0.3310547,-0.3515625,-0.3540039,-0.4204102,-0.3530273,-0.3286133,-0.3198242,-0.3422852,-0.3134766,-0.3061523,-0.2998047,-0.3120117,-0.3325195,-0.3325195,-0.3417969,-0.3837891,-0.3510742,-0.3579102,-0.3374023,-0.3349609
"IF1_ARZ",-0.08300781,-0.08300781,-0.078125,-0.08203125,-0.09277344,-0.09521484,-0.08984375,-0.09765625,-0.09375,-0.1000977,-0.105957,-0.09472656,-0.1040039,-0.1210938,-0.09765625,-0.06054688,-0.09912109,-0.1118164,-0.1035156,-0.09912109,-0.1108398,-0.08398438,-0.08935547,-0.08398438,-0.06787109,-0.05859375,-0.06347656,-0.1030273,-0.08984375,-0.08007813,-0.09375,-0.0703125,-0.04980469,-0.06591797,-0.08789063,-0.08398438,-0.07666016,-0.07910156,-0.08056641,-0.08251953,-0.07617188,-0.09179688,-0.07421875,-0.07275391,-0.07275391
"IF1_EMG0L",-1,-2,-1,-1,-1,0,0,0,2,-6,7,-10,-16,-16,8,3,-7,3,-4,3,-1,7,0,-1,-3,-1,1,-11,5,-1,-2,-1,-2,-2,-2,-2,0,0,-1,-1,-1,0,0,0,-2
"IF1_EMG1L",-1,-3,-2,0,0,-1,0,1,1,8,10,-5,-77,-36,0,11,-9,-2,-4,2,5,10,-4,-1,-6,-2,-1,-6,3,0,-2,-2,1,1,0,-1,-2,-2,-2,-1,-2,-1,-2,0,-1
"IF1_EMG2L",0,-2,-1,-2,-1,-1,0,2,0,34,-38,-5,-52,-20,-8,6,-12,0,-1,-1,10,1,0,-1,-3,-15,2,-5,2,-1,-2,0,-1,-1,0,-2,-3,-2,-1,-2,-2,-1,-1,0,-1
"IF1_EMG3L",0,0,-1,0,0,-2,-1,-2,0,-3,12,-17,9,-5,-3,11,-11,-3,1,-14,10,3,-2,3,-1,-13,-1,-4,0,0,1,-1,0,-1,0,2,-2,-1,-1,-2,-1,-1,0,-1,1
