dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"LARGE1_ALX",0.9213867,0.9106445,0.9121094,0.9130859,0.921875,0.9194336,0.9213867,0.921875,0.0078125,0.02734375,0.08447266,0.1381836,-0.04980469,-0.7822266,-0.1010742,0.09130859,0.06347656,0.1313477,1.062988,1.062988,1.039063,0.7963867,0.9287109,0.9755859,0.9194336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LARGE1_ALY",0.3071289,0.3378906,0.3364258,0.3178711,0.3188477,0.309082,0.3100586,0.296875,0.6279297,1.279297,1.470703,0.7519531,0.4453125,1.308105,1.060059,0.8286133,0.7026367,0.5385742,1.122559,1.122559,0.3276367,0.347168,0.2939453,0.2646484,0.309082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LARGE1_ALZ",-0.05419922,-0.05078125,-0.05273438,-0.05664063,-0.046875,-0.03955078,-0.04150391,-0.04443359,0.277832,0.394043,0.112793,0.2587891,0.769043,0.5341797,0.2700195,0.2338867,0.2475586,0.3574219,0.2841797,0.2841797,-0.1660156,0.08398438,0.04003906,-0.04589844,-0.02636719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LARGE1_ARX",0.9428711,0.9287109,0.9282227,0.9472656,0.925293,0.9394531,0.9277344,0.9238281,0.09521484,-0.1381836,0.06201172,0.08544922,-0.2036133,-0.9404297,-0.1328125,0.02050781,0.1591797,0.001953125,1.389648,1.389648,0.9291992,0.9194336,0.9570313,0.9423828,0.9384766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LARGE1_ARY",-0.3496094,-0.3344727,-0.3398438,-0.3398438,-0.3334961,-0.3320313,-0.34375,-0.34375,-1.210938,-1.412109,-0.9624023,-0.3686523,-0.9658203,-1.413086,-0.934082,-0.7822266,-0.6831055,-0.503418,-0.8583984,-0.8583984,-0.4667969,-0.3271484,-0.3261719,-0.309082,-0.3598633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LARGE1_ARZ",-0.08154297,-0.08300781,-0.07958984,-0.08496094,-0.08837891,-0.08300781,-0.08642578,-0.09277344,0.3603516,0.04052734,0.09619141,0.3642578,0.8100586,0.3686523,0.137207,0.2338867,0.28125,0.25,0.0390625,0.0390625,-0.1264648,-0.02636719,-0.02636719,-0.04638672,-0.07373047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LARGE1_EMG0L",-2,1,0,-2,-1,-2,-1,-2,0,10,0,0,-2,2,-5,-2,0,2,-5,-5,-2,-3,-4,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LARGE1_EMG1L",-1,-2,-1,-1,-1,-1,0,1,-1,7,1,3,-1,10,-5,-1,3,-1,3,3,1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LARGE1_EMG2L",0,-1,-2,-1,-1,2,-2,1,1,6,-3,3,-1,3,-4,-3,0,0,-1,-1,-1,-3,-2,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LARGE1_EMG3L",-1,-1,-1,-1,0,-1,0,1,15,2,2,-1,0,-2,-3,-1,-2,2,-2,-2,-2,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
