dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"AND1_ALX",-0.962402,-1.00732,-0.995606,-1.09033,-1.0874,-0.833984,-0.684082,-0.40332,-0.101563,0.163086,0.271484,0.249512,0.345215,0.214844,0.149414,-0.0957031,-0.124023,0.00683594,0.172363,0.177246,-0.0908203,-0.157227,-0.253906,0.0239258,0.126953,0.304688,0.423828,0.518066,0.695313,0.716309,0.609375,0.359863,0.310547,0.334961,0.310547,0.314941,0.330078,0.294434,0.279297,0.273926,0.199219,0.18457,0.177734,0.104004,0.120606
"AND1_ALY",-0.385742,-0.406738,-0.478027,-0.628906,-0.799316,-0.822754,-1.0459,-0.765625,-0.744629,-0.763184,-0.648926,-0.622559,-0.598633,-0.518555,-0.589844,-0.917481,-1.01074,-1.17481,-1.01563,-1.00439,-1.04297,-1.11084,-1.05664,-1.07324,-1.03613,-0.888184,-0.781738,-0.725098,-0.700195,-0.708496,-0.831055,-0.899414,-0.957519,-0.969727,-0.949707,-0.922363,-0.908203,-0.882813,-0.870606,-0.891602,-0.833496,-0.898438,-0.771973,-0.851074,-0.694824
"AND1_ALZ",0.0854492,0.0424805,0.0820313,0.0800781,0.185547,0.635254,0.765137,0.758789,0.775391,0.731445,0.648438,0.558594,0.466309,0.341309,0.379395,0.302246,0.161133,0.163086,0.202637,0.166016,0.192383,0.128906,0.314941,0.44043,0.499512,0.530273,0.565918,0.520996,0.521484,0.445801,0.322754,0.264648,0.236816,0.241211,0.262695,0.288574,0.276855,0.313477,0.323242,0.33252,0.437988,0.445313,0.401367,0.357422,0.37207
"AND1_ARX",-0.959961,-0.951172,-0.953125,-0.963379,-0.949707,-0.937988,-0.946777,-0.962402,-0.953613,-0.945313,-0.939453,-0.944824,-0.929688,-0.92041,-0.953613,-0.958008,-0.957519,-0.946777,-0.935547,-0.931152,-0.957031,-0.956543,-0.935059,-0.9375,-0.928711,-0.944824,-0.967285,-0.977051,-0.95166,-0.935059,-0.951172,-0.977051,-0.959961,-0.929688,-0.958008,-0.96582,-0.956543,-0.955078,-0.945801,-0.950684,-0.952637,-0.947754,-0.933106,-0.945801,-0.949219
"AND1_ARY",0.30957,0.318359,0.329102,0.32959,0.319336,0.32666,0.328125,0.308105,0.311035,0.314941,0.334961,0.311035,0.330078,0.318848,0.322266,0.342285,0.308594,0.325195,0.363281,0.352539,0.322754,0.323242,0.328613,0.336426,0.348145,0.337891,0.317871,0.332031,0.322754,0.317383,0.327148,0.30127,0.306152,0.293945,0.328125,0.318359,0.305176,0.3125,0.319336,0.32666,0.3125,0.324707,0.301758,0.3125,0.32373
"AND1_ARZ",0.0546875,0.0532227,0.0581055,0.0473633,0.034668,0.0532227,0.0527344,0.0410156,0.0463867,0.0532227,0.0483398,0.0336914,0.0292969,0.0234375,0.0273438,0,-0.0107422,0.0195313,0.0415039,0.00585938,-0.00488281,-0.00537109,0.0078125,0.0327148,0.0551758,0.0283203,0.0229492,0.0356445,0.0302734,0.0283203,0.0244141,0.00195313,0.00244141,0.000488281,0.0146484,0.00878906,-0.00195313,0.000976563,0.00195313,0.00537109,0.0136719,0.0151367,0.0166016,0.034668,0.0375977
"AND1_EMG0L",-3,0,0,-3,-1,-1,-6,-3,-3,10,11,-5,6,-3,1,-7,-3,1,0,5,-12,-10,-5,2,-6,-5,20,-12,-9,4,-27,-22,7,-20,52,-6,9,-12,8,-92,37,-64,20,-14,15
"AND1_EMG1L",-2,-1,7,-9,-12,1,-7,-5,-49,21,5,-2,-19,0,14,-1,-19,10,-32,9,2,16,-11,25,-14,-14,51,-12,-38,15,-35,-11,-4,-13,16,18,16,-8,-5,-18,-9,-22,-15,28,6
"AND1_EMG2L",-1,-1,-1,-2,-5,-10,7,0,-9,-5,2,-2,-3,-3,0,11,12,10,-5,-2,39,-13,-4,9,2,-14,-16,3,1,-1,-33,-5,0,-3,-8,-25,2,11,-4,-24,13,-16,-27,9,6
"AND1_EMG3L",-1,-1,-2,-3,-7,29,23,6,8,-12,-2,-3,28,-6,13,-19,-4,17,4,-4,0,-8,-5,20,-11,-6,37,6,-8,2,7,18,-1,0,-14,-18,-10,14,-11,-19,-19,-1,7,11,-2
"AND1_EMG4L",-1,-1,0,-9,26,-54,37,39,-34,-4,9,-4,3,0,10,21,-21,-15,-2,2,1,-24,6,0,-2,-17,3,-7,4,14,-37,-2,-8,6,3,7,0,5,2,18,-22,-2,14,3,-8
"AND1_EMG5L",-2,-3,-3,-7,10,-12,15,-10,-21,-14,6,-5,-8,-1,-1,6,-8,-15,5,2,-2,-8,-1,-6,13,-5,2,2,-1,11,-52,-3,-36,11,20,15,9,10,18,59,29,-11,7,17,-15
"AND1_EMG6L",0,-8,-8,-2,5,-2,4,0,-3,-1,-5,0,-13,1,45,-18,-14,0,-2,4,-7,-10,25,-3,-2,-79,6,-42,18,-20,-51,-16,-25,-25,-19,4,63,42,90,-25,10,-16,2,6,-13
"AND1_EMG7L",-1,-3,-4,7,20,-1,1,3,-2,-4,5,-10,-9,9,-7,26,-22,-5,30,13,-11,-22,-5,-3,36,0,7,-15,-44,36,-70,-13,8,-67,-3,-11,83,-16,29,-30,12,-22,9,15,-2
"AND1_EMG0R",-2,-1,-1,0,1,-3,-2,0,0,-1,-1,-1,-4,-1,-3,-1,2,-3,-2,0,1,-3,-2,-3,-1,-1,-4,1,-1,-2,-1,-1,-1,0,-3,-5,0,-2,-1,2,0,0,-2,1,-1
"AND1_EMG1R",-1,0,-1,-2,-1,0,-1,-3,-1,-1,-3,-1,-1,0,-2,-1,-2,0,-1,-1,-1,-1,1,-1,-1,-3,-1,-2,1,-1,0,-3,3,-4,0,-1,-1,0,-2,1,-1,1,-4,-2,0
