dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"CAT1_ALX",-0.9384766,-0.9311523,-0.8979492,-0.8969727,-0.8618164,-0.8300781,-0.5410156,0.2797852,0.5400391,0.8232422,0.8188477,0.8334961,0.7895508,0.7602539,0.8051758,0.8413086,0.8681641,0.9697266,0.8798828,0.6743164,0.4316406,-0.2543945,-1.105469,-1.005859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAT1_ALY",-0.4057617,-0.4331055,-0.5087891,-0.5756836,-0.7397461,-0.9101563,-1.029785,-0.784668,-0.5996094,-0.4799805,-0.5439453,-0.5537109,-0.5214844,-0.4443359,-0.2993164,-0.1787109,-0.1337891,-0.09521484,-0.2050781,-0.3520508,-0.7104492,-0.9399414,-0.8061523,-0.8188477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAT1_ALZ",0.07128906,0.078125,0.1430664,0.1733398,0.2011719,0.3330078,0.4321289,0.3188477,0.09863281,-0.1479492,-0.2314453,-0.2182617,-0.1748047,-0.1455078,-0.001464844,0.3984375,0.5917969,0.5756836,0.3764648,0.2680664,0.4042969,0.3793945,0.503418,0.1831055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAT1_ARX",-0.6831055,-0.6875,-0.684082,-0.684082,-0.6904297,-0.6918945,-0.6972656,-0.6879883,-0.671875,-0.6884766,-0.7016602,-0.6845703,-0.6914063,-0.6821289,-0.6850586,-0.6904297,-0.6782227,-0.699707,-0.6870117,-0.6733398,-0.6831055,-0.7026367,-0.6992188,-0.6953125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAT1_ARY",0.6313477,0.6181641,0.6298828,0.6308594,0.6279297,0.6254883,0.6230469,0.628418,0.6337891,0.6376953,0.6386719,0.6298828,0.6303711,0.6210938,0.6240234,0.6367188,0.6420898,0.6342773,0.6347656,0.6162109,0.6210938,0.6416016,0.6240234,0.6274414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAT1_ARZ",0.4003906,0.3876953,0.3886719,0.3867188,0.390625,0.3911133,0.3857422,0.3676758,0.3793945,0.3725586,0.3681641,0.3574219,0.3725586,0.3662109,0.3769531,0.390625,0.4179688,0.409668,0.3745117,0.362793,0.3681641,0.3681641,0.3574219,0.355957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAT1_EMG0L",0,0,1,-1,-2,-2,-2,-4,-3,4,-5,-3,-6,-1,-22,5,-4,0,-6,4,-19,12,-2,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAT1_EMG1L",0,0,1,-1,-3,-3,0,-1,-3,5,-4,-2,7,3,0,28,7,-7,-29,-106,-10,7,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAT1_EMG2L",-2,0,0,4,-12,-3,4,-1,8,-4,-2,2,0,-14,-8,63,3,-14,-12,-14,-3,-2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAT1_EMG3L",-1,0,0,-2,-5,-6,9,-35,-7,-6,-4,-8,9,-5,-1,-100,6,-16,-17,-23,-19,-8,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
