dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"COP1_ALX",-0.9394531,-0.9682617,-0.9946289,-1.062988,-0.9487305,-0.9487305,-0.4462891,-0.3535156,0.152832,0.3378906,0.3813477,0.3652344,0.465332,0.4121094,0.4648438,0.8310547,2.071289,1.072754,0.5283203,0.6757813,0.3291016,1.938965,-0.4555664,0.5649414,0.5410156,0.6313477,0.5849609,0.5839844,0.6035156,0.4726563,0.4838867,0.4243164,0.4892578,0.3891602,0.4072266,0.1230469,-0.1577148,-0.09130859,-0.5874023,-0.3022461,-0.5175781,-0.3959961,-0.7680664,-0.8969727,-0.949707
"COP1_ALY",-0.4467773,-0.6943359,-0.6948242,-0.7397461,-1.004883,-1.004883,-0.9003906,-0.7055664,-0.5883789,-0.3994141,-0.4931641,-0.4399414,-0.4916992,-0.5712891,-0.5917969,-1.105469,-1.162598,-1.003906,-0.6376953,-0.5795898,-0.7124023,-0.9575195,-0.6694336,-0.6928711,-0.7338867,-0.7607422,-0.7724609,-0.7397461,-0.7470703,-0.7392578,-0.7397461,-0.7050781,-0.7592773,-0.7241211,-0.7729492,-0.777832,-0.7084961,-0.9379883,-0.9018555,-0.7617188,-0.7641602,-0.5600586,-0.7197266,-0.6557617,-0.5380859
"COP1_ALZ",0.09570313,0.1782227,0.3657227,0.5410156,0.7651367,0.7651367,0.7402344,0.8457031,0.4082031,0.2539063,0.2963867,0.2978516,0.2646484,0.4580078,0.4589844,-0.1108398,-1.191406,0.2050781,0.2929688,0.5395508,0.7641602,-0.9951172,0.9379883,0.4501953,0.3613281,0.234375,0.3349609,0.340332,0.3735352,0.2998047,0.2890625,0.3154297,0.3525391,0.4086914,0.5039063,0.5024414,0.2753906,-0.5214844,1.269043,0.5537109,0.550293,0.3632813,0.4760742,0.2900391,0.1879883
"COP1_ARX",-0.96875,-0.9794922,-0.9272461,-0.9355469,-0.9770508,-0.9960938,-0.9443359,-0.9365234,-0.9375,-0.9467773,-0.9462891,-0.9428711,-0.9467773,-0.9511719,-0.9492188,-0.9228516,-0.9868164,-0.9550781,-0.9628906,-0.9628906,-0.8911133,-0.9790039,-0.9570313,-0.9604492,-0.9375,-0.9482422,-0.953125,-0.9448242,-0.9575195,-0.9570313,-0.9584961,-0.956543,-0.956543,-0.9335938,-0.9360352,-0.9472656,-0.9511719,-0.9467773,-0.9438477,-0.949707,-0.9643555,-0.9555664,-0.9541016,-0.9550781,-0.9604492
"COP1_ARY",0.3232422,0.328125,0.2993164,0.3120117,0.3417969,0.3198242,0.2617188,0.2563477,0.3081055,0.3286133,0.2988281,0.315918,0.3149414,0.3178711,0.331543,0.3251953,0.2426758,0.315918,0.3193359,0.3276367,0.3505859,0.28125,0.2832031,0.2724609,0.3364258,0.3032227,0.2910156,0.3266602,0.3291016,0.3222656,0.3076172,0.3076172,0.3193359,0.3125,0.3115234,0.3105469,0.2919922,0.3120117,0.3105469,0.3115234,0.3037109,0.3110352,0.3154297,0.3041992,0.3100586
"COP1_ARZ",0.08203125,0.07080078,0.05371094,0.1040039,0.07763672,0.06982422,0.00390625,0.009765625,0.06298828,0.05322266,0.06494141,0.04736328,0.05761719,0.06494141,0.05664063,0.02294922,0.09423828,0.08007813,0.05859375,0.078125,0.05908203,0.05566406,0.07373047,0.08691406,0.08447266,0.07666016,0.07275391,0.08349609,0.07617188,0.06298828,0.03613281,0.05517578,0.06445313,0.07275391,0.08154297,0.07519531,0.07617188,0.08251953,0.08642578,0.08886719,0.07617188,0.07470703,0.08105469,0.06396484,0.06201172
"COP1_EMG0L",0,2,-5,-1,-7,14,30,-3,11,-7,1,-2,4,-18,35,-26,-1,1,5,7,-9,-58,22,-8,10,-2,15,0,0,1,-3,1,3,1,-1,-5,-2,-2,-4,0,-1,2,0,-1,-4
"COP1_EMG1L",-4,0,-8,1,-1,36,67,-8,1,-1,-3,3,8,-3,7,-78,26,5,-10,33,10,11,10,9,14,9,13,-2,-3,1,-1,-1,5,-21,-2,-19,0,2,-2,1,-5,3,-8,3,1
"COP1_EMG2L",-2,-1,-7,5,-19,0,49,-27,0,-13,7,-18,-4,50,5,50,13,-17,-44,-34,-26,-29,-6,-7,6,-11,-4,-2,-2,0,1,-4,-4,-4,0,-10,-3,0,-5,1,-1,2,-1,0,-1
"COP1_EMG3L",1,-28,7,-3,-7,14,61,-20,-8,-3,-106,27,-22,70,-4,-78,24,6,-5,-60,41,-96,12,-47,27,-20,4,34,5,9,-4,-5,-1,-3,1,-17,3,-4,-5,-3,-25,7,-1,0,-4
"COP1_EMG4L",2,8,19,32,-40,-48,7,-1,7,0,-22,3,7,8,3,-10,20,-2,-10,-91,17,-10,-1,-5,12,-7,4,8,-3,0,-4,-1,0,-2,1,-8,0,-2,-3,1,-2,-2,0,-1,-2
"COP1_EMG5L",2,1,-6,0,2,-10,9,19,-7,-3,-16,-4,15,5,14,-2,1,28,-16,-14,-14,-2,4,-4,4,-4,1,21,0,4,-4,-1,0,0,2,-4,-1,-3,-2,-1,0,2,0,-1,-3
"COP1_EMG6L",0,4,-5,-2,-1,7,-17,21,-5,-38,0,-9,21,2,8,-6,-41,-12,-36,-109,33,35,9,7,37,-60,19,-27,-11,9,25,14,8,-8,3,1,4,-1,-5,-8,-4,9,6,-6,-1
"COP1_EMG7L",-2,0,-1,-6,-12,0,0,7,9,-11,-6,6,9,0,-9,-11,-14,-8,-12,-21,-5,-6,15,9,2,-6,0,-7,-3,1,-2,4,3,4,-2,-3,1,-2,0,-4,-2,2,3,-3,-1
"COP1_EMG0R",-1,-1,-2,-2,-1,-2,-1,-1,-1,0,0,-2,-1,0,-2,0,-2,-1,0,-2,0,-2,-1,0,-3,0,-1,-2,-2,0,-1,0,-1,0,-1,-1,-1,-1,0,0,-1,-1,0,-2,-1
"COP1_EMG1R",-2,-1,-2,-1,-3,-1,-2,-2,-2,0,-1,-1,0,-2,-3,0,-1,-1,0,0,0,-1,-2,-2,-2,-1,-1,-1,-2,-1,0,-2,-2,0,-2,-1,0,-2,0,0,-2,-3,-1,-2,-1
