dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"DAY1_ALX",-0.9550781,-0.9399414,-0.925293,-0.953125,-0.9394531,-0.8823242,-0.4702148,0.1337891,0.3613281,0.5717773,0.8676758,0.9057617,0.9887695,0.8955078,0.65625,0.6303711,0.4628906,0.1020508,0.6743164,0.3520508,-0.09619141,-0.1049805,-0.1049805,-0.09765625,-0.09716797,-0.2080078,-0.2080078,-0.296875,-0.4165039,-0.4477539,-0.7626953,-0.8544922,-0.9199219,-1.341797,0.1123047,0,0,0,0,0,0,0,0,0,0
"DAY1_ALY",-0.3681641,-0.4912109,-0.7089844,-0.9414063,-1.137207,-1.164551,-0.8271484,-0.3017578,-0.1201172,-0.002441406,-0.04589844,-0.01318359,0.04296875,0.04980469,-0.03759766,-0.3007813,-0.7929688,-0.956543,-3.001953,-0.9663086,-1.211914,-1.033691,-1.033691,-1.049316,-0.9790039,-0.8330078,-0.8330078,-1.124023,-0.8613281,-0.8535156,-0.859375,-0.7983398,-0.7905273,-0.7548828,0.009765625,0,0,0,0,0,0,0,0,0,0
"DAY1_ALZ",0.1064453,0.1889648,0.3618164,0.605957,0.831543,0.84375,0.7236328,0.4682617,0.1357422,0.2036133,0.4423828,0.3237305,0.4370117,0.3964844,0.3916016,0.1582031,-0.05566406,0.1938477,-0.3720703,-0.03466797,0.08056641,0.09619141,0.09619141,0.07470703,0.1489258,0.2124023,0.2124023,0.4658203,0.4775391,0.4975586,0.4648438,0.3959961,0.2451172,0.1967773,0.1914063,0,0,0,0,0,0,0,0,0,0
"DAY1_ARX",-0.9589844,-0.9545898,-0.9858398,-0.9370117,-0.8798828,-0.7329102,-0.4101563,-0.3286133,-0.2915039,-0.07421875,0.01953125,-0.06689453,-0.05957031,-0.08300781,-0.09130859,-0.2011719,-0.1845703,-0.315918,-0.2197266,-0.3564453,-0.2299805,-0.1845703,-0.1845703,-0.1884766,-0.2910156,-0.3881836,-0.5029297,-0.6914063,-0.8535156,-0.9155273,-0.9697266,-0.9580078,-0.9931641,-0.9902344,-0.9848633,0,0,0,0,0,0,0,0,0,0
"DAY1_ARY",0.2851563,0.3105469,0.4975586,0.5449219,0.7661133,0.9018555,0.8808594,0.8208008,0.6552734,0.8725586,0.8764648,0.980957,1.004395,0.9575195,0.9833984,0.9389648,0.9750977,0.8833008,2.618652,1.038086,0.9990234,0.9682617,0.9682617,0.9975586,0.9013672,0.7729492,0.640625,0.7353516,0.6572266,0.7250977,0.4536133,0.3193359,0.3359375,0.3041992,0.3183594,0,0,0,0,0,0,0,0,0,0
"DAY1_ARZ",0.06054688,0.08837891,0.2636719,0.2197266,0.2875977,0.2944336,0.1196289,0.007324219,-0.3168945,-0.05078125,-0.09375,-0.1030273,-0.1484375,-0.140625,-0.09863281,-0.07861328,-0.1132813,-0.1474609,-0.1704102,-0.09814453,0.05029297,-0.02978516,-0.02978516,-0.04296875,-0.00390625,0.04101563,0.07714844,0.05322266,0.1064453,0.04589844,0.09814453,0.05712891,0.07470703,0.02978516,0.05957031,0,0,0,0,0,0,0,0,0,0
"DAY1_EMG0L",1,-2,0,-2,-1,0,-2,-3,-3,-4,3,6,-19,8,-72,14,8,15,-15,1,30,6,3,5,7,-4,0,3,-4,-4,-1,2,-7,8,-1,0,0,0,0,0,0,0,0,0,0
"DAY1_EMG1L",-3,1,0,-2,3,0,2,-9,-3,-7,101,15,-10,14,-89,7,3,18,-51,-1,57,-48,6,21,1,-3,-4,-1,3,0,-3,-1,-2,-1,0,0,0,0,0,0,0,0,0,0,0
"DAY1_EMG2L",-2,-1,1,20,-10,6,-7,-32,5,16,-1,29,8,-6,-45,-52,-9,19,-13,5,-43,-17,-43,-26,0,-1,-4,-2,-3,-1,1,-5,-1,-4,-2,0,0,0,0,0,0,0,0,0,0
"DAY1_EMG3L",0,-1,4,2,-26,19,-13,-23,53,7,50,19,13,-16,17,-11,-18,24,25,-72,-1,-38,-44,3,-8,-14,-10,3,6,10,-7,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0
