dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"DEAF1_ALX",-1.050293,-0.9858398,-0.6074219,-0.6074219,-0.2626953,0.08789063,0.5151367,0.4882813,0.4960938,0.6186523,0.6791992,0.7602539,0.7744141,0.793457,0.7880859,0.7739258,0.8129883,0.8115234,0.8227539,0.862793,0.8164063,0.8222656,0.8237305,0.8569336,0.8637695,0.8144531,0.7587891,0.8032227,0.7944336,0.815918,0.9213867,0.9575195,0.8071289,0.7900391,0.8129883,0.6806641,0.4580078,0.4228516,0.3862305,0.4511719,0.2924805,0.3056641,-0.2680664,-0.2680664,-0.4282227
"DEAF1_ALY",-0.3769531,-0.7114258,-0.8491211,-0.8491211,-0.8457031,-0.7089844,-0.5810547,-0.4765625,-0.5126953,-0.5244141,-0.5429688,-0.5888672,-0.6508789,-0.6733398,-0.6708984,-0.6962891,-0.6953125,-0.6616211,-0.6269531,-0.4418945,-0.3442383,-0.3710938,-0.3647461,-0.3950195,-0.4619141,-0.4814453,-0.4667969,-0.4536133,-0.4389648,-0.4619141,-0.465332,-0.5112305,-0.6162109,-0.6323242,-0.6259766,-0.6489258,-0.5883789,-0.5493164,-0.4628906,-0.4257813,-0.7456055,-0.8979492,-1.009766,-1.009766,-0.8637695
"DEAF1_ALZ",0.1015625,0.3828125,0.6894531,0.6894531,0.5932617,0.6123047,0.4316406,0.3466797,0.3295898,0.1992188,0.1826172,0.1420898,0.1035156,0.08447266,0.1015625,0.0546875,0.1049805,0.1445313,0.1186523,-0.05615234,-0.02441406,-0.0078125,-0.03173828,-0.0390625,-0.06054688,-0.07177734,-0.07910156,-0.04833984,-0.04248047,-0.03662109,0.0234375,0.07226563,0.1787109,0.1708984,0.1782227,0.2373047,0.2148438,0.2314453,0.2094727,0.3613281,0.4614258,0.4243164,0.4428711,0.4428711,0.5068359
"DEAF1_ARX",-0.9458008,-0.9560547,-0.9614258,-0.9506836,-0.9672852,-0.9458008,-0.9614258,-0.9677734,-0.9570313,-0.9438477,-0.9492188,-0.9472656,-0.953125,-0.9487305,-0.9526367,-0.9648438,-0.9472656,-0.9526367,-0.9643555,-0.9360352,-0.9389648,-0.9526367,-0.9760742,-0.9526367,-0.9399414,-0.9521484,-0.9599609,-0.9594727,-0.9472656,-0.9624023,-0.9824219,-0.9536133,-0.9375,-0.9384766,-0.9609375,-0.9458008,-0.9130859,-0.9174805,-0.9750977,-1.018555,-1.011719,-0.9267578,-0.9262695,-0.9545898,-0.9829102
"DEAF1_ARY",0.3261719,0.3022461,0.284668,0.3032227,0.2993164,0.3056641,0.3066406,0.2978516,0.2949219,0.3149414,0.3095703,0.3139648,0.3154297,0.3125,0.3110352,0.3164063,0.3188477,0.3110352,0.3144531,0.3139648,0.3046875,0.2949219,0.3007813,0.2973633,0.3046875,0.3125,0.2949219,0.2895508,0.2973633,0.3022461,0.3168945,0.3139648,0.3149414,0.3105469,0.3022461,0.2929688,0.2861328,0.2954102,0.3110352,0.3183594,0.2871094,0.3193359,0.3154297,0.3413086,0.315918
"DEAF1_ARZ",0.05761719,0.07763672,0.05859375,0.07128906,0.04492188,0.04345703,0.06445313,0.06494141,0.05273438,0.05957031,0.04541016,0.04394531,0.06738281,0.07470703,0.06787109,0.06152344,0.05371094,0.04736328,0.05175781,0.05078125,0.0546875,0.05761719,0.05712891,0.04541016,0.03076172,0.03320313,0.05761719,0.06103516,0.06152344,0.05810547,0.05664063,0.04052734,0.046875,0.0625,0.06347656,0.05664063,0.03857422,0.04882813,0.07910156,0.07958984,0.04833984,0.04199219,0.07226563,0.08642578,0.07910156
"DEAF1_EMG0L",-3,0,0,-7,6,2,0,1,2,-3,-3,-1,-4,0,-5,-5,4,1,-5,7,9,6,-8,4,-7,3,-4,-2,12,24,-11,12,10,9,-3,-5,-4,3,-5,3,-2,-3,-5,-8,-5
"DEAF1_EMG1L",-1,-1,1,-4,2,16,-3,-4,15,0,-13,-3,-2,-1,-1,-2,3,-1,-11,26,-11,-26,-3,-9,-15,4,-3,0,-10,-6,-2,-35,-7,-1,-2,3,-14,5,2,0,-1,-2,-1,2,-4
"DEAF1_EMG2L",1,-2,2,-5,2,13,-1,4,-10,-6,3,-3,-3,3,2,-1,-2,-4,9,-7,-5,15,-6,-5,9,-3,-25,-3,-8,-1,-10,13,2,-15,5,2,-5,2,3,5,12,-7,0,3,13
"DEAF1_EMG3L",2,6,-2,14,30,21,-5,12,-29,-44,21,-13,-20,8,-1,-16,-15,-1,5,20,-2,6,-45,8,24,-9,3,-9,17,3,-14,7,6,43,-6,1,3,5,0,19,20,15,-13,-17,1
"DEAF1_EMG4L",3,111,1,55,48,32,-26,25,-17,-19,15,14,-22,32,2,-54,-2,8,-7,79,-56,66,-98,4,22,2,-15,-17,4,9,40,3,1,-6,13,3,-2,9,0,2,18,-4,-14,2,-17
"DEAF1_EMG5L",-9,12,0,-18,11,15,-15,24,-4,6,10,-4,12,2,9,-2,3,32,11,18,-14,-21,-5,-2,11,-11,-1,-25,-1,-13,2,-2,0,0,11,11,0,1,9,4,-2,-3,-7,0,-6
"DEAF1_EMG6L",-38,9,1,-9,7,6,6,-4,0,-24,1,-6,-8,-5,7,-4,-33,14,-28,66,-40,-128,3,-29,1,6,13,20,31,-8,12,-49,22,-6,10,3,1,-3,2,0,-2,3,3,10,-8
"DEAF1_EMG7L",-6,-1,5,-5,3,1,1,-6,-4,-9,-1,1,1,0,1,-3,-3,-4,-4,10,8,11,-12,-1,3,6,0,7,-2,-3,-10,-10,-1,-3,8,2,-3,-3,1,-1,-1,0,3,5,-4
"DEAF1_EMG0R",-1,-1,1,-2,-1,-2,0,-2,-2,-2,-2,-1,0,0,-2,-1,1,-2,-2,-2,-1,-3,-3,-2,-1,-3,-1,0,0,0,-1,0,0,-2,-1,-1,-1,-1,-3,-1,0,-1,0,-2,-2
"DEAF1_EMG1R",0,0,-3,0,-2,0,-1,-1,-1,0,-1,-2,-2,-1,-3,0,-1,0,-4,-1,0,-2,-2,-1,0,-2,0,-3,-1,-1,-1,0,-1,-2,-2,0,-1,-1,-2,0,0,-1,0,0,-1
"DEAF1_EMG2R",-3,-1,0,-2,-2,1,0,-1,-2,-2,-3,-1,0,0,-1,-2,-1,-1,-1,0,-2,0,-1,-1,-1,0,-1,-1,-2,-1,0,-3,-2,-1,0,-2,-1,0,-1,-3,1,0,-1,-1,0
"DEAF1_EMG3R",-1,-1,-1,-3,0,-1,-1,-2,-1,-1,-1,-3,0,-4,-1,0,-2,-1,-1,0,-1,-3,-2,1,-1,-1,-2,-1,-3,-2,-1,-2,-1,-2,-2,-2,-2,-1,-1,0,-1,-1,0,-2,0
"DEAF1_EMG4R",-1,-1,-1,-1,-2,0,-1,-2,0,-3,-2,-1,-1,-1,-3,-2,-1,-1,1,-2,-1,-2,0,0,0,0,-1,0,-2,-1,0,-2,-1,1,-3,-2,-1,-3,-1,-1,-1,-2,-1,-1,-2
"DEAF1_EMG5R",-1,1,-1,-2,-1,-6,-1,-1,0,-1,0,-1,-2,-1,0,-1,-1,-3,0,-1,-1,-2,0,-2,-1,-1,0,-1,0,-1,0,-1,-2,-3,0,1,-2,-3,-1,-2,0,-3,-2,-1,-1
"DEAF1_EMG6R",-1,-2,-2,0,-2,-1,-1,-1,-1,0,0,0,-2,0,1,-1,-1,-1,-2,-2,1,-2,0,0,1,-2,-1,-1,-1,-1,2,-2,0,1,-1,-2,-1,-2,0,-1,0,-1,-2,0,-2
"DEAF1_EMG7R",-2,0,-1,-2,0,-2,0,-3,-2,0,-1,-1,0,0,-1,-1,0,-1,-1,-1,0,-1,-2,-2,1,-1,-2,-1,-2,-4,0,-1,0,-2,-1,0,-1,-3,0,0,0,-1,-1,0,-1
"DEAF1_GLX",-11.5,-25.0625,14.75,14.75,32,15.75,-19.8125,-19.375,-8,20.5,19.625,30.25,16.0625,-0.3125,-4.5625,-19.3125,-53.9375,-54.875,-47.3125,-54.9375,-30.75,-13.875,-3.9375,0.6875,19.625,8.3125,17.125,19.6875,16.375,30.25,30.25,15.3125,17.75,36.5,36,30.25,47.1875,52.875,56.25,12.25,3.125,-2.9375,16.625,16.625,14.0625
"DEAF1_GLY",-11.5,-25.0625,14.75,14.75,32,15.75,-19.8125,-19.375,-8,20.5,19.625,30.25,16.0625,-0.3125,-4.5625,-19.3125,-53.9375,-54.875,-47.3125,-54.9375,-30.75,-13.875,-3.9375,0.6875,19.625,8.3125,17.125,19.6875,16.375,30.25,30.25,15.3125,17.75,36.5,36,30.25,47.1875,52.875,56.25,12.25,3.125,-2.9375,16.625,16.625,14.0625
"DEAF1_GLZ",-11.5,-25.0625,14.75,14.75,32,15.75,-19.8125,-19.375,-8,20.5,19.625,30.25,16.0625,-0.3125,-4.5625,-19.3125,-53.9375,-54.875,-47.3125,-54.9375,-30.75,-13.875,-3.9375,0.6875,19.625,8.3125,17.125,19.6875,16.375,30.25,30.25,15.3125,17.75,36.5,36,30.25,47.1875,52.875,56.25,12.25,3.125,-2.9375,16.625,16.625,14.0625
"DEAF1_GRX",-2.5625,6.1875,3.9375,7.25,2.9375,3.1875,0.0625,-7,-2.9375,-2.0625,-1.3125,-0.125,-0.9375,-0.6875,-1.75,2.5,3.4375,3.125,7.8125,7.1875,5.5,1.9375,0.625,2.4375,3.6875,0.5,-4.25,-5.375,-4.1875,-5.375,-3.3125,0.6875,2.625,3.25,0.8125,2.1875,3,1.9375,-3.5625,-13.5625,-16.8125,-11.8125,-6.5625,-3.5,-5.8125
"DEAF1_GRY",-2.5625,6.1875,3.9375,7.25,2.9375,3.1875,0.0625,-7,-2.9375,-2.0625,-1.3125,-0.125,-0.9375,-0.6875,-1.75,2.5,3.4375,3.125,7.8125,7.1875,5.5,1.9375,0.625,2.4375,3.6875,0.5,-4.25,-5.375,-4.1875,-5.375,-3.3125,0.6875,2.625,3.25,0.8125,2.1875,3,1.9375,-3.5625,-13.5625,-16.8125,-11.8125,-6.5625,-3.5,-5.8125
"DEAF1_GRZ",-2.5625,6.1875,3.9375,7.25,2.9375,3.1875,0.0625,-7,-2.9375,-2.0625,-1.3125,-0.125,-0.9375,-0.6875,-1.75,2.5,3.4375,3.125,7.8125,7.1875,5.5,1.9375,0.625,2.4375,3.6875,0.5,-4.25,-5.375,-4.1875,-5.375,-3.3125,0.6875,2.625,3.25,0.8125,2.1875,3,1.9375,-3.5625,-13.5625,-16.8125,-11.8125,-6.5625,-3.5,-5.8125
"DEAF1_ORL",2.981842,3.202805,3.476549,3.476549,3.558595,3.575306,3.243006,2.961586,2.820857,2.745415,2.737464,2.730595,2.742203,2.740236,2.737499,2.701833,2.647585,2.620146,2.590745,2.365143,2.221694,2.18056,2.172911,2.169158,2.180651,2.174902,2.197622,2.25447,2.290348,2.470124,2.625443,2.69619,2.82547,2.870841,2.892431,2.935015,2.982724,3.023202,3.148069,3.31819,3.40284,3.408822,3.386197,3.386197,3.354895
"DEAF1_OPL",6.869665,6.607551,5.852908,5.852908,5.143287,4.581822,3.703172,3.523001,3.498241,3.482191,3.480176,3.476757,3.486052,3.497365,3.502718,3.498087,3.473004,3.45461,3.434625,3.29116,3.236441,3.233692,3.237572,3.242779,3.247429,3.238813,3.241333,3.254779,3.265519,3.311594,3.358783,3.388339,3.461959,3.508694,3.529573,3.570024,3.621108,3.664844,3.794989,4.142651,4.658479,4.856843,5.446037,5.446037,5.823293
"DEAF1_OYL",7.734275,8.086658,8.410143,8.410143,8.523906,8.641829,9.118157,9.438781,9.603464,9.734127,9.759898,9.824821,9.853156,9.862413,9.86287,9.87665,9.878073,9.876833,9.883033,9.994534,0.07960521,0.1027938,0.1099639,0.1154953,0.1521012,0.1736213,0.1677964,0.1284029,0.09843024,9.940761,9.787739,9.714842,9.584998,9.577176,9.575857,9.58359,9.586959,9.5733,9.491616,9.283497,9.087525,9.028899,8.867554,8.867554,8.781435
"DEAF1_ORR",7.087722,7.109945,7.125379,7.12704,7.127022,7.127606,7.146,7.143172,7.139773,7.139553,7.147855,7.159794,7.166336,7.166008,7.160507,7.160099,7.159506,7.162154,7.178626,7.198937,7.204832,7.202766,7.196031,7.186843,7.188104,7.192658,7.190149,7.18621,7.178232,7.165643,7.163286,7.161525,7.161777,7.164165,7.163413,7.157353,7.151552,7.149372,7.145967,7.130128,7.110823,7.093073,7.088058,7.095716,7.09711
"DEAF1_OPR",6.993148,6.989848,6.984736,6.981801,6.978333,6.979075,6.982193,6.979322,6.977786,6.976748,6.979413,6.982244,6.982296,6.981838,6.97977,6.980419,6.981055,6.982971,6.987157,6.990358,6.988533,6.984807,6.98155,6.982611,6.986875,6.987574,6.985313,6.985196,6.985516,6.98803,6.988976,6.991491,6.991983,6.990284,6.986286,6.986142,6.986673,6.983027,6.976799,6.970727,6.968616,6.968722,6.971023,6.974399,6.977831
"DEAF1_OYR",5.707572,5.723765,5.725904,5.719815,5.712038,5.708256,5.710222,5.714112,5.715662,5.717025,5.726865,5.739246,5.746696,5.746738,5.744422,5.742258,5.739285,5.738089,5.743701,5.750124,5.749371,5.743981,5.735683,5.723941,5.717411,5.719797,5.722095,5.721175,5.717953,5.713591,5.712906,5.710831,5.707957,5.706179,5.702894,5.694638,5.684464,5.679288,5.677757,5.673986,5.673076,5.672959,5.677883,5.689487,5.702316
"DEAF2_ALX",-0.9702148,-0.9677734,-0.9726563,-0.9658203,-0.9628906,-0.9658203,-0.9560547,-0.9609375,-1.003906,-1.038086,-0.9833984,-0.9912109,-0.9912109,-1.028809,-1.006348,-0.7905273,-0.5986328,-0.3041992,0.2695313,0.4545898,0.3959961,0.4169922,0.3510742,0.4570313,0.6069336,0.7275391,0.7636719,0.7905273,0.8217773,0.7744141,0.8330078,0.8549805,0.8549805,0.8427734,0.8007813,0.7509766,0.7924805,0.8061523,0.7607422,0.8037109,0.7197266,0.5878906,0.5830078,0.6064453,0.5634766
"DEAF2_ALY",-0.3374023,-0.3271484,-0.331543,-0.3271484,-0.3251953,-0.3320313,-0.3481445,-0.3422852,-0.355957,-0.3876953,-0.5307617,-0.5883789,-0.5883789,-0.6337891,-0.8110352,-0.9296875,-0.9018555,-0.8266602,-0.7319336,-0.6591797,-0.6225586,-0.484375,-0.5078125,-0.4799805,-0.5166016,-0.6474609,-0.703125,-0.7416992,-0.7573242,-0.7192383,-0.6552734,-0.534668,-0.534668,-0.3110352,-0.3574219,-0.453125,-0.4921875,-0.5341797,-0.5395508,-0.5239258,-0.5473633,-0.5507813,-0.5517578,-0.5605469,-0.6196289
"DEAF2_ALZ",0.06787109,0.0703125,0.07714844,0.07568359,0.06982422,0.07617188,0.07910156,0.08544922,0.05273438,0.09326172,0.1855469,0.2119141,0.2119141,0.3681641,0.5830078,0.7075195,0.7822266,0.668457,0.4858398,0.453125,0.4121094,0.355957,0.359375,0.2963867,0.1518555,0.1645508,0.08740234,0.01708984,0.03466797,0.07275391,0.03710938,0.08056641,0.08056641,-0.08007813,-0.03759766,0.008789063,-0.03320313,-0.05859375,-0.04052734,-0.03125,0.01660156,0.1455078,0.2348633,0.2548828,0.3583984
"DEAF2_ARX",-0.9584961,-0.9526367,-0.9599609,-0.9501953,-0.9555664,-0.9672852,-0.9584961,-0.9526367,-0.9584961,-0.9575195,-0.949707,-0.9614258,-0.9614258,-0.9702148,-0.9672852,-0.9658203,-0.9584961,-0.9433594,-0.9580078,-0.953125,-0.9492188,-0.9443359,-0.9580078,-0.9628906,-0.9560547,-0.9526367,-0.9609375,-0.9423828,-0.9448242,-0.9633789,-0.9326172,-0.9345703,-0.9482422,-0.9438477,-0.9560547,-0.956543,-0.9624023,-0.9570313,-0.9550781,-0.9541016,-0.9521484,-0.9550781,-0.9350586,-0.9584961,-0.9545898
"DEAF2_ARY",0.2875977,0.2861328,0.2866211,0.2910156,0.2905273,0.3041992,0.2910156,0.2890625,0.2973633,0.2919922,0.2910156,0.3017578,0.3017578,0.2978516,0.2978516,0.300293,0.3012695,0.3071289,0.309082,0.3046875,0.3051758,0.3105469,0.2871094,0.2978516,0.2988281,0.3334961,0.3408203,0.324707,0.3286133,0.3144531,0.3154297,0.2978516,0.3032227,0.3076172,0.2797852,0.3066406,0.2973633,0.2875977,0.2978516,0.2890625,0.2998047,0.2797852,0.2900391,0.3027344,0.2915039
"DEAF2_ARZ",0.07568359,0.06591797,0.07226563,0.06884766,0.06396484,0.06152344,0.05761719,0.06152344,0.06396484,0.0625,0.07177734,0.06835938,0.06835938,0.06884766,0.06347656,0.06787109,0.06835938,0.05908203,0.06396484,0.06201172,0.05957031,0.05908203,0.06152344,0.05566406,0.05322266,0.05566406,0.06445313,0.05957031,0.06591797,0.06982422,0.06494141,0.06738281,0.07568359,0.06884766,0.04785156,0.03613281,0.05029297,0.04541016,0.03564453,0.05273438,0.06103516,0.06152344,0.06884766,0.07568359,0.05859375
"DEAF2_EMG0L",1,0,0,0,-3,0,0,1,3,0,-1,-1,-1,-1,-1,-1,-10,2,7,-7,-3,5,11,-6,-5,-5,0,4,-5,5,-7,-9,-9,-18,-15,10,2,0,1,-1,4,-8,2,9,-3
"DEAF2_EMG1L",-3,-1,-5,1,2,-1,-11,-5,1,1,-1,-2,-2,1,-2,-2,-10,11,3,-10,5,-5,1,-11,5,3,3,-5,-6,2,-20,-2,-2,0,-5,-5,2,1,-4,-2,0,-9,9,-22,-6
"DEAF2_EMG2L",-1,-2,-1,-2,-1,0,-2,-1,1,-2,-2,0,0,0,2,2,-11,16,-2,-5,3,-18,-10,-1,6,1,0,-1,2,-1,-20,-45,-45,-9,9,13,21,2,-3,-4,-1,-1,9,-9,3
"DEAF2_EMG3L",-2,-1,-1,-2,-2,1,-1,2,0,-3,-2,10,10,-4,-21,3,-1,17,-1,-62,10,-26,-15,-11,16,-10,-4,7,11,-15,-15,-126,-126,-8,31,15,-12,-26,20,8,10,6,10,-18,5
"DEAF2_EMG4L",1,1,0,-3,-3,-4,1,0,2,-16,-1,39,39,-25,19,15,-120,-82,23,-46,37,-13,-27,23,-22,-23,-27,13,21,-10,-37,-63,-63,91,-69,-55,-19,11,24,20,31,-16,-2,3,11
"DEAF2_EMG5L",0,-1,-2,0,0,0,-1,-1,6,3,-8,2,2,3,15,-17,-35,-15,-26,-12,1,28,-32,-4,-11,4,-2,-5,-16,-17,-17,-51,-51,-24,-15,-14,-16,-11,-18,-16,10,-9,2,-5,3
"DEAF2_EMG6L",0,-2,-1,0,-2,-1,0,1,7,44,-3,1,1,-1,3,-26,2,-6,-6,6,-11,2,0,9,1,27,-40,5,-1,-2,19,5,5,2,-1,-2,-14,17,11,0,3,-1,3,6,-41
"DEAF2_EMG7L",-1,-1,-2,-1,-2,-1,0,1,13,-14,2,-2,-2,-1,0,-3,-6,-1,2,-4,0,2,-1,-5,-2,0,-1,8,-7,-7,-2,-68,-68,8,19,-12,-6,6,-1,-1,0,-6,5,47,-41
"DEAF2_EMG0R",-1,0,0,-2,-1,-1,-2,-1,-2,-1,-1,-2,-2,-2,-1,0,-1,0,-1,0,-1,-1,1,-1,-2,-2,-2,1,-1,0,-1,-1,-1,-1,0,-1,-2,-1,-2,0,-1,0,-2,-1,-1
"DEAF2_EMG1R",-2,-2,0,0,-1,0,-1,0,-4,-1,-1,-1,-1,-1,-3,-2,-2,0,-1,1,-2,-1,-2,-2,-1,-1,-1,-1,-1,-1,-2,0,0,-1,-2,-1,0,-2,0,-1,-1,-4,0,0,-1
"DEAF2_EMG2R",0,-1,0,-1,-2,0,-1,-2,-1,0,0,-1,-1,-2,-1,-1,-2,1,-1,0,-2,-2,-2,-2,-1,-1,-1,-1,0,-3,-1,-1,-1,-2,0,-2,-2,-2,-1,-1,-2,-1,-2,-1,-3
"DEAF2_EMG3R",-1,-2,-2,1,-1,-1,-1,0,-2,-4,-1,-2,-2,-1,-2,-3,0,-2,-1,-1,-1,-2,-1,-1,-1,0,-2,-1,0,-2,-1,-1,-1,0,-1,0,-1,0,0,-2,-2,2,-1,-2,-2
"DEAF2_EMG4R",-1,-2,-1,-1,0,-2,-2,-2,-1,-2,-2,-1,-1,0,-3,-1,-1,0,0,-2,-1,-3,-1,-1,-2,-1,-2,-2,-2,-1,-2,-1,-1,0,-1,-1,0,-3,0,0,-2,-2,0,-1,0
"DEAF2_EMG5R",-1,-1,-3,-1,0,-1,-1,-2,-1,-1,-1,0,0,-2,0,-1,-3,-1,-2,-2,0,-1,0,-2,-2,-1,-1,-1,1,-2,-2,-1,-1,0,-1,-2,-2,-2,0,-1,2,-1,-3,-1,1
"DEAF2_EMG6R",-1,-1,-1,-2,-2,-1,0,-1,0,-1,-3,0,0,-1,-2,-1,-1,-2,-1,-1,-1,-1,-2,-2,-3,-2,0,-2,-1,0,-2,-1,-1,-2,-2,-1,0,-2,-1,1,-2,-2,2,-2,-1
"DEAF2_EMG7R",-1,-2,-1,0,-2,-3,-1,-1,-1,-3,0,1,1,-2,-1,-2,-2,1,-1,0,-1,-1,-2,0,-2,-1,-1,0,-2,-2,-2,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-3,-1,0
"DEAF2_GLX",0.25,2.25,3.0625,2.75,1.8125,0.25,2.0625,-0.3125,-0.8125,-16.8125,-12.875,-5.375,-5.375,-13.4375,-13.75,11.3125,-9.75,4.625,13.8125,-26.375,-19.5625,-8.1875,-12.3125,-3.3125,16.4375,17.125,14.75,-11.625,-39.25,-60.625,-60.8125,-55.5,-55.5,-36.9375,-9.6875,8.4375,13.0625,9,4.125,4.5625,-5.5,6.0625,10.5,14.8125,14.875
"DEAF2_GLY",0.25,2.25,3.0625,2.75,1.8125,0.25,2.0625,-0.3125,-0.8125,-16.8125,-12.875,-5.375,-5.375,-13.4375,-13.75,11.3125,-9.75,4.625,13.8125,-26.375,-19.5625,-8.1875,-12.3125,-3.3125,16.4375,17.125,14.75,-11.625,-39.25,-60.625,-60.8125,-55.5,-55.5,-36.9375,-9.6875,8.4375,13.0625,9,4.125,4.5625,-5.5,6.0625,10.5,14.8125,14.875
"DEAF2_GLZ",0.25,2.25,3.0625,2.75,1.8125,0.25,2.0625,-0.3125,-0.8125,-16.8125,-12.875,-5.375,-5.375,-13.4375,-13.75,11.3125,-9.75,4.625,13.8125,-26.375,-19.5625,-8.1875,-12.3125,-3.3125,16.4375,17.125,14.75,-11.625,-39.25,-60.625,-60.8125,-55.5,-55.5,-36.9375,-9.6875,8.4375,13.0625,9,4.125,4.5625,-5.5,6.0625,10.5,14.8125,14.875
